x (mm),Q (W/m2)
0,6.13E+06
0.0994524,4.62E+06
0.199899,2.67E+06
0.301351,2.03E+06
0.403817,1.67E+06
0.507307,1.43E+06
0.611832,1.26E+06
0.717403,1.13E+06
0.82403,1.03E+06
0.931722,9.53E+05
1.04049,8.89E+05
1.15035,8.35E+05
1.26131,7.89E+05
1.37337,7.49E+05
1.48656,7.14E+05
1.60087,6.83E+05
1.71634,6.55E+05
1.83295,6.30E+05
1.95073,6.07E+05
2.06969,5.86E+05
2.18984,5.67E+05
2.31119,5.49E+05
2.43376,5.32E+05
2.55755,5.17E+05
2.68258,5.03E+05
2.80885,4.90E+05
2.93639,4.77E+05
3.06521,4.65E+05
3.19531,4.54E+05
3.32672,4.44E+05
3.45944,4.34E+05
3.59349,4.25E+05
3.72887,4.16E+05
3.86561,4.07E+05
4.00372,3.99E+05
4.14321,3.92E+05
4.2841,3.84E+05
4.42639,3.77E+05
4.57011,3.70E+05
4.71526,3.64E+05
4.86187,3.58E+05
5.00994,3.52E+05
5.15949,3.46E+05
5.31054,3.41E+05
5.46309,3.36E+05
5.61718,3.30E+05
5.7728,3.26E+05
5.92998,3.21E+05
6.08873,3.16E+05
6.24907,3.12E+05
6.41102,3.08E+05
6.57458,3.04E+05
6.73978,3.00E+05
6.90663,2.96E+05
7.07515,2.93E+05
7.24535,2.89E+05
7.41726,2.86E+05
7.59088,2.82E+05
7.76624,2.79E+05
7.94336,2.76E+05
8.12224,2.73E+05
8.30292,2.71E+05
8.4854,2.68E+05
8.66971,2.65E+05
8.85585,2.63E+05
9.04387,2.60E+05
9.23376,2.58E+05
9.42555,2.55E+05
9.61925,2.53E+05
9.8149,2.51E+05
10.0125,2.49E+05
10.2121,2.47E+05
10.4137,2.45E+05
10.6172,2.43E+05
10.8229,2.41E+05
11.0305,2.39E+05
11.2403,2.38E+05
11.4522,2.36E+05
11.6661,2.34E+05
11.8822,2.33E+05
12.1005,2.31E+05
12.321,2.29E+05
12.5436,2.28E+05
12.7685,2.27E+05
12.9957,2.25E+05
13.2251,2.24E+05
13.4568,2.22E+05
13.6908,2.21E+05
13.9272,2.20E+05
14.1659,2.18E+05
14.407,2.17E+05
14.6505,2.16E+05
14.8965,2.15E+05
15.1449,2.14E+05
15.3958,2.12E+05
15.6492,2.11E+05
15.9051,2.10E+05
16.1637,2.09E+05
16.4247,2.08E+05
16.6884,2.07E+05
16.9548,2.06E+05
17.2238,2.05E+05
17.4955,2.04E+05
17.7699,2.03E+05
18.047,2.02E+05
18.3269,2.01E+05
18.6097,2.00E+05
18.8952,1.99E+05
19.1836,1.98E+05
19.4749,1.97E+05
19.7691,1.96E+05
20.0663,1.95E+05
20.3664,1.94E+05
20.6695,1.93E+05
20.9756,1.92E+05
21.2848,1.92E+05
21.5971,1.91E+05
21.9126,1.90E+05
22.2311,1.89E+05
22.5529,1.88E+05
22.8779,1.87E+05
23.2061,1.86E+05
23.5376,1.86E+05
23.8725,1.85E+05
24.2106,1.84E+05
24.5522,1.83E+05
24.8972,1.82E+05
25.2456,1.82E+05
25.5975,1.81E+05
25.9529,1.80E+05
26.3119,1.79E+05
26.6745,1.79E+05
27.0407,1.78E+05
27.4105,1.77E+05
27.7841,1.76E+05
28.1614,1.76E+05
28.5425,1.75E+05
28.9273,1.74E+05
29.3161,1.73E+05
29.7087,1.73E+05
30.1052,1.72E+05
30.5057,1.71E+05
30.9102,1.71E+05
31.3188,1.70E+05
31.7314,1.69E+05
32.1482,1.69E+05
32.5691,1.68E+05
32.9943,1.67E+05
33.4237,1.67E+05
33.8574,1.66E+05
34.2954,1.66E+05
34.7378,1.65E+05
35.1846,1.64E+05
35.6359,1.64E+05
36.0917,1.63E+05
36.5521,1.62E+05
37.0171,1.62E+05
37.4867,1.61E+05
37.961,1.61E+05
38.4401,1.60E+05
38.9239,1.60E+05
39.4126,1.59E+05
39.9062,1.58E+05
40.4047,1.58E+05
40.9082,1.57E+05
41.4167,1.57E+05
41.9304,1.56E+05
42.4491,1.56E+05
42.9731,1.55E+05
43.5023,1.55E+05
44.0367,1.54E+05
44.5765,1.54E+05
45.1218,1.53E+05
45.6724,1.52E+05
46.2286,1.52E+05
46.7904,1.51E+05
47.3577,1.51E+05
47.9307,1.50E+05
48.5095,1.50E+05
49.094,1.49E+05
49.6844,1.49E+05
50.2807,1.48E+05
50.883,1.48E+05
51.4913,1.48E+05
52.1056,1.47E+05
52.7261,1.47E+05
53.3529,1.46E+05
53.9858,1.46E+05
54.6252,1.45E+05
55.2709,1.45E+05
55.923,1.44E+05
56.5817,1.44E+05
57.247,1.43E+05
57.9096,1.43E+05
58.5721,1.43E+05
59.2347,1.42E+05
59.8973,1.42E+05
60.5599,1.41E+05
61.2225,1.41E+05
61.8851,1.41E+05
62.5477,1.40E+05
63.2102,1.40E+05
63.8728,1.39E+05
64.5354,1.39E+05
65.198,1.39E+05
65.8606,1.38E+05
