x (mm),Q (W/m2)
0,6102560
0.0994524,4601060
0.199899,2662740
0.301351,2023550
0.403817,1665770
0.507307,1424570
0.611832,1254100
0.717403,1126660
0.82403,1029000
0.931722,951491
1.04049,887975
1.15035,834642
1.26131,788988
1.37337,749291
1.48656,714337
1.60087,683244
1.71634,655348
1.83295,630137
1.95073,607213
2.06969,586258
2.18984,567016
2.31119,549272
2.43376,532845
2.55755,517581
2.68258,503347
2.80885,490034
2.93639,477547
3.06521,465805
3.19531,454736
3.32672,444282
3.45944,434388
3.59349,425008
3.72887,416097
3.86561,407614
4.00372,399527
4.14321,391808
4.2841,384434
4.42639,377382
4.57011,370631
4.71526,364160
4.86187,357951
5.00994,351988
5.15949,346252
5.31054,340730
5.46309,335406
5.61718,330272
5.7728,325319
5.92998,320539
6.08873,315923
6.24907,311462
6.41102,307149
6.57458,302975
6.73978,298935
6.90663,295021
7.07515,291228
7.24535,287551
7.41726,283987
7.59088,280534
7.76624,277188
7.94336,273944
8.12224,270796
8.30292,267738
8.4854,264768
8.66971,261883
8.85585,259082
9.04387,256365
9.23376,253730
9.42555,251176
9.61925,248701
9.8149,246304
10.0125,243981
10.2121,241728
10.4137,239544
10.6172,237425
10.8229,235371
11.0305,233380
11.2403,231455
11.4522,229596
11.6661,227800
11.8822,226066
12.1005,224391
12.321,222773
12.5436,221211
12.7685,219703
12.9957,218249
13.2251,216849
13.4568,215500
13.6908,214202
13.9272,212952
14.1659,211750
14.407,210594
14.6505,209483
14.8965,208413
15.1449,207383
15.3958,206391
15.6492,205435
15.9051,204515
16.1637,203631
16.4247,202780
16.6884,201960
16.9548,201170
17.2238,200406
17.4955,199666
17.7699,198947
18.047,198250
18.3269,197573
18.6097,196916
18.8952,196278
19.1836,195658
19.4749,195052
19.7691,194459
20.0663,193875
20.3664,193301
20.6695,192735
20.9756,192179
21.2848,191631
21.5971,191090
21.9126,190555
22.2311,190024
22.5529,189496
22.8779,188971
23.2061,188450
23.5376,187936
23.8725,187426
24.2106,186918
24.5522,186406
24.8972,185887
25.2456,185358
25.5975,184816
25.9529,184262
26.3119,183696
26.6745,183118
27.0407,182530
27.4105,181932
27.7841,181325
28.1614,180710
28.5425,180087
28.9273,179457
29.3161,178821
29.7087,178180
30.1052,177537
30.5057,176891
30.9102,176244
31.3188,175597
31.7314,174949
32.1482,174301
32.5691,173653
32.9943,173008
33.4237,172364
33.8574,171722
34.2954,171083
34.7378,170446
35.1846,169812
35.6359,169181
36.0917,168553
36.5521,167929
37.0171,167310
37.4867,166695
37.961,166086
38.4401,165482
38.9239,164882
39.4126,164285
39.9062,163692
40.4047,163105
40.9082,162525
41.4167,161951
41.9304,161383
42.4491,160816
42.9731,160253
43.5023,159696
44.0367,159147
44.5765,158607
45.1218,158073
45.6724,157541
46.2286,157009
46.7904,156479
47.3577,155958
47.9307,155450
48.5095,154954
49.094,154467
49.6844,153979
50.2807,153487
50.883,152992
51.4913,152501
52.1056,152022
52.7261,151560
53.3529,151112
53.9858,150670
54.6252,150227
55.2709,149777
55.923,149322
56.5817,148868
57.247,148423
57.9096,147999
58.5721,147594
59.2347,147204
59.8973,146822
60.5599,146442
61.2225,146061
61.8851,145677
62.5477,145295
63.2102,144919
63.8728,144552
64.5354,144199
65.198,143859
65.8606,143532
66.5232,143214
67.1858,142903
67.8483,142595
68.5109,142287
69.1735,141981
69.8361,141674
70.4987,141369
71.1613,141066
71.8239,140766
72.4865,140470
73.149,140181
73.8116,139899
74.4742,139627
75.1368,139364
75.7994,139109
76.462,138861
77.1246,138617
77.7871,138375
78.4497,138134
79.1123,137894
79.7749,137655
80.4375,137417
81.1001,137180
81.7627,136944
82.4253,136711
83.0878,136480
83.7504,136252
84.413,136028
85.0756,135807
85.7382,135591
86.4008,135379
87.0633,135171
87.7259,134967
88.3885,134766
89.0511,134568
89.7137,134371
90.3763,134174
91.0389,133976
91.7015,133777
92.364,133577
93.0266,133378
93.6892,133182
94.3518,132991
95.0144,132806
95.677,132627
96.3396,132454
97.0021,132284
97.6647,132115
98.3273,131944
98.9899,131773
99.6525,131600
100.315,131429
100.978,131259
101.64,131092
102.303,130928
102.965,130767
103.628,130609
104.291,130451
104.953,130295
105.616,130139
106.278,129985
106.941,129832
107.604,129681
108.266,129532
108.929,129385
109.591,129238
110.254,129093
110.916,128949
111.579,128806
112.242,128664
112.904,128523
113.567,128384
114.229,128247
114.892,128110
115.555,127975
116.217,127841
116.88,127708
117.542,127576
118.205,127445
118.867,127314
119.53,127185
120.193,127057
120.855,126931
121.518,126805
122.18,126681
122.843,126559
123.506,126437
124.168,126316
124.831,126197
125.493,126078
126.156,125960
126.819,125843
127.481,125726
128.144,125610
128.806,125495
129.469,125380
130.131,125266
130.794,125152
131.457,125040
132.119,124929
132.782,124820
133.444,124711
134.107,124603
134.77,124496
135.432,124390
136.095,124285
136.757,124180
137.42,124075
138.082,123972
138.745,123869
139.408,123767
140.07,123667
140.733,123567
141.395,123468
142.058,123369
142.721,123269
143.383,123170
144.046,123071
144.708,122972
145.371,122873
146.034,122776
146.696,122680
147.359,122586
148.021,122493
148.684,122402
149.346,122313
150.009,122223
150.672,122134
151.334,122044
151.997,121954
152.659,121863
153.322,121773
153.985,121682
154.647,121591
155.31,121501
155.972,121412
156.635,121324
157.297,121237
157.96,121152
158.623,121067
159.285,120983
159.948,120900
160.61,120818
161.273,120736
161.936,120654
162.598,120573
163.261,120492
163.923,120412
164.586,120332
165.249,120252
165.911,120173
166.574,120095
167.236,120017
167.899,119939
168.561,119861
169.224,119784
169.887,119706
170.549,119628
171.212,119550
171.874,119472
172.537,119394
173.2,119316
173.862,119239
174.525,119163
175.187,119088
175.85,119014
176.512,118942
177.175,118870
177.838,118800
178.5,118730
179.163,118660
179.825,118590
180.488,118520
181.151,118449
181.813,118378
182.476,118307
183.138,118236
183.801,118165
184.464,118095
185.126,118026
185.789,117957
186.451,117890
187.114,117822
187.776,117755
188.439,117688
189.102,117621
189.764,117554
190.427,117487
191.089,117421
191.752,117355
192.415,117289
193.077,117224
193.74,117159
194.402,117095
195.065,117031
195.727,116966
196.39,116902
197.053,116838
197.715,116775
198.378,116711
199.04,116648
199.703,116585
200.366,116522
201.028,116460
201.691,116398
202.353,116337
203.016,116276
203.679,116215
204.341,116154
205.004,116094
205.666,116034
206.329,115974
206.991,115915
207.654,115856
208.317,115797
208.979,115738
209.642,115680
210.304,115621
210.967,115563
211.63,115504
212.292,115446
212.955,115388
213.617,115330
214.28,115272
214.942,115215
215.605,115158
216.268,115102
216.93,115046
217.593,114991
218.255,114935
218.918,114880
219.581,114824
220.243,114768
220.906,114712
221.568,114656
222.231,114600
222.894,114545
223.556,114490
224.219,114435
224.881,114381
225.544,114328
226.206,114275
226.869,114223
227.532,114171
228.194,114119
228.857,114067
229.519,114016
230.182,113964
230.845,113912
231.507,113860
232.17,113808
232.832,113756
233.495,113704
234.158,113652
234.82,113600
235.483,113548
236.145,113497
236.808,113446
237.47,113395
238.133,113344
238.796,113294
239.458,113244
240.121,113194
240.783,113145
241.446,113095
242.109,113046
242.771,112997
243.434,112949
244.096,112901
244.759,112852
245.421,112804
246.084,112757
246.747,112709
247.409,112661
248.072,112613
248.734,112566
249.397,112518
250.06,112470
250.722,112422
251.385,112374
252.047,112327
252.71,112279
253.372,112231
254.035,112184
254.698,112136
255.36,112089
256.023,112043
256.685,111997
257.348,111951
258.011,111906
258.673,111861
259.336,111817
259.998,111773
260.661,111728
261.324,111684
261.986,111640
262.649,111595
263.311,111550
263.974,111505
264.636,111460
265.299,111415
265.962,111371
266.624,111326
267.287,111282
267.949,111238
268.612,111195
269.275,111152
269.937,111108
270.6,111065
271.262,111023
271.925,110980
272.588,110937
273.25,110894
273.913,110852
274.575,110809
275.238,110767
275.9,110724
276.563,110682
277.226,110640
277.888,110598
278.551,110556
279.213,110514
279.876,110473
280.539,110431
281.201,110390
281.864,110349
282.526,110308
283.189,110266
283.851,110225
284.514,110185
285.177,110144
285.839,110103
286.502,110063
287.164,110022
287.827,109982
288.49,109942
289.152,109902
289.815,109863
290.477,109823
291.14,109784
291.802,109745
292.465,109705
293.128,109666
293.79,109627
294.453,109588
295.115,109548
295.778,109509
296.441,109470
297.103,109430
297.766,109391
298.428,109352
299.091,109313
299.754,109275
300.416,109236
301.079,109198
301.741,109160
302.404,109122
303.066,109084
303.729,109046
304.392,109009
305.054,108972
305.717,108934
306.379,108897
307.042,108860
307.705,108823
308.367,108786
309.03,108749
309.692,108712
310.355,108675
311.018,108638
311.68,108602
312.343,108565
313.005,108529
313.668,108493
314.33,108456
314.993,108420
315.656,108384
316.318,108348
316.981,108313
317.643,108277
318.306,108241
318.969,108206
319.631,108171
320.294,108135
320.956,108100
321.619,108065
322.281,108029
322.944,107994
323.607,107958
324.269,107923
324.932,107888
325.594,107852
326.257,107817
326.92,107781
327.582,107746
328.245,107711
328.907,107677
329.57,107642
330.233,107608
330.895,107574
331.558,107540
332.22,107506
332.883,107473
333.545,107439
334.208,107406
334.871,107373
335.533,107340
336.196,107306
336.858,107273
337.521,107239
338.184,107206
338.846,107173
339.509,107139
340.171,107106
340.834,107073
341.496,107040
342.159,107007
342.822,106974
343.484,106942
344.147,106909
344.809,106877
345.472,106844
346.135,106812
346.797,106779
347.46,106747
348.122,106714
348.785,106682
349.448,106650
350.11,106617
350.773,106585
351.435,106553
352.098,106521
352.76,106489
353.423,106457
354.086,106426
354.748,106394
355.411,106363
356.073,106332
356.736,106300
357.399,106269
358.061,106238
358.724,106206
359.386,106175
360.049,106144
360.711,106113
361.374,106081
362.037,106050
362.699,106019
363.362,105989
364.024,105958
364.687,105927
365.35,105897
366.012,105867
366.675,105837
367.337,105807
368,105777
368.663,105747
369.325,105717
369.988,105688
370.65,105658
371.313,105629
371.975,105599
372.638,105570
373.301,105540
373.963,105511
374.626,105481
375.288,105451
375.951,105422
376.614,105392
377.276,105363
377.939,105334
378.601,105304
379.264,105275
379.926,105245
380.589,105216
381.252,105187
