x (mm),P (Pa)
0,2107.2
0.0994524,3034.74
0.199899,2829.51
0.301351,2784.79
0.403817,2759.27
0.507307,2720.14
0.611832,2680.27
0.717403,2641.63
0.82403,2607.07
0.931722,2576.56
1.04049,2549.5
1.15035,2525.43
1.26131,2503.92
1.37337,2484.59
1.48656,2467.17
1.60087,2451.44
1.71634,2437.22
1.83295,2424.34
1.95073,2412.58
2.06969,2401.72
2.18984,2391.57
2.31119,2381.98
2.43376,2372.86
2.55755,2364.17
2.68258,2355.91
2.80885,2348.04
2.93639,2340.56
3.06521,2333.42
3.19531,2326.6
3.32672,2320.09
3.45944,2313.86
3.59349,2307.88
3.72887,2302.13
3.86561,2296.57
4.00372,2291.22
4.14321,2286.09
4.2841,2281.16
4.42639,2276.42
4.57011,2271.84
4.71526,2267.38
4.86187,2263.03
5.00994,2258.82
5.15949,2254.74
5.31054,2250.82
5.46309,2247.01
5.61718,2243.32
5.7728,2239.72
5.92998,2236.21
6.08873,2232.79
6.24907,2229.47
6.41102,2226.24
6.57458,2223.09
6.73978,2220.03
6.90663,2217.06
7.07515,2214.18
7.24535,2211.39
7.41726,2208.69
7.59088,2206.04
7.76624,2203.44
7.94336,2200.87
8.12224,2198.35
8.30292,2195.91
8.4854,2193.56
8.66971,2191.32
8.85585,2189.18
9.04387,2187.12
9.23376,2185.1
9.42555,2183.09
9.61925,2181.1
9.8149,2179.13
10.0125,2177.2
10.2121,2175.35
10.4137,2173.6
10.6172,2171.95
10.8229,2170.37
11.0305,2168.85
11.2403,2167.35
11.4522,2165.88
11.6661,2164.44
11.8822,2163.05
12.1005,2161.7
12.321,2160.41
12.5436,2159.18
12.7685,2157.99
12.9957,2156.85
13.2251,2155.75
13.4568,2154.69
13.6908,2153.67
13.9272,2152.68
14.1659,2151.74
14.407,2150.83
14.6505,2149.97
14.8965,2149.16
15.1449,2148.38
15.3958,2147.62
15.6492,2146.88
15.9051,2146.17
16.1637,2145.48
16.4247,2144.82
16.6884,2144.19
16.9548,2143.58
17.2238,2143
17.4955,2142.44
17.7699,2141.89
18.047,2141.37
18.3269,2140.88
18.6097,2140.41
18.8952,2139.98
19.1836,2139.57
19.4749,2139.17
19.7691,2138.77
20.0663,2138.37
20.3664,2137.98
20.6695,2137.6
20.9756,2137.23
21.2848,2136.88
21.5971,2136.52
21.9126,2136.18
22.2311,2135.84
22.5529,2135.51
22.8779,2135.2
23.2061,2134.89
23.5376,2134.58
23.8725,2134.28
24.2106,2133.97
24.5522,2133.66
24.8972,2133.36
25.2456,2133.06
25.5975,2132.76
25.9529,2132.47
26.3119,2132.17
26.6745,2131.86
27.0407,2131.55
27.4105,2131.24
27.7841,2130.92
28.1614,2130.61
28.5425,2130.3
28.9273,2130
29.3161,2129.69
29.7087,2129.39
30.1052,2129.08
30.5057,2128.76
30.9102,2128.44
31.3188,2128.12
31.7314,2127.8
32.1482,2127.48
32.5691,2127.15
32.9943,2126.83
33.4237,2126.5
33.8574,2126.18
34.2954,2125.85
34.7378,2125.52
35.1846,2125.18
35.6359,2124.84
36.0917,2124.5
36.5521,2124.17
37.0171,2123.83
37.4867,2123.49
37.961,2123.15
38.4401,2122.8
38.9239,2122.47
39.4126,2122.14
39.9062,2121.82
40.4047,2121.49
40.9082,2121.12
41.4167,2120.75
41.9304,2120.38
42.4491,2120.04
42.9731,2119.74
43.5023,2119.45
44.0367,2119.13
44.5765,2118.75
45.1218,2118.34
45.6724,2117.94
46.2286,2117.6
46.7904,2117.33
47.3577,2117.09
47.9307,2116.82
48.5095,2116.47
49.094,2116.03
49.6844,2115.55
50.2807,2115.12
50.883,2114.79
51.4913,2114.56
52.1056,2114.39
52.7261,2114.19
53.3529,2113.91
53.9858,2113.5
54.6252,2113.02
55.2709,2112.52
55.923,2112.08
56.5817,2111.76
57.247,2111.54
57.9096,2111.4
58.5721,2111.27
59.2347,2111.1
59.8973,2110.84
60.5599,2110.5
61.2225,2110.08
61.8851,2109.62
62.5477,2109.18
63.2102,2108.79
63.8728,2108.47
64.5354,2108.23
65.198,2108.05
65.8606,2107.91
66.5232,2107.79
67.1858,2107.66
67.8483,2107.51
68.5109,2107.34
69.1735,2107.14
69.8361,2106.9
70.4987,2106.61
71.1613,2106.26
71.8239,2105.87
72.4865,2105.46
73.149,2105.07
73.8116,2104.71
74.4742,2104.42
75.1368,2104.19
75.7994,2104.03
76.462,2103.91
77.1246,2103.82
77.7871,2103.73
78.4497,2103.64
79.1123,2103.54
79.7749,2103.42
80.4375,2103.27
81.1001,2103.09
81.7627,2102.88
82.4253,2102.66
83.0878,2102.42
83.7504,2102.18
84.413,2101.95
85.0756,2101.74
85.7382,2101.56
86.4008,2101.41
87.0633,2101.28
87.7259,2101.16
88.3885,2101.04
89.0511,2100.89
89.7137,2100.7
90.3763,2100.47
91.0389,2100.19
91.7015,2099.89
