x (mm),P (Pa)
0,2111.8
0.0994524,3039.68
0.199899,2832.32
0.301351,2787
0.403817,2760.56
0.507307,2720.7
0.611832,2680.51
0.717403,2641.78
0.82403,2607.21
0.931722,2576.71
1.04049,2549.65
1.15035,2525.58
1.26131,2504.08
1.37337,2484.79
1.48656,2467.41
1.60087,2451.74
1.71634,2437.6
1.83295,2424.79
1.95073,2413.11
2.06969,2402.33
2.18984,2392.26
2.31119,2382.76
2.43376,2373.72
2.55755,2365.13
2.68258,2356.95
2.80885,2349.18
2.93639,2341.79
3.06521,2334.75
3.19531,2328.04
3.32672,2321.62
3.45944,2315.48
3.59349,2309.59
3.72887,2303.9
3.86561,2298.43
4.00372,2293.16
4.14321,2288.11
4.2841,2283.27
4.42639,2278.62
4.57011,2274.12
4.71526,2269.75
4.86187,2265.5
5.00994,2261.36
5.15949,2257.37
5.31054,2253.53
5.46309,2249.81
5.61718,2246.2
5.7728,2242.69
5.92998,2239.27
6.08873,2235.94
6.24907,2232.7
6.41102,2229.55
6.57458,2226.49
6.73978,2223.52
6.90663,2220.62
7.07515,2217.82
7.24535,2215.09
7.41726,2212.43
7.59088,2209.81
7.76624,2207.21
7.94336,2204.66
8.12224,2202.16
8.30292,2199.74
8.4854,2197.42
8.66971,2195.18
8.85585,2193.01
9.04387,2190.9
9.23376,2188.83
9.42555,2186.78
9.61925,2184.74
9.8149,2182.71
10.0125,2180.7
10.2121,2178.74
10.4137,2176.85
10.6172,2175.05
10.8229,2173.31
11.0305,2171.63
11.2403,2169.97
11.4522,2168.34
11.6661,2166.73
11.8822,2165.16
12.1005,2163.63
12.321,2162.15
12.5436,2160.71
12.7685,2159.32
12.9957,2157.97
13.2251,2156.66
13.4568,2155.4
13.6908,2154.17
13.9272,2152.99
14.1659,2151.86
14.407,2150.79
14.6505,2149.76
14.8965,2148.78
15.1449,2147.83
15.3958,2146.92
15.6492,2146.05
15.9051,2145.23
16.1637,2144.46
16.4247,2143.75
16.6884,2143.09
16.9548,2142.48
17.2238,2141.91
17.4955,2141.37
17.7699,2140.87
18.047,2140.41
18.3269,2140.01
18.6097,2139.66
18.8952,2139.36
19.1836,2139.12
19.4749,2138.91
19.7691,2138.73
20.0663,2138.57
20.3664,2138.44
20.6695,2138.35
20.9756,2138.28
21.2848,2138.24
21.5971,2138.22
21.9126,2138.23
22.2311,2138.26
22.5529,2138.31
22.8779,2138.39
23.2061,2138.48
23.5376,2138.57
23.8725,2138.68
24.2106,2138.79
24.5522,2138.92
24.8972,2139.04
25.2456,2139.19
25.5975,2139.37
25.9529,2139.58
26.3119,2139.79
26.6745,2140
27.0407,2140.19
27.4105,2140.39
27.7841,2140.58
28.1614,2140.76
28.5425,2140.92
28.9273,2141.05
29.3161,2141.15
29.7087,2141.23
30.1052,2141.28
30.5057,2141.3
30.9102,2141.3
31.3188,2141.26
31.7314,2141.19
32.1482,2141.1
32.5691,2140.96
32.9943,2140.8
33.4237,2140.6
33.8574,2140.38
34.2954,2140.15
34.7378,2139.89
35.1846,2139.61
35.6359,2139.31
36.0917,2138.98
36.5521,2138.65
37.0171,2138.29
37.4867,2137.92
37.961,2137.53
38.4401,2137.12
38.9239,2136.69
39.4126,2136.27
39.9062,2135.85
40.4047,2135.44
40.9082,2135
41.4167,2134.52
41.9304,2134.01
42.4491,2133.51
42.9731,2133.05
43.5023,2132.62
44.0367,2132.2
44.5765,2131.74
45.1218,2131.22
45.6724,2130.65
46.2286,2130.09
46.7904,2129.59
47.3577,2129.18
47.9307,2128.8
48.5095,2128.4
49.094,2127.9
49.6844,2127.31
50.2807,2126.67
50.883,2126.07
51.4913,2125.57
52.1056,2125.19
52.7261,2124.88
53.3529,2124.56
53.9858,2124.15
54.6252,2123.63
55.2709,2123.02
55.923,2122.39
56.5817,2121.81
57.247,2121.34
57.9096,2120.99
58.5721,2120.71
59.2347,2120.46
59.8973,2120.18
60.5599,2119.82
61.2225,2119.38
61.8851,2118.87
62.5477,2118.32
63.2102,2117.8
63.8728,2117.33
64.5354,2116.94
65.198,2116.63
65.8606,2116.39
66.5232,2116.2
67.1858,2116.01
67.8483,2115.81
68.5109,2115.58
69.1735,2115.32
69.8361,2115.02
70.4987,2114.68
71.1613,2114.3
71.8239,2113.88
72.4865,2113.45
73.149,2113.03
73.8116,2112.66
74.4742,2112.35
75.1368,2112.12
75.7994,2111.94
76.462,2111.81
77.1246,2111.7
77.7871,2111.59
78.4497,2111.48
79.1123,2111.34
79.7749,2111.19
80.4375,2111
81.1001,2110.79
81.7627,2110.56
82.4253,2110.31
83.0878,2110.04
83.7504,2109.77
84.413,2109.51
85.0756,2109.27
85.7382,2109.06
86.4008,2108.87
87.0633,2108.71
87.7259,2108.57
88.3885,2108.46
89.0511,2108.35
89.7137,2108.23
90.3763,2108.08
91.0389,2107.9
91.7015,2107.67
92.364,2107.41
