x(mm),Q (W/m2)
0,1735430
1.012,1446040
2.02300000000002,1035180
3.03299999999999,824572
4.04400000000001,689324
5.054,630931
6.06299999999999,625735
7.072,639506
8.08099999999999,645605
9.089,639760
10.097,628411
11.104,616414
12.112,605405
13.118,595595
14.124,586829
15.13,578909
16.136,571674
17.141,565004
18.146,558821
19.15,553065
20.154,547689
21.157,542655
22.16,537929
23.163,533482
24.165,529285
25.167,525316
26.168,521554
27.169,517979
28.17,514574
29.17,511326
30.17,508220
31.169,505247
32.168,502395
33.167,499655
34.165,497020
35.163,494481
36.16,492033
37.157,489668
38.154,487382
39.15,485170
40.146,483028
41.142,480952
42.137,478938
43.131,476983
44.125,475082
45.119,473234
46.113,471437
47.106,469686
48.098,467981
49.091,466319
50.082,464699
51.074,463119
52.065,461575
53.055,460068
54.046,458594
55.036,457155
56.025,455746
57.014,454368
58.003,453020
58.991,451700
59.979,450407
60.966,449141
61.953,447899
62.94,446681
63.926,445486
64.912,444314
65.898,443165
66.883,442037
67.867,440930
68.852,439842
69.836,438773
70.819,437722
71.802,436689
72.785,435674
73.767,434676
74.749,433694
75.731,432728
76.712,431778
77.693,430842
78.673,429921
79.653,429015
80.633,428122
81.612,427243
82.59,426377
83.569,425523
84.547,424681
85.524,423852
86.502,423035
87.478,422229
88.455,421435
89.431,420651
90.407,419878
91.382,419116
92.357,418363
93.331,417620
94.305,416888
95.279,416164
96.252,415450
97.225,414746
98.198,414050
99.17,413362
100.142,412683
101.113,412012
102.084,411348
103.054,410693
104.025,410045
104.994,409405
105.964,408773
106.933,408148
107.901,407531
108.87,406921
109.837,406318
110.805,405721
111.772,405130
112.739,404545
113.705,403965
114.671,403392
115.636,402825
116.602,402265
117.566,401711
118.531,401163
119.495,400622
120.458,400086
121.421,399555
122.384,399029
123.347,398508
124.309,397992
125.27,397481
126.232,396975
127.192,396474
128.153,395978
129.113,395487
130.073,395001
131.032,394519
131.991,394042
132.95,393569
133.908,393100
134.866,392635
135.823,392173
136.78,391716
137.737,391263
138.693,390814
139.649,390370
140.604,389929
141.559,389493
142.514,389059
143.469,388629
144.422,388202
145.376,387778
146.329,387358
147.282,386941
148.235,386528
149.187,386120
150.138,385715
151.09,385315
152.04,384917
152.991,384523
153.941,384131
154.891,383742
155.84,383356
156.789,382972
157.738,382592
158.686,382215
159.634,381841
160.581,381470
161.529,381102
162.475,380736
163.422,380373
164.368,380013
165.313,379656
166.258,379301
167.203,378948
168.148,378599
169.092,378252
170.035,377907
170.979,377565
171.922,377225
172.864,376888
173.806,376553
174.748,376221
175.689,375890
176.63,375562
177.571,375236
178.511,374913
179.451,374591
180.391,374272
181.33,373955
182.269,373640
183.207,373327
184.145,373017
185.083,372708
186.02,372402
186.957,372097
187.893,371795
188.83,371495
189.765,371196
190.701,370900
191.636,370605
192.57,370312
193.505,370021
194.439,369731
195.372,369443
196.305,369157
197.238,368873
198.17,368591
199.102,368310
200.034,368032
200.965,367755
201.896,367479
202.827,367206
203.757,366934
204.687,366663
205.616,366395
206.545,366127
207.474,365862
208.402,365598
209.33,365335
210.257,365074
211.185,364814
212.111,364556
213.038,364299
213.964,364044
214.89,363790
215.815,363538
216.74,363287
217.664,363038
218.589,362791
219.512,362544
220.436,362300
221.359,362056
222.282,361814
223.204,361572
224.126,361332
225.048,361093
225.969,360855
226.89,360618
227.81,360383
228.73,360149
229.65,359917
230.569,359686
231.488,359456
232.407,359228
233.325,359000
234.243,358774
235.161,358549
236.078,358325
236.995,358102
237.911,357881
238.827,357660
239.743,357441
240.658,357223
241.573,357006
242.488,356789
243.402,356574
244.316,356360
245.229,356147
246.143,355935
247.055,355724
247.968,355514
248.88,355305
249.791,355097
250.703,354890
251.614,354684
252.524,354479
253.434,354275
254.344,354072
255.254,353871
256.163,353670
257.072,353471
257.98,353272
258.888,353075
259.796,352878
260.703,352682
261.61,352487
262.516,352292
