x(mm),Q (W/m2)
0,1691780
1.012,1411290
2.02300000000002,1011500
3.03299999999999,803684
4.04400000000001,674447
5.054,629714
6.06299999999999,633587
7.072,644596
8.08099999999999,644172
9.089,634228
10.097,621507
11.104,609354
12.112,598526
13.118,588932
14.124,580337
15.13,572539
16.136,565396
17.141,558807
18.146,552700
19.15,547018
20.154,541719
21.157,536761
22.16,532108
23.163,527731
24.165,523601
25.167,519695
26.168,515991
27.169,512471
28.17,509119
29.17,505919
30.17,502859
31.169,499928
32.168,497116
33.167,494413
34.165,491813
35.163,489308
36.16,486890
37.157,484556
38.154,482299
39.15,480115
40.146,477999
41.142,475949
42.137,473959
43.131,472027
44.125,470149
45.119,468324
46.113,466547
47.106,464817
48.098,463132
49.091,461490
50.082,459889
51.074,458327
52.065,456801
53.055,455311
54.046,453855
55.036,452432
56.025,451040
57.014,449677
58.003,448344
58.991,447040
59.979,445763
60.966,444511
61.953,443284
62.94,442080
63.926,440899
64.912,439741
65.898,438604
66.883,437489
67.867,436395
68.852,435319
69.836,434262
70.819,433224
71.802,432203
72.785,431200
73.767,430214
74.749,429244
75.731,428289
76.712,427350
77.693,426425
78.673,425515
79.653,424619
80.633,423738
81.612,422869
82.59,422013
83.569,421169
84.547,420338
85.524,419519
86.502,418711
87.478,417915
88.455,417131
89.431,416357
90.407,415593
91.382,414840
92.357,414097
93.331,413363
94.305,412639
95.279,411925
96.252,411220
97.225,410523
98.198,409836
99.17,409156
100.142,408485
101.113,407822
102.084,407167
103.054,406520
104.025,405880
104.994,405249
105.964,404624
106.933,404007
107.901,403398
108.87,402795
109.837,402199
110.805,401610
111.772,401026
112.739,400449
113.705,399877
114.671,399311
115.636,398751
116.602,398197
117.566,397650
118.531,397108
119.495,396573
120.458,396043
121.421,395519
122.384,395001
123.347,394487
124.309,393978
125.27,393473
126.232,392974
127.192,392479
128.153,391990
129.113,391505
130.073,391024
131.032,390549
131.991,390077
132.95,389610
133.908,389147
134.866,388687
135.823,388232
136.78,387781
137.737,387334
138.693,386891
139.649,386452
140.604,386017
141.559,385586
142.514,385158
143.469,384733
144.422,384311
145.376,383892
146.329,383477
147.282,383066
148.235,382659
149.187,382256
150.138,381857
151.09,381461
152.04,381069
152.991,380679
153.941,380292
154.891,379908
155.84,379526
156.789,379148
157.738,378773
158.686,378400
159.634,378031
160.581,377665
161.529,377302
162.475,376941
163.422,376583
164.368,376227
165.313,375874
166.258,375523
167.203,375175
168.148,374830
169.092,374488
170.035,374147
170.979,373810
171.922,373474
172.864,373141
173.806,372811
174.748,372483
175.689,372157
176.63,371833
177.571,371511
178.511,371192
179.451,370875
180.391,370559
181.33,370246
182.269,369935
183.207,369627
184.145,369320
185.083,369016
186.02,368713
186.957,368413
187.893,368114
188.83,367818
189.765,367523
190.701,367230
191.636,366939
192.57,366649
193.505,366362
194.439,366076
195.372,365792
196.305,365509
197.238,365229
198.17,364950
199.102,364674
200.034,364399
200.965,364125
201.896,363854
202.827,363584
203.757,363315
204.687,363048
205.616,362782
206.545,362519
207.474,362256
208.402,361996
209.33,361737
210.257,361479
211.185,361223
212.111,360968
213.038,360715
213.964,360462
214.89,360212
215.815,359962
216.74,359715
217.664,359469
218.589,359224
219.512,358981
220.436,358740
221.359,358499
222.282,358260
223.204,358022
224.126,357785
225.048,357549
225.969,357314
226.89,357081
227.81,356849
228.73,356618
229.65,356389
230.569,356160
231.488,355933
232.407,355708
233.325,355483
234.243,355260
235.161,355038
236.078,354817
236.995,354597
237.911,354378
238.827,354160
239.743,353944
240.658,353728
241.573,353514
242.488,353300
243.402,353088
244.316,352877
245.229,352666
246.143,352457
247.055,352248
247.968,352041
248.88,351835
