x(mm),P (Pa)
0,11453
1.517,14808.9
3.03399999999999,15434.2
4.54900000000001,15480.8
6.06399999999999,15461.9
7.57799999999997,15494.5
9.09,15527.9
10.602,15537.9
12.113,15535.5
13.623,15530
15.132,15524.4
16.641,15519.3
18.148,15514.6
19.654,15510.3
21.16,15506.3
22.664,15502.6
24.168,15499.2
25.671,15496.2
27.173,15493.4
28.674,15490.7
30.174,15488.3
31.673,15486
33.171,15483.8
34.669,15481.8
36.165,15479.8
37.661,15478
39.155,15476.3
40.649,15474.6
42.142,15473
43.634,15471.5
45.125,15470
46.615,15468.6
48.105,15467.3
49.593,15466
51.081,15464.7
52.567,15463.5
54.053,15462.4
55.538,15461.3
57.022,15460.3
58.505,15459.2
59.987,15458.2
61.468,15457.1
62.948,15456.2
64.428,15455.2
65.906,15454.3
67.384,15453.5
68.861,15452.6
70.337,15451.8
71.812,15450.9
73.286,15450.1
74.759,15449.3
76.231,15448.6
77.703,15447.8
79.173,15447.1
80.643,15446.4
82.112,15445.7
83.58,15445
85.047,15444.3
86.513,15443.6
87.978,15443
89.443,15442.4
90.906,15441.8
92.369,15441.2
93.831,15440.6
95.291,15440
96.751,15439.4
98.211,15438.8
99.669,15438.3
101.126,15437.7
102.583,15437.2
104.038,15436.7
105.493,15436.2
106.947,15435.6
108.4,15435.1
109.852,15434.6
111.303,15434
112.753,15433.5
114.203,15433.1
115.651,15432.6
117.099,15432.2
118.546,15431.8
119.992,15431.5
121.437,15431.1
122.881,15430.7
124.325,15430.3
125.767,15429.8
127.209,15429.4
128.65,15428.9
130.09,15428.5
131.529,15428
132.967,15427.5
134.404,15427.1
135.841,15426.7
137.276,15426.3
138.711,15426
140.145,15425.6
141.578,15425.3
143.01,15425
144.441,15424.6
145.872,15424.3
147.301,15423.9
148.73,15423.4
150.158,15423
151.585,15422.5
153.011,15422.1
154.436,15421.7
155.86,15421.4
157.284,15421.1
158.707,15420.8
160.128,15420.5
161.549,15420.2
162.969,15419.8
164.389,15419.5
165.807,15419.2
167.225,15418.8
168.641,15418.5
170.057,15418.3
171.472,15418
172.886,15417.7
174.3,15417.4
175.712,15417.1
177.124,15416.7
178.534,15416.5
179.944,15416.2
181.353,15415.9
182.761,15415.7
184.169,15415.4
185.575,15415.2
186.981,15414.9
188.386,15414.7
189.79,15414.4
191.193,15414.2
192.595,15413.9
193.997,15413.6
195.397,15413.4
196.797,15413.1
198.196,15412.9
199.594,15412.6
200.991,15412.4
202.387,15412.1
203.783,15411.9
205.178,15411.7
206.571,15411.5
207.964,15411.3
209.357,15411.1
210.748,15410.8
212.138,15410.6
213.528,15410.4
214.917,15410.2
216.305,15409.9
217.692,15409.7
219.078,15409.4
220.464,15409.2
221.849,15409
223.232,15408.8
224.615,15408.6
225.997,15408.4
227.379,15408.2
228.759,15408
230.139,15407.8
231.518,15407.6
232.896,15407.4
234.273,15407.2
235.649,15407
237.025,15406.8
238.399,15406.7
239.773,15406.5
241.146,15406.3
242.519,15406.1
243.89,15405.9
245.26,15405.8
246.63,15405.6
247.999,15405.4
249.367,15405.3
250.734,15405.1
252.101,15404.9
253.466,15404.8
254.831,15404.6
256.195,15404.4
257.558,15404.2
258.921,15404.1
260.282,15403.9
261.643,15403.6
263.003,15403.4
264.362,15403.3
265.72,15403.1
267.077,15402.9
268.434,15402.8
269.79,15402.6
271.145,15402.5
272.499,15402.4
273.852,15402.2
275.205,15402.1
276.556,15401.9
277.907,15401.7
279.257,15401.6
280.607,15401.4
281.955,15401.2
283.303,15401.1
284.65,15400.9
285.996,15400.8
287.341,15400.6
288.685,15400.5
290.029,15400.3
291.372,15400.2
292.714,15400
294.055,15399.8
295.395,15399.7
296.735,15399.5
298.073,15399.4
299.411,15399.2
300.748,15399.1
302.085,15399
303.42,15398.8
304.755,15398.7
306.089,15398.6
307.422,15398.5
308.754,15398.3
310.086,15398.2
311.417,15398.1
312.747,15397.9
314.076,15397.8
315.404,15397.6
316.731,15397.5
318.058,15397.3
319.384,15397.2
320.709,15397
322.033,15396.9
323.357,15396.7
324.68,15396.6
326.002,15396.5
327.323,15396.4
328.643,15396.2
329.963,15396.1
331.281,15396
332.599,15395.9
333.916,15395.8
335.233,15395.6
336.548,15395.5
337.863,15395.4
339.177,15395.3
340.49,15395.1
341.803,15395
343.114,15394.8
344.425,15394.7
345.735,15394.6
347.045,15394.4
348.353,15394.2
349.661,15394.1
350.968,15394
352.274,15393.9
353.579,15393.8
354.884,15393.7
356.187,15393.6
357.49,15393.5
358.792,15393.4
360.094,15393.3
361.394,15393.2
362.694,15393.1
363.993,15393
365.292,15392.9
366.589,15392.7
367.886,15392.6
369.182,15392.5
370.477,15392.3
371.771,15392.2
373.065,15392.2
374.358,15392.1
375.65,15391.9
376.941,15391.8
378.231,15391.8
379.521,15391.7
380.81,15391.6
382.098,15391.4
383.385,15391.3
384.672,15391.2
385.958,15391.1
387.243,15391
388.527,15390.9
389.811,15390.8
391.093,15390.7
392.375,15390.6
393.656,15390.5
394.937,15390.4
396.216,15390.3
397.495,15390.2
398.773,15390.1
400.051,15390
401.327,15389.9
402.603,15389.8
403.878,15389.7
405.152,15389.6
406.426,15389.4
407.699,15389.3
408.971,15389.3
410.242,15389.2
411.512,15389.1
412.782,15389
414.051,15388.9
415.319,15388.8
416.586,15388.7
417.853,15388.6
419.119,15388.5
420.384,15388.4
421.648,15388.3
422.912,15388.2
424.175,15388.1
425.437,15388
426.698,15387.9
427.958,15387.8
429.218,15387.7
430.477,15387.6
431.735,15387.6
432.993,15387.5
434.25,15387.4
435.506,15387.3
436.761,15387.3
438.015,15387.1
439.269,15387
440.522,15386.9
441.774,15386.9
443.026,15386.8
444.276,15386.7
445.526,15386.6
446.775,15386.5
448.024,15386.4
449.272,15386.3
450.518,15386.3
451.765,15386.2
453.01,15386.2
454.255,15386.1
455.499,15386
456.742,15385.9
457.984,15385.8
459.226,15385.7
460.467,15385.6
461.707,15385.6
462.947,15385.5
464.185,15385.3
465.423,15385.2
466.661,15385.1
467.897,15385.1
469.133,15385
470.368,15384.9
471.602,15384.9
472.835,15384.8
474.068,15384.7
475.3,15384.6
476.531,15384.5
477.762,15384.4
478.992,15384.4
480.221,15384.3
481.449,15384.3
482.677,15384.2
