x(mm),P (Pa)
0,11509.3
1.012,14903.2
2.02300000000002,15514.7
3.03299999999999,15569.4
4.04400000000001,15519.1
5.054,15462.8
6.06299999999999,15459.8
7.072,15499.9
8.08099999999999,15543.3
9.089,15563.2
10.097,15564.1
11.104,15557.7
12.112,15550.1
13.118,15543.3
14.124,15537.6
15.13,15532.7
16.136,15528.4
17.141,15524.5
18.146,15520.8
19.15,15517.5
20.154,15514.3
21.157,15511.3
22.16,15508.5
23.163,15505.9
24.165,15503.4
25.167,15501
26.168,15498.8
27.169,15496.6
28.17,15494.6
29.17,15492.6
30.17,15490.7
31.169,15488.9
32.168,15487.3
33.167,15485.6
34.165,15484.1
35.163,15482.6
36.16,15481.2
37.157,15479.8
38.154,15478.5
39.15,15477.2
40.146,15476
41.142,15474.9
42.137,15473.7
43.131,15472.6
44.125,15471.5
45.119,15470.5
46.113,15469.5
47.106,15468.5
48.098,15467.5
49.091,15466.6
50.082,15465.7
51.074,15464.8
52.065,15464
53.055,15463.2
54.046,15462.3
55.036,15461.5
56.025,15460.8
57.014,15460
58.003,15459.2
58.991,15458.5
59.979,15457.8
60.966,15457.1
61.953,15456.4
62.94,15455.7
63.926,15455.1
64.912,15454.4
65.898,15453.8
66.883,15453.1
67.867,15452.6
68.852,15452
69.836,15451.4
70.819,15450.8
71.802,15450.2
72.785,15449.6
73.767,15449.1
74.749,15448.5
75.731,15448
76.712,15447.4
77.693,15446.9
78.673,15446.4
79.653,15445.9
80.633,15445.4
81.612,15444.9
82.59,15444.4
83.569,15443.9
84.547,15443.4
85.524,15443
86.502,15442.5
87.478,15442.1
88.455,15441.6
89.431,15441.2
90.407,15440.7
91.382,15440.3
92.357,15439.9
93.331,15439.5
94.305,15439
95.279,15438.6
96.252,15438.2
97.225,15437.9
98.198,15437.5
99.17,15437.1
100.142,15436.7
101.113,15436.3
102.084,15435.9
103.054,15435.5
104.025,15435.1
104.994,15434.8
105.964,15434.4
106.933,15434.1
107.901,15433.7
108.87,15433.4
109.837,15433.1
110.805,15432.8
111.772,15432.4
112.739,15432.1
113.705,15431.7
114.671,15431.3
115.636,15431
116.602,15430.6
117.566,15430.3
118.531,15430
119.495,15429.7
120.458,15429.5
121.421,15429.2
122.384,15428.9
123.347,15428.6
124.309,15428.3
125.27,15428
126.232,15427.7
127.192,15427.4
128.153,15427.2
129.113,15426.9
130.073,15426.6
131.032,15426.4
131.991,15426.1
132.95,15425.9
133.908,15425.6
134.866,15425.3
135.823,15425
136.78,15424.7
137.737,15424.4
138.693,15424.2
139.649,15423.9
140.604,15423.7
141.559,15423.4
142.514,15423.1
143.469,15422.8
144.422,15422.5
145.376,15422.2
146.329,15421.9
147.282,15421.6
148.235,15421.3
149.187,15421
150.138,15420.8
151.09,15420.6
152.04,15420.4
152.991,15420.2
153.941,15420
154.891,15419.8
155.84,15419.5
156.789,15419.3
157.738,15419
158.686,15418.8
159.634,15418.6
160.581,15418.4
161.529,15418.2
162.475,15418
163.422,15417.7
164.368,15417.5
165.313,15417.3
166.258,15417.1
167.203,15416.9
168.148,15416.7
169.092,15416.5
170.035,15416.3
170.979,15416.1
171.922,15415.9
172.864,15415.7
173.806,15415.5
174.748,15415.3
175.689,15415.1
176.63,15414.9
177.571,15414.7
178.511,15414.5
179.451,15414.3
180.391,15414.1
181.33,15414
182.269,15413.8
183.207,15413.6
184.145,15413.4
185.083,15413.2
186.02,15413.1
186.957,15412.9
187.893,15412.7
188.83,15412.5
189.765,15412.4
190.701,15412.2
191.636,15412
192.57,15411.9
193.505,15411.7
194.439,15411.5
195.372,15411.3
196.305,15411.1
197.238,15411
198.17,15410.8
199.102,15410.6
200.034,15410.5
200.965,15410.3
201.896,15410.2
202.827,15410
203.757,15409.9
204.687,15409.7
205.616,15409.5
206.545,15409.4
207.474,15409.2
208.402,15409.1
209.33,15408.9
210.257,15408.8
211.185,15408.6
212.111,15408.5
213.038,15408.3
213.964,15408.1
214.89,15408
215.815,15407.8
216.74,15407.7
217.664,15407.6
218.589,15407.4
219.512,15407.3
220.436,15407.2
221.359,15407.1
222.282,15406.9
223.204,15406.8
224.126,15406.6
225.048,15406.5
225.969,15406.3
226.89,15406.2
227.81,15406
228.73,15405.9
229.65,15405.7
230.569,15405.6
231.488,15405.4
232.407,15405.3
233.325,15405.2
234.243,15405.1
235.161,15404.9
236.078,15404.8
236.995,15404.7
237.911,15404.6
238.827,15404.4
239.743,15404.3
240.658,15404.2
241.573,15404.1
242.488,15404
243.402,15403.8
244.316,15403.7
245.229,15403.6
246.143,15403.4
247.055,15403.3
247.968,15403.2
248.88,15403
249.791,15402.9
250.703,15402.8
251.614,15402.6
252.524,15402.5
253.434,15402.4
254.344,15402.3
255.254,15402.1
256.163,15402
257.072,15402
257.98,15401.9
258.888,15401.8
259.796,15401.7
260.703,15401.6
261.61,15401.5
262.516,15401.3
263.423,15401.2
264.329,15401.1
265.234,15400.9
266.139,15400.8
267.044,15400.7
267.948,15400.6
268.852,15400.5
269.756,15400.4
270.659,15400.3
271.562,15400.2
272.465,15400.1
273.367,15400
274.269,15399.9
275.17,15399.8
276.071,15399.7
276.972,15399.5
277.872,15399.4
278.773,15399.3
279.672,15399.2
280.572,15399.1
281.47,15399
282.369,15398.9
283.267,15398.8
284.165,15398.7
285.063,15398.6
285.96,15398.5
286.857,15398.4
287.753,15398.3
288.649,15398.2
289.545,15398.1
290.44,15398
291.335,15397.9
292.23,15397.8
293.124,15397.7
294.018,15397.6
294.912,15397.5
295.805,15397.4
296.698,15397.3
297.59,15397.2
298.482,15397.1
299.374,15397
300.265,15396.9
301.156,15396.8
302.047,15396.7
302.937,15396.6
303.827,15396.5
304.717,15396.4
305.606,15396.3
306.495,15396.2
307.384,15396.2
308.272,15396.1
309.16,15396
310.047,15395.9
310.934,15395.8
311.821,15395.7
312.708,15395.6
313.594,15395.5
314.479,15395.4
315.365,15395.2
316.25,15395.1
317.134,15395
318.019,15394.9
318.903,15394.8
319.786,15394.7
320.669,15394.7
321.552,15394.6
322.435,15394.5
323.317,15394.4
324.199,15394.3
325.08,15394.2
325.961,15394.2
326.842,15394.1
327.722,15394
328.602,15393.9
329.482,15393.8
330.361,15393.7
331.24,15393.7
332.119,15393.6
332.997,15393.5
333.875,15393.4
334.753,15393.4
335.63,15393.3
336.507,15393.2
337.383,15393.1
338.26,15393.1
339.135,15393
340.011,15392.9
340.886,15392.8
341.761,15392.7
342.635,15392.6
343.509,15392.5
344.383,15392.4
345.256,15392.3
346.129,15392.2
347.002,15392.1
347.874,15392
348.746,15391.9
349.618,15391.8
350.489,15391.7
351.36,15391.7
352.23,15391.6
353.101,15391.5
353.97,15391.5
354.84,15391.4
355.709,15391.3
356.578,15391.3
357.446,15391.2
358.314,15391.2
359.182,15391.1
360.05,15391
360.917,15390.9
361.783,15390.8
362.65,15390.7
363.516,15390.6
364.381,15390.6
365.247,15390.5
366.112,15390.4
366.976,15390.3
367.841,15390.2
368.705,15390.2
369.568,15390.1
370.431,15390
371.294,15390
372.157,15389.9
373.019,15389.8
373.881,15389.7
374.742,15389.7
375.604,15389.6
376.464,15389.5
377.325,15389.4
378.185,15389.4
379.045,15389.3
379.904,15389.2
380.763,15389.1
381.622,15389.1
382.481,15389
383.339,15388.9
384.196,15388.9
385.054,15388.8
385.911,15388.7
386.767,15388.7
387.624,15388.6
388.48,15388.5
389.335,15388.4
390.191,15388.4
391.046,15388.3
391.9,15388.2
392.755,15388.1
393.609,15388.1
394.462,15388
395.315,15387.9
396.168,15387.9
397.021,15387.8
397.873,15387.7
398.725,15387.7
399.577,15387.6
400.428,15387.5
401.279,15387.5
402.129,15387.4
402.979,15387.3
403.829,15387.3
404.679,15387.2
405.528,15387.1
406.377,15387.1
407.225,15387
408.073,15386.9
408.921,15386.9
409.769,15386.8
410.616,15386.7
411.462,15386.7
412.309,15386.6
413.155,15386.5
414.001,15386.5
414.846,15386.4
415.691,15386.4
416.536,15386.3
417.38,15386.2
418.224,15386.2
419.068,15386.1
419.911,15386
420.755,15386
421.597,15385.9
422.44,15385.8
423.282,15385.8
424.123,15385.7
424.965,15385.7
425.806,15385.6
426.646,15385.5
427.487,15385.5
428.327,15385.4
429.166,15385.4
430.006,15385.3
430.845,15385.2
431.683,15385.2
432.522,15385.1
433.36,15385
434.197,15385
435.035,15384.9
435.872,15384.9
436.708,15384.8
437.545,15384.7
438.381,15384.7
439.216,15384.6
440.052,15384.6
440.886,15384.5
441.721,15384.4
442.555,15384.4
443.389,15384.3
444.223,15384.3
445.056,15384.2
445.889,15384.1
446.722,15384.1
447.554,15384
448.386,15384
449.218,15383.9
450.049,15383.8
450.88,15383.8
451.711,15383.7
452.541,15383.7
453.371,15383.6
454.2,15383.6
455.03,15383.5
455.859,15383.5
456.687,15383.4
457.516,15383.4
458.344,15383.3
459.171,15383.3
459.998,15383.2
460.825,15383.2
461.652,15383.1
462.478,15383
463.304,15383
464.13,15382.9
464.955,15382.9
465.78,15382.8
466.605,15382.7
467.429,15382.7
468.253,15382.6
469.077,15382.6
469.9,15382.5
470.723,15382.4
471.546,15382.4
472.368,15382.3
473.19,15382.3
474.012,15382.2
