x (mm),Q (W/m2)
0,1857160
2.50000000000128,1600860
4.99999999999901,1237170
7.50000000000028,1091510
10.0000000000016,1032210
12.4999999999993,993765
14.9000000000008,961537
17.3999999999985,934253
19.8999999999998,911020
22.4000000000011,891007
24.8999999999988,873755
27.4000000000001,858849
29.9000000000014,845691
32.3999999999991,833897
34.9000000000004,823350
37.2999999999983,813790
39.7999999999996,804882
42.3000000000009,796397
44.7999999999986,788222
47.2999999999999,780424
49.8000000000012,773178
52.2999999999989,766546
54.8000000000002,760463
57.3000000000015,754811
59.6999999999994,749440
62.2000000000007,744244
64.6999999999984,739214
67.1999999999997,734368
69.700000000001,729739
72.1999999999987,725380
74.7,721293
77.2000000000013,717421
79.699999999999,713700
82.2000000000003,710074
84.5999999999982,706517
87.0999999999995,703045
89.6000000000008,699473
92.0999999999985,695860
94.5999999999998,694466
94.5999999999998,694466
97.1000000000011,693571
99.499999999999,691017
102.399999999999,687397
105.2,683561
108.699999999999,679091
112.200000000001,674796
116.499999999999,670168
120.799999999999,666096
126.100000000001,661343
131.399999999999,657003
138.000000000002,652021
144.600000000001,645560
152.000000000001,638916
159.300000000002,633165
166.799999999999,627609
174.199999999999,623110
181.699999999999,618759
189.2,614718
196.7,610802
204.2,607030
211.7,603415
219.200000000001,599969
226.700000000001,596701
234.200000000001,593536
241.700000000002,590421
249.199999999998,587404
256.599999999999,584467
264.099999999999,581652
271.599999999999,579010
279,576514
286.5,574097
293.900000000001,571733
301.400000000001,569412
308.900000000001,567155
316.299999999998,564974
323.799999999999,562847
331.299999999999,560820
338.899999999999,558856
346.399999999999,556935
353.899999999999,555033
361.4,553090
368.8,551209
376.300000000001,549386
383.800000000001,547620
391.300000000001,545972
398.800000000001,544362
406.300000000002,542827
413.799999999998,541364
421.299999999999,539903
428.799999999999,538443
436.299999999999,536932
443.7,535398
451.2,533871
458.7,532379
466.100000000001,530973
473.600000000001,529683
481.000000000002,528466
488.499999999998,527272
495.999999999999,526083
503.499999999999,524851
510.999999999999,523613
518.5,522330
526,521013
533.5,519666
541,518139
548.500000000001,516742
556.000000000001,515630
563.400000000001,514544
570.900000000002,513477
578.499999999998,512405
585.999999999999,511379
593.499999999999,510440
600.999999999999,509502
608.499999999999,508460
615.9,507628
623.4,507059
630.9,506237
638.300000000001,505191
645.800000000001,504156
653.199999999998,503188
660.699999999998,502257
668.199999999999,501354
675.599999999999,500492
683.1,499643
690.6,498842
698.1,498032
705.6,497230
713.200000000001,496459
720.600000000001,495690
728.100000000001,495022
735.600000000002,494342
743.099999999998,493556
750.599999999999,492694
758.099999999999,491730
765.599999999999,490730
773.099999999999,489714
780.6,488638
788.1,487719
795.6,487044
803.000000000001,486438
810.500000000001,485840
818.000000000001,485215
825.399999999998,484592
832.899999999999,483981
840.299999999999,483384
847.799999999999,482805
855.3,482222
862.8,481604
870.3,480961
877.800000000001,480276
885.300000000001,479576
892.800000000001,478877
900.300000000001,478198
907.800000000002,477607
915.199999999999,477030
922.699999999999,476426
930.199999999999,475777
937.7,475012
945.2,474240
952.7,473538
960.2,472907
967.700000000001,472385
975.200000000001,471917
982.700000000001,471484
990.100000000002,471061
997.599999999999,470615
1005,470165
1012.5,469707
1020,469250
1027.4,468806
1034.9,468358
1042.4,467887
1049.9,467389
1057.4,466831
1064.9,466246
1072.4,465650
1079.9,465061
1087.4,464542
1094.8,464038
1102.3,463535
1109.8,463009
1117.3,462401
1124.8,461765
1132.3,461157
1139.8,460572
1147.3,460012
1154.8,459481
1162.3,459012
1169.7,458578
1177.2,458121
1184.6,457677
1192.1,457273
1199.6,456906
1207,456574
1214.5,456253
1222,455902
1229.5,455532
1236.9,455127
1244.5,454696
1252,454199
1259.5,453881
1267,453753
1274.4,453539
1281.9,453298
1289.4,452969
1296.9,452507
1304.4,452010
1311.9,451506
1319.4,451018
1326.9,450589
1334.4,450184
1341.9,449808
1349.3,449440
1356.8,449070
1364.3,448704
1371.7,448332
1379.2,447968
1386.6,447625
1394.1,447287
1401.6,446943
1409.1,446595
1416.6,446212
1424.1,445838
1431.6,445489
1439.1,445160
1446.6,444879
1454.1,444590
1461.5,444288
1469,443962
1476.5,443578
1484,443193
1491.5,442817
1499,442457
1506.5,442131
1514,441811
1521.5,441505
1529,441193
1536.4,440870
1543.9,440538
1551.3,440189
1558.8,439843
1566.3,439520
1573.7,439200
1581.2,438867
1588.7,438516
1596.2,438117
1603.7,437688
1611.2,437230
1618.7,436773
1626.2,436378
1633.7,436033
1641.2,435772
1648.7,435539
1656.1,435242
1663.7,434926
1671.2,434596
1678.7,434273
1686.2,433990
1693.7,433721
1701.1,433479
1708.6,433239
1716.1,432989
1723.5,432730
1731,432444
1738.5,432168
1745.9,431971
1753.4,431705
1760.8,431036
1768.3,430337
1775.8,429588
1782.7,428819
1789.6,428072
1795.6,427130
1801.5,426754
1806.4,426432
1811.3,426851
1815.3,427574
1819.2,428288
1822.4,428700
1825.6,428977
1828.3,429353
1830.9,431270
1830.9,431270
1833.4,433817
1835.9,435303
1838.4,436056
1840.8,435740
1843.3,434831
1845.8,433068
1848.1,431218
1850.5,430229
1852.5,429933
1854.5,430606
1856.4,431691
1858.3,432818
1860.1,433858
1862,434500
1862,434500
1863.8,434886
1865.6,434915
1867.5,434740
1869.3,434464
1871.1,434157
1873,433847
1874.8,433543
1876.6,433252
1878.5,432979
1880.3,432729
1882.2,432501
