x (mm),P (Pa)
0,11184.4
4.99999999999901,14865.4
4.99999999999901,14865.4
10.0000000000016,15583
14.9000000000008,15613.1
19.8999999999998,15581.4
24.8999999999988,15565.1
29.9000000000014,15559
34.9000000000004,15558
39.7999999999996,15555.2
44.7999999999986,15550.4
49.8000000000012,15548.7
54.8000000000002,15551.9
59.6999999999994,15554.4
64.6999999999984,15549.9
69.700000000001,15540.6
74.7,15530.2
79.699999999999,15525.7
84.5999999999982,15539.2
89.6000000000008,15561.1
94.5999999999998,15584.8
94.5999999999998,15584.8
99.499999999999,15598.7
105.2,15578.8
112.200000000001,15520.5
120.799999999999,15454.5
131.399999999999,15416.5
144.600000000001,15405.5
159.300000000002,15417.1
174.199999999999,15425.4
189.2,15405.6
204.2,15381.9
219.200000000001,15383.4
234.200000000001,15410.7
249.199999999998,15448.6
264.099999999999,15486.9
279,15517.9
293.900000000001,15530.4
308.900000000001,15522.3
323.799999999999,15506.2
338.899999999999,15493.9
353.899999999999,15484.6
368.8,15473.2
383.800000000001,15462
398.800000000001,15458.2
413.799999999998,15464.6
428.799999999999,15473.7
443.7,15472.4
458.7,15451.5
473.600000000001,15412.3
488.499999999998,15365.7
503.499999999999,15326.8
518.5,15304.9
533.5,15300.8
548.500000000001,15309
563.400000000001,15321.4
578.499999999998,15330.3
593.499999999999,15331.9
608.499999999999,15327
623.4,15319.7
638.300000000001,15313.3
653.199999999998,15308.5
668.199999999999,15306
683.1,15306.3
698.1,15309.5
713.200000000001,15315
728.100000000001,15322.1
743.099999999998,15330.2
758.099999999999,15338.6
773.099999999999,15344.5
788.1,15345.6
803.000000000001,15341.5
818.000000000001,15333.8
832.899999999999,15325.1
847.799999999999,15317.9
862.8,15314.4
877.800000000001,15315.7
892.800000000001,15320.9
907.800000000002,15327.3
922.699999999999,15333.6
937.7,15339.2
952.7,15342.9
967.700000000001,15343.6
982.700000000001,15341.6
997.599999999999,15338.4
1012.5,15334.9
1027.4,15331.8
1042.4,15330
1057.4,15329.6
1057.4,15329.6
1072.4,15329.8
1087.4,15329.4
1102.3,15328.6
1117.3,15328.3
1132.3,15328.1
1147.3,15327.3
1162.3,15325.8
1177.2,15324.6
1192.1,15324.6
1207,15326
1222,15328.9
1236.9,15332.9
1252,15336.7
1267,15339.2
1281.9,15340.6
1296.9,15341.9
1311.9,15342.6
1326.9,15341.5
1341.9,15338.8
1356.8,15335.7
1371.7,15333.5
1386.6,15332.2
1401.6,15331.9
1416.6,15333.8
1431.6,15338.4
1446.6,15344.7
1461.5,15351
1476.5,15357.2
1491.5,15364.2
1506.5,15370.5
1521.5,15373.5
1536.4,15372.2
1551.3,15367.6
1566.3,15360.7
1581.2,15352.7
1596.2,15344.4
1611.2,15336.6
1626.2,15329.5
1641.2,15324
1656.1,15321.7
1671.2,15323.7
1686.2,15329.6
1701.1,15337.5
1716.1,15345.2
1731,15351.9
1745.9,15358.7
1760.8,15366.3
1775.8,15374.1
1789.6,15379.3
1801.5,15379.1
1811.3,15377.3
1819.2,15384
1825.6,15392.9
1830.9,15397.2
1830.9,15397.2
1835.9,15406.3
1840.8,15425.9
1845.8,15451.5
1850.5,15468.7
1854.5,15468.3
1858.3,15457.7
1862,15440.9
1865.6,15417.6
1869.3,15392
1873,15368.5
1876.6,15348.7
1880.3,15332.1
1884,15317.8
1887.7,15304.7
1891.3,15292.8
1895,15282
1898.7,15272.5
1902.3,15264.4
1906,15257.7
1909.7,15252.1
1913.3,15247.5
1917,15244.1
1920.7,15241.7
1924.3,15240.6
1928,15240.8
1931.7,15242.4
1935.4,15245.4
1939,15249.7
1942.7,15255.2
1946.4,15261.6
1950,15268.7
1953.7,15276.3
1957.4,15283.9
1961,15291.4
1964.7,15301
1968.3,15318.4
1971.7,15340.3
1974.5,15351.2
1976.8,15350.3
1978.7,15346.9
1980.2,15348.3
1981.5,15347.7
1982.5,15344.7
1983.4,15341.3
1984.2,15336.1
1985.1,15333.1
1986,15332.8
1986.8,15333.1
1987.7,15333.8
1988.6,15334.7
1989.4,15336.1
1990.3,15338.5
1991.2,15342.4
1992,15348.2
1992.9,15356.1
1993.8,15366.1
1994.6,15377.8
1995.5,15390.7
1996.4,15404.3
1997.2,15417.9
1998.1,15430.8
1999,15442.6
1999.8,15453.2
2000.7,15462.2
2001.6,15469.7
2002.4,15475.5
2003.3,15479.8
2004.2,15482.6
2005.1,15484.2
2005.9,15484.5
2005.9,15484.5
2006.8,15483.7
2007.7,15481.9
2008.5,15479.1
2009.4,15475.5
2010.3,15471.4
2011.1,15466.7
2012,15461.5
2012.9,15455.9
2013.7,15450
2014.6,15443.9
2015.5,15437.7
2016.3,15431.5
2017.2,15425.1
2018.1,15418.8
2018.9,15412.3
2019.8,15405.7
2020.7,15399.1
2021.5,15392.4
2022.4,15385.8
2023.3,15379.3
2024.1,15372.8
2025,15366.2
2025.9,15359.7
2026.7,15353.3
2027.6,15346.8
2028.5,15340.5
2029.3,15334.2
2030.2,15328.1
2031.1,15322.2
2032,15316.5
2032.8,15311
2033.7,15305.8
2034.6,15300.8
2035.4,15296.1
2036.3,15291.5
2037.2,15287.3
2038,15283.3
2038.9,15279.6
2039.8,15276.2
2040.6,15273.1
2041.5,15270.5
2042.4,15268.4
2043.2,15266.8
2044.1,15265.7
2045,15265.2
2045.8,15265.3
2046.7,15265.8
2047.6,15266.9
2048.4,15268.3
2049.3,15270.1
2050.2,15272.2
2051,15274.6
2051.9,15277.1
2052.8,15279.8
2053.6,15282.6
2054.5,15285.4
2055.4,15288.2
2056.2,15291.1
2057.1,15293.9
2058,15296.7
2058.8,15299.5
2059.7,15302.3
2060.6,15305
2061.5,15307.7
2062.3,15310.3
2063.2,15312.9
2064.1,15315.3
2064.9,15317.7
2065.8,15320
2066.7,15322.2
2067.5,15324.3
2068.4,15326.2
2069.3,15328.1
2070.1,15329.8
2071,15331.4
2071.9,15332.8
2072.7,15334.1
2072.7,15334.1
2073.6,15335.3
2074.5,15336.4
2075.3,15337.4
2076.2,15338.4
2077.1,15339.3
2077.9,15340.2
2078.8,15341
2079.7,15341.9
2080.5,15342.7
2081.4,15343.5
2082.3,15344.2
2083.1,15344.8
2084,15345.4
2084.9,15345.9
2085.7,15346.3
2086.6,15346.6
2087.5,15346.8
2088.4,15346.9
2089.2,15347
2090.1,15346.9
2091,15346.8
2091.8,15346.7
2092.7,15346.4
2093.6,15346.1
2094.4,15345.8
2095.3,15345.4
2096.2,15345
2097,15344.6
2097.9,15344.3
2098.8,15344
2099.6,15343.8
2100.5,15343.7
2101.4,15343.6
2102.2,15343.5
2103.1,15343.6
2104,15343.7
2104.8,15343.8
2105.7,15344
2106.6,15344.2
2107.4,15344.5
2108.3,15344.7
2109.2,15344.9
2110,15345.1
2110.9,15345.2
2111.8,15345.3
2112.6,15345.3
2113.5,15345.2
2114.4,15345
2115.2,15344.8
2115.2,15344.8
2116.1,15344.4
2117,15343.9
2117.9,15343.2
2118.7,15342.5
2119.6,15341.7
2120.5,15340.9
2121.3,15340
2122.2,15339.1
2123.1,15338.2
2123.9,15337.3
2124.8,15336.4
2125.7,15335.6
2126.5,15334.8
2127.4,15334.1
2128.3,15333.4
2129.1,15332.7
2130,15332.1
2130.9,15331.5
2131.7,15330.9
2132.6,15330.4
2133.5,15329.8
2134.3,15329.3
2135.2,15328.8
2136.1,15328.3
2136.9,15327.7
2137.8,15327.2
2138.7,15326.7
2139.5,15326.1
2140.4,15325.5
2141.3,15325
2142.1,15324.3
2143,15323.7
2143.9,15323
2144.8,15322.3
2145.6,15321.6
2146.5,15320.8
2147.4,15320
2148.2,15319.2
2149.1,15318.4
2150,15317.6
2150.8,15316.8
2151.7,15316
2152.6,15315.3
2153.4,15314.6
2154.3,15313.9
2154.3,15313.9
2155.2,15313.4
2156,15312.9
2156.9,15312.5
2157.8,15312.2
2158.6,15312
2159.5,15311.8
2160.4,15311.6
2161.2,15311.5
2162.1,15311.4
2163,15311.3
2163.8,15311.1
2164.7,15311
2165.6,15310.8
2166.4,15310.6
2167.3,15310.4
2168.2,15310.2
2169,15310
2169.9,15309.7
2170.8,15309.4
2171.6,15309.1
2172.5,15308.7
2173.4,15308.4
2174.3,15308.1
2175.1,15307.7
2176,15307.3
2176.9,15306.9
2177.7,15306.5
2178.6,15306.1
2179.5,15305.8
2180.3,15305.4
2181.2,15305.1
2182.1,15304.8
2182.9,15304.6
2183.8,15304.3
2184.7,15304.1
2185.5,15303.9
2186.4,15303.6
2187.3,15303.4
2188.1,15303.1
2188.1,15303.1
2189,15302.8
2189.9,15302.4
2190.7,15302.1
2191.6,15301.7
2192.5,15301.3
2193.3,15300.9
2194.2,15300.4
2195.1,15300
2195.9,15299.6
2196.8,15299.2
2197.7,15298.8
2198.5,15298.4
2199.4,15298.1
2200.3,15297.8
2201.2,15297.5
2202,15297.3
2202.9,15297.1
2203.8,15296.8
2204.6,15296.6
2205.5,15296.4
2206.4,15296.2
2207.2,15295.9
2208.1,15295.6
2209,15295.3
2209.8,15295
2210.7,15294.8
2211.6,15294.5
2212.4,15294.2
2213.3,15294
2214.2,15293.8
2215,15293.7
2215.9,15293.5
2216.8,15293.4
2217.6,15293.3
2218.5,15293.2
2219.4,15293
2220.2,15292.8
2221.1,15292.6
2222,15292.4
2222.8,15292.2
2223.7,15291.9
2224.6,15291.7
2225.4,15291.5
2226.3,15291.4
2227.2,15291.3
2228.1,15291.3
2228.9,15291.4
2229.8,15291.6
2230.7,15291.8
2231.5,15292.1
2232.4,15292.5
2233.3,15292.9
2234.1,15293.3
2235,15293.8
2235.9,15294.4
2236.7,15295
2237.6,15295.6
2238.5,15296.2
2239.3,15296.9
2240.2,15297.7
2241.1,15298.4
2241.9,15299.2
2242.8,15300
2243.7,15300.8
2244.5,15301.6
2245.4,15302.4
2246.3,15303.2
2247.1,15303.9
2247.1,15303.9
2248,15304.5
2248.9,15305.2
2249.7,15305.7
2250.6,15306.2
2251.5,15306.7
2252.3,15307
2253.2,15307.3
2254.1,15307.6
2254.9,15307.9
2255.8,15308.1
2256.7,15308.4
2257.6,15308.6
2258.4,15308.9
2259.3,15309.3
2260.2,15309.6
2261,15310
2261.9,15310.5
