# x(m), q(W/m2)
0.000000000000000000e+00,2.138140000000000000e+05
2.481370000000000103e-03,1.796230000000000000e+05
5.069009999999999662e-03,1.300160000000000000e+05
7.767490000000000158e-03,1.020230000000000000e+05
1.058160000000000003e-02,8.486989999999999418e+04
1.351620000000000078e-02,7.992960000000000582e+04
1.657640000000000155e-02,7.661060000000000582e+04
1.976779999999999857e-02,7.346289999999999418e+04
2.309589999999999907e-02,7.052080000000000291e+04
2.656649999999999984e-02,6.786639999999999418e+04
3.018569999999999934e-02,6.550840000000000146e+04
3.395999999999999713e-02,6.341290000000000146e+04
3.789599999999999913e-02,6.153950000000000000e+04
4.200050000000000311e-02,5.985380000000000291e+04
4.628079999999999694e-02,5.832569999999999709e+04
5.074449999999999794e-02,5.692969999999999709e+04
5.539929999999999854e-02,5.564469999999999709e+04
6.025359999999999744e-02,5.445340000000000146e+04
6.531570000000000431e-02,5.334300000000000000e+04
7.059469999999999634e-02,5.230390000000000146e+04
7.609979999999999523e-02,5.132819999999999709e+04
8.184059999999999946e-02,5.040819999999999709e+04
8.782739999999999991e-02,4.953840000000000146e+04
9.407060000000000421e-02,4.871590000000000146e+04
1.005810000000000037e-01,4.793609999999999854e+04
1.073709999999999942e-01,4.719240000000000146e+04
1.144509999999999972e-01,4.648119999999999709e+04
1.218339999999999979e-01,4.580000000000000000e+04
1.218339999999999979e-01,4.580000000000000000e+04
1.295340000000000102e-01,4.514690000000000146e+04
1.375639999999999918e-01,4.452050000000000000e+04
1.459370000000000112e-01,4.391690000000000146e+04
1.546690000000000009e-01,4.333380000000000291e+04
1.637760000000000049e-01,4.277180000000000291e+04
1.732720000000000093e-01,4.223080000000000291e+04
1.831750000000000045e-01,4.170909999999999854e+04
1.935020000000000073e-01,4.120409999999999854e+04
2.042710000000000081e-01,4.071330000000000291e+04
2.155019999999999991e-01,4.023609999999999854e+04
2.269650000000000001e-01,3.978180000000000291e+04
2.384280000000000010e-01,3.935700000000000000e+04
2.498910000000000020e-01,3.895830000000000291e+04
2.613530000000000020e-01,3.858419999999999709e+04
2.728160000000000029e-01,3.823340000000000146e+04
2.842790000000000039e-01,3.790380000000000291e+04
2.957420000000000049e-01,3.759309999999999854e+04
3.072050000000000058e-01,3.729890000000000146e+04
3.186669999999999781e-01,3.701909999999999854e+04
3.301299999999999790e-01,3.675169999999999709e+04
3.415929999999999800e-01,3.649500000000000000e+04
3.415929999999999800e-01,3.649500000000000000e+04
3.530559999999999810e-01,3.624840000000000146e+04
3.645189999999999819e-01,3.601090000000000146e+04
3.759819999999999829e-01,3.578209999999999854e+04
3.874440000000000106e-01,3.556259999999999854e+04
3.989070000000000116e-01,3.535200000000000000e+04
4.103700000000000125e-01,3.514909999999999854e+04
4.218330000000000135e-01,3.495290000000000146e+04
4.332960000000000145e-01,3.476309999999999854e+04
4.447579999999999867e-01,3.458050000000000000e+04
