# x(m), P(Pa)
0.000000000000000000e+00,2.245150000000000091e+03
2.481370000000000103e-03,2.348699999999999818e+03
5.069009999999999662e-03,2.481150000000000091e+03
7.767490000000000158e-03,2.504130000000000109e+03
1.058160000000000003e-02,2.496900000000000091e+03
1.351620000000000078e-02,2.493239999999999782e+03
1.657640000000000155e-02,2.496130000000000109e+03
1.976779999999999857e-02,2.498539999999999964e+03
2.309589999999999907e-02,2.498809999999999945e+03
2.656649999999999984e-02,2.497579999999999927e+03
3.018569999999999934e-02,2.495690000000000055e+03
3.395999999999999713e-02,2.493650000000000091e+03
3.789599999999999913e-02,2.491699999999999818e+03
4.200050000000000311e-02,2.489840000000000146e+03
4.628079999999999694e-02,2.488000000000000000e+03
5.074449999999999794e-02,2.486239999999999782e+03
5.539929999999999854e-02,2.484679999999999836e+03
6.025359999999999744e-02,2.483320000000000164e+03
6.531570000000000431e-02,2.482050000000000182e+03
7.059469999999999634e-02,2.480800000000000182e+03
7.609979999999999523e-02,2.479590000000000146e+03
8.184059999999999946e-02,2.478440000000000055e+03
8.782739999999999991e-02,2.477320000000000164e+03
9.407060000000000421e-02,2.476250000000000000e+03
1.005810000000000037e-01,2.475289999999999964e+03
1.073709999999999942e-01,2.474389999999999873e+03
1.144509999999999972e-01,2.473519999999999982e+03
1.218339999999999979e-01,2.472690000000000055e+03
1.218339999999999979e-01,2.472690000000000055e+03
1.295340000000000102e-01,2.471860000000000127e+03
1.375639999999999918e-01,2.471070000000000164e+03
1.459370000000000112e-01,2.470280000000000200e+03
1.546690000000000009e-01,2.469530000000000200e+03
1.637760000000000049e-01,2.468869999999999891e+03
1.732720000000000093e-01,2.468250000000000000e+03
1.831750000000000045e-01,2.467590000000000146e+03
1.935020000000000073e-01,2.466860000000000127e+03
2.042710000000000081e-01,2.466130000000000109e+03
2.155019999999999991e-01,2.465429999999999836e+03
2.269650000000000001e-01,2.464849999999999909e+03
2.384280000000000010e-01,2.464340000000000146e+03
2.498910000000000020e-01,2.463849999999999909e+03
2.613530000000000020e-01,2.463409999999999854e+03
2.728160000000000029e-01,2.462980000000000018e+03
2.842790000000000039e-01,2.462530000000000200e+03
2.957420000000000049e-01,2.462070000000000164e+03
3.072050000000000058e-01,2.461659999999999854e+03
3.186669999999999781e-01,2.461369999999999891e+03
3.301299999999999790e-01,2.461199999999999818e+03
3.415929999999999800e-01,2.461110000000000127e+03
3.415929999999999800e-01,2.461110000000000127e+03
3.530559999999999810e-01,2.461010000000000218e+03
3.645189999999999819e-01,2.460840000000000146e+03
3.759819999999999829e-01,2.460610000000000127e+03
3.874440000000000106e-01,2.460360000000000127e+03
3.989070000000000116e-01,2.460130000000000109e+03
4.103700000000000125e-01,2.459949999999999818e+03
4.218330000000000135e-01,2.459750000000000000e+03
4.332960000000000145e-01,2.459510000000000218e+03
4.447579999999999867e-01,2.459250000000000000e+03
4.562209999999999877e-01,2.459000000000000000e+03
4.676839999999999886e-01,2.458730000000000018e+03
4.791469999999999896e-01,2.458480000000000018e+03
4.906099999999999905e-01,2.458289999999999964e+03
5.020729999999999915e-01,2.458170000000000073e+03
5.135349999999999637e-01,2.458039999999999964e+03
5.249979999999999647e-01,2.457909999999999854e+03
5.364609999999999657e-01,2.457769999999999982e+03
5.479239999999999666e-01,2.457570000000000164e+03
5.593869999999999676e-01,2.457349999999999909e+03
5.708490000000000508e-01,2.457119999999999891e+03
5.708490000000000508e-01,2.457119999999999891e+03
5.823120000000000518e-01,2.456920000000000073e+03
5.937750000000000528e-01,2.456769999999999982e+03
6.052380000000000537e-01,2.456710000000000036e+03
6.167010000000000547e-01,2.456719999999999800e+03
6.281639999999999446e-01,2.456750000000000000e+03
6.396260000000000279e-01,2.456750000000000000e+03
6.510890000000000288e-01,2.456679999999999836e+03
6.625520000000000298e-01,2.456530000000000200e+03
6.740150000000000308e-01,2.456329999999999927e+03
6.854780000000000317e-01,2.456110000000000127e+03
6.969410000000000327e-01,2.455920000000000073e+03
7.084030000000000049e-01,2.455760000000000218e+03
7.198660000000000059e-01,2.455619999999999891e+03
7.313290000000000068e-01,2.455500000000000000e+03
7.427920000000000078e-01,2.455369999999999891e+03
7.542550000000000088e-01,2.455239999999999782e+03
7.657169999999999810e-01,2.455110000000000127e+03
7.771799999999999820e-01,2.454989999999999782e+03
7.886429999999999829e-01,2.454860000000000127e+03
8.001059999999999839e-01,2.454739999999999782e+03
8.115689999999999849e-01,2.454619999999999891e+03
8.230319999999999858e-01,2.454500000000000000e+03
8.344939999999999580e-01,2.454380000000000109e+03
8.344939999999999580e-01,2.454380000000000109e+03
8.459569999999999590e-01,2.454260000000000218e+03
8.574199999999999600e-01,2.454139999999999873e+03
8.688829999999999609e-01,2.454019999999999982e+03
8.803459999999999619e-01,2.453900000000000091e+03
8.918089999999999629e-01,2.453789999999999964e+03
9.032710000000000461e-01,2.453679999999999836e+03
9.147340000000000471e-01,2.453559999999999945e+03
9.261970000000000480e-01,2.453449999999999818e+03
9.376600000000000490e-01,2.453340000000000146e+03
9.491230000000000500e-01,2.453239999999999782e+03
9.605850000000000222e-01,2.453139999999999873e+03
9.720480000000000231e-01,2.453050000000000182e+03
9.835110000000000241e-01,2.452980000000000018e+03
9.949740000000000251e-01,2.452909999999999854e+03
1.006440000000000001e+00,2.452849999999999909e+03
1.017900000000000027e+00,2.452780000000000200e+03
1.029360000000000053e+00,2.452710000000000036e+03
1.040829999999999922e+00,2.452639999999999873e+03
1.052289999999999948e+00,2.452559999999999945e+03
1.063749999999999973e+00,2.452489999999999782e+03
1.075209999999999999e+00,2.452420000000000073e+03
1.086680000000000090e+00,2.452349999999999909e+03
1.098139999999999894e+00,2.452280000000000200e+03
1.098139999999999894e+00,2.452280000000000200e+03
1.109599999999999920e+00,2.452210000000000036e+03
1.121059999999999945e+00,2.452139999999999873e+03
1.132530000000000037e+00,2.452050000000000182e+03
1.143990000000000062e+00,2.451949999999999818e+03
1.155450000000000088e+00,2.451860000000000127e+03
1.166919999999999957e+00,2.451750000000000000e+03
1.178379999999999983e+00,2.451659999999999854e+03
1.189840000000000009e+00,2.451579999999999927e+03
1.201300000000000034e+00,2.451510000000000218e+03
1.212769999999999904e+00,2.451460000000000036e+03
1.224229999999999929e+00,2.451420000000000073e+03
1.235689999999999955e+00,2.451389999999999873e+03
1.247160000000000046e+00,2.451340000000000146e+03
1.258620000000000072e+00,2.451280000000000200e+03
1.270080000000000098e+00,2.451219999999999800e+03
1.281539999999999901e+00,2.451150000000000091e+03
1.293009999999999993e+00,2.451059999999999945e+03
1.304470000000000018e+00,2.450969999999999800e+03
1.315930000000000044e+00,2.450889999999999873e+03
1.327399999999999913e+00,2.450809999999999945e+03
