# x(m), q(W/m2)
1.712049999999999884e-14,1.999250000000000000e+06
1.712049999999999884e-14,1.999250000000000000e+06
1.786820000000000162e-03,1.784080000000000000e+06
1.786820000000000162e-03,1.784080000000000000e+06
3.575060000000000130e-03,1.391580000000000000e+06
3.575060000000000130e-03,1.391580000000000000e+06
5.364770000000000476e-03,1.141390000000000000e+06
5.364770000000000476e-03,1.141390000000000000e+06
7.156019999999999916e-03,1.028030000000000000e+06
7.156019999999999916e-03,1.028030000000000000e+06
8.948760000000000048e-03,9.600250000000000000e+05
8.948760000000000048e-03,9.600250000000000000e+05
1.074300000000000081e-02,9.122080000000000000e+05
1.074300000000000081e-02,9.122080000000000000e+05
1.253880000000000099e-02,8.762020000000000000e+05
1.253880000000000099e-02,8.762020000000000000e+05
1.433610000000000093e-02,8.478000000000000000e+05
1.433610000000000093e-02,8.478000000000000000e+05
1.613500000000000351e-02,8.246250000000000000e+05
1.613500000000000351e-02,8.246250000000000000e+05
1.793530000000000124e-02,8.053290000000000000e+05
1.793530000000000124e-02,8.053290000000000000e+05
1.973720000000000335e-02,7.889470000000000000e+05
1.973720000000000335e-02,7.889470000000000000e+05
2.154060000000000002e-02,7.748020000000000000e+05
2.154060000000000002e-02,7.748020000000000000e+05
2.334550000000000167e-02,7.624340000000000000e+05
2.334550000000000167e-02,7.624340000000000000e+05
2.515190000000000134e-02,7.515070000000000000e+05
2.515190000000000134e-02,7.515070000000000000e+05
2.695990000000000192e-02,7.417370000000000000e+05
2.695990000000000192e-02,7.417370000000000000e+05
2.876930000000000112e-02,7.328850000000000000e+05
2.876930000000000112e-02,7.328850000000000000e+05
3.058030000000000123e-02,7.248110000000000000e+05
3.058030000000000123e-02,7.248110000000000000e+05
3.239279999999999937e-02,7.174460000000000000e+05
3.239279999999999937e-02,7.174460000000000000e+05
3.420689999999999842e-02,7.107070000000000000e+05
3.420689999999999842e-02,7.107070000000000000e+05
3.602239999999999609e-02,7.044840000000000000e+05
3.602239999999999609e-02,7.044840000000000000e+05
3.783950000000000508e-02,6.986870000000000000e+05
3.783950000000000508e-02,6.986870000000000000e+05
3.965810000000000168e-02,6.932580000000000000e+05
3.965810000000000168e-02,6.932580000000000000e+05
4.147819999999999979e-02,6.881710000000000000e+05
4.147819999999999979e-02,6.881710000000000000e+05
4.329979999999999940e-02,6.834050000000000000e+05
4.329979999999999940e-02,6.834050000000000000e+05
4.512299999999999645e-02,6.789340000000000000e+05
4.512299999999999645e-02,6.789340000000000000e+05
4.694759999999999905e-02,6.747150000000000000e+05
4.694759999999999905e-02,6.747150000000000000e+05
4.877379999999999910e-02,6.706980000000000000e+05
4.877379999999999910e-02,6.706980000000000000e+05
5.060150000000000065e-02,6.668510000000000000e+05
5.060150000000000065e-02,6.668510000000000000e+05
5.243070000000000369e-02,6.631730000000000000e+05
5.243070000000000369e-02,6.631730000000000000e+05
5.426140000000000130e-02,6.596650000000000000e+05
5.426140000000000130e-02,6.596650000000000000e+05
5.609369999999999634e-02,6.563230000000000000e+05
5.609369999999999634e-02,6.563230000000000000e+05
5.792739999999999695e-02,6.531250000000000000e+05
5.792739999999999695e-02,6.531250000000000000e+05
5.976270000000000193e-02,6.500550000000000000e+05
5.976270000000000193e-02,6.500550000000000000e+05
6.159950000000000148e-02,6.471000000000000000e+05
6.159950000000000148e-02,6.471000000000000000e+05
6.343769999999999964e-02,6.442460000000000000e+05
6.343769999999999964e-02,6.442460000000000000e+05
6.527750000000000219e-02,6.414890000000000000e+05
6.527750000000000219e-02,6.414890000000000000e+05
6.711889999999999523e-02,6.388280000000000000e+05
6.711889999999999523e-02,6.388280000000000000e+05
6.896170000000000078e-02,6.362650000000000000e+05
6.896170000000000078e-02,6.362650000000000000e+05
7.080599999999999394e-02,6.337920000000000000e+05
7.080599999999999394e-02,6.337920000000000000e+05
7.265190000000000536e-02,6.313940000000000000e+05
7.265190000000000536e-02,6.313940000000000000e+05
7.449920000000000153e-02,6.290560000000000000e+05
7.449920000000000153e-02,6.290560000000000000e+05
7.634810000000000207e-02,6.267710000000000000e+05
7.634810000000000207e-02,6.267710000000000000e+05
7.819850000000000412e-02,6.245430000000000000e+05
7.819850000000000412e-02,6.245430000000000000e+05
8.005029999999999091e-02,6.223780000000000000e+05
