# x(m), P(Pa)
1.712049999999999884e-14,1.389183543188563635e+04
1.712049999999999884e-14,1.389183543188563635e+04
1.786820000000000162e-03,1.469952489919785148e+04
1.786820000000000162e-03,1.469952489919785148e+04
3.575060000000000130e-03,1.549818425049998405e+04
3.575060000000000130e-03,1.549818425049998405e+04
5.364770000000000476e-03,1.547874945536622727e+04
5.364770000000000476e-03,1.547874945536622727e+04
7.156019999999999916e-03,1.547086480861746350e+04
7.156019999999999916e-03,1.547086480861746350e+04
8.948760000000000048e-03,1.547510304488435213e+04
8.948760000000000048e-03,1.547510304488435213e+04
1.074300000000000081e-02,1.547726034532650738e+04
1.074300000000000081e-02,1.547726034532650738e+04
1.253880000000000099e-02,1.547779489764845857e+04
1.253880000000000099e-02,1.547779489764845857e+04
1.433610000000000093e-02,1.547752762148748297e+04
1.433610000000000093e-02,1.547752762148748297e+04
1.613500000000000351e-02,1.547647760799793832e+04
1.613500000000000351e-02,1.547647760799793832e+04
1.793530000000000124e-02,1.547510304488435213e+04
1.793530000000000124e-02,1.547510304488435213e+04
1.973720000000000335e-02,1.547365211715334590e+04
1.973720000000000335e-02,1.547365211715334590e+04
2.154060000000000002e-02,1.547216300711362783e+04
2.154060000000000002e-02,1.547216300711362783e+04
2.334550000000000167e-02,1.547101753785230540e+04
2.334550000000000167e-02,1.547101753785230540e+04
2.515190000000000134e-02,1.547040662091293416e+04
2.515190000000000134e-02,1.547040662091293416e+04
2.695990000000000192e-02,1.546971933935614288e+04
2.695990000000000192e-02,1.546971933935614288e+04
2.876930000000000112e-02,1.546836386739691079e+04
2.876930000000000112e-02,1.546836386739691079e+04
3.058030000000000123e-02,1.546658839004186302e+04
3.058030000000000123e-02,1.546658839004186302e+04
3.239279999999999937e-02,1.546521382692827683e+04
3.239279999999999937e-02,1.546521382692827683e+04
3.420689999999999842e-02,1.546452654537148192e+04
3.420689999999999842e-02,1.546452654537148192e+04
3.602239999999999609e-02,1.546403017535824256e+04
3.602239999999999609e-02,1.546403017535824256e+04
3.783950000000000508e-02,1.546320925572096348e+04
3.783950000000000508e-02,1.546320925572096348e+04
3.965810000000000168e-02,1.546202560415093103e+04
3.965810000000000168e-02,1.546202560415093103e+04
4.147819999999999979e-02,1.546084195258089858e+04
4.147819999999999979e-02,1.546084195258089858e+04
4.329979999999999940e-02,1.546007830640668544e+04
4.329979999999999940e-02,1.546007830640668544e+04
4.512299999999999645e-02,1.545984921255442168e+04
4.512299999999999645e-02,1.545984921255442168e+04
4.694759999999999905e-02,1.545979193909135392e+04
4.694759999999999905e-02,1.545979193909135392e+04
4.877379999999999910e-02,1.545937193369553643e+04
4.877379999999999910e-02,1.545937193369553643e+04
5.060150000000000065e-02,1.545834101136034769e+04
5.060150000000000065e-02,1.545834101136034769e+04
5.243070000000000369e-02,1.545704281286418336e+04
5.243070000000000369e-02,1.545704281286418336e+04
5.426140000000000130e-02,1.545591643475721503e+04
5.426140000000000130e-02,1.545591643475721503e+04
5.609369999999999634e-02,1.545513369742864597e+04
5.609369999999999634e-02,1.545513369742864597e+04
5.792739999999999695e-02,1.545459914510669660e+04
5.792739999999999695e-02,1.545459914510669660e+04
5.976270000000000193e-02,1.545408368393910132e+04
5.976270000000000193e-02,1.545408368393910132e+04
6.159950000000000148e-02,1.545349185815408418e+04
6.159950000000000148e-02,1.545349185815408418e+04
6.343769999999999964e-02,1.545276639428858107e+04
6.343769999999999964e-02,1.545276639428858107e+04
6.527750000000000219e-02,1.545192638349694607e+04
6.527750000000000219e-02,1.545192638349694607e+04
6.711889999999999523e-02,1.545118182847708704e+04
6.711889999999999523e-02,1.545118182847708704e+04
6.896170000000000078e-02,1.545068545846384768e+04
6.896170000000000078e-02,1.545068545846384768e+04
7.080599999999999394e-02,1.545041818230287390e+04
7.080599999999999394e-02,1.545041818230287390e+04
7.265190000000000536e-02,1.545011272383318646e+04
7.265190000000000536e-02,1.545011272383318646e+04
7.449920000000000153e-02,1.544953998920252707e+04
7.449920000000000153e-02,1.544953998920252707e+04
7.634810000000000207e-02,1.544862361379346839e+04
7.634810000000000207e-02,1.544862361379346839e+04
7.819850000000000412e-02,1.544753541799521190e+04
7.819850000000000412e-02,1.544753541799521190e+04
8.005029999999999091e-02,1.544658086027744503e+04
8.005029999999999091e-02,1.544658086027744503e+04
8.190369999999999595e-02,1.544585539641194191e+04
8.190369999999999595e-02,1.544585539641194191e+04
8.375860000000000249e-02,1.544530175293563661e+04
8.375860000000000249e-02,1.544530175293563661e+04
8.561499999999999666e-02,1.544472901830497540e+04
8.561499999999999666e-02,1.544472901830497540e+04
8.747289999999999233e-02,1.544398446328511636e+04
8.747289999999999233e-02,1.544398446328511636e+04
8.933240000000000625e-02,1.544304899672170359e+04
8.933240000000000625e-02,1.544304899672170359e+04
9.119329999999999103e-02,1.544201807438651304e+04
9.119329999999999103e-02,1.544201807438651304e+04
9.305570000000000508e-02,1.544098715205132430e+04
9.305570000000000508e-02,1.544098715205132430e+04
9.491960000000000675e-02,1.544008986779662155e+04
9.491960000000000675e-02,1.544008986779662155e+04
9.678509999999999891e-02,1.543932622162240659e+04
9.678509999999999891e-02,1.543932622162240659e+04
9.865200000000000358e-02,1.543863894006561532e+04
9.865200000000000358e-02,1.543863894006561532e+04
1.005199999999999982e-01,1.543791347620011220e+04
1.005199999999999982e-01,1.543791347620011220e+04
1.023900000000000088e-01,1.543703528309976537e+04
1.023900000000000088e-01,1.543703528309976537e+04
1.042620000000000074e-01,1.543606163422764075e+04
1.042620000000000074e-01,1.543606163422764075e+04
1.061350000000000071e-01,1.543506889420116204e+04
1.061350000000000071e-01,1.543506889420116204e+04
1.080090000000000078e-01,1.543419070110081520e+04
1.080090000000000078e-01,1.543419070110081520e+04
1.098850000000000104e-01,1.543350341954402393e+04
1.098850000000000104e-01,1.543350341954402393e+04
1.117630000000000012e-01,1.543294977606771863e+04
1.117630000000000012e-01,1.543294977606771863e+04
1.136419999999999930e-01,1.543243431490012335e+04
1.136419999999999930e-01,1.543243431490012335e+04
1.155220000000000136e-01,1.543191885373252808e+04
1.155220000000000136e-01,1.543191885373252808e+04
1.174039999999999945e-01,1.543132702794751276e+04
1.174039999999999945e-01,1.543132702794751276e+04
1.192870000000000041e-01,1.543071611100813971e+04
1.192870000000000041e-01,1.543071611100813971e+04
1.211720000000000019e-01,1.543014337637748031e+04
1.211720000000000019e-01,1.543014337637748031e+04
1.230590000000000017e-01,1.542958973290117501e+04
1.230590000000000017e-01,1.542958973290117501e+04
1.249470000000000025e-01,1.542907427173357974e+04
1.249470000000000025e-01,1.542907427173357974e+04
1.268360000000000043e-01,1.542853971941163036e+04
1.268360000000000043e-01,1.542853971941163036e+04
1.287270000000000081e-01,1.542796698478096914e+04
1.287270000000000081e-01,1.542796698478096914e+04
1.306190000000000129e-01,1.542737515899595383e+04
1.306190000000000129e-01,1.542737515899595383e+04
1.325130000000000197e-01,1.542678333321093669e+04
1.325130000000000197e-01,1.542678333321093669e+04
1.344090000000000007e-01,1.542624878088898549e+04
1.344090000000000007e-01,1.542624878088898549e+04
1.363050000000000095e-01,1.542577150203010387e+04
1.363050000000000095e-01,1.542577150203010387e+04
1.382040000000000213e-01,1.542533240547993046e+04
1.382040000000000213e-01,1.542533240547993046e+04
1.401040000000000063e-01,1.542489330892975704e+04
1.401040000000000063e-01,1.542489330892975704e+04
1.420049999999999923e-01,1.542437784776216176e+04
1.420049999999999923e-01,1.542437784776216176e+04
1.439079999999999804e-01,1.542380511313150055e+04
1.439079999999999804e-01,1.542380511313150055e+04
1.458120000000000249e-01,1.542315601388341747e+04
1.458120000000000249e-01,1.542315601388341747e+04
1.477179999999999882e-01,1.542252600578969214e+04
1.477179999999999882e-01,1.542252600578969214e+04
1.496250000000000080e-01,1.542195327115902910e+04
1.496250000000000080e-01,1.542195327115902910e+04
1.515340000000000020e-01,1.542147599230014748e+04
1.515340000000000020e-01,1.542147599230014748e+04
1.534439999999999971e-01,1.542109416921304000e+04
1.534439999999999971e-01,1.542109416921304000e+04
1.553559999999999941e-01,1.542075052843464437e+04
