# pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T velx vely velz mu a Re y+ tau_wall_x tau_wall_y tau_wall_z q_total q_cond q_diff
1.6486856406376592e-04 1.7328384345272308e-05 0.0000000000000000e+00 -1.0452846326765348e-01 9.9452189536827329e-01 0.0000000000000000e+00 5.7452849612570242e-09 2.5030836750085723e-08 -1.0000000000000000e+00 2.4755874250209249e+03 2.8742127448924022e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4833163430571670e+02 1.3568836159088679e-02 6.5067478863228435e-03 -3.1950744102451158e+03 -2.8546558867686690e+02 0.0000000000000000e+00 2.6112918196508274e+06 2.6112918196508274e+06 0.0000000000000000e+00
4.9482457025446490e-04 5.2008158047262541e-05 0.0000000000000000e+00 -1.0452846326765347e-01 9.9452189536827340e-01 0.0000000000000000e+00 1.7266374570016825e-08 2.5092537087160676e-08 -1.0000000000000000e+00 2.4500296392444079e+03 2.8445395801042616e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4783697724653734e+02 1.3442737144210491e-02 4.8056236711666537e-03 -1.7538982739546259e+03 -1.3815445788118495e+02 0.0000000000000000e+00 1.4230393314146297e+06 1.4230393314146297e+06 0.0000000000000000e+00
8.2521862315204468e-04 8.6733972313390119e-05 0.0000000000000000e+00 -1.0452846326765347e-01 9.9452189536827340e-01 0.0000000000000000e+00 2.8833350112402205e-08 2.5154290129948176e-08 -1.0000000000000000e+00 2.4542955832113303e+03 2.8494924371089466e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4767341928814932e+02 1.3492936163712351e-02 4.1131180373138272e-03 -1.2763196461129792e+03 -1.0043294571139884e+02 0.0000000000000000e+00 1.0296513358717851e+06 1.0296513358717851e+06 0.0000000000000000e+00
1.1560513043034533e-03 1.2150588826670229e-04 0.0000000000000000e+00 -1.0452846326765348e-01 9.9452189536827340e-01 0.0000000000000000e+00 4.0446353783821896e-08 2.5216095908559190e-08 -1.0000000000000000e+00 2.4640302724858248e+03 2.8607946305590860e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4759786425350882e+02 1.3576787839105351e-02 3.7537711696220091e-03 -1.0536726895875281e+03 -8.2796134256925427e+01 0.0000000000000000e+00 8.4736231628081261e+05 8.4736231628081261e+05 0.0000000000000000e+00
1.4873231960277353e-03 1.5632396711139692e-04 0.0000000000000000e+00 -1.0452846326765350e-01 9.9452189536827329e-01 0.0000000000000000e+00 5.2105528184397371e-08 2.5277954453223770e-08 -1.0000000000000000e+00 2.4440229666437372e+03 2.8375656979586539e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4754889502418155e+02 1.3497681220670167e-02 3.4833401668650133e-03 -9.1027446508139133e+02 -7.1585722376109317e+01 0.0000000000000000e+00 7.2902893049560010e+05 7.2902893049560010e+05 0.0000000000000000e+00
1.8190348814169977e-03 1.9118827013292405e-04 0.0000000000000000e+00 -1.0452846326765354e-01 9.9452189536827329e-01 0.0000000000000000e+00 6.3811016320101341e-08 2.5339865794132372e-08 -1.0000000000000000e+00 2.4187783949401241e+03 2.8082561817620037e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4751546135897337e+02 1.3389691412006343e-02 3.2777067209513351e-03 -8.1041328660340832e+02 -6.3700219496159676e+01 0.0000000000000000e+00 6.4805060782774934e+05 6.4805060782774934e+05 0.0000000000000000e+00
2.1511869443374843e-03 2.2609885869809865e-04 0.0000000000000000e+00 -1.0452846326765343e-01 9.9452189536827329e-01 0.0000000000000000e+00 7.5562961603858990e-08 2.5401829961758746e-08 -1.0000000000000000e+00 2.3883758228171164e+03 2.7729581109323213e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4749001849233605e+02 1.3252751365782273e-02 3.1076032718196957e-03 -7.3415455322490152e+02 -5.7750224924545606e+01 0.0000000000000000e+00 5.8633970408101194e+05 5.8633970408101194e+05 0.0000000000000000e+00
2.4837799694305417e-03 2.6105579425520235e-04 0.0000000000000000e+00 -1.0452846326765342e-01 9.9452189536827329e-01 0.0000000000000000e+00 8.7361507856642347e-08 2.5463846986653166e-08 -1.0000000000000000e+00 2.3775111764207813e+03 2.7603440118197313e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4747146794897139e+02 1.3223967628056011e-02 2.9869005174796206e-03 -6.7802084564192967e+02 -5.3272736279679933e+01 0.0000000000000000e+00 5.4117149474662053e+05 5.4117149474662053e+05 0.0000000000000000e+00
2.8168145421136942e-03 2.9605913833409645e-04 0.0000000000000000e+00 -1.0452846326765364e-01 9.9452189536827329e-01 0.0000000000000000e+00 9.9206799308656750e-08 2.5525916899393003e-08 -1.0000000000000000e+00 2.3473490796511433e+03 2.7253251382902542e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4745541088653169e+02 1.3087423465334001e-02 2.8680234483845759e-03 -6.3007843617072308e+02 -4.9552776714143988e+01 0.0000000000000000e+00 5.0208383612284862e+05 5.0208383612284862e+05 0.0000000000000000e+00
3.1502912485816634e-03 3.3110895254632891e-04 0.0000000000000000e+00 -1.0452846326765339e-01 9.9452189536827340e-01 0.0000000000000000e+00 1.1109898060036867e-07 2.5588039730499574e-08 -1.0000000000000000e+00 2.3289200027065972e+03 2.7039285649778942e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4744252048385590e+02 1.3015791995859092e-02 2.7716302322202801e-03 -5.9021744211365603e+02 -4.6409874417191965e+01 0.0000000000000000e+00 4.7061355389347090e+05 4.7061355389347090e+05 0.0000000000000000e+00
