x,Curve1
89.02008,0.3818
89.21115,0.3813
89.40222,0.3807
89.64974,0.3716
89.67689,0.3783
89.70316,0.4909
89.73087,0.5978
89.78438,0.6919
89.8675,0.7703
89.95157,0.8307
90.05236,0.8937
90.14886,0.9385
90.28404,0.9898
90.44789,1.0474
90.64804,1.11
90.78084,1.1419
90.87733,1.1817
91.0684,1.2018
91.25183,1.2426
91.43062,1.2834
91.64126,1.3267
91.93135,1.3763
92.0776,1.3954
92.24973,1.4128
92.42426,1.4514
92.48808,1.4765
92.53728,1.5048
92.56977,1.5486
92.59795,1.5975
92.62232,1.6348
92.63808,1.6709
92.65623,1.6257
92.67343,1.5805
92.68967,1.5547
92.70352,1.5417
92.74126,1.5404
92.78902,1.5789
92.8602,1.6587
92.93759,1.7681
93.0231,1.9214
93.20081,2.3105
93.3384,2.661
93.36133,2.7435
93.48363,3.1147
93.59064,3.5478
93.69001,3.981
93.78174,4.4348
93.86583,4.9093
93.94228,5.3631
94.01872,5.8376
94.08753,6.3328
94.15633,6.8073
94.21749,7.3025
94.29393,7.777
94.35509,8.2722
94.4239,8.7467
94.48506,9.2212
94.60737,9.9433
94.6991,10.3971
94.80611,10.8096
94.89019,10.9126
94.99717,10.4995
95.07359,10.0246
95.15764,9.5703
95.22642,9.2605
95.29711,9.0205
95.34869,8.868
95.41867,8.674
95.50412,8.4657
95.55588,8.3323
95.61906,8.2135
95.66632,8.1293
95.72126,8.0491
95.75708,8.0129
95.7824,7.9858
95.81536,7.9496
95.86073,7.9159
95.91041,7.8835
95.96152,7.8563
96.0241,7.8277
96.12059,7.812
96.25159,7.8152
96.44177,7.8407
96.63195,7.871
96.87724,7.9144
97.06831,7.9139
97.25939,7.9134
97.45046,7.9129
97.59758,7.9099
97.71318,7.8812
97.82114,7.8938
97.94151,7.8625
