x,Curve1
89.00986,19.48
89.23929,19.486
89.46872,19.493
89.69815,19.499
89.92758,19.505
90.15701,19.512
90.21206,16.29
90.2367,11.793
90.29464,14.415
90.36578,16.719
90.50574,18.955
90.726,20.661
90.95544,21.234
91.1757,21.806
91.40513,21.813
91.63456,22.386
91.85482,23.525
92.07509,26.365
92.28619,30.337
92.47894,36.576
92.53403,39.529
92.61666,47.347
92.6356,49.366
92.64386,37.033
92.65462,21.192
92.67162,29.215
92.74511,41.684
92.91953,51.322
93.06642,61.527
93.18579,73.43
93.30516,85.334
93.40618,98.37
93.49802,111.407
93.57151,124.442
93.61747,138.044
93.62501,154.514
93.64812,291.829
93.66358,180.901
93.6744,166.557
93.69099,157.88
93.70701,150.478
93.74944,147.469
93.79189,148.816
93.94796,159.021
94.08567,169.791
94.22339,180.562
94.37946,190.2
94.52634,199.838
94.70076,208.91
94.87516,215.715
94.97269,219.011
95.07709,221.387
95.18322,223.338
95.28819,225.36
95.37423,226.283
95.49008,223.099
95.64604,213.469
95.82036,204.974
96.01305,198.745
96.21492,192.518
96.41679,187.423
96.62784,182.895
96.84808,179.501
97.06832,177.241
97.28855,174.413
97.5088,172.152
97.72904,170.459
97.94011,168.764
