x, heatflux
0.000000000000000000e+00,0.000000000000000000e+00
3.850000005911624652e-09,0.000000000000000000e+00
1.287000000615989865e-08,3.141215514000000000e+09
2.807000000615289619e-08,1.883681833000000000e+09
5.007000000034622904e-08,1.270815824000000000e+09
7.959000000568038822e-08,9.443116782000000477e+08
1.174900000009415584e-07,7.339362473999999762e+08
1.646700000037526519e-07,5.841506906000000238e+08
2.221900000023424495e-07,4.697446208000000119e+08
2.911600000032876736e-07,3.876106831999999881e+08
3.728699999996365465e-07,3.239503015000000000e+08
4.686800000044399733e-07,2.737304075000000000e+08
5.801200000021822573e-07,2.340025211999999881e+08
7.088700000039694288e-07,2.016277466999999881e+08
8.567600000048969657e-07,1.751872235999999940e+08
1.025820000002397643e-06,1.532085159000000060e+08
1.218250000000864549e-06,1.350938821999999881e+08
1.436500000004059543e-06,1.196226717000000030e+08
1.683230000004698510e-06,1.064340932000000030e+08
1.961370000003626141e-06,9.518515940000000596e+07
2.274140000004365403e-06,8.544540456000000238e+07
2.625030000004358244e-06,7.694022448000000417e+07
3.017930000005719510e-06,6.948969004000000656e+07
3.457040000000688576e-06,6.293099520000000298e+07
3.947010000004525198e-06,5.723326039000000060e+07
4.492869999999982447e-06,5.215589928999999911e+07
5.100240000004419118e-06,4.761021352000000328e+07
5.775200000002200795e-06,4.356029975000000000e+07
6.524470000002224709e-06,3.999387525999999791e+07
7.355300000000397800e-06,3.682001347999999672e+07
8.275810000000660991e-06,3.391277467999999970e+07
9.294760000003066355e-06,3.121677458999999985e+07
1.042180000000314493e-05,2.874848326000000164e+07
1.166734000000246860e-05,2.650405555999999866e+07
1.304318000000392959e-05,2.453286960999999940e+07
1.456205000000210295e-05,2.275822610000000149e+07
1.623803000000378940e-05,2.111519633999999985e+07
1.808618000000450455e-05,1.957585337999999896e+07
2.012366000000298397e-05,1.812333107999999821e+07
2.236878000000075249e-05,1.680964255999999866e+07
2.484186000000221316e-05,1.561523672000000067e+07
2.756441000000364622e-05,1.456692133000000007e+07
3.056177999999931693e-05,1.358412093999999948e+07
3.386090000000052821e-05,1.269029091000000015e+07
3.749187000000375801e-05,1.182477414000000060e+07
4.148611000000101962e-05,1.102138397000000067e+07
4.588092000000188158e-05,1.030413510999999940e+07
5.071509000000417857e-05,9.641026617000000551e+06
5.603219000000336911e-05,9.001032591000000015e+06
6.187618000000582848e-05,8.464164747999999672e+06
6.830338000000323831e-05,7.926452316999999806e+06
7.537127000000509486e-05,7.404995655000000261e+06
8.314568000000121747e-05,6.947584933000000194e+06
9.169059000000601590e-05,6.534835800999999978e+06
1.010890800000012734e-04,6.127748707000000402e+06
1.114219900000037447e-04,5.744596974999999627e+06
1.227825600000045296e-04,5.369229247999999672e+06
1.352533500000063814e-04,5.103612680999999866e+06
1.489568600000055099e-04,4.800646750000000000e+06
1.640078000000002494e-04,4.538695663999999873e+06
1.805413500000056944e-04,4.314341991999999620e+06
1.986698500000017042e-04,4.083831888999999966e+06
2.185562100000026974e-04,3.853965521999999881e+06
2.403420900000057361e-04,3.629888600000000093e+06
2.641920400000046182e-04,3.451192279000000097e+06
2.902274099999999860e-04,3.180641387999999803e+06
3.186383500000004930e-04,2.976031879000000190e+06
3.495850300000000643e-04,2.824595739000000060e+06
3.832434600000027324e-04,2.689184132000000216e+06
4.197561100000015907e-04,2.552291816000000108e+06
