x, heatflux
0.000000000000000000e+00,0.000000000000000000e+00
4.080000003625627723e-09,0.000000000000000000e+00
1.353000000392512526e-08,3.831940490000000000e+09
2.934000000465175607e-08,2.404043895000000000e+09
5.211999999943373152e-08,1.677387621000000000e+09
8.257000000355674846e-08,1.257026933000000000e+09
1.215200000004301792e-07,9.876465281000000238e+08
1.698700000005715074e-07,8.011136031000000238e+08
2.286300000022833922e-07,6.612047698999999762e+08
2.989200000058645179e-07,5.581384352999999523e+08
3.819699999993986315e-07,4.768517320000000000e+08
4.791100000005599484e-07,4.105503813999999762e+08
5.918400000055612322e-07,3.562984733999999762e+08
7.217700000055060687e-07,3.114250721999999881e+08
8.707000000001130604e-07,2.742376541000000238e+08
1.040570000000684462e-06,2.438457661999999881e+08
1.233530000000371326e-06,2.180631915000000000e+08
1.451910000000111685e-06,1.954287234000000060e+08
1.698300000001040693e-06,1.756368630999999940e+08
1.975489999999524513e-06,1.588834773000000119e+08
2.286570000002541383e-06,1.445761804000000060e+08
2.634880000002226684e-06,1.319039570000000000e+08
3.024120000006291870e-06,1.215873280999999940e+08
3.458320000000014519e-06,1.119549795000000000e+08
3.941860000004737523e-06,1.025923234000000060e+08
4.479550000006327502e-06,9.287822265999999642e+07
5.076680000001942572e-06,8.525120325000000000e+07
5.739010000006317473e-06,7.953028715000000596e+07
6.472870000003183909e-06,7.455946210999999940e+07
7.285090000003435640e-06,6.983820860999999940e+07
8.183290000005173046e-06,6.533441615999999642e+07
9.175680000005571318e-06,6.059589832999999821e+07
1.027128000000487859e-05,5.523623665999999642e+07
1.147983999999979758e-05,5.087365360999999940e+07
1.281233000000270342e-05,4.759276746000000089e+07
1.428058000000476074e-05,4.495538606000000238e+07
1.589764000000570677e-05,4.253991650000000000e+07
1.767749000000406987e-05,4.009341382000000030e+07
1.963594000000057487e-05,3.742360239000000060e+07
2.178990000000169359e-05,3.483474759000000358e+07
2.415805000000404023e-05,3.241786739999999851e+07
2.676017000000285921e-05,3.022632926000000164e+07
2.961943000000388798e-05,2.832531369999999925e+07
3.276045000000493555e-05,2.668704575000000000e+07
3.621065000000100830e-05,2.506252187999999896e+07
3.999869000000444495e-05,2.348404242000000179e+07
4.415833000000191338e-05,2.192920569000000134e+07
4.872474000000437134e-05,2.044672685999999940e+07
5.373729000000082394e-05,1.921178480000000075e+07
5.923588000000279700e-05,1.820209651000000164e+07
6.527095000000570789e-05,1.715101517999999970e+07
7.189417000000020142e-05,1.608087910999999940e+07
7.916439000000252398e-05,1.505007224000000022e+07
8.713928000000237132e-05,1.406800452999999933e+07
9.589263000000158507e-05,1.326037769999999925e+07
1.054967700000020132e-04,1.257788024000000022e+07
1.160345900000052665e-04,1.190047551999999955e+07
1.275808700000027255e-04,1.120030200000000000e+07
1.402440600000005541e-04,1.053373172000000067e+07
1.541267400000023637e-04,9.874785664000000805e+06
1.693490900000043102e-04,9.313466869999999180e+06
1.860131000000038112e-04,8.840261503000000492e+06
2.042644800000061945e-04,8.360149777999999933e+06
2.242315599999997698e-04,7.868558093999999575e+06
2.460633400000063176e-04,7.423808740000000224e+06
2.698715000000006907e-04,6.942036111999999732e+06
2.958315300000009525e-04,6.540525143000000156e+06
3.240924600000028239e-04,6.186752183000000194e+06
3.548205900000027868e-04,5.866994213000000454e+06
3.881482300000058550e-04,5.546749212000000291e+06
4.242405300000058415e-04,5.217215889999999665e+06
4.632413300000024544e-04,4.918535600999999791e+06
5.052953900000006163e-04,4.642362548999999650e+06
5.505464599999996362e-04,4.485838821999999695e+06
5.991250699999994432e-04,4.302113104000000283e+06
6.511633900000006773e-04,4.124115290000000037e+06
7.067722900000035459e-04,3.948273240000000224e+06
7.661105000000034996e-04,3.761942637999999803e+06
8.292706600000059351e-04,3.569356186000000220e+06
8.963871900000057544e-04,3.388184703000000212e+06
9.675646700000015187e-04,3.240901350999999791e+06
1.043012360000005780e-03,3.097950703000000212e+06
1.122813810000003769e-03,2.980055734999999870e+06
1.207115140000006087e-03,2.869244021999999881e+06
1.296025230000005064e-03,2.764227645000000019e+06
1.389765180000004756e-03,2.659972865999999922e+06
1.488444850000000515e-03,2.559544194000000134e+06
1.592253060000004385e-03,2.465762084999999963e+06
1.701346320000006159e-03,2.379242521000000183e+06
1.816013380000001086e-03,2.290041509999999776e+06
