x, heatflux
0.000000000000000000e+00,0.000000000000000000e+00
1.290310000001682014e-06,0.000000000000000000e+00
2.600730000004603117e-06,8.321450846999999881e+07
3.931579999999712913e-06,6.676239214000000060e+07
5.283170000005554947e-06,5.630391468999999762e+07
6.655829999999696190e-06,4.896701504999999702e+07
8.049880000001508648e-06,4.343862407000000030e+07
9.465660000003595250e-06,3.912184536999999732e+07
1.090351000000566723e-05,3.566144589999999851e+07
1.236377000000033005e-05,3.279261675000000000e+07
1.384679000000232963e-05,3.040355437000000104e+07
1.535293000000592794e-05,2.838762400000000000e+07
1.688254000000455278e-05,2.665627689999999851e+07
1.843599000000040012e-05,2.515046812000000104e+07
2.001366000000359658e-05,2.382695380999999866e+07
2.161592000000211983e-05,2.265305321999999881e+07
2.324315000000609649e-05,2.160357446999999881e+07
2.489574000000516243e-05,2.065876108999999985e+07
2.657409000000399076e-05,1.980289251999999955e+07
2.827860000000015307e-05,1.902330048000000045e+07
3.000968000000625479e-05,1.830965514000000060e+07
3.176773999999937679e-05,1.765344148999999836e+07
3.355320000000006357e-05,1.704757348999999836e+07
3.536649000000124710e-05,1.648610632000000030e+07
3.720805000000382550e-05,1.596401747000000067e+07
3.907829999999989993e-05,1.547702808999999985e+07
4.097770999999994550e-05,1.502146850999999978e+07
4.290672000000484001e-05,1.459417507000000030e+07
4.486580000000373367e-05,1.419240469999999925e+07
4.685541000000626062e-05,1.381376683999999985e+07
4.887603000000239847e-05,1.345616707000000030e+07
5.092815000000427712e-05,1.311776288000000082e+07
5.301225000000186739e-05,1.279692603999999911e+07
5.512883000000101831e-05,1.249221241000000015e+07
5.727840000000128444e-05,1.220233674000000022e+07
5.946148000000306129e-05,1.192615063000000082e+07
6.167858000000592375e-05,1.166262508000000007e+07
6.393024000000480708e-05,1.141083399000000022e+07
6.621699000000091386e-05,1.116994175000000000e+07
6.853939000000508464e-05,1.093919277999999933e+07
7.089798000000513281e-05,1.071790185999999940e+07
7.329333000000559770e-05,1.050544643999999948e+07
7.572601000000388997e-05,1.030126028999999911e+07
7.819661000000621730e-05,1.010482663000000082e+07
8.070572000000453012e-05,9.915671009999999776e+06
8.325393000000502254e-05,9.733357064999999478e+06
8.584186000000215428e-05,9.557483083000000566e+06
8.847012000000376074e-05,9.387682528000000864e+06
9.113934000000511548e-05,9.223617890000000596e+06
9.385017000000317401e-05,9.064974740000000224e+06
9.660325000000113884e-05,8.911463240000000224e+06
9.939923000000305342e-05,8.762814938999999315e+06
1.022388000000020678e-04,8.618780213999999687e+06
1.051226100000022254e-04,8.479126384999999776e+06
1.080513800000062466e-04,8.343636730999999680e+06
1.110257899999993523e-04,8.212109887000000104e+06
1.140465500000047399e-04,8.084358058000000194e+06
