x, heatflux
0.000000000000000000e+00,0.000000000000000000e+00
1.290310000001682014e-06,0.000000000000000000e+00
2.600730000004603117e-06,8.320506035999999940e+07
3.931579999999712913e-06,6.675368550000000000e+07
5.283170000005554947e-06,5.629571767000000179e+07
6.655829999999696190e-06,4.895887468999999762e+07
8.049880000001508648e-06,4.343046606000000238e+07
9.465660000003595250e-06,3.911362593999999762e+07
1.090351000000566723e-05,3.565315307999999821e+07
1.236377000000033005e-05,3.278426469999999925e+07
1.384679000000232963e-05,3.039515396999999881e+07
1.535293000000592794e-05,2.837918332999999821e+07
1.688254000000455278e-05,2.664780532000000030e+07
1.843599000000040012e-05,2.514197432999999821e+07
2.001366000000359658e-05,2.381844532999999821e+07
2.161592000000211983e-05,2.264453660000000149e+07
2.324315000000609649e-05,2.159505510000000149e+07
2.489574000000516243e-05,2.065024321000000089e+07
2.657409000000399076e-05,1.979437960999999940e+07
2.827860000000015307e-05,1.901479535999999940e+07
3.000968000000625479e-05,1.830115978999999911e+07
3.176773999999937679e-05,1.764495710999999940e+07
3.355320000000006357e-05,1.703910103999999911e+07
3.536649000000124710e-05,1.647764691999999993e+07
3.720805000000382550e-05,1.595557258999999985e+07
3.907829999999989993e-05,1.546859913000000082e+07
4.097770999999994550e-05,1.501305663000000082e+07
4.290672000000484001e-05,1.458578164000000060e+07
4.486580000000373367e-05,1.418403089000000060e+07
4.685541000000626062e-05,1.380541340000000037e+07
4.887603000000239847e-05,1.344783491999999993e+07
5.092815000000427712e-05,1.310945294999999925e+07
5.301225000000186739e-05,1.278863874000000022e+07
5.512883000000101831e-05,1.248394800000000000e+07
5.727840000000128444e-05,1.219409553999999911e+07
5.946148000000306129e-05,1.191793277999999933e+07
6.167858000000592375e-05,1.165443077999999933e+07
6.393024000000480708e-05,1.140266417999999970e+07
6.621699000000091386e-05,1.116179757000000030e+07
6.853939000000508464e-05,1.093107476999999955e+07
7.089798000000513281e-05,1.070981027999999933e+07
7.329333000000559770e-05,1.049738182000000030e+07
7.572601000000388997e-05,1.029322317999999970e+07
7.819661000000621730e-05,1.009681738000000082e+07
8.070572000000453012e-05,9.907690216000000015e+06
8.325393000000502254e-05,9.725405875000000000e+06
8.584186000000215428e-05,9.549562472999999300e+06
8.847012000000376074e-05,9.379792771999999881e+06
9.113934000000511548e-05,9.215759008999999613e+06
9.385017000000317401e-05,9.057147073999999091e+06
9.660325000000113884e-05,8.903667017999999225e+06
9.939923000000305342e-05,8.755049637000000104e+06
1.022388000000020678e-04,8.611044957000000402e+06
1.051226100000022254e-04,8.471420963999999687e+06
1.080513800000062466e-04,8.335961787999999709e+06
1.110257899999993523e-04,8.204466218999999575e+06
1.140465500000047399e-04,8.076746402999999933e+06
