x, pressure
5.079999999999999793e-02,0.000000000000000000e+00
5.080000242999999777e-02,7.577935505999999766e-01
5.080000671999999884e-02,1.915325685000000000e+00
5.080001353000000025e-02,4.201960642999999607e+00
5.080002352000000110e-02,8.267223300999999580e+00
5.080003632999999935e-02,1.522519053000000078e+01
5.080005211999999437e-02,2.694291997999999921e+01
5.080007175000000180e-02,4.624015005999999772e+01
5.080009480999999466e-02,7.670646166000000221e+01
5.080012151999999809e-02,1.213076956999999965e+02
5.080015293000000182e-02,1.896870008999999868e+02
5.080018855000000000e-02,2.825463490000000206e+02
5.080022862999999944e-02,4.031911198999999897e+02
5.080027447999999751e-02,5.301388927000000422e+02
5.080032548999999925e-02,6.482413706999999476e+02
5.080038196999999561e-02,7.382459540999999490e+02
5.080044548999999854e-02,8.430392617999999629e+02
5.080051532000000314e-02,9.718601308999999446e+02
5.080059184000000616e-02,1.102701264999999921e+03
5.080067695000000522e-02,1.262971039999999903e+03
5.080076975000000217e-02,1.545994347000000062e+03
5.080087070000000038e-02,1.957104747999999972e+03
5.080098210999999669e-02,2.538047545999999784e+03
5.080110287000000335e-02,3.223205347999999958e+03
5.080123352999999647e-02,4.157004254999999830e+03
5.080137690000000039e-02,5.380363645000000361e+03
5.080153159999999807e-02,6.926382915999999568e+03
5.080169829999999637e-02,8.763514451999999437e+03
5.080188039999999905e-02,1.071781585000000086e+04
5.080207621999999895e-02,1.257240163000000030e+04
5.080228657000000064e-02,1.419199637000000075e+04
5.080251552000000087e-02,1.552201938999999948e+04
5.080276105999999986e-02,1.654796557000000030e+04
5.080302412000000517e-02,1.731482084000000032e+04
5.080330965999999698e-02,1.789316436999999860e+04
5.080361519000000520e-02,1.833931669999999940e+04
5.080394186000000006e-02,1.869342170999999871e+04
5.080429558999999956e-02,1.897528987000000052e+04
5.080467339999999998e-02,1.919152548999999999e+04
5.080507667999999838e-02,1.935117476000000170e+04
5.080551254000000017e-02,1.948738491000000067e+04
5.080597738999999974e-02,1.961285076000000117e+04
5.080647287000000095e-02,1.971504540999999881e+04
5.080700750999999488e-02,1.978567181999999957e+04
5.080757698999999877e-02,1.981239834999999948e+04
5.080818329000000300e-02,1.977628945999999996e+04
5.080883665999999521e-02,1.970269461999999839e+04
5.080953188000000148e-02,1.962378701999999976e+04
5.081027127999999948e-02,1.954665064999999959e+04
5.081106712999999830e-02,1.948969038000000000e+04
5.081191318999999512e-02,1.946516591999999946e+04
5.081281232999999842e-02,1.946026668000000063e+04
5.081377931000000125e-02,1.946935536000000138e+04
5.081480661999999981e-02,1.947520377999999982e+04
5.081589764000000314e-02,1.945721201999999903e+04
5.081706998999999808e-02,1.940260973999999987e+04
5.081831471999999350e-02,1.931830081000000064e+04
5.081963593999999640e-02,1.922150385000000097e+04
5.082105484000000450e-02,1.912601327999999921e+04
5.082256060999999769e-02,1.903067552000000069e+04
5.082415804999999842e-02,1.893005193000000145e+04
5.082587233000000065e-02,1.883901433000000179e+04
5.082769077999999691e-02,1.877562215999999898e+04
5.082961943000000038e-02,1.873443980999999985e+04
5.083168880000000361e-02,1.870137397000000055e+04
5.083388352999999860e-02,1.865676398999999947e+04
5.083621064999999800e-02,1.858385346999999820e+04
5.083870642000000439e-02,1.850302056000000084e+04
5.084135272999999733e-02,1.843606509999999980e+04
5.084415832999999996e-02,1.838297164999999950e+04
5.084716697999999702e-02,1.833556165999999939e+04
5.085035665000000454e-02,1.826984132999999929e+04
5.085373728999999926e-02,1.818053252000000066e+04
5.085736031999999601e-02,1.809074087000000145e+04
5.086120052999999752e-02,1.801616509999999835e+04
5.086527094999999943e-02,1.795359930000000168e+04
5.086963475999999734e-02,1.790497498999999880e+04
5.087426098000000230e-02,1.784098715000000084e+04
5.087916439000000207e-02,1.775782321999999840e+04
5.088441893000000132e-02,1.766918815000000177e+04
5.088998872000000118e-02,1.759521814000000086e+04
5.089589263000000169e-02,1.754201443999999901e+04
5.090222051999999942e-02,1.749813306000000011e+04
5.090892779000000257e-02,1.745161742999999842e+04
5.091603458999999915e-02,1.740390197999999873e+04
5.092364304000000091e-02,1.735367910000000120e+04
5.093170361999999757e-02,1.730621185999999943e+04
5.094024406000000060e-02,1.725913768999999957e+04
5.094939157999999607e-02,1.720432502999999997e+04
5.095908359999999637e-02,1.714943988000000172e+04
5.096934909000000458e-02,1.709507237000000168e+04
5.098033117999999780e-02,1.704049423999999999e+04
5.099195752999999970e-02,1.699673469000000114e+04
5.100426448000000557e-02,1.695591231999999945e+04
5.101742509999999953e-02,1.690810608000000138e+04
5.103134656999999685e-02,1.685859738999999900e+04
5.104606334000000301e-02,1.680527288000000044e+04
5.106176203999999996e-02,1.674296707999999853e+04
5.107833720999999799e-02,1.667330971000000136e+04
5.109583152999999656e-02,1.661108484999999928e+04
5.111447195000000387e-02,1.659180769000000146e+04
5.113412226999999866e-02,1.658753649999999834e+04
