x, pressure
0.000000000000000000e+00,0.000000000000000000e+00
1.600000004486901084e-09,1.304261948000000075e+03
4.080000003625627723e-09,1.590283216999999922e+03
8.040000004427837795e-09,1.714439581999999973e+03
1.353000000392512526e-08,1.814960837000000083e+03
2.060999999997647888e-08,1.934357651999999916e+03
2.934000000465175607e-08,2.109702890999999909e+03
3.982000000490870339e-08,2.367607484000000113e+03
5.211999999943373152e-08,2.746625897999999779e+03
6.634000000360629286e-08,3.240968592000000172e+03
8.257000000355674846e-08,3.851476555000000189e+03
1.009300000021084945e-07,4.581380103000000418e+03
1.215200000004301792e-07,5.432780195000000276e+03
1.444600000013451788e-07,6.409784961999999723e+03
1.698700000005715074e-07,7.506557155999999850e+03
1.978800000017599714e-07,8.732739316999999573e+03
2.286300000022833922e-07,1.008827202000000034e+04
2.622599999995145646e-07,1.155440584999999919e+04
2.989200000058645179e-07,1.308080150999999933e+04
3.387700000061499973e-07,1.457477954999999929e+04
3.819699999993986315e-07,1.593155883999999969e+04
4.286800000059543218e-07,1.700581841999999961e+04
4.791100000005599484e-07,1.768313491000000067e+04
5.334300000043868162e-07,1.792239988000000085e+04
5.918400000055612322e-07,1.778066446999999971e+04
6.545500000001425610e-07,1.738074063999999998e+04
7.217700000055060687e-07,1.687056207999999970e+04
7.937400000059824472e-07,1.633359520999999950e+04
8.707000000001130604e-07,1.607018051000000014e+04
9.528900000006501555e-07,1.608338783999999941e+04
1.040570000000684462e-06,1.623785070000000087e+04
1.134020000002067170e-06,1.649151959999999963e+04
1.233530000000371326e-06,1.683140791000000172e+04
1.339390000005380543e-06,1.718016613000000143e+04
1.451910000000111685e-06,1.746510597000000053e+04
1.571439999999313422e-06,1.764603873999999996e+04
1.698300000001040693e-06,1.771686222999999882e+04
1.832860000000380333e-06,1.771196429999999964e+04
1.975489999999524513e-06,1.767437295000000086e+04
2.126590000003147825e-06,1.764268610999999873e+04
2.286570000002541383e-06,1.764200477999999930e+04
2.455850000004033952e-06,1.768208693000000130e+04
2.634880000002226684e-06,1.775808976999999868e+04
2.824140000001307431e-06,1.786764232999999876e+04
3.024120000006291870e-06,1.800022157000000152e+04
3.235330000002534058e-06,1.814342123999999967e+04
3.458320000000014519e-06,1.828717713000000003e+04
3.693630000000780615e-06,1.842525426000000152e+04
3.941860000004737523e-06,1.855463705000000118e+04
4.203620000005514605e-06,1.867487489999999889e+04
4.479550000006327502e-06,1.878640839000000051e+04
4.770329999999489525e-06,1.888968132999999943e+04
5.076680000001942572e-06,1.898476717999999892e+04
5.399310000001378102e-06,1.907138373000000138e+04
5.739010000006317473e-06,1.914925508999999875e+04
6.096580000004792170e-06,1.921804671999999846e+04
6.472870000003183909e-06,1.927881561000000147e+04
6.868719999999939549e-06,1.932391877999999997e+04
7.285090000003435640e-06,1.936477148999999918e+04
7.722940000000733148e-06,1.940086133999999947e+04
8.183290000005173046e-06,1.943079972999999882e+04
8.667150000000844171e-06,1.945263676000000123e+04
9.175680000005571318e-06,1.946719136000000071e+04
9.709980000003781657e-06,1.947527475000000049e+04
1.027128000000487859e-05,1.947754320999999982e+04
1.086077000000074102e-05,1.947453589999999895e+04
1.147983999999979758e-05,1.946679017999999996e+04
1.212986000000171382e-05,1.945470328000000154e+04
1.281233000000270342e-05,1.943880876999999964e+04
1.352866999999946571e-05,1.941941830000000118e+04
1.428058000000476074e-05,1.939683761999999842e+04
1.506964000000010666e-05,1.937144366000000082e+04
1.589764000000570677e-05,1.934371876999999949e+04
1.676624000000259693e-05,1.931410766000000149e+04
1.767749000000406987e-05,1.928288268999999855e+04
1.863333000000011387e-05,1.925010789999999906e+04
1.963594000000057487e-05,1.921560003000000142e+04
2.068730999999957137e-05,1.917900969999999870e+04
2.178990000000169359e-05,1.914010882000000129e+04
2.294596000000126456e-05,1.909902734000000055e+04
2.415805000000404023e-05,1.905624403000000166e+04
2.542841000000350946e-05,1.901225823999999920e+04
2.676017000000285921e-05,1.896741710999999850e+04
2.815609000000307539e-05,1.892177255000000150e+04
2.961943000000388798e-05,1.887513595999999961e+04
3.115297000000083618e-05,1.882737845999999990e+04
3.276045000000493555e-05,1.877875201999999990e+04
3.444506000000302612e-05,1.872980615000000034e+04
3.621065000000100830e-05,1.868111256000000139e+04
3.806028000000338552e-05,1.863291025000000081e+04
3.999869000000444495e-05,1.858494327999999950e+04
4.202976000000546768e-05,1.853665921000000162e+04
4.415833000000191338e-05,1.848771212999999989e+04
4.638810000000148800e-05,1.843817846999999892e+04
4.872474000000437134e-05,1.838849605000000156e+04
5.117260000000101503e-05,1.833915105000000040e+04
5.373729000000082394e-05,1.829035330999999860e+04
5.642255000000062415e-05,1.824171497000000090e+04
5.923588000000279700e-05,1.819283493000000090e+04
6.218285000000634303e-05,1.814348199999999997e+04
6.527095000000570789e-05,1.809407811999999831e+04
6.850505000000594853e-05,1.804498040000000037e+04
7.189417000000020142e-05,1.799649945999999909e+04
7.544439000000125177e-05,1.794852767999999924e+04
7.916439000000252398e-05,1.790033640999999989e+04
8.305876000000012428e-05,1.785113491000000067e+04
8.713928000000237132e-05,1.780110964999999851e+04
9.141345000000455846e-05,1.775159527000000162e+04
9.589263000000158507e-05,1.770406290000000081e+04
1.005824000000004009e-04,1.765889951999999903e+04
1.054967700000020132e-04,1.761498949999999968e+04
1.106432999999995510e-04,1.756999535000000105e+04
1.160345900000052665e-04,1.752229268999999840e+04
1.216741200000015543e-04,1.747279735000000073e+04
1.275808700000027255e-04,1.742453013999999894e+04
1.337649900000030935e-04,1.738042090000000098e+04
1.402440600000005541e-04,1.734076223000000027e+04
1.470240000000018097e-04,1.730239514000000054e+04
1.541267400000023637e-04,1.726135870000000068e+04
1.615620200000052013e-04,1.721677554999999847e+04
1.693490900000043102e-04,1.717185123000000021e+04
1.774902100000019898e-04,1.713030784000000131e+04
1.860131000000038112e-04,1.709233692000000156e+04
1.949297400000063029e-04,1.705489228000000003e+04
2.042644800000061945e-04,1.701588391000000047e+04
2.140218700000033841e-04,1.697680225000000064e+04
2.242315599999997698e-04,1.694001615999999922e+04
2.349040799999997339e-04,1.690518033999999898e+04
2.460633400000063176e-04,1.687050890000000072e+04
2.577073100000006902e-04,1.683530092000000150e+04
2.698715000000006907e-04,1.680071082000000024e+04
2.825700600000047476e-04,1.676684341000000131e+04
2.958315300000009525e-04,1.673368622999999934e+04
3.096616900000057830e-04,1.670067278000000078e+04
3.240924600000028239e-04,1.666817089000000124e+04
3.391371700000007732e-04,1.663614806999999928e+04
3.548205900000027868e-04,1.660402488000000085e+04
3.711475200000009605e-04,1.657257162999999855e+04
3.881482300000058550e-04,1.654349605000000156e+04
4.058385599999993882e-04,1.651620447000000058e+04
4.242405300000058415e-04,1.648820116000000053e+04
4.433679100000062967e-04,1.645977945000000182e+04
4.632413300000024544e-04,1.643355127999999968e+04
4.838783699999993121e-04,1.640916796999999860e+04
5.052953900000006163e-04,1.638380522999999994e+04
5.275132600000062956e-04,1.635802719000000070e+04
5.505464599999996362e-04,1.633500103999999919e+04
5.744140400000005784e-04,1.631335665999999947e+04
5.991250699999994432e-04,1.628784223999999995e+04
6.247072200000048205e-04,1.625814535000000069e+04
6.511633900000006773e-04,1.622992029000000002e+04
6.785167500000000322e-04,1.620631086999999934e+04
7.067722900000035459e-04,1.618536261000000013e+04
7.359722600000040502e-04,1.616634972000000016e+04
7.661105000000034996e-04,1.615106048000000010e+04
7.972107699999995446e-04,1.613776241999999911e+04
8.292706600000059351e-04,1.612157546999999977e+04
8.623327800000026803e-04,1.610240208999999959e+04
8.963871900000057544e-04,1.608526607999999942e+04
9.314639700000029504e-04,1.607116501000000062e+04
9.675646700000015187e-04,1.605539732000000004e+04
1.004753690000001086e-03,1.603665308999999979e+04
1.043012360000005780e-03,1.601987507999999980e+04
1.082368060000000196e-03,1.600712550000000010e+04
1.122813810000003769e-03,1.599352633000000060e+04
1.164401050000002207e-03,1.597613129999999910e+04
1.207115140000006087e-03,1.595963333000000057e+04
1.250989850000003420e-03,1.594795341000000008e+04
1.296025230000005064e-03,1.593683944999999949e+04
1.342289800000003291e-03,1.592126396999999997e+04
1.389765180000004756e-03,1.590468993000000046e+04
1.438484380000005494e-03,1.589317200000000048e+04
1.488444850000000515e-03,1.588444520999999986e+04
1.539704230000005182e-03,1.587160700999999972e+04
1.592253060000004385e-03,1.585533343000000059e+04
1.646131180000004598e-03,1.584306473999999980e+04
1.701346320000006159e-03,1.583606914999999935e+04
1.757979250000005298e-03,1.582687890999999945e+04
1.816013380000001086e-03,1.581192509000000064e+04
1.875485690000004918e-03,1.579784152999999969e+04
1.936398590000003046e-03,1.579052138999999988e+04
1.998813359999999754e-03,1.578512812999999915e+04
2.062726500000003609e-03,1.577391245999999956e+04
2.128181370000000079e-03,1.575891544000000067e+04
2.195190570000001267e-03,1.574872448000000077e+04
2.263830680000005185e-03,1.574444657000000007e+04
2.334097040000003131e-03,1.573769757000000027e+04
2.406033270000001653e-03,1.572409105000000091e+04
2.479651970000006349e-03,1.571058150999999998e+04
2.555018880000005637e-03,1.570467524000000049e+04
2.632140939999999107e-03,1.570240171999999984e+04
2.711068510000004105e-03,1.569425720000000001e+04
2.791824250000004681e-03,1.567997563000000082e+04
2.874496290000003434e-03,1.566915116999999918e+04
2.959085000000001922e-03,1.566654811999999947e+04
3.045639860000001493e-03,1.566450340999999935e+04
3.134180540000002478e-03,1.565434909999999945e+04
3.224778470000003953e-03,1.563964072999999917e+04
3.317448439999999728e-03,1.563120540000000074e+04
3.412246810000006160e-03,1.563107000999999946e+04
3.509203130000003185e-03,1.562919453000000067e+04
3.608404550000002958e-03,1.561811597000000074e+04
3.709864910000000484e-03,1.560404459999999926e+04
3.813642650000005543e-03,1.559796317000000090e+04
3.919768590000004271e-03,1.559950917999999911e+04
4.028322120000005571e-03,1.559717103999999927e+04
4.139329000000003221e-03,1.558480183000000034e+04
4.252855469999999687e-03,1.557074196999999913e+04
4.368942110000006290e-03,1.556631392000000051e+04
4.487692510000002022e-03,1.556972194999999920e+04
4.609125740000003489e-03,1.556825790000000052e+04
4.733309480000002199e-03,1.555590034999999989e+04
4.860282660000003058e-03,1.554179516999999942e+04
4.990135460000004811e-03,1.553775998000000072e+04
5.122902110000005123e-03,1.554189171999999962e+04
5.258659030000003946e-03,1.554105047999999988e+04
5.397455680000000540e-03,1.552890170000000035e+04
5.539401720000000813e-03,1.551474265999999989e+04
5.684529820000001725e-03,1.551099368999999933e+04
5.832920460000004352e-03,1.551618822000000000e+04
5.984624750000002227e-03,1.551671067000000039e+04
6.139746570000000070e-03,1.550508761000000050e+04
6.298331480000001446e-03,1.549021380999999928e+04
6.460470010000001970e-03,1.548567756999999983e+04
6.626224159999999364e-03,1.549158748999999989e+04
6.795727689999999516e-03,1.549415344000000005e+04
6.969017710000002461e-03,1.548382543000000078e+04
7.146188270000003624e-03,1.546805414000000019e+04
7.327300560000004834e-03,1.546177528999999959e+04
7.512475430000001980e-03,1.546781861000000026e+04
7.701768600000001401e-03,1.547295305999999982e+04
7.895285760000000583e-03,1.546499030999999923e+04
8.093101100000004919e-03,1.544870132999999987e+04
8.295360760000002054e-03,1.543989374999999927e+04
8.502118270000004474e-03,1.544501915000000008e+04
8.713487100000001997e-03,1.545263313000000016e+04
8.929543730000006480e-03,1.544795886000000064e+04
9.150429860000003357e-03,1.543186009999999987e+04
9.376214450000006778e-03,1.541996841999999924e+04
9.607023189999999366e-03,1.542287332000000060e+04
9.842946230000003405e-03,1.543246947000000000e+04
1.008416474000000534e-02,1.543206992999999966e+04
1.033073535000000528e-02,1.541755296000000089e+04
1.058278957000000249e-02,1.540274598999999944e+04
1.084041848000000426e-02,1.540213485000000037e+04
1.110378807000000044e-02,1.541246263999999974e+04
1.137298197000000469e-02,1.541665267999999924e+04
1.164814863000000061e-02,1.540521077999999943e+04
1.192939603999999994e-02,1.538823175000000083e+04
1.221692362000000205e-02,1.538297910000000047e+04
1.251080818000000448e-02,1.539229644999999982e+04
1.281120563000000268e-02,1.540084563999999955e+04
1.311822874000000659e-02,1.539412334999999985e+04
1.343206998000000783e-02,1.537660106000000087e+04
1.375283244000000647e-02,1.536642287000000033e+04
1.408069005000000054e-02,1.537289925000000039e+04
1.441577446000000783e-02,1.538460204999999951e+04
1.475833397000000935e-02,1.538311103000000003e+04
1.510845240999999887e-02,1.536566107000000011e+04
1.546631245999999758e-02,1.534880675999999949e+04
1.583204673000000035e-02,1.534842190999999912e+04
1.620587865999999558e-02,1.536045944000000054e+04
1.658793197000000066e-02,1.536624242000000049e+04
1.697840774000001010e-02,1.535572517999999945e+04
1.737746373000000066e-02,1.533979731999999967e+04
1.778536776000000028e-02,1.533657798999999977e+04
1.820224016000000083e-02,1.534857004000000052e+04
1.862829478000000566e-02,1.535912984999999935e+04
1.906369663000000853e-02,1.535293993000000046e+04
1.950870068000000457e-02,1.533506308999999965e+04
1.996346234999999900e-02,1.532493303000000014e+04
2.042821750000000172e-02,1.533251526999999987e+04
2.090315922999999923e-02,1.534592330000000038e+04
2.138861049000000472e-02,1.534604196000000047e+04
2.188470110000000080e-02,1.533014213000000018e+04
2.239167783000000495e-02,1.531528369999999995e+04
2.290974147000000155e-02,1.531732858999999917e+04
2.343918315000000432e-02,1.533133743999999933e+04
2.398019863000000473e-02,1.533762264999999934e+04
2.453306425000001054e-02,1.532607646999999997e+04
2.509800325999999790e-02,1.530862736000000041e+04
2.567534654000000818e-02,1.530454865000000063e+04
2.626528812000000768e-02,1.531666470999999910e+04
2.686811826000000403e-02,1.532781117000000086e+04
2.748409254999999857e-02,1.532209511000000020e+04
2.811353551000000603e-02,1.530457389999999941e+04
2.875668355999999939e-02,1.529498847999999998e+04
2.941384542000000102e-02,1.530329167000000052e+04
3.008530451000000078e-02,1.531727850000000035e+04
3.077145163000000183e-02,1.531772752000000037e+04
3.147251382000000597e-02,1.530229961999999978e+04
3.218881627000000356e-02,1.528843519999999990e+04
3.292066356000000749e-02,1.529166740000000027e+04
3.366843526000001113e-02,1.530628341000000000e+04
3.443241982999999812e-02,1.531242208000000028e+04
3.521296572000000291e-02,1.530090092000000004e+04
3.601041172000001012e-02,1.528466179000000011e+04
3.682517320999999927e-02,1.528255855999999949e+04
3.765755737000000408e-02,1.529578262999999970e+04
3.850793690000000463e-02,1.530636400999999933e+04
3.937668598000000630e-02,1.529974354999999923e+04
4.026421378999999606e-02,1.528305133000000023e+04
4.117088173999999823e-02,1.527609386000000086e+04
4.209709521000000454e-02,1.528645115000000078e+04
4.304326715000000858e-02,1.529993819000000076e+04
4.400982183999999769e-02,1.529851144999999997e+04
4.499715992000000164e-02,1.528305433000000085e+04
4.600573483999999963e-02,1.527220548000000053e+04
4.703596377000000828e-02,1.527880682999999954e+04
4.808829234000001202e-02,1.529371226000000024e+04
4.916319081999999396e-02,1.529736961999999949e+04
5.026110690000000492e-02,1.528458993999999984e+04
5.138251660000000415e-02,1.527105084999999963e+04
5.252790620000000188e-02,1.527337713000000076e+04
5.369775549999999953e-02,1.528812187000000085e+04
5.489257960000000491e-02,1.529614192000000003e+04
5.611287720000000118e-02,1.528689784999999938e+04
5.735914720000000883e-02,1.527180712999999923e+04
5.863194640000000263e-02,1.526974587000000065e+04
5.993178740000000559e-02,1.528318267000000014e+04
6.125923439999999415e-02,1.529503607000000011e+04
6.261480310000000493e-02,1.529027923999999985e+04
6.399909180000000475e-02,1.527494662000000062e+04
6.541266850000000688e-02,1.526849705999999969e+04
6.685612760000000931e-02,1.527928977999999915e+04
6.833004170000001043e-02,1.529402656999999999e+04
6.983503820000000473e-02,1.529444616999999926e+04
7.137172279999999536e-02,1.528032142999999996e+04
7.294072999999999529e-02,1.526978176999999960e+04
7.454265670000001509e-02,1.527662419000000045e+04
7.617818850000000752e-02,1.529302131999999983e+04
7.784797370000000327e-02,1.529916164000000026e+04
7.955268980000000656e-02,1.528794455000000016e+04
8.129299279999999128e-02,1.527391375999999946e+04
8.306959450000001022e-02,1.527531202999999914e+04
8.488318579999999669e-02,1.529151864000000023e+04
8.673448579999999686e-02,1.530362327000000005e+04
8.862417810000000618e-02,1.529759778000000006e+04
9.055303419999999326e-02,1.528160589000000073e+04
9.252179280000000228e-02,1.527618605000000025e+04
9.453121550000001538e-02,1.528932163000000037e+04
9.658205780000000962e-02,1.530659696000000076e+04
9.867510800000001137e-02,1.530840750999999909e+04
1.008111521999999899e-01,1.529356881000000067e+04
1.029909917000000064e-01,1.528090170000000035e+04
1.052154368000000062e-01,1.528694720000000052e+04
1.074853100000000145e-01,1.530628757000000041e+04
1.098014471000000047e-01,1.531764920999999958e+04
1.121646890999999924e-01,1.530877262999999948e+04
1.145759048000000030e-01,1.529089061000000038e+04
1.170359461000000101e-01,1.528596423999999934e+04
1.195456985000000055e-01,1.530146966000000066e+04
1.221060401000000212e-01,1.532157357000000047e+04
1.247179340000000025e-01,1.532485577000000012e+04
1.273822249999999878e-01,1.530853682999999910e+04
1.300998478999999819e-01,1.529184096999999929e+04
1.328717154000000344e-01,1.529482684999999947e+04
1.356988172000000159e-01,1.531617395000000033e+04
1.385820530999999911e-01,1.533427188000000024e+04
1.415224064000000226e-01,1.533055127999999968e+04
1.445208220000000210e-01,1.530963199999999961e+04
1.475783974000000331e-01,1.529465798999999970e+04
1.506960022999999649e-01,1.530296692000000075e+04
1.538746649999999938e-01,1.532773575999999957e+04
1.571153571999999998e-01,1.534474566000000050e+04
1.604191870000000186e-01,1.533727043000000049e+04
1.637870820000000005e-01,1.531327828000000045e+04
1.672201138999999948e-01,1.529760982999999942e+04
1.707192777000000328e-01,1.530727836000000025e+04
1.742858724000000137e-01,1.533445290999999997e+04
1.779206952999999869e-01,1.535385454000000027e+04
1.816248532000000193e-01,1.534725763000000006e+04
1.853993545999999826e-01,1.532106043999999929e+04
1.892454111000000105e-01,1.530036575000000084e+04
1.931639519000000194e-01,1.530556970000000001e+04
1.971561145000000070e-01,1.533334762000000046e+04
2.012229188000000113e-01,1.535949570999999924e+04
2.053657341999999553e-01,1.536086057000000073e+04
2.095853634000000021e-01,1.533609409000000051e+04
2.138829633999999869e-01,1.530686411000000044e+04
2.182595518000000068e-01,1.529909269999999924e+04
2.227164137999999849e-01,1.532064408999999978e+04
2.272544454999999852e-01,1.535443974999999955e+04
2.318748180000000103e-01,1.537270665999999983e+04
2.365785391999999654e-01,1.535994947999999931e+04
2.413671738000000011e-01,1.532544475000000057e+04
2.462413280000000093e-01,1.529579242999999951e+04
2.512021682000000200e-01,1.529401295000000027e+04
2.562506740000000116e-01,1.532165320000000065e+04
2.613881589000000005e-01,1.535775634999999966e+04
2.666154386999999848e-01,1.537522040000000015e+04
2.719336653999999687e-01,1.536124654999999984e+04
2.773437847999999928e-01,1.532632652000000053e+04
2.828472906000000231e-01,1.529619320999999945e+04
