x, pressure
0.000000000000000000e+00,0.000000000000000000e+00
1.290310000001682014e-06,1.477293586999999934e+04
2.600730000004603117e-06,1.758523980999999912e+04
3.931579999999712913e-06,1.851668846000000121e+04
5.283170000005554947e-06,1.846656678000000102e+04
6.655829999999696190e-06,1.876413943999999901e+04
8.049880000001508648e-06,1.908818282000000181e+04
9.465660000003595250e-06,1.927954069000000163e+04
1.090351000000566723e-05,1.935967785999999978e+04
1.236377000000033005e-05,1.937805114999999932e+04
1.384679000000232963e-05,1.936450333999999930e+04
1.535293000000592794e-05,1.933382373999999982e+04
1.688254000000455278e-05,1.929311996999999974e+04
1.843599000000040012e-05,1.924617665000000125e+04
2.001366000000359658e-05,1.919547222999999940e+04
2.161592000000211983e-05,1.914269612000000052e+04
2.324315000000609649e-05,1.908897275000000081e+04
2.489574000000516243e-05,1.903502830000000176e+04
2.657409000000399076e-05,1.898133640000000014e+04
2.827860000000015307e-05,1.892821628000000055e+04
3.000968000000625479e-05,1.887587946000000011e+04
3.176773999999937679e-05,1.882445721000000049e+04
3.355320000000006357e-05,1.877402840999999898e+04
3.536649000000124710e-05,1.872463730999999825e+04
3.720805000000382550e-05,1.867629851000000053e+04
3.907829999999989993e-05,1.862901326999999947e+04
4.097770999999994550e-05,1.858277310999999827e+04
4.290672000000484001e-05,1.853755313999999998e+04
4.486580000000373367e-05,1.849332291999999870e+04
4.685541000000626062e-05,1.845005575999999928e+04
4.887603000000239847e-05,1.840772387000000163e+04
5.092815000000427712e-05,1.836629744999999821e+04
5.301225000000186739e-05,1.832574484999999913e+04
5.512883000000101831e-05,1.828603574999999910e+04
5.727840000000128444e-05,1.824714356000000043e+04
5.946148000000306129e-05,1.820904292999999961e+04
6.167858000000592375e-05,1.817171001999999862e+04
6.393024000000480708e-05,1.813511970999999903e+04
6.621699000000091386e-05,1.809924670999999944e+04
6.853939000000508464e-05,1.806406728999999905e+04
7.089798000000513281e-05,1.802955879999999888e+04
7.329333000000559770e-05,1.799570060000000012e+04
7.572601000000388997e-05,1.796247592000000077e+04
7.819661000000621730e-05,1.792987004000000161e+04
8.070572000000453012e-05,1.789786620000000039e+04
8.325393000000502254e-05,1.786644746999999916e+04
8.584186000000215428e-05,1.783559208999999828e+04
8.847012000000376074e-05,1.780528508000000147e+04
9.113934000000511548e-05,1.777551718999999866e+04
9.385017000000317401e-05,1.774627257000000100e+04
9.660325000000113884e-05,1.771753806999999870e+04
9.939923000000305342e-05,1.768930280000000130e+04
1.022388000000020678e-04,1.766155544999999984e+04
1.051226100000022254e-04,1.763428330999999889e+04
1.080513800000062466e-04,1.760747396999999910e+04
1.110257899999993523e-04,1.758111786999999822e+04
1.140465500000047399e-04,1.755520638999999937e+04
1.171144000000055071e-04,1.752972969000000012e+04
1.202300600000043605e-04,1.750467310999999972e+04
1.233942799999994009e-04,1.748002491999999984e+04
1.266078100000029866e-04,1.745578192000000126e+04
1.298714300000014435e-04,1.743194132000000172e+04
1.331859100000016964e-04,1.740849542999999903e+04
1.365520400000050881e-04,1.738543447000000015e+04
1.399706400000013762e-04,1.736273982999999862e+04
1.434425200000006867e-04,1.734039626000000135e+04
1.469684999999998245e-04,1.731838290000000052e+04
1.505494400000060326e-04,1.729667474999999831e+04
1.541861900000043406e-04,1.727524943999999959e+04
1.578796100000019373e-04,1.725409368000000177e+04
1.616305900000014736e-04,1.723319892999999865e+04
1.654400400000000180e-04,1.721255430999999953e+04
1.693088500000001671e-04,1.719214611000000150e+04
1.732379500000007526e-04,1.717196583000000101e+04
1.772282900000021798e-04,1.715202335999999923e+04
1.812808100000040537e-04,1.713234973000000173e+04
1.853965000000030690e-04,1.711298315000000002e+04
1.895763200000004584e-04,1.709394979999999850e+04
1.938212800000016457e-04,1.707525368000000162e+04
1.981323900000049262e-04,1.705688196999999855e+04
2.025107000000048304e-04,1.703881528999999864e+04
2.069572300000004268e-04,1.702103194000000076e+04
2.114730600000029853e-04,1.700350702000000092e+04
2.160592600000015354e-04,1.698621235000000161e+04
2.207169300000018191e-04,1.696912356000000000e+04
2.254471900000041315e-04,1.695222899999999936e+04
2.302511700000024937e-04,1.693553089000000182e+04
2.351300100000059843e-04,1.691903787999999986e+04
2.400848800000048326e-04,1.690275549999999930e+04
2.451169600000042709e-04,1.688668060999999943e+04
2.502274600000049397e-04,1.687080630000000019e+04
2.554176000000012593e-04,1.685512966999999844e+04
2.606886200000033452e-04,1.683965145000000120e+04
2.660417800000018803e-04,1.682436984999999913e+04
2.714783600000032424e-04,1.680927635000000009e+04
2.769996600000013153e-04,1.679435611000000063e+04
2.826070000000058409e-04,1.677959630000000107e+04
2.883017199999997554e-04,1.676499452999999994e+04
2.940851800000032659e-04,1.675055794999999853e+04
2.999587700000034998e-04,1.673629530000000159e+04
3.059238800000016792e-04,1.672220975000000180e+04
3.119819400000025528e-04,1.670829505000000063e+04
3.181344000000052596e-04,1.669454153999999835e+04
3.243827400000043196e-04,1.668094455999999991e+04
3.307284400000014626e-04,1.666750405999999930e+04
3.371730200000016197e-04,1.665421912000000157e+04
3.437180200000042752e-04,1.664108583999999973e+04
3.503650100000044025e-04,1.662809506999999940e+04
3.571155700000048496e-04,1.661523378999999841e+04
3.639713200000045646e-04,1.660249312999999893e+04
3.709339000000042583e-04,1.658987451000000146e+04
3.780049700000063509e-04,1.657738761000000159e+04
3.851862100000005514e-04,1.656504452999999921e+04
3.924793500000021192e-04,1.655285420000000158e+04
3.998861399999995622e-04,1.654081400999999823e+04
4.074083300000026385e-04,1.652891105999999854e+04
4.150477200000039931e-04,1.651713363000000027e+04
4.228061499999995264e-04,1.650547905000000173e+04
4.306854599999993959e-04,1.649395132999999987e+04
4.386875500000044664e-04,1.648255291999999827e+04
4.468143100000006264e-04,1.647127722999999969e+04
4.550676899999999249e-04,1.646010654000000068e+04
4.634496700000027987e-04,1.644902936000000045e+04
4.719622400000034104e-04,1.643805024000000049e+04
4.806074500000008325e-04,1.642717956000000049e+04
4.893873500000011853e-04,1.641642503999999826e+04
4.983040500000015128e-04,1.640578893999999855e+04
5.073596600000059064e-04,1.639526594000000114e+04
5.165563700000035553e-04,1.638484070000000065e+04
5.258963600000043969e-04,1.637449898000000030e+04
5.353818600000011469e-04,1.636424279999999999e+04
5.450151500000046442e-04,1.635408715999999913e+04
5.547985200000056299e-04,1.634404319000000032e+04
5.647343100000057044e-04,1.633411023999999998e+04
5.748248900000021196e-04,1.632428191999999945e+04
5.850726700000023761e-04,1.631454517999999916e+04
5.954801000000031893e-04,1.630488476000000082e+04
6.060496700000044760e-04,1.629529667999999947e+04
6.167839000000014792e-04,1.628579341999999997e+04
6.276853600000009518e-04,1.627639230999999927e+04
6.387566400000040372e-04,1.626709816999999930e+04
6.500003900000024233e-04,1.625790250000000015e+04
6.614193000000057445e-04,1.624878967999999986e+04
6.730161000000052605e-04,1.623974762000000010e+04
6.847935500000019776e-04,1.623077572999999938e+04
6.967544600000010390e-04,1.622188099999999940e+04
7.089017000000055052e-04,1.621307262000000082e+04
7.212381500000049524e-04,1.620436082999999962e+04
7.337667800000033424e-04,1.619574912000000040e+04
7.464905600000051791e-04,1.618722576999999910e+04
7.594125399999995763e-04,1.617876727000000028e+04
7.725358000000000312e-04,1.617036260000000038e+04
7.858634800000033208e-04,1.616202623999999923e+04
7.993987500000017659e-04,1.615377670000000035e+04
8.131448500000005263e-04,1.614561083999999937e+04
8.271050600000009155e-04,1.613752006000000074e+04
8.412827100000015539e-04,1.612950424999999996e+04
8.556811900000055923e-04,1.612155169999999998e+04
8.703039300000057219e-04,1.611363702000000012e+04
8.851544200000063204e-04,1.610574817000000075e+04
9.002362100000027437e-04,1.609790872999999920e+04
9.155528900000007046e-04,1.609015123999999923e+04
9.311081300000054878e-04,1.608248552000000018e+04
9.469056300000033930e-04,1.607488339000000087e+04
9.629491600000008233e-04,1.606735583000000042e+04
9.792425500000020988e-04,1.605994614000000001e+04
9.957896900000021926e-04,1.605260996999999952e+04
1.012594530000001259e-03,1.604530196000000069e+04
1.029661080000003875e-03,1.603803332000000046e+04
1.046993410000005920e-03,1.603084656999999970e+04
1.064595650000001083e-03,1.602376759999999922e+04
1.082472000000002724e-03,1.601675636999999915e+04
1.100626730000001802e-03,1.600979802000000018e+04
1.119064170000001399e-03,1.600291023999999925e+04
1.137788720000003232e-03,1.599608529000000090e+04
1.156804830000005783e-03,1.598931545000000006e+04
1.176117060000002757e-03,1.598255967000000055e+04
1.195729990000003826e-03,1.597579688999999962e+04
1.215648319999999751e-03,1.596908728999999948e+04
1.235876790000006069e-03,1.596247189000000071e+04
1.256420220000002436e-03,1.595591445000000022e+04
1.277283520000004578e-03,1.594937724999999955e+04
1.298471650000003301e-03,1.594289479000000028e+04
1.319989670000005274e-03,1.593652383000000009e+04
1.341842710000001708e-03,1.593024412999999913e+04
1.364035970000003267e-03,1.592398209999999926e+04
1.386574760000001960e-03,1.591773423000000003e+04
1.409464440000000656e-03,1.591159291999999914e+04
1.432710460000002732e-03,1.590560193000000072e+04
1.456318370000005309e-03,1.589966717000000062e+04
1.480293790000004580e-03,1.589366877999999997e+04
1.504642450000005837e-03,1.588763527000000067e+04
1.529370130000003766e-03,1.588167701999999917e+04
1.554482730000003631e-03,1.587577476000000024e+04
1.579986240000003832e-03,1.586982998000000043e+04
1.605886720000000972e-03,1.586385364999999911e+04
1.632190360000002624e-03,1.585799277000000075e+04
1.658903420000001558e-03,1.585234590000000026e+04
1.686032260000004668e-03,1.584682339999999931e+04
1.713583330000005914e-03,1.584127675000000090e+04
1.741563220000003250e-03,1.583570218999999997e+04
1.769978570000006355e-03,1.583022441000000072e+04
1.798836149999999672e-03,1.582483490999999958e+04
1.828142840000005365e-03,1.581934700999999950e+04
1.857905610000003174e-03,1.581372366999999940e+04
1.888131550000004232e-03,1.580818146999999954e+04
1.918827860000000369e-03,1.580291245999999956e+04
1.950001840000005785e-03,1.579784100000000035e+04
1.981660910000002107e-03,1.579272349000000031e+04
2.013812600000001313e-03,1.578752913000000081e+04
2.046464580000005497e-03,1.578245867999999973e+04
2.079624610000003170e-03,1.577757377000000088e+04
2.113300569999999705e-03,1.577264957999999933e+04
2.147500490000005952e-03,1.576750885999999991e+04
2.182232490000004209e-03,1.576235010999999940e+04
2.217504840000003499e-03,1.575746658000000025e+04
2.253325940000003216e-03,1.575279404000000068e+04
2.289704290000003223e-03,1.574798826000000008e+04
2.326648550000001443e-03,1.574295426000000043e+04
2.364167510000001349e-03,1.573802936000000045e+04
2.402270090000001995e-03,1.573348487999999998e+04
2.440965350000006209e-03,1.572910076999999910e+04
2.480262480000000255e-03,1.572449422000000050e+04
2.520170830000004886e-03,1.571970525000000089e+04
2.560699880000001302e-03,1.571512156999999934e+04
2.601859260000004802e-03,1.571083764999999948e+04
2.643658760000000985e-03,1.570646075000000019e+04
2.686108300000000955e-03,1.570172359999999935e+04
2.729217980000001216e-03,1.569695271999999932e+04
2.772998030000003826e-03,1.569262297000000035e+04
2.817458850000001489e-03,1.568864281999999912e+04
2.862611000000001016e-03,1.568447371999999996e+04
2.908465200000002072e-03,1.567994714999999997e+04
2.955032350000003170e-03,1.567552086000000054e+04
3.002323490000001829e-03,1.567154145000000062e+04
3.050349860000004312e-03,1.566767539000000033e+04
3.099122850000000668e-03,1.566341063000000031e+04
3.148654040000003606e-03,1.565887543000000005e+04
3.198955180000005640e-03,1.565468689000000086e+04
3.250038209999999393e-03,1.565099807999999939e+04
3.301915239999999793e-03,1.564722531999999956e+04
3.354598590000001847e-03,1.564293294000000060e+04
3.408100740000001658e-03,1.563853226999999970e+04
3.462434390000005725e-03,1.563468394000000080e+04
3.517612420000005950e-03,1.563127829000000020e+04
3.573647900000004752e-03,1.562758062000000064e+04
3.630554130000000160e-03,1.562335500999999931e+04
3.688344589999999895e-03,1.561923969000000034e+04
3.747032969999999560e-03,1.561576403000000028e+04
3.806633180000005591e-03,1.561248746000000028e+04
3.867159340000000597e-03,1.560865025000000060e+04
3.928625790000005343e-03,1.560436888999999974e+04
3.991047080000001586e-03,1.560050202999999965e+04
4.054438000000004823e-03,1.559735529999999926e+04
4.118813540000004596e-03,1.559419938000000002e+04
4.184188959999999777e-03,1.559037362000000030e+04
4.250579730000005746e-03,1.558630902000000060e+04
4.318001540000004045e-03,1.558286018999999942e+04
4.386470370000004546e-03,1.557994577000000027e+04
4.456002390000001617e-03,1.557663473999999951e+04
4.526614059999999745e-03,1.557259631000000081e+04
4.598322080000002456e-03,1.556867123999999967e+04
4.671143400000005337e-03,1.556563515999999981e+04
4.745095230000003807e-03,1.556301474000000053e+04
4.820195050000002611e-03,1.555977816999999959e+04
4.896460600000004590e-03,1.555590849999999955e+04
4.973909910000003619e-03,1.555240528000000086e+04
5.052561260000004717e-03,1.554969254000000001e+04
5.132433240000004726e-03,1.554693000000000029e+04
5.213544690000006428e-03,1.554331719999999950e+04
5.295914770000003519e-03,1.553939316999999937e+04
5.379562910000004229e-03,1.553626385999999911e+04
5.464508850000001673e-03,1.553390689999999995e+04
5.550772640000005073e-03,1.553118405999999959e+04
5.638374609999999981e-03,1.552759730999999920e+04
5.727335420000002723e-03,1.552406250000000000e+04
5.817676050000003193e-03,1.552144873999999982e+04
5.909417790000006526e-03,1.551912225000000035e+04
6.002582250000003568e-03,1.551578794999999991e+04
6.097191390000006317e-03,1.551142964000000029e+04
6.193267480000002982e-03,1.550736379999999917e+04
6.290833150000004620e-03,1.550436455000000024e+04
6.389911360000006223e-03,1.550170378999999957e+04
6.490525440000006509e-03,1.549853843000000052e+04
6.592699060000001103e-03,1.549536446000000069e+04
6.696456240000003314e-03,1.549315292000000045e+04
6.801821400000001433e-03,1.549163052000000062e+04
6.908819290000004117e-03,1.548947988000000078e+04
7.017475080000004466e-03,1.548628644999999960e+04
7.127814280000002896e-03,1.548316320000000087e+04
7.239862829999999840e-03,1.548102917999999954e+04
7.353647020000003871e-03,1.547923177000000032e+04
7.469193580000002726e-03,1.547660748000000058e+04
7.586529630000000794e-03,1.547334499999999935e+04
7.705682680000002643e-03,1.547064283000000069e+04
7.826680700000004931e-03,1.546873530000000028e+04
7.949552050000001022e-03,1.546654044000000067e+04
8.074325540000003298e-03,1.546341394000000037e+04
8.201030389999999087e-03,1.546021629000000030e+04
8.329696310000002379e-03,1.545796455000000060e+04
8.460353410000003016e-03,1.545621378000000004e+04
8.593032280000002798e-03,1.545381840000000011e+04
8.727763970000005159e-03,1.545077063000000089e+04
8.864580010000004673e-03,1.544816237999999976e+04
9.003512380000003659e-03,1.544636297999999988e+04
9.144593570000005001e-03,1.544440411999999924e+04
9.287856540000000161e-03,1.544158929999999964e+04
9.433334770000001077e-03,1.543862918999999965e+04
9.581062220000000421e-03,1.543643770000000040e+04
9.731073380000005227e-03,1.543465172999999959e+04
9.883403239999999715e-03,1.543230446999999913e+04
1.003808735000000577e-02,1.542943606999999975e+04
1.019516176000000510e-02,1.542702927000000091e+04
1.035466309000000230e-02,1.542536125999999967e+04
1.051662849000000247e-02,1.542357207999999991e+04
1.068109568000000578e-02,1.542114071999999942e+04
1.084810293000000245e-02,1.541866929999999957e+04
1.101768912000000017e-02,1.541678172000000086e+04
1.118989367000000276e-02,1.541504245000000083e+04
1.136475662000000116e-02,1.541272730000000047e+04
1.154231859000000131e-02,1.541012564000000020e+04
1.172262084000000489e-02,1.540799726000000010e+04
1.190570521000000083e-02,1.540628051000000050e+04
1.209161419000000064e-02,1.540429160000000047e+04
1.228039088000000556e-02,1.540192218999999932e+04
1.247207906000000546e-02,1.539979315999999926e+04
1.266672314000000243e-02,1.539812023000000045e+04
1.286436818000000031e-02,1.539636370999999963e+04
1.306505994000000531e-02,1.539421846999999980e+04
1.326884484000000024e-02,1.539210945999999967e+04
1.347577001000000579e-02,1.539036492999999973e+04
1.368588325999999661e-02,1.538865404999999919e+04
1.389923312000000515e-02,1.538663544000000002e+04
1.411586884000000375e-02,1.538459375999999975e+04
1.433584040000000955e-02,1.538287112999999954e+04
1.455919852000000896e-02,1.538123407000000043e+04
1.478599467000000882e-02,1.537937347000000045e+04
1.501628109000000683e-02,1.537743480000000091e+04
1.525011079000000713e-02,1.537569955999999911e+04
1.548753754000000565e-02,1.537408573000000069e+04
1.572861593000000197e-02,1.537233511999999973e+04
1.597340135000000286e-02,1.537051545000000078e+04
1.622195000000000581e-02,1.536883360999999968e+04
1.647431891000000759e-02,1.536720597000000089e+04
1.673056594999999813e-02,1.536549107000000004e+04
1.699074982999999872e-02,1.536379045000000042e+04
1.725493015000000713e-02,1.536219398999999976e+04
1.752316733999999959e-02,1.536058872999999949e+04
1.779552275999999808e-02,1.535888707000000068e+04
1.807205863000000204e-02,1.535722390000000087e+04
1.835283810000000113e-02,1.535569620000000032e+04
1.863792524000000214e-02,1.535414443000000028e+04
1.892738506000000639e-02,1.535247559999999976e+04
1.922128349000000458e-02,1.535088169000000016e+04
1.951968746000000074e-02,1.534944115000000056e+04
1.982266485000000814e-02,1.534795471999999972e+04
2.013028452000000315e-02,1.534635527000000002e+04
2.044261634000000064e-02,1.534483929999999964e+04
2.075973118000000450e-02,1.534347823000000062e+04
2.108170096000000493e-02,1.534203772000000026e+04
2.140859862000000710e-02,1.534041784999999982e+04
2.174049815000000593e-02,1.533889190000000053e+04
2.207747462000000244e-02,1.533762170999999944e+04
2.241960416999999942e-02,1.533636696999999913e+04
2.276696404999999784e-02,1.533495725999999922e+04
2.311963259000000825e-02,1.533359893999999986e+04
2.347768926999999756e-02,1.533243382000000020e+04
2.384121471000000270e-02,1.533124698999999964e+04
2.421029065000000410e-02,1.532988951000000088e+04
2.458500005000000335e-02,1.532857162000000062e+04
2.496542700000000531e-02,1.532744318999999996e+04
2.535165681000000823e-02,1.532629336999999941e+04
2.574377601999999765e-02,1.532497453999999925e+04
2.614187237000000288e-02,1.532369974999999977e+04
2.654603486000000484e-02,1.532262226999999984e+04
2.695635373999999765e-02,1.532153686000000016e+04
2.737292055000000238e-02,1.532029073000000062e+04
2.779582810000000986e-02,1.531908601000000090e+04
2.822517052000000568e-02,1.531806768999999986e+04
2.866104325999999786e-02,1.531702757000000020e+04
2.910354311999999860e-02,1.531582314000000042e+04
2.955276824000000607e-02,1.531467008999999962e+04
3.000881814000000078e-02,1.531372233000000051e+04
3.047179373000000191e-02,1.531276814999999988e+04
3.094179732999999960e-02,1.531165355000000091e+04
3.141893265999999574e-02,1.531059129000000030e+04
3.190330491999999324e-02,1.530973342000000048e+04
3.239502073000000149e-02,1.530886516999999913e+04
3.289418820000000049e-02,1.530783123999999953e+04
3.340091693000001027e-02,1.530685112999999910e+04
3.391531804000000316e-02,1.530608655999999974e+04
3.443750415000000620e-02,1.530531369000000086e+04
3.496758945000000285e-02,1.530436137000000053e+04
3.550568968000000075e-02,1.530344608999999946e+04
3.605192216000000643e-02,1.530273964999999953e+04
3.660640580999999921e-02,1.530202492999999959e+04
3.716926116999999530e-02,1.530113118000000031e+04
3.774061041000000005e-02,1.530028520000000026e+04
3.832057735000000964e-02,1.529966889000000083e+04
3.890928748000000575e-02,1.529905395999999928e+04
3.950686799000000665e-02,1.529824675999999999e+04
4.011344775999999696e-02,1.529747684999999910e+04
4.072915741000000117e-02,1.529694844000000012e+04
4.135412929999999349e-02,1.529643215000000055e+04
