x, pressure
0.000000000000000000e+00,0.000000000000000000e+00
1.290310000001682014e-06,1.476599741999999969e+04
2.600730000004603117e-06,1.757713463000000047e+04
3.931579999999712913e-06,1.850838295999999900e+04
5.283170000005554947e-06,1.845910346999999820e+04
6.655829999999696190e-06,1.875709011000000100e+04
8.049880000001508648e-06,1.908101814000000013e+04
9.465660000003595250e-06,1.927203380000000107e+04
1.090351000000566723e-05,1.935176910000000134e+04
1.236377000000033005e-05,1.936973938999999882e+04
1.384679000000232963e-05,1.935581048000000010e+04
1.535293000000592794e-05,1.932477638999999908e+04
1.688254000000455278e-05,1.928374298999999883e+04
1.843599000000040012e-05,1.923649197999999888e+04
2.001366000000359658e-05,1.918549866000000111e+04
2.161592000000211983e-05,1.913244989999999962e+04
2.324315000000609649e-05,1.907846761999999944e+04
2.489574000000516243e-05,1.902427534999999989e+04
2.657409000000399076e-05,1.897034476999999970e+04
2.827860000000015307e-05,1.891699335000000065e+04
3.000968000000625479e-05,1.886443042000000059e+04
3.176773999999937679e-05,1.881278490999999849e+04
3.355320000000006357e-05,1.876213430000000153e+04
3.536649000000124710e-05,1.871252260000000024e+04
3.720805000000382550e-05,1.866396480000000156e+04
3.907829999999989993e-05,1.861646191000000181e+04
4.097770999999994550e-05,1.857000465999999869e+04
4.290672000000484001e-05,1.852456859999999870e+04
4.486580000000373367e-05,1.848012298000000010e+04
4.685541000000626062e-05,1.843663999999999942e+04
4.887603000000239847e-05,1.839409226000000126e+04
5.092815000000427712e-05,1.835245021999999881e+04
5.301225000000186739e-05,1.831168099000000075e+04
5.512883000000101831e-05,1.827175380999999834e+04
5.727840000000128444e-05,1.823264242000000013e+04
5.946148000000306129e-05,1.819432107000000178e+04
6.167858000000592375e-05,1.815676627000000008e+04
6.393024000000480708e-05,1.811995505000000048e+04
6.621699000000091386e-05,1.808386316000000079e+04
6.853939000000508464e-05,1.804846551000000181e+04
7.089798000000513281e-05,1.801373879999999917e+04
7.329333000000559770e-05,1.797966353000000163e+04
7.572601000000388997e-05,1.794622335000000021e+04
7.819661000000621730e-05,1.791340322000000015e+04
8.070572000000453012e-05,1.788118743000000177e+04
8.325393000000502254e-05,1.784956100000000151e+04
8.584186000000215428e-05,1.781850197000000117e+04
8.847012000000376074e-05,1.778799347000000125e+04
9.113934000000511548e-05,1.775802558000000136e+04
9.385017000000317401e-05,1.772858357999999862e+04
9.660325000000113884e-05,1.769965402000000176e+04
9.939923000000305342e-05,1.767122356999999829e+04
1.022388000000020678e-04,1.764327982999999949e+04
1.051226100000022254e-04,1.761581234000000040e+04
1.080513800000062466e-04,1.758881163999999990e+04
1.110257899999993523e-04,1.756226882000000114e+04
1.140465500000047399e-04,1.753617542999999932e+04
1.171144000000055071e-04,1.751052441000000181e+04
1.202300600000043605e-04,1.748530567000000156e+04
1.233942799999994009e-04,1.746050887000000148e+04
1.266078100000029866e-04,1.743612755000000107e+04
1.298714300000014435e-04,1.741215418000000136e+04
1.331859100000016964e-04,1.738857953999999881e+04
1.365520400000050881e-04,1.736539065000000119e+04
1.399706400000013762e-04,1.734257104999999865e+04
1.434425200000006867e-04,1.732009829000000173e+04
1.469684999999998245e-04,1.729794797000000108e+04
1.505494400000060326e-04,1.727609687000000122e+04
1.541861900000043406e-04,1.725452686000000176e+04
1.578796100000019373e-04,1.723322599999999875e+04
1.616305900000014736e-04,1.721218315000000075e+04
1.654400400000000180e-04,1.719138360000000102e+04
1.693088500000001671e-04,1.717081201000000146e+04
1.732379500000007526e-04,1.715046125000000029e+04
1.772282900000021798e-04,1.713034549999999945e+04
1.812808100000040537e-04,1.711050564999999915e+04
1.853965000000030690e-04,1.709099766000000091e+04
1.895763200000004584e-04,1.707186979000000065e+04
1.938212800000016457e-04,1.705314219999999841e+04
1.981323900000049262e-04,1.703479977000000144e+04
2.025107000000048304e-04,1.701679840999999942e+04
2.069572300000004268e-04,1.699907856000000174e+04
2.114730600000029853e-04,1.698158156999999846e+04
2.160592600000015354e-04,1.696426610000000073e+04
2.207169300000018191e-04,1.694711829999999827e+04
2.254471900000041315e-04,1.693015035999999964e+04
2.302511700000024937e-04,1.691338919000000169e+04
2.351300100000059843e-04,1.689686089999999967e+04
2.400848800000048326e-04,1.688057676999999967e+04
2.451169600000042709e-04,1.686452689000000100e+04
2.502274600000049397e-04,1.684868567999999868e+04
2.554176000000012593e-04,1.683302572000000146e+04
2.606886200000033452e-04,1.681753096999999980e+04
2.660417800000018803e-04,1.680220334000000003e+04
2.714783600000032424e-04,1.678706049999999959e+04
2.769996600000013153e-04,1.677212396000000081e+04
2.826070000000058409e-04,1.675740291000000070e+04
2.883017199999997554e-04,1.674288699999999881e+04
2.940851800000032659e-04,1.672855385000000024e+04
2.999587700000034998e-04,1.671438139999999839e+04
3.059238800000016792e-04,1.670035370999999941e+04
3.119819400000025528e-04,1.668646127999999953e+04
3.181344000000052596e-04,1.667270100000000093e+04
3.243827400000043196e-04,1.665907594999999856e+04
3.307284400000014626e-04,1.664559557000000132e+04
3.371730200000016197e-04,1.663227763000000050e+04
3.437180200000042752e-04,1.661914572000000044e+04
3.503650100000044025e-04,1.660621517999999924e+04
3.571155700000048496e-04,1.659347921000000133e+04
3.639713200000045646e-04,1.658091302999999971e+04
3.709339000000042583e-04,1.656849044000000140e+04
3.780049700000063509e-04,1.655619096999999965e+04
3.851862100000005514e-04,1.654399699999999939e+04
3.924793500000021192e-04,1.653189790999999968e+04
3.998861399999995622e-04,1.651989918000000034e+04
4.074083300000026385e-04,1.650801682000000073e+04
4.150477200000039931e-04,1.649626070999999865e+04
4.228061499999995264e-04,1.648463100000000122e+04
4.306854599999993959e-04,1.647312875999999960e+04
4.386875500000044664e-04,1.646175733000000037e+04
4.468143100000006264e-04,1.645051336000000083e+04
4.550676899999999249e-04,1.643938719000000128e+04
4.634496700000027987e-04,1.642837859000000026e+04
4.719622400000034104e-04,1.641749285999999847e+04
4.806074500000008325e-04,1.640672513999999865e+04
4.893873500000011853e-04,1.639606649000000107e+04
4.983040500000015128e-04,1.638551906999999846e+04
5.073596600000059064e-04,1.637508710000000065e+04
5.165563700000035553e-04,1.636475839000000087e+04
5.258963600000043969e-04,1.635451634999999987e+04
5.353818600000011469e-04,1.634436888999999974e+04
5.450151500000046442e-04,1.633433735999999953e+04
5.547985200000056299e-04,1.632441599999999926e+04
5.647343100000057044e-04,1.631457649999999921e+04
5.748248900000021196e-04,1.630481845000000067e+04
5.850726700000023761e-04,1.629517411999999968e+04
5.954801000000031893e-04,1.628564897000000019e+04
6.060496700000044760e-04,1.627620339000000058e+04
6.167839000000014792e-04,1.626681917000000067e+04
6.276853600000009518e-04,1.625753599000000031e+04
6.387566400000040372e-04,1.624838218000000052e+04
6.500003900000024233e-04,1.623931631999999991e+04
6.614193000000057445e-04,1.623029448000000048e+04
6.730161000000052605e-04,1.622135201000000052e+04
6.847935500000019776e-04,1.621254507000000012e+04
