Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Absolute Pressure (Pa)
1.117124096,7020.278173
1.117421875,7020.160118
1.109977399,7024.89614
1.110275178,7024.871705
1.115039642,7021.725519
1.115339809,7021.471982
1.116826317,7020.423792
1.117719654,7020.071598
1.10967784,7024.896653
1.110572957,7024.819303
1.113252968,7023.266363
1.112955189,7023.505989
1.114741863,7021.983182
1.115635534,7021.232529
1.116528538,7020.595746
1.118017433,7020.014526
1.120101886,7020.665246
1.120399665,7020.918983
1.129035257,7037.371645
1.129333036,7037.844713
1.10938137,7024.868157
1.110870736,7024.737903
1.113550747,7023.019044
1.11265741,7023.734256
1.114444084,7022.24434
1.115930926,7021.005137
1.116230759,7020.79013
1.118315212,7019.990604
1.119804107,7020.450285
1.120697444,7021.218602
1.128735489,7036.876633
1.129630815,7038.299596
1.106106271,7022.640612
1.10640405,7022.979272
1.109085371,7024.81044
1.111168515,7024.627249
1.113848526,7022.764967
1.112359631,7023.949127
1.114146305,7022.506095
1.118612991,7020.005859
1.119506328,7020.281422
1.120995223,7021.555411
1.128438346,7036.36399
1.129928594,7038.737108
1.106701829,7023.292637
1.108786283,7024.721792
1.111466294,7024.489968
1.112061852,7024.14837
1.11891077,7020.058138
1.119208549,7020.150873
1.121293002,7021.93849
1.128142556,7035.836793
1.130226373,7039.157201
1.133501943,7042.63788
1.133799722,7042.837059
1.107892946,7024.274991
1.107595166,7024.071437
1.106999608,7023.579836
1.108488504,7024.60194
1.111764073,7024.329869
1.121592721,7022.361107
1.123079677,7024.969403
1.123377456,7025.574235
1.130524153,7039.560949
1.127844141,7035.280956
1.133204164,7042.417003
1.134097501,7043.01395
1.108190725,7024.453283
1.107297387,7023.840006
1.121889791,7022.820032
1.122781897,7024.391509
1.123675235,7026.192176
1.123973014,7026.832488
1.124270793,7027.481716
1.126355246,7032.208614
1.126653025,7032.859002
1.130821932,7039.947821
1.127546362,7034.707004
1.132906385,7042.17457
1.134395527,7043.16735
1.122185631,7023.309649
1.122484118,7023.833799
1.124568572,7028.147522
1.126057467,7031.540021
1.126950804,7033.49536
1.127248583,7034.110012
1.131119711,7040.317953
1.132608606,7041.911717
1.134690515,7043.295402
1.124866351,7028.818618
1.125461909,7030.182264
1.125759688,7030.865464
1.13141749,7040.671642
1.132310827,7041.629191
1.134988048,7043.398226
1.12516413,7029.501297
1.131715269,7041.008326
1.132013048,7041.327801
1.135288617,7043.473352
1.135586396,7043.517841
1.135884175,7043.531029
1.136181954,7043.521619
1.136479733,7043.481165
1.136777512,7043.405676
1.137075291,7043.292348
1.13737307,7043.142062
1.137670849,7042.956102
1.137968629,7042.734362
1.138266408,7042.476999
1.138564187,7042.183493
1.138861966,7041.854067
1.139159745,7041.492353
1.139457524,7041.099003
1.139755303,7040.677012
1.140053082,7040.230441
1.140350861,7039.764181
1.140649964,7039.280755
1.140945977,7038.794408
1.141242432,7038.301726
1.141541977,7037.805439
1.141839756,7037.318567
1.142137535,7036.843185
1.142435314,7036.384617
1.142733093,7035.946646
1.143030872,7035.535075
1.143328651,7035.153677
1.14362643,7034.806188
1.143924209,7034.493978
1.144221988,7034.218706
1.144519767,7033.979509
1.144817546,7033.778929
1.145115325,7033.614309
1.145413105,7033.485293
1.145710884,7033.384863
1.146008663,7033.314939
1.146306442,7033.268203
1.146604221,7033.242227
1.146904402,7033.235269
1.147200145,7033.237937
1.147495522,7033.24948
1.147795337,7033.262624
1.148093116,7033.271217
1.148390895,7033.275759
1.148688674,7033.267461
1.148986453,7033.251045
1.149284232,7033.216394
1.149582011,7033.16282
1.14987979,7033.087076
1.150177569,7032.990164
1.150475348,7032.868681
1.150773127,7032.72303
1.151070906,7032.552264
1.151368685,7032.354532
