Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Distance (m)
1.51345414,6.32E-07
1.513651724,6.32E-07
1.513850235,6.32E-07
1.514049673,6.32E-07
1.514248184,6.32E-07
1.514446695,6.32E-07
1.514645642,6.32E-07
1.514844153,6.32E-07
1.515042228,6.32E-07
1.515240738,6.32E-07
1.515439249,6.32E-07
1.51563956,6.32E-07
1.51583807,6.32E-07
1.516034782,6.32E-07
1.516233293,6.32E-07
1.516431804,6.32E-07
1.517225847,6.32E-07
1.516632215,6.32E-07
1.517027337,6.32E-07
1.517424358,6.32E-07
1.516830726,6.32E-07
1.517622869,6.32E-07
1.51782138,6.32E-07
1.520005,6.32E-07
1.519806489,6.32E-07
1.518019891,6.32E-07
1.519607978,6.32E-07
1.520203511,6.32E-07
1.518218402,6.32E-07
1.519409467,6.32E-07
1.520402022,6.32E-07
1.521990109,6.32E-07
1.522186563,6.32E-07
1.518416913,6.32E-07
1.519210957,6.32E-07
1.520600533,6.32E-07
1.521791598,6.32E-07
1.522385074,6.32E-07
1.518615424,6.32E-07
1.519012446,6.32E-07
1.520799044,6.32E-07
1.535886769,6.32E-07
1.536084383,6.32E-07
1.521593087,6.32E-07
1.522585642,6.32E-07
1.518813935,6.32E-07
1.520997555,6.32E-07
1.534099274,6.32E-07
1.534297785,6.32E-07
1.535688258,6.32E-07
1.536282894,6.32E-07
1.53767247,6.32E-07
1.537870981,6.32E-07
1.521394576,6.32E-07
1.522784153,6.32E-07
1.521196066,6.32E-07
1.523975218,6.32E-07
1.524173032,6.32E-07
1.525761816,6.32E-07
1.525960327,6.32E-07
1.5309231,6.32E-07
1.531121611,6.32E-07
1.533898934,6.32E-07
1.534496296,6.32E-07
1.53548885,6.32E-07
1.536481405,6.32E-07
1.53747396,6.32E-07
1.538069492,6.32E-07
1.522982664,6.32E-07
1.523776707,6.32E-07
1.524371543,6.32E-07
1.525563305,6.32E-07
1.526160868,6.32E-07
