Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Boundary Heat Flux (W/m^2)
1.51345414,37235.67047
1.513651724,37234.95648
1.513850235,37234.35973
1.514049673,37233.92074
1.514248184,37233.614
1.514446695,37233.46954
1.514645642,37233.45461
1.514844153,37233.60175
1.515042228,37233.87488
1.515240738,37234.3016
1.515439249,37234.86068
1.51563956,37235.51943
1.51583807,37236.33778
1.516034782,37237.23654
1.516233293,37238.26462
1.516431804,37239.3764
1.517225847,37244.74028
1.516632215,37240.5823
1.517027337,37243.28091
1.517424358,37246.26891
1.516830726,37241.8998
1.517622869,37247.87433
1.51782138,37249.53515
1.520005,37270.57424
1.519806489,37268.52261
1.518019891,37251.25432
1.519607978,37266.49162
1.520203511,37272.64442
1.518218402,37253.02172
1.519409467,37264.47518
1.520402022,37274.72064
1.521990109,37291.48892
1.522186563,37293.56675
1.518416913,37254.84017
1.519210957,37262.4829
1.520600533,37276.80883
1.521791598,37289.41294
1.522385074,37295.64026
1.518615424,37256.69613
1.519012446,37260.52191
1.520799044,37278.90434
1.535886769,37192.7455
1.536084383,37187.57985
1.521593087,37287.30472
1.522585642,37297.72758
1.518813935,37258.59567
1.520997555,37281.00184
1.534099274,37239.22553
1.534297785,37234.15646
1.535688258,37197.93086
1.536282894,37182.43138
1.53767247,37147.41632
1.537870981,37142.61283
1.521394576,37285.20538
1.522784153,37299.78147
1.521196066,37283.10226
1.523975218,37311.55502
1.524173032,37313.37767
1.525761816,37325.6594
1.525960327,37326.79535
1.5309231,37307.00292
1.531121611,37303.80325
1.533898934,37244.2779
1.534496296,37229.04836
1.53548885,37203.1576
1.536481405,37177.30023
1.53747396,37152.26964
1.538069492,37137.87385
1.522982664,37301.80175
1.523776707,37309.67535
1.524371543,37315.1622
1.525563305,37324.41398
1.526160868,37327.82918
1.530724589,37310.00984
1.531320122,37300.42677
1.533700423,37249.20144
1.53469434,37223.92326
1.53529034,37208.36451
1.536682176,37172.15886
1.537275449,37157.18314
1.538268003,37133.17896
1.539657579,37101.91097
1.53985609,37097.63884
1.528540969,37329.60869
1.52873948,37328.74955
1.523179115,37303.80279
1.523578196,37307.75384
1.524570751,37316.88656
1.524967773,37320.13677
1.52516695,37321.64936
1.525365461,37323.07851
1.526359378,37328.72766
1.530526078,37312.82526
1.531518632,37296.88688
1.533503741,37254.01377
1.534892851,37218.75545
1.535091829,37213.55728
1.536880686,37167.11096
1.537076938,37162.14703
1.538466514,37128.5533
1.539459069,37106.22184
1.540054601,37093.40954
1.528342458,37330.29009
1.528937991,37327.73216
1.529335013,37325.20774
1.529136502,37326.55136
1.527153431,37331.08321
1.527351942,37331.32608
1.523377626,37305.78997
1.524769262,37318.5456
1.52655586,37329.50835
1.530327567,37315.43489
1.531717143,37293.18353
1.533305231,37258.80237
1.538665025,37123.97821
1.539260558,37110.59074
1.540253112,37089.22298
1.528143947,37330.81048
1.529533523,37323.66979
1.526952882,37330.69881
1.527548414,37331.42306
1.526754371,37330.16857
1.530129056,37317.82889
1.531915654,37289.33407
1.53310672,37263.50979
1.538863536,37119.46656
1.539062047,37114.99435
1.540451623,37085.06106
1.542238221,37048.1349
1.542436732,37043.94586
1.529732034,37321.94095
1.527945436,37331.15765
1.527746925,37331.37098
1.529930545,37319.99047
1.532114165,37285.34152
1.532906291,37268.16026
1.540650134,37080.93362
1.548193548,36870.91099
1.548392059,36862.27982
1.545017374,36982.52415
1.545215648,36976.96666
1.543032265,37031.08829
1.54203971,37052.28106
1.542635243,37039.72032
1.532312676,37281.20686
1.53270778,37272.63108
1.540848645,37076.82751
1.546408077,36939.85685
1.546605461,36933.03835
1.547995037,36879.36291
1.54859057,36853.48635
1.544818863,36987.93669
1.545414159,36971.24116
1.543228996,37026.71374
1.543427507,37022.23042
1.543627797,37017.62378
1.542833754,37035.43213
1.541841199,37056.39888
1.532511187,37276.95587
1.541047156,37072.73462
1.546209566,36946.51231
1.546803972,36925.97622
1.548789081,36844.52972
1.547796526,36887.62705
1.545811417,36959.26135
1.545612906,36965.33763
1.544620352,36993.20496
1.543826308,37012.95345
1.541642688,37060.49459
1.541444178,37064.57942
1.541245667,37068.65719
1.551568234,36710.3053
1.551766744,36700.62202
1.549980146,36788.27095
1.550178657,36778.60449
1.546009928,36952.99416
1.547002483,36918.71758
1.548987592,36835.43762
1.547598016,36895.69046
1.544420242,36998.35549
1.544024819,37008.18586
1.551369723,36720.0309
1.551965255,36691.00445
1.549781635,36797.88816
1.550377168,36768.88086
1.547203484,36911.17087
1.549186103,36826.2064
1.547401994,36903.49368
1.544221731,37003.34733
1.55295781,36644.17116
1.551171212,36729.78723
1.552163766,36681.44691
1.549583125,36807.41665
1.550575679,36759.12659
1.549384614,36816.86244
1.553156321,36635.15333
1.552759299,36653.33139
1.552362277,36671.97657
1.550972701,36739.57028
1.55077419,36749.34871
1.553354832,36626.26521
1.552560788,36662.59843
1.553553343,36617.52357
1.553750212,36609.02221
1.553948723,36600.59662
1.554148875,36592.31113
1.554347386,36584.25847
1.554545897,36576.40652
1.554743039,36568.81303
1.55494155,36561.35696
1.55514143,36554.13379
1.555339941,36547.17524
1.555538452,36540.50629
1.555736956,36534.09764
1.555935467,36528.01742
1.556133984,36522.21913
1.556332495,36516.79287
1.556531006,36511.64153
1.556730874,36506.83764
1.556929385,36502.37304
1.557126539,36498.29303
1.55732505,36494.46372
1.557523561,36491.0351
1.557723705,36487.83638
1.557922216,36485.0546
1.558119093,36482.53316
1.558317604,36480.3733
1.558516115,36478.49491
1.558714626,36477.01453
1.558913137,36475.7721
1.559111648,36474.89145
1.559310159,36474.29152
1.55950867,36473.96167
1.559707181,36473.93821
1.559905691,36474.18934
1.560104202,36474.77843
1.560302713,36475.65845
1.560501224,36476.8704
1.560699735,36478.35634
1.560898246,36480.1735
1.561096757,36482.24497
1.561295268,36484.6247
1.561493779,36487.26874
1.56169229,36490.16132
1.5618908,36493.33688
1.562089311,36496.73646
1.562287822,36500.40843
1.562486333,36504.29451
1.562684844,36508.41385
1.562883355,36512.72116
1.563081866,36517.23614
1.563280377,36521.92248
1.563478888,36526.78643
1.563677399,36531.79859
1.563875909,36536.95916
1.56407442,36542.2354
1.564270429,36547.56434
1.56446894,36553.06677
1.564669953,36558.73995
1.564868464,36564.44263
1.565066975,36570.19845
1.565264347,36575.98414
1.565462858,36581.86406
1.565662508,36587.80829
1.565861019,36593.77071
1.566059529,36599.75311
1.566258264,36605.76252
1.566456775,36611.76489
1.566655062,36617.77534
1.566853573,36623.78701
1.567052084,36629.78662
1.567252182,36635.7972
1.567450693,36641.75359
1.567647617,36647.67196
1.567846128,36653.57368
1.568044638,36659.44065
1.568244922,36665.30024
1.568443432,36671.06808
1.568640171,36676.76943
1.568838682,36682.44636
1.569037193,36688.05873
1.569235704,36693.6075
1.569434215,36699.07526
1.569632726,36704.46973
1.569831237,36709.7725
1.570029747,36714.9931
1.570228258,36720.1072
1.570426769,36725.1247
1.57062528,36730.04566
1.570823791,36734.85849
1.571022302,36739.56834
1.571220813,36744.17077
1.571419324,36748.67232
1.571617835,36753.06212
1.571816346,36757.34989
1.572014856,36761.52508
1.572213367,36765.60381
1.572411878,36769.57005
1.572610389,36773.43216
1.5728089,36777.19445
1.573007411,36780.85496
1.573205922,36784.41914
1.573404433,36787.88438
1.573602944,36791.24755
1.573801455,36794.5233
1.573999966,36797.70586
1.574198476,36800.7937
1.574396987,36803.80404
1.574595498,36806.72213
1.574791737,36809.53194
1.574990248,36812.3054
1.575191031,36815.0055
1.575389542,36817.61976
1.575588053,36820.16506
