# x(m), q(W/m2)
0.000000000000000000e+00,6.580502128653656691e+06
4.963206074668159631e-04,3.596091011561837513e+06
9.926412149336319261e-04,2.580359108523017727e+06
1.488961822400450058e-03,2.048218982456269907e+06
1.985282429867259949e-03,1.749185236146653537e+06
2.481603037334080032e-03,1.553065716273286147e+06
2.977923644800890141e-03,1.412300598268917063e+06
3.474244252267710224e-03,1.302728118011994520e+06
3.970564859734530307e-03,1.212889449677782366e+06
4.466885467201340415e-03,1.136998588993656682e+06
4.963206074668160064e-03,1.073800406890310580e+06
5.459526682134970173e-03,1.021968068045743858e+06
5.955847289601789822e-03,9.772959684958037687e+05
6.452167897068599930e-03,9.382163527019210160e+05
6.948488504535420447e-03,9.038068363744146191e+05
7.444809112002240097e-03,8.730267228365185438e+05
7.941129719469050205e-03,8.454388514026772464e+05
8.437450326935869854e-03,8.210719995649741031e+05
8.933770934402680830e-03,8.023431970048845978e+05
9.430091541869500479e-03,7.882828286726531805e+05
9.926412149336320129e-03,7.815080411619170336e+05
1.042273275680309988e-02,7.835152457180854399e+05
1.091905336427000106e-02,7.960119890301927226e+05
1.141537397173679989e-02,8.193678843317949213e+05
1.191169457920360046e-02,8.492507994630683679e+05
1.240801518667040103e-02,8.797854482236658223e+05
1.290433579413719986e-02,9.068782038722920697e+05
1.340065640160400043e-02,9.265617687808619812e+05
1.389697700907089987e-02,9.386602925328532001e+05
1.439329761653770044e-02,9.444090795873751631e+05
1.488961822400450101e-02,9.458704783805053448e+05
1.538593883147129984e-02,9.451363010072070174e+05
1.588225943893810041e-02,9.428307070472614141e+05
1.637858004640490098e-02,9.394474258976606652e+05
1.687490065387180216e-02,9.350392183428907301e+05
1.737122126133860273e-02,9.312071482529662317e+05
1.786754186880539982e-02,9.274432841718632262e+05
1.836386247627220039e-02,9.238610700975080254e+05
1.886018308373900096e-02,9.196005294802188873e+05
1.935650369120579806e-02,9.149517024454855127e+05
1.985282429867260209e-02,9.099491317560998723e+05
2.034914490613949981e-02,9.052646267480343813e+05
2.084546551360630037e-02,9.003737584044311661e+05
2.134178612107310094e-02,8.965275735276573105e+05
2.183810672853989804e-02,8.930839393402731512e+05
2.233442733600670208e-02,8.899358433180148713e+05
2.283074794347350264e-02,8.861315697710431414e+05
2.332706855094029974e-02,8.821297117262141546e+05
2.382338915840710031e-02,8.780630795381624484e+05
2.431970976587399802e-02,8.747937236867573811e+05
2.481603037334080206e-02,8.717529100344798062e+05
2.531235098080760262e-02,8.684265052274462068e+05
2.580867158827439972e-02,8.651620984767023474e+05
2.630499219574120029e-02,8.617269188140449114e+05
2.680131280320800086e-02,8.582395525723696919e+05
2.729763341067479795e-02,8.547476734917520080e+05
2.779395401814170261e-02,8.514180735343112610e+05
2.829027462560849970e-02,8.486398015072750859e+05
2.878659523307530027e-02,8.460264887064825743e+05
2.928291584054210084e-02,8.436018682150597451e+05
2.977923644800889794e-02,8.412540673955869861e+05
3.027555705547570197e-02,8.391868130448085722e+05
3.077187766294250254e-02,8.365977343293236336e+05
3.126819827040940025e-02,8.338619044341630070e+05
3.176451887787620082e-02,8.308490721135714557e+05
3.226083948534300139e-02,8.272220167529616738e+05
3.275716009280980195e-02,8.233046118865231983e+05
3.325348070027659558e-02,8.196728876121564535e+05
3.374980130774339615e-02,8.165449367885290412e+05
3.424612191521020366e-02,8.145434343920750543e+05
3.474244252267710137e-02,8.126026179493297823e+05
3.523876313014390194e-02,8.108732645628126338e+05
3.573508373761070250e-02,8.091535268368362449e+05
3.623140434507750307e-02,8.073985537826251239e+05
3.672772495254430364e-02,8.058167072179928655e+05
3.722404556001109727e-02,8.044895031536404276e+05
3.772036616747789783e-02,8.031303040636471706e+05
3.821668677494469840e-02,8.018643523820627015e+05
3.871300738241159611e-02,8.000384585698703304e+05
3.920932798987840362e-02,7.981236962007150287e+05
3.970564859734520419e-02,7.960759275338556617e+05
4.020196920481200475e-02,7.944501791158828419e+05
4.069828981227880532e-02,7.927664894171578344e+05
4.119461041974559895e-02,7.908944939395902911e+05
4.169093102721239952e-02,7.887457781158169964e+05
4.218725163467920009e-02,7.875025190966615919e+05
4.268357224214609780e-02,7.860335838257309515e+05
4.317989284961289836e-02,7.849431092653373489e+05
4.367621345707969893e-02,7.839714399247399997e+05
4.417253406454649950e-02,7.829908112993543036e+05
4.466885467201330701e-02,7.821571228978902800e+05
4.516517527948010063e-02,7.809365102951009758e+05
4.566149588694700528e-02,7.799239051060224883e+05
4.615781649441379891e-02,7.792308717377020512e+05
4.665413710188059948e-02,7.786491723172350321e+05
4.715045770934740005e-02,7.781365170875899494e+05
4.764677831681420062e-02,7.768807372788467910e+05
4.814309892428100118e-02,7.755122918762512272e+05
4.863941953174780175e-02,7.735224174015219323e+05
4.913574013921469946e-02,7.726032094025233528e+05
4.963206074668150697e-02,7.719878232734454796e+05
5.012838135414830060e-02,7.715313491339536849e+05
5.062470196161510116e-02,7.704243323630526429e+05
5.112102256908190173e-02,7.693265266521875747e+05
5.161734317654870230e-02,7.682810386196831241e+05
5.211366378401550287e-02,7.672185577534711920e+05
5.260998439148230343e-02,7.662452485909068491e+05
5.310630499894920115e-02,7.649775897234772565e+05
5.360262560641600171e-02,7.637964425237278920e+05
5.409894621388279534e-02,7.618604463822419057e+05
5.459526682134959591e-02,7.602779692805305822e+05
5.509158742881640342e-02,7.596666762108174153e+05
5.558790803628320398e-02,7.600183958790737670e+05
5.608422864375000455e-02,7.588669522820573766e+05
5.658054925121690226e-02,7.575012421525139362e+05
5.707686985868370283e-02,7.562782331739193760e+05
