# x(m), P(Pa)
0.000000000000000000e+00,1.282698936853687701e+04
4.963206074668159631e-04,1.612724634829094975e+04
9.926412149336319261e-04,1.653198934306295996e+04
1.488961822400450058e-03,1.647841222608014505e+04
1.985282429867259949e-03,1.641612280695954541e+04
2.481603037334080032e-03,1.635616503012476096e+04
2.977923644800890141e-03,1.633504559217173301e+04
3.474244252267710224e-03,1.631706746991015098e+04
3.970564859734530307e-03,1.625581870361823349e+04
4.466885467201340415e-03,1.616444017485164659e+04
4.963206074668160064e-03,1.610322669034655155e+04
5.459526682134970173e-03,1.607691292074007288e+04
5.955847289601789822e-03,1.605968903879903519e+04
6.452167897068599930e-03,1.605007283376334090e+04
6.948488504535420447e-03,1.604287097511772845e+04
7.444809112002240097e-03,1.603021014328639467e+04
7.941129719469050205e-03,1.600329006383887827e+04
8.437450326935869854e-03,1.598225771436612195e+04
8.933770934402680830e-03,1.598582567576678775e+04
9.430091541869500479e-03,1.599955341950572256e+04
9.926412149336320129e-03,1.599807641897251960e+04
1.042273275680309988e-02,1.601597558454432328e+04
1.091905336427000106e-02,1.605556842537028024e+04
1.141537397173679989e-02,1.611262415561963098e+04
1.191169457920360046e-02,1.615672784322168627e+04
1.240801518667040103e-02,1.618116732371525541e+04
1.290433579413719986e-02,1.621615702075539957e+04
1.340065640160400043e-02,1.625500753004061153e+04
1.389697700907089987e-02,1.628628368854843575e+04
1.439329761653770044e-02,1.630037271695810159e+04
1.488961822400450101e-02,1.629706380719768276e+04
1.538593883147129984e-02,1.629882285765834604e+04
1.588225943893810041e-02,1.629717834745706750e+04
1.637858004640490098e-02,1.629192186675722041e+04
1.687490065387180216e-02,1.628261737954115597e+04
1.737122126133860273e-02,1.628377667694443880e+04
1.786754186880539982e-02,1.629113009099056217e+04
1.836386247627220039e-02,1.629814241746858715e+04
1.886018308373900096e-02,1.629317848860072081e+04
1.935650369120579806e-02,1.627918685900858509e+04
1.985282429867260209e-02,1.626388318894976328e+04
2.034914490613949981e-02,1.625418080718736928e+04
2.084546551360630037e-02,1.624387168672279950e+04
2.134178612107310094e-02,1.624581063508751322e+04
2.183810672853989804e-02,1.625686194780702135e+04
2.233442733600670208e-02,1.626654312863796622e+04
2.283074794347350264e-02,1.626143007483898327e+04
2.332706855094029974e-02,1.625052843202569420e+04
2.382338915840710031e-02,1.624224403957845061e+04
2.431970976587399802e-02,1.624385422607815963e+04
2.481603037334080206e-02,1.625019576134202362e+04
2.531235098080760262e-02,1.625096142210718608e+04
2.580867158827439972e-02,1.625132709955233258e+04
2.630499219574120029e-02,1.624997981670030094e+04
2.680131280320800086e-02,1.623864288491658772e+04
2.729763341067479795e-02,1.623070449215750159e+04
2.779395401814170261e-02,1.622540326263527641e+04
2.829027462560849970e-02,1.622517349737258519e+04
2.878659523307530027e-02,1.622883450561308564e+04
2.928291584054210084e-02,1.623350240608928107e+04
2.977923644800889794e-02,1.623888690673314341e+04
3.027555705547570197e-02,1.624702212201286238e+04
3.077187766294250254e-02,1.624788187513213961e+04
3.126819827040940025e-02,1.624251139262916331e+04
3.176451887787620082e-02,1.622893390900408485e+04
3.226083948534300139e-02,1.620552119806733026e+04
3.275716009280980195e-02,1.617744046732253810e+04
3.325348070027659558e-02,1.615743624797454140e+04
3.374980130774339615e-02,1.614640397270280482e+04
3.424612191521020366e-02,1.614961341061394523e+04
3.474244252267710137e-02,1.615441946111843936e+04
3.523876313014390194e-02,1.616092166716410793e+04
3.573508373761070250e-02,1.616517638439684924e+04
3.623140434507750307e-02,1.616766634907341722e+04
3.672772495254430364e-02,1.617358781801076475e+04
3.722404556001109727e-02,1.618273423438107420e+04
3.772036616747789783e-02,1.618944184898231833e+04
3.821668677494469840e-02,1.619555581554155651e+04
3.871300738241159611e-02,1.619254780169409059e+04
3.920932798987840362e-02,1.617961485094207637e+04
3.970564859734520419e-02,1.617025927989900265e+04
4.020196920481200475e-02,1.616676586936790591e+04
4.069828981227880532e-02,1.615958081538081569e+04
4.119461041974559895e-02,1.614670385099302257e+04
4.169093102721239952e-02,1.613384752911007490e+04
