# x(m), P(Pa)
0.000000000000000000e+00,1.125442140306103465e+04
4.963206074668159631e-04,1.539935137140577717e+04
9.926412149336319261e-04,1.589994991339650005e+04
1.488961822400450058e-03,1.583067073055597211e+04
1.985282429867259949e-03,1.577722579087039412e+04
2.481603037334080032e-03,1.572239823215155229e+04
2.977923644800890141e-03,1.568557937787487936e+04
3.474244252267710224e-03,1.566516122812148569e+04
3.970564859734530307e-03,1.563822329546589026e+04
4.466885467201340415e-03,1.561099090598263865e+04
4.963206074668160064e-03,1.559400551593952150e+04
5.459526682134970173e-03,1.558734089566087641e+04
5.955847289601789822e-03,1.557099629917793391e+04
6.452167897068599930e-03,1.554862613339993550e+04
6.948488504535420447e-03,1.552182468113186769e+04
7.444809112002240097e-03,1.552979144675988937e+04
7.941129719469050205e-03,1.555563040174551497e+04
8.437450326935869854e-03,1.558624582395479229e+04
8.933770934402680830e-03,1.561713917874884646e+04
9.430091541869500479e-03,1.563969204264208020e+04
9.926412149336320129e-03,1.568121954022683713e+04
1.042273275680309988e-02,1.572629249163226814e+04
1.091905336427000106e-02,1.573514337762308060e+04
1.141537397173679989e-02,1.572758546027601187e+04
1.191169457920360046e-02,1.573377911343232881e+04
1.240801518667040103e-02,1.573377449353094016e+04
1.290433579413719986e-02,1.573600796080079999e+04
1.340065640160400043e-02,1.573203379475235852e+04
1.389697700907089987e-02,1.572002334653483922e+04
1.439329761653770044e-02,1.570657972315883853e+04
1.488961822400450101e-02,1.569894739757446769e+04
1.538593883147129984e-02,1.568747545412725231e+04
1.588225943893810041e-02,1.568531483952478084e+04
1.637858004640490098e-02,1.568837234648546291e+04
1.687490065387180216e-02,1.568646158720147469e+04
1.737122126133860273e-02,1.567478889824019643e+04
1.786754186880539982e-02,1.565978539934819128e+04
1.836386247627220039e-02,1.564810134384403500e+04
1.886018308373900096e-02,1.564440384587660083e+04
1.935650369120579806e-02,1.563991750368145586e+04
1.985282429867260209e-02,1.563853821709643307e+04
2.034914490613949981e-02,1.564314458264168934e+04
2.084546551360630037e-02,1.564967726649783253e+04
2.134178612107310094e-02,1.565261837027930596e+04
