# x(m), q(W/m2)
0.000000000000000000e+00,4.859037647692119703e+06
4.963206074668159631e-04,3.163472778000754770e+06
9.926412149336319261e-04,2.561174941948385444e+06
1.488961822400450058e-03,2.045668181893702829e+06
1.985282429867259949e-03,1.753664178115841234e+06
2.481603037334080032e-03,1.558974580248462269e+06
2.977923644800890141e-03,1.418420896161052166e+06
3.474244252267710224e-03,1.308791880749295233e+06
3.970564859734530307e-03,1.220507029181814985e+06
4.466885467201340415e-03,1.147664697364984779e+06
4.963206074668160064e-03,1.086573024734962266e+06
5.459526682134970173e-03,1.034788472063162131e+06
5.955847289601789822e-03,9.891086681276423624e+05
6.452167897068599930e-03,9.482046849280750612e+05
6.948488504535420447e-03,9.111324788913714001e+05
7.444809112002240097e-03,8.799055780976254027e+05
7.941129719469050205e-03,8.519826310844772961e+05
8.437450326935869854e-03,8.265578369727045065e+05
8.933770934402680830e-03,8.031072062587796245e+05
9.430091541869500479e-03,7.827048817516918061e+05
9.926412149336320129e-03,7.645817717516772682e+05
1.042273275680309988e-02,7.486555417970448034e+05
1.091905336427000106e-02,7.352185782082490623e+05
1.141537397173679989e-02,7.251739901638517622e+05
1.191169457920360046e-02,7.202828792323243106e+05
1.240801518667040103e-02,7.203212894306493690e+05
1.290433579413719986e-02,7.275964323266822612e+05
1.340065640160400043e-02,7.414682764794592513e+05
1.389697700907089987e-02,7.615409008429460227e+05
1.439329761653770044e-02,7.868028690086749848e+05
1.488961822400450101e-02,8.148048702571942704e+05
1.538593883147129984e-02,8.429400376565707847e+05
1.588225943893810041e-02,8.689418718180712312e+05
1.637858004640490098e-02,8.914346349702605512e+05
1.687490065387180216e-02,9.093866746704457328e+05
1.737122126133860273e-02,9.207444617294381605e+05
1.786754186880539982e-02,9.278096315586583223e+05
1.836386247627220039e-02,9.325366171783655882e+05
1.886018308373900096e-02,9.354062048287518555e+05
1.935650369120579806e-02,9.372815791754192906e+05
1.985282429867260209e-02,9.385860423113207798e+05
2.034914490613949981e-02,9.387004520049281418e+05
2.084546551360630037e-02,9.364656242445338285e+05
2.134178612107310094e-02,9.332287787695050938e+05
2.183810672853989804e-02,9.289365201244984055e+05
2.233442733600670208e-02,9.247491851936089806e+05
2.283074794347350264e-02,9.207559780291399220e+05
2.332706855094029974e-02,9.165689541039321339e+05
2.382338915840710031e-02,9.133153828659959836e+05
2.431970976587399802e-02,9.101611101779853925e+05
2.481603037334080206e-02,9.068934829798458377e+05
2.531235098080760262e-02,9.032858995575641748e+05
2.580867158827439972e-02,8.993585536057990976e+05
2.630499219574120029e-02,8.953068584187523229e+05
2.680131280320800086e-02,8.908771468770313077e+05
2.729763341067479795e-02,8.864647386172002880e+05
2.779395401814170261e-02,8.824374799874286400e+05
2.829027462560849970e-02,8.784267264584925724e+05
2.878659523307530027e-02,8.743643259762080852e+05
2.928291584054210084e-02,8.711183974675307982e+05
2.977923644800889794e-02,8.680493618917734129e+05
3.027555705547570197e-02,8.651024724053038517e+05
3.077187766294250254e-02,8.621775528669961495e+05
3.126819827040940025e-02,8.592718062237884151e+05
3.176451887787620082e-02,8.564150078534104396e+05
3.226083948534300139e-02,8.535827734186676098e+05
3.275716009280980195e-02,8.505535257809065515e+05
3.325348070027659558e-02,8.474359224982113810e+05
3.374980130774339615e-02,8.440726284256383078e+05
3.424612191521020366e-02,8.406860774059921969e+05
3.474244252267710137e-02,8.376029453542933334e+05
3.523876313014390194e-02,8.346054087460808223e+05
3.573508373761070250e-02,8.315739141816775082e+05
3.623140434507750307e-02,8.286021649184584385e+05
3.672772495254430364e-02,8.259586020296859788e+05
3.722404556001109727e-02,8.236093804488066817e+05
3.772036616747789783e-02,8.213432804093260784e+05
3.821668677494469840e-02,8.191263444422985194e+05
3.871300738241159611e-02,8.169520729811575729e+05
3.920932798987840362e-02,8.148351167636703467e+05
3.970564859734520419e-02,8.127403606277422514e+05
4.020196920481200475e-02,8.106946711602548603e+05
4.069828981227880532e-02,8.086255056179740932e+05
4.119461041974559895e-02,8.064591009237935068e+05
4.169093102721239952e-02,8.041682414910971420e+05
4.218725163467920009e-02,8.016273400095743127e+05
4.268357224214609780e-02,7.988994329871484078e+05
4.317989284961289836e-02,7.961558466331250966e+05
4.367621345707969893e-02,7.935635323133533821e+05
4.417253406454649950e-02,7.912736750164512778e+05
