# x(m), q(W/m2)
0.000000000000000000e+00,4.859089263334969990e+06
4.963206074668159631e-04,3.163529661797194276e+06
9.926412149336319261e-04,2.561240135274609085e+06
1.488961822400450058e-03,2.045734388290516566e+06
1.985282429867259949e-03,1.753750225032008952e+06
2.481603037334080032e-03,1.559107870187735884e+06
2.977923644800890141e-03,1.418648417140311096e+06
3.474244252267710224e-03,1.309261607097640168e+06
3.970564859734530307e-03,1.221298681255117292e+06
4.466885467201340415e-03,1.148941850334498566e+06
4.963206074668160064e-03,1.088560787484171800e+06
5.459526682134970173e-03,1.037957345856229891e+06
5.955847289601789822e-03,9.940536913797148736e+05
6.452167897068599930e-03,9.560280201639169827e+05
6.948488504535420447e-03,9.233642228130690055e+05
7.444809112002240097e-03,9.001859967042314820e+05
7.941129719469050205e-03,8.840722350475835847e+05
8.437450326935869854e-03,8.776321060414439999e+05
8.933770934402680830e-03,8.803425376854481874e+05
9.430091541869500479e-03,8.929393847288285615e+05
9.926412149336320129e-03,9.133062624167056056e+05
1.042273275680309988e-02,9.377385363353219582e+05
1.091905336427000106e-02,9.617311427440238185e+05
1.141537397173679989e-02,9.816145710275571328e+05
1.191169457920360046e-02,9.964912677837897791e+05
1.240801518667040103e-02,1.007045315181935672e+06
1.290433579413719986e-02,1.014148754336056649e+06
1.340065640160400043e-02,1.017613934523726464e+06
1.389697700907089987e-02,1.018382813296242384e+06
1.439329761653770044e-02,1.016462939394536428e+06
1.488961822400450101e-02,1.013445523498715018e+06
1.538593883147129984e-02,1.009560989106137888e+06
1.588225943893810041e-02,1.004407639475463540e+06
1.637858004640490098e-02,9.986910026222016895e+05
1.687490065387180216e-02,9.923723404525223887e+05
1.737122126133860273e-02,9.854119577622670913e+05
1.786754186880539982e-02,9.779943963542198762e+05
1.836386247627220039e-02,9.709743431333854096e+05
1.886018308373900096e-02,9.649554640038202051e+05
1.935650369120579806e-02,9.591588542370384093e+05
1.985282429867260209e-02,9.532456689219624968e+05
2.034914490613949981e-02,9.476011222277748166e+05
2.084546551360630037e-02,9.419979505262505263e+05
2.134178612107310094e-02,9.363411175660424633e+05
2.183810672853989804e-02,9.304702636571292533e+05
2.233442733600670208e-02,9.245616324318855768e+05
2.283074794347350264e-02,9.189168944479449419e+05
2.332706855094029974e-02,9.141648035946821328e+05
2.382338915840710031e-02,9.098463288535174215e+05
2.431970976587399802e-02,9.058653573436505394e+05
2.481603037334080206e-02,9.020115069909491576e+05
2.531235098080760262e-02,8.981708551676117349e+05
2.580867158827439972e-02,8.944785978410162497e+05
