# x(m), q(W/m2)
0.000000000000000000e+00,4.511550593501732685e+06
4.963206074668159631e-04,3.421799220431773923e+06
9.926412149336319261e-04,2.491579432623501867e+06
1.488961822400450058e-03,1.989952056040424854e+06
1.985282429867259949e-03,1.715532933569028275e+06
2.481603037334080032e-03,1.538605217181381071e+06
2.977923644800890141e-03,1.415033772682252340e+06
3.474244252267710224e-03,1.323929497512954287e+06
3.970564859734530307e-03,1.251979865283208434e+06
4.466885467201340415e-03,1.194672406262830133e+06
4.963206074668160064e-03,1.147704789943543728e+06
5.459526682134970173e-03,1.107587383645704016e+06
5.955847289601789822e-03,1.071599774472461082e+06
6.452167897068599930e-03,1.043587054722015164e+06
6.948488504535420447e-03,1.018526830150117399e+06
7.444809112002240097e-03,9.958548899128017947e+05
7.941129719469050205e-03,9.765677342422619695e+05
8.437450326935869854e-03,9.588580911833188729e+05
8.933770934402680830e-03,9.425470263906134060e+05
9.430091541869500479e-03,9.280673483636380406e+05
9.926412149336320129e-03,9.152521268025983591e+05
1.042273275680309988e-02,9.034836854334265226e+05
1.091905336427000106e-02,8.925569552658683388e+05
1.141537397173679989e-02,8.820796225187643431e+05
1.191169457920360046e-02,8.725340741254615132e+05
1.240801518667040103e-02,8.643046497240477474e+05
1.290433579413719986e-02,8.570513939983764431e+05
1.340065640160400043e-02,8.495098948355824687e+05
1.389697700907089987e-02,8.423228448093009647e+05
1.439329761653770044e-02,8.350614723253997508e+05
1.488961822400450101e-02,8.281538984869444976e+05
1.538593883147129984e-02,8.223762185801718151e+05
1.588225943893810041e-02,8.170795738270650618e+05
1.637858004640490098e-02,8.123858900645554531e+05
1.687490065387180216e-02,8.078464218578332802e+05
1.737122126133860273e-02,8.029473483023399021e+05
1.786754186880539982e-02,7.979847492356329458e+05
1.836386247627220039e-02,7.927105103820589138e+05
1.886018308373900096e-02,7.876282708841713611e+05
1.935650369120579806e-02,7.837261644747267710e+05
1.985282429867260209e-02,7.801721120838284260e+05
2.034914490613949981e-02,7.768954643169840565e+05
2.084546551360630037e-02,7.737582416837210767e+05
2.134178612107310094e-02,7.708248781143126544e+05
2.183810672853989804e-02,7.674234524015580537e+05
2.233442733600670208e-02,7.640310026351928245e+05
2.283074794347350264e-02,7.604316091386873741e+05
2.332706855094029974e-02,7.568081256527577061e+05
2.382338915840710031e-02,7.531585700840892969e+05
2.431970976587399802e-02,7.505159027396935271e+05
2.481603037334080206e-02,7.479400735717504285e+05
2.531235098080760262e-02,7.457349399717148626e+05
2.580867158827439972e-02,7.437644325460869586e+05
2.630499219574120029e-02,7.417920651354849106e+05
2.680131280320800086e-02,7.394862883196047042e+05
2.729763341067479795e-02,7.370451626428301679e+05
2.779395401814170261e-02,7.346015908120867098e+05
2.829027462560849970e-02,7.320794720080177067e+05
2.878659523307530027e-02,7.294734019413656788e+05
2.928291584054210084e-02,7.268285371918356977e+05
2.977923644800889794e-02,7.243365626047934638e+05
3.027555705547570197e-02,7.220608900780223776e+05
3.077187766294250254e-02,7.202899229321734747e+05
3.126819827040940025e-02,7.186234996759982314e+05
3.176451887787620082e-02,7.171877874187461566e+05
3.226083948534300139e-02,7.158851367918585893e+05
3.275716009280980195e-02,7.145938674065286759e+05
3.325348070027659558e-02,7.132376185130788945e+05
3.374980130774339615e-02,7.117830008369515417e+05
3.424612191521020366e-02,7.099258654637755826e+05
3.474244252267710137e-02,7.080083349123663502e+05
3.523876313014390194e-02,7.059124560126247816e+05
3.573508373761070250e-02,7.038366753075962188e+05
3.623140434507750307e-02,7.018533856886475114e+05
3.672772495254430364e-02,6.999268530380175216e+05
3.722404556001109727e-02,6.980514554997889791e+05
3.772036616747789783e-02,6.962664885277646827e+05
3.821668677494469840e-02,6.946429871985323261e+05
3.871300738241159611e-02,6.931434104358211625e+05
3.920932798987840362e-02,6.919059897345921490e+05
3.970564859734520419e-02,6.907272779729982140e+05
4.020196920481200475e-02,6.897083517795332009e+05
4.069828981227880532e-02,6.888042084806961939e+05
4.119461041974559895e-02,6.878721695866013179e+05
4.169093102721239952e-02,6.868450624230484245e+05
4.218725163467920009e-02,6.855964635054460960e+05
4.268357224214609780e-02,6.843062306061260169e+05
4.317989284961289836e-02,6.828895787600473268e+05
4.367621345707969893e-02,6.813394824576094979e+05
4.417253406454649950e-02,6.796897505758376792e+05
4.466885467201330701e-02,6.779920606669109548e+05
4.516517527948010063e-02,6.763073135708139744e+05
4.566149588694700528e-02,6.746928121314545861e+05
4.615781649441379891e-02,6.731832891401130473e+05
4.665413710188059948e-02,6.718062603079995606e+05
4.715045770934740005e-02,6.705391924947969383e+05
4.764677831681420062e-02,6.693664190404331312e+05
4.814309892428100118e-02,6.682748932103537954e+05
4.863941953174780175e-02,6.672549728246656014e+05
4.913574013921469946e-02,6.663266774149645353e+05
4.963206074668150697e-02,6.654453595972299809e+05
5.012838135414830060e-02,6.646456791556568351e+05
5.062470196161510116e-02,6.639184896552962018e+05
5.112102256908190173e-02,6.632397103813524591e+05
5.161734317654870230e-02,6.625860649797590449e+05
5.211366378401550287e-02,6.619403341355641605e+05
5.260998439148230343e-02,6.612746108976313844e+05
5.310630499894920115e-02,6.605610529512107605e+05
5.360262560641600171e-02,6.596472272880477831e+05
5.409894621388279534e-02,6.587124300773988944e+05
5.459526682134959591e-02,6.577062043621925404e+05
5.509158742881640342e-02,6.566775807395618176e+05
5.558790803628320398e-02,6.556663531848357525e+05
5.608422864375000455e-02,6.546845008725292282e+05
5.658054925121690226e-02,6.537184458761535352e+05
5.707686985868370283e-02,6.527538403411991894e+05
5.757319046615050340e-02,6.517873453637877246e+05
5.806951107361729703e-02,6.508120611281491583e+05
5.856583168108409759e-02,6.498210480275769951e+05
5.906215228855089816e-02,6.488192004606556147e+05
5.955847289601769873e-02,6.478387188602362294e+05
6.005479350348460338e-02,6.469105911538436776e+05
6.055111411095140395e-02,6.460484461667761207e+05
6.104743471841820451e-02,6.452342360752592795e+05
6.154375532588500508e-02,6.444552769171399996e+05
6.204007593335180565e-02,6.436950300928174984e+05
6.253639654081860622e-02,6.429680548037316184e+05
6.303271714828539984e-02,6.422540398425663589e+05
6.352903775575220735e-02,6.415682932415918913e+05
6.402535836321900098e-02,6.409145202403358417e+05
6.452167897068590563e-02,6.402924408520349534e+05
6.501799957815269926e-02,6.396983969506474677e+05
6.551432018561949289e-02,6.391250663484683027e+05
6.601064079308630039e-02,6.385660599280353636e+05
6.650696140055309402e-02,6.380176904733305564e+05
6.700328200801990153e-02,6.374779269047572743e+05
6.749960261548679230e-02,6.369471821891912259e+05
6.799592322295361368e-02,6.364239281382668996e+05
6.849224383042040731e-02,6.358968750260984525e+05
6.898856443788720094e-02,6.353441212420118973e+05
6.948488504535400845e-02,6.347550520063284785e+05
6.998120565282080208e-02,6.341516306533896131e+05
7.047752626028760958e-02,6.335498738726280862e+05
7.097384686775450036e-02,6.329520343950677197e+05
7.147016747522130786e-02,6.323586357307833387e+05
7.196648808268810149e-02,6.317756794448863948e+05
7.246280869015490900e-02,6.312074090074435808e+05
