# x(m), q(W/m2)
0.000000000000000000e+00,4.472212908135704696e+06
4.963206074668159631e-04,3.425751257308053784e+06
9.926412149336319261e-04,2.494987721937241964e+06
1.488961822400450058e-03,1.989982300595322857e+06
1.985282429867259949e-03,1.707569415297292639e+06
2.481603037334080032e-03,1.523375731210561935e+06
2.977923644800890141e-03,1.402680250717893941e+06
3.474244252267710224e-03,1.323794985991438152e+06
3.970564859734530307e-03,1.264867671294956468e+06
4.466885467201340415e-03,1.217931283419762272e+06
4.963206074668160064e-03,1.175787808693274390e+06
5.459526682134970173e-03,1.137541309154778020e+06
5.955847289601789822e-03,1.103864845208893297e+06
6.452167897068599930e-03,1.075087182361801621e+06
6.948488504535420447e-03,1.048967042769545922e+06
7.444809112002240097e-03,1.025549150253680884e+06
7.941129719469050205e-03,1.005005066222705063e+06
8.437450326935869854e-03,9.862282462568958290e+05
8.933770934402680830e-03,9.690432842604040634e+05
9.430091541869500479e-03,9.532676500917682424e+05
9.926412149336320129e-03,9.398216021387351211e+05
1.042273275680309988e-02,9.273697709440487670e+05
1.091905336427000106e-02,9.156262578028605785e+05
1.141537397173679989e-02,9.042244685211890610e+05
1.191169457920360046e-02,8.941978548781244317e+05
1.240801518667040103e-02,8.850457319999301108e+05
1.290433579413719986e-02,8.766605881905910792e+05
1.340065640160400043e-02,8.684669963176321471e+05
1.389697700907089987e-02,8.606272609090580372e+05
1.439329761653770044e-02,8.528907062464709161e+05
1.488961822400450101e-02,8.453104621021519415e+05
1.538593883147129984e-02,8.390755085556166014e+05
1.588225943893810041e-02,8.332906355024481891e+05
1.637858004640490098e-02,8.279076603858876042e+05
1.687490065387180216e-02,8.226958225214289268e+05
1.737122126133860273e-02,8.171894727110269014e+05
1.786754186880539982e-02,8.115441868658245075e+05
1.836386247627220039e-02,8.058851202153853374e+05
1.886018308373900096e-02,8.008425115949456813e+05
1.935650369120579806e-02,7.965778427677770378e+05
1.985282429867260209e-02,7.926332412614275236e+05
2.034914490613949981e-02,7.890477685329644009e+05
2.084546551360630037e-02,7.856990573450661032e+05
2.134178612107310094e-02,7.822246728737539379e+05
2.183810672853989804e-02,7.784847312318304321e+05
2.233442733600670208e-02,7.746300191493424354e+05
2.283074794347350264e-02,7.705165017420467921e+05
2.332706855094029974e-02,7.663145065679181134e+05
2.382338915840710031e-02,7.626062861977210268e+05
2.431970976587399802e-02,7.597294262541148346e+05
2.481603037334080206e-02,7.571340080711795017e+05
2.531235098080760262e-02,7.548382973892121809e+05
2.580867158827439972e-02,7.525520528126985300e+05
2.630499219574120029e-02,7.502501123254109407e+05
2.680131280320800086e-02,7.480701414608808700e+05
2.729763341067479795e-02,7.453915254286827985e+05
2.779395401814170261e-02,7.427336287533525610e+05
2.829027462560849970e-02,7.398577239489654312e+05
2.878659523307530027e-02,7.369022725604912266e+05
2.928291584054210084e-02,7.339672271829870297e+05
