# x(m), q(W/m2)
0.000000000000000000e+00,4.518998797072516754e+06
4.963206074668159631e-04,3.421877244081364479e+06
9.926412149336319261e-04,2.491328045413053129e+06
1.488961822400450058e-03,1.986011282201478491e+06
1.985282429867259949e-03,1.702494388846674934e+06
2.481603037334080032e-03,1.513182093919005012e+06
2.977923644800890141e-03,1.376313206546214875e+06
3.474244252267710224e-03,1.270359254805938806e+06
3.970564859734530307e-03,1.185049823683436960e+06
4.466885467201340415e-03,1.114953791602100944e+06
4.963206074668160064e-03,1.057176793153263861e+06
5.459526682134970173e-03,1.009121501711995690e+06
5.955847289601789822e-03,9.689124200593046844e+05
6.452167897068599930e-03,9.366565050641128328e+05
6.948488504535420447e-03,9.143716434493387351e+05
7.444809112002240097e-03,9.055098975947941653e+05
7.941129719469050205e-03,9.121676763214566745e+05
8.437450326935869854e-03,9.277090988753479905e+05
8.933770934402680830e-03,9.490092358892259654e+05
9.430091541869500479e-03,9.713433717812573304e+05
9.926412149336320129e-03,9.929969266690133372e+05
1.042273275680309988e-02,1.009673762510535074e+06
1.091905336427000106e-02,1.016878625685656909e+06
1.141537397173679989e-02,1.018884315658909269e+06
1.191169457920360046e-02,1.018695529672522563e+06
1.240801518667040103e-02,1.016376500426800223e+06
1.290433579413719986e-02,1.012463324461353710e+06
1.340065640160400043e-02,1.006445777964349487e+06
1.389697700907089987e-02,9.990790130446261028e+05
1.439329761653770044e-02,9.913432803779921960e+05
1.488961822400450101e-02,9.842775097968669143e+05
1.538593883147129984e-02,9.769899712036945857e+05
1.588225943893810041e-02,9.704590512928643730e+05
1.637858004640490098e-02,9.641529064929131418e+05
1.687490065387180216e-02,9.575452771621857537e+05
1.737122126133860273e-02,9.510775462366648717e+05
1.786754186880539982e-02,9.445089730512110982e+05
1.836386247627220039e-02,9.383311565848466707e+05
1.886018308373900096e-02,9.331042561925121117e+05
1.935650369120579806e-02,9.279467217246247455e+05
1.985282429867260209e-02,9.231742161090419395e+05
2.034914490613949981e-02,9.186494798613733146e+05
2.084546551360630037e-02,9.143449265669208253e+05
2.134178612107310094e-02,9.098262723692557774e+05
2.183810672853989804e-02,9.047898003174510086e+05
2.233442733600670208e-02,8.994310435724896379e+05
2.283074794347350264e-02,8.938645125990861561e+05
2.332706855094029974e-02,8.887274097191704204e+05
2.382338915840710031e-02,8.840761729819340399e+05
2.431970976587399802e-02,8.803076736555012176e+05
2.481603037334080206e-02,8.768837022212720476e+05
2.531235098080760262e-02,8.736877647741321707e+05
2.580867158827439972e-02,8.706090472028933000e+05
2.630499219574120029e-02,8.676418781961698551e+05
2.680131280320800086e-02,8.647048575837783283e+05
2.729763341067479795e-02,8.612998531959266402e+05
2.779395401814170261e-02,8.577911973466053605e+05
2.829027462560849970e-02,8.539241066974343266e+05
2.878659523307530027e-02,8.496776601774438750e+05
2.928291584054210084e-02,8.454770996823711321e+05
2.977923644800889794e-02,8.416814709267552244e+05
3.027555705547570197e-02,8.385976964211204322e+05
3.077187766294250254e-02,8.357685848551681265e+05
3.126819827040940025e-02,8.333047727031512186e+05
3.176451887787620082e-02,8.312428906362941489e+05
3.226083948534300139e-02,8.293251801571124233e+05
3.275716009280980195e-02,8.272730487248074496e+05
3.325348070027659558e-02,8.250750314283740008e+05
3.374980130774339615e-02,8.228790039096097462e+05
3.424612191521020366e-02,8.204692135558523005e+05
3.474244252267710137e-02,8.179634216644472908e+05
3.523876313014390194e-02,8.152081473910782952e+05
3.573508373761070250e-02,8.122392087587872520e+05
3.623140434507750307e-02,8.091435603913974483e+05
3.672772495254430364e-02,8.059603528368223924e+05
3.722404556001109727e-02,8.028845142371583497e+05
3.772036616747789783e-02,8.001560798097924562e+05
3.821668677494469840e-02,7.979709701515955385e+05
3.871300738241159611e-02,7.958567411522001494e+05
3.920932798987840362e-02,7.939318761094069341e+05
3.970564859734520419e-02,7.921295052295954665e+05
4.020196920481200475e-02,7.904247533363091061e+05
4.069828981227880532e-02,7.888069020244495478e+05
4.119461041974559895e-02,7.872551145403425908e+05
4.169093102721239952e-02,7.857751836141634267e+05
4.218725163467920009e-02,7.838557285214851145e+05
4.268357224214609780e-02,7.818974837817102671e+05
4.317989284961289836e-02,7.797182615342763020e+05
4.367621345707969893e-02,7.775681603257280076e+05
4.417253406454649950e-02,7.754915864313893253e+05
4.466885467201330701e-02,7.733843341251830570e+05
4.516517527948010063e-02,7.711875548456467222e+05
4.566149588694700528e-02,7.689438860928750364e+05
4.615781649441379891e-02,7.667628336867686594e+05
4.665413710188059948e-02,7.646282704036644427e+05
4.715045770934740005e-02,7.625395333626508946e+05
4.764677831681420062e-02,7.605407725110753672e+05
4.814309892428100118e-02,7.590003262620228343e+05
4.863941953174780175e-02,7.575127449491217267e+05
4.913574013921469946e-02,7.561812877000538865e+05
4.963206074668150697e-02,7.549736736226713983e+05
5.012838135414830060e-02,7.538281926131657092e+05
5.062470196161510116e-02,7.526782433921968332e+05
5.112102256908190173e-02,7.514827934742345242e+05
5.161734317654870230e-02,7.502387485342546133e+05
5.211366378401550287e-02,7.489802319220234640e+05
5.260998439148230343e-02,7.477264416515859775e+05
5.310630499894920115e-02,7.464783098426032811e+05
5.360262560641600171e-02,7.452209763194965199e+05
5.409894621388279534e-02,7.439801312057250179e+05
5.459526682134959591e-02,7.426687702389938058e+05
5.509158742881640342e-02,7.413145578370097792e+05
5.558790803628320398e-02,7.398699572690384230e+05
5.608422864375000455e-02,7.383843885569509584e+05
5.658054925121690226e-02,7.369667130879622418e+05
5.707686985868370283e-02,7.356279509191781981e+05
5.757319046615050340e-02,7.343077932598439511e+05
5.806951107361729703e-02,7.329696622403156944e+05
5.856583168108409759e-02,7.316019227303920779e+05
5.906215228855089816e-02,7.302255337754036300e+05
5.955847289601769873e-02,7.288678242214095080e+05
6.005479350348460338e-02,7.275427527945296606e+05
6.055111411095140395e-02,7.262373422172040446e+05
6.104743471841820451e-02,7.249216420578273246e+05
