# x(m), q(W/m2)
0.000000000000000000e+00,5.519436034730131738e+06
4.963206074668159631e-04,3.533275494473006576e+06
9.926412149336319261e-04,2.565357388549768832e+06
1.488961822400450058e-03,2.045860261906329077e+06
1.985282429867259949e-03,1.753590614508504514e+06
2.481603037334080032e-03,1.558907186808408005e+06
2.977923644800890141e-03,1.418379664253768278e+06
3.474244252267710224e-03,1.308782196684692753e+06
3.970564859734530307e-03,1.220517859093598090e+06
4.466885467201340415e-03,1.147710067749887472e+06
4.963206074668160064e-03,1.086656646203105105e+06
5.459526682134970173e-03,1.034921933543593157e+06
5.955847289601789822e-03,9.893184530121563002e+05
6.452167897068599930e-03,9.485468976280920906e+05
6.948488504535420447e-03,9.117153402183945291e+05
7.444809112002240097e-03,8.809346849262644537e+05
7.941129719469050205e-03,8.538561909757732647e+05
8.437450326935869854e-03,8.299722066546126734e+05
8.933770934402680830e-03,8.092464361539356178e+05
9.430091541869500479e-03,7.934124462506745476e+05
9.926412149336320129e-03,7.836314029810192296e+05
1.042273275680309988e-02,7.821423372142625740e+05
1.091905336427000106e-02,7.890518392633361509e+05
1.141537397173679989e-02,8.069925357054640772e+05
1.191169457920360046e-02,8.334576595950272167e+05
1.240801518667040103e-02,8.641252139619165100e+05
1.290433579413719986e-02,8.918946774071253603e+05
1.340065640160400043e-02,9.122784358804282965e+05
1.389697700907089987e-02,9.247536957415034994e+05
1.439329761653770044e-02,9.316916269858088344e+05
1.488961822400450101e-02,9.345258226751816692e+05
1.538593883147129984e-02,9.354815193537124433e+05
1.588225943893810041e-02,9.342574862366217421e+05
1.637858004640490098e-02,9.314350157092596637e+05
1.687490065387180216e-02,9.278335760154774180e+05
1.737122126133860273e-02,9.234766984780168859e+05
1.786754186880539982e-02,9.182029441011346644e+05
1.836386247627220039e-02,9.142218354181216564e+05
1.886018308373900096e-02,9.103374796774963615e+05
1.935650369120579806e-02,9.066391232366398908e+05
1.985282429867260209e-02,9.030970806913767010e+05
2.034914490613949981e-02,8.992263312049505766e+05
2.084546551360630037e-02,8.952732125380692305e+05
2.134178612107310094e-02,8.910608031620952534e+05
2.183810672853989804e-02,8.866042572620749706e+05
2.233442733600670208e-02,8.819440328216995113e+05
2.283074794347350264e-02,8.778938796991676791e+05
2.332706855094029974e-02,8.744652704037149670e+05
2.382338915840710031e-02,8.711856571810016176e+05
2.431970976587399802e-02,8.680108878581488971e+05
2.481603037334080206e-02,8.649587869554404169e+05
2.531235098080760262e-02,8.620114167786063626e+05
2.580867158827439972e-02,8.588291093200907344e+05
2.630499219574120029e-02,8.555941089095007628e+05
2.680131280320800086e-02,8.522356060359661933e+05
2.729763341067479795e-02,8.488123614327553660e+05
2.779395401814170261e-02,8.452709051136574708e+05
2.829027462560849970e-02,8.416616911409504246e+05
2.878659523307530027e-02,8.385357802076996304e+05
2.928291584054210084e-02,8.359044090567474486e+05
2.977923644800889794e-02,8.334026737970277900e+05
3.027555705547570197e-02,8.310648417617215309e+05
3.077187766294250254e-02,8.288835417621361557e+05
3.126819827040940025e-02,8.268206001061397837e+05
3.176451887787620082e-02,8.247941514312232612e+05
3.226083948534300139e-02,8.228699525111677358e+05
3.275716009280980195e-02,8.205043224583130796e+05
3.325348070027659558e-02,8.180897400168651948e+05
3.374980130774339615e-02,8.154245734914680943e+05
3.424612191521020366e-02,8.127210235505484743e+05
3.474244252267710137e-02,8.101642679652072256e+05
3.523876313014390194e-02,8.075583240008919965e+05
3.573508373761070250e-02,8.048558642906544264e+05
3.623140434507750307e-02,8.022353506575553911e+05
3.672772495254430364e-02,8.000201445384139661e+05
3.722404556001109727e-02,7.981506531111213844e+05
3.772036616747789783e-02,7.963536382267927984e+05
3.821668677494469840e-02,7.946347620869585080e+05
3.871300738241159611e-02,7.929849514166692970e+05
3.920932798987840362e-02,7.913923368434068980e+05
3.970564859734520419e-02,7.898578605965372408e+05
4.020196920481200475e-02,7.882064615035842871e+05
4.069828981227880532e-02,7.865402971257430036e+05
4.119461041974559895e-02,7.848016122948341072e+05
4.169093102721239952e-02,7.829178089441134362e+05
4.218725163467920009e-02,7.808859523775650887e+05
4.268357224214609780e-02,7.785599630589704029e+05
4.317989284961289836e-02,7.762626573442937806e+05
4.367621345707969893e-02,7.740840364045928000e+05
4.417253406454649950e-02,7.721527471873172326e+05
4.466885467201330701e-02,7.704618605509540066e+05
4.516517527948010063e-02,7.687696723553637275e+05
4.566149588694700528e-02,7.670501907713158289e+05
4.615781649441379891e-02,7.652799024433678715e+05
4.665413710188059948e-02,7.639509815211964305e+05
4.715045770934740005e-02,7.627115639196151169e+05
4.764677831681420062e-02,7.616257408137832535e+05
4.814309892428100118e-02,7.605937509467866039e+05
4.863941953174780175e-02,7.595421768319826806e+05
4.913574013921469946e-02,7.584624226653877413e+05
4.963206074668150697e-02,7.573795741131078685e+05
5.012838135414830060e-02,7.563133963254047558e+05
5.062470196161510116e-02,7.552584537764773704e+05
5.112102256908190173e-02,7.541115444693922764e+05
5.161734317654870230e-02,7.529027070096146781e+05
