# x(m), q(W/m2)
0.000000000000000000e+00,4.504596998845743947e+06
4.963206074668159631e-04,3.421876532963691745e+06
9.926412149336319261e-04,2.491323780452094506e+06
1.488961822400450058e-03,1.986002190365654184e+06
1.985282429867259949e-03,1.702475287566463230e+06
2.481603037334080032e-03,1.513154332343825139e+06
2.977923644800890141e-03,1.376269062242483953e+06
3.474244252267710224e-03,1.270277664331348380e+06
3.970564859734530307e-03,1.184876906242368277e+06
4.466885467201340415e-03,1.114606895138656488e+06
4.963206074668160064e-03,1.056565250108716311e+06
5.459526682134970173e-03,1.008158748949125060e+06
5.955847289601789822e-03,9.672867730014972622e+05
6.452167897068599930e-03,9.338334501293771900e+05
6.948488504535420447e-03,9.090524397083114600e+05
7.444809112002240097e-03,8.968962065779870609e+05
7.941129719469050205e-03,9.009321377204773016e+05
8.437450326935869854e-03,9.162104140771400416e+05
8.933770934402680830e-03,9.410162213549802545e+05
9.430091541869500479e-03,9.672272352553672390e+05
9.926412149336320129e-03,9.904398356729419902e+05
1.042273275680309988e-02,1.007812113061735407e+06
1.091905336427000106e-02,1.016602604283665656e+06
1.141537397173679989e-02,1.019332176490595215e+06
1.191169457920360046e-02,1.017225960378959775e+06
1.240801518667040103e-02,1.013234491565706325e+06
1.290433579413719986e-02,1.007426385677323211e+06
1.340065640160400043e-02,1.000766791260006954e+06
1.389697700907089987e-02,9.932161119647247251e+05
1.439329761653770044e-02,9.844728092245780863e+05
1.488961822400450101e-02,9.759076180584629765e+05
1.538593883147129984e-02,9.690559782662428916e+05
1.588225943893810041e-02,9.620446136697246693e+05
1.637858004640490098e-02,9.554682862684159772e+05
1.687490065387180216e-02,9.492063472659644904e+05
1.737122126133860273e-02,9.424430211854025256e+05
1.786754186880539982e-02,9.353046849892532919e+05
1.836386247627220039e-02,9.277686759191536112e+05
1.886018308373900096e-02,9.207643242633527843e+05
1.935650369120579806e-02,9.153098278679089854e+05
1.985282429867260209e-02,9.105074195146590937e+05
