# x(m), q(W/m2)
0.000000000000000000e+00,4.443854649138913490e+06
4.963206074668159631e-04,3.520603717685081996e+06
9.926412149336319261e-04,2.565535405353108887e+06
1.488961822400450058e-03,2.046555853436563397e+06
1.985282429867259949e-03,1.754391903016708326e+06
2.481603037334080032e-03,1.561123884520660155e+06
2.977923644800890141e-03,1.423307261574785691e+06
3.474244252267710224e-03,1.321041872822038364e+06
3.970564859734530307e-03,1.250481379081869498e+06
4.466885467201340415e-03,1.221442885478619486e+06
4.963206074668160064e-03,1.224855299622105667e+06
5.459526682134970173e-03,1.239549664967625868e+06
5.955847289601789822e-03,1.253033031327790348e+06
6.452167897068599930e-03,1.259931318775821710e+06
6.948488504535420447e-03,1.258137935866217595e+06
7.444809112002240097e-03,1.247081899539383594e+06
7.941129719469050205e-03,1.232679943598182406e+06
8.437450326935869854e-03,1.217186496223964496e+06
8.933770934402680830e-03,1.201672458551147254e+06
9.430091541869500479e-03,1.186618317547041224e+06
9.926412149336320129e-03,1.172510279949430143e+06
1.042273275680309988e-02,1.158579149932286469e+06
1.091905336427000106e-02,1.144238875433164882e+06
1.141537397173679989e-02,1.132024176220606780e+06
1.191169457920360046e-02,1.120882363490829244e+06
1.240801518667040103e-02,1.110312442985321628e+06
1.290433579413719986e-02,1.100086361568145454e+06
1.340065640160400043e-02,1.090008896816796856e+06
1.389697700907089987e-02,1.079343047545017907e+06
1.439329761653770044e-02,1.070420236091113882e+06
1.488961822400450101e-02,1.062525371231675847e+06
1.538593883147129984e-02,1.055188628026911290e+06
1.588225943893810041e-02,1.047778510867354809e+06
1.637858004640490098e-02,1.040400684810110717e+06
1.687490065387180216e-02,1.032886461529117078e+06
1.737122126133860273e-02,1.025439207085289643e+06
1.786754186880539982e-02,1.017991927786822431e+06
1.836386247627220039e-02,1.011271156519358745e+06
1.886018308373900096e-02,1.005563617911056499e+06
1.935650369120579806e-02,1.000504780240683700e+06
1.985282429867260209e-02,9.957422625668649562e+05
2.034914490613949981e-02,9.907080317979445681e+05
2.084546551360630037e-02,9.854501102708482649e+05
2.134178612107310094e-02,9.798681472822600044e+05
2.183810672853989804e-02,9.738255139391541015e+05
2.233442733600670208e-02,9.680682760481034638e+05
2.283074794347350264e-02,9.632828470574953826e+05
2.332706855094029974e-02,9.588502456168591743e+05
2.382338915840710031e-02,9.546397633439503843e+05
2.431970976587399802e-02,9.508203402582345298e+05
2.481603037334080206e-02,9.474584358729803935e+05
2.531235098080760262e-02,9.442623326971411007e+05
2.580867158827439972e-02,9.404527547518932261e+05
2.630499219574120029e-02,9.366591419569505379e+05
2.680131280320800086e-02,9.326179706707453588e+05
2.729763341067479795e-02,9.283419243885459146e+05
2.779395401814170261e-02,9.238226448311011773e+05
2.829027462560849970e-02,9.193818410488718655e+05
2.878659523307530027e-02,9.157874310865744483e+05
2.928291584054210084e-02,9.126080561533676228e+05
2.977923644800889794e-02,9.097128152087829076e+05
3.027555705547570197e-02,9.071744851517153438e+05
3.077187766294250254e-02,9.045815216773600550e+05
3.126819827040940025e-02,9.018930478285732679e+05
3.176451887787620082e-02,8.993468519368836423e+05
3.226083948534300139e-02,8.969471239233631641e+05
3.275716009280980195e-02,8.940759434574609622e+05
3.325348070027659558e-02,8.911638307726503117e+05
3.374980130774339615e-02,8.880088940323061543e+05
3.424612191521020366e-02,8.847899495587998535e+05
3.474244252267710137e-02,8.815692540844854666e+05
3.523876313014390194e-02,8.783299732565679587e+05
3.573508373761070250e-02,8.751559874194351723e+05
3.623140434507750307e-02,8.722214504302171990e+05
3.672772495254430364e-02,8.696161677500157384e+05
3.722404556001109727e-02,8.673281358122262172e+05
3.772036616747789783e-02,8.651482663046327652e+05
3.821668677494469840e-02,8.630335395124946954e+05
3.871300738241159611e-02,8.609597429474449018e+05
3.920932798987840362e-02,8.590192292106968816e+05
3.970564859734520419e-02,8.569354747362397611e+05
4.020196920481200475e-02,8.546832855689738644e+05
4.069828981227880532e-02,8.523145569064775482e+05
4.119461041974559895e-02,8.499816506252302788e+05
4.169093102721239952e-02,8.476884233003050322e+05
4.218725163467920009e-02,8.453635572414696217e+05
4.268357224214609780e-02,8.429787464895519661e+05
4.317989284961289836e-02,8.405394758608766133e+05
4.367621345707969893e-02,8.381213117434523301e+05
4.417253406454649950e-02,8.357925799580994062e+05
4.466885467201330701e-02,8.335933916133348830e+05
4.516517527948010063e-02,8.315298597167499829e+05
4.566149588694700528e-02,8.296124552239313489e+05
4.615781649441379891e-02,8.278250050420780899e+05
4.665413710188059948e-02,8.261736868638879387e+05
4.715045770934740005e-02,8.245985642505798023e+05
4.764677831681420062e-02,8.231200724733069073e+05
4.814309892428100118e-02,8.216883980470986571e+05
4.863941953174780175e-02,8.202953198296567425e+05
4.913574013921469946e-02,8.188923357251955895e+05
4.963206074668150697e-02,8.173777479864858324e+05
5.012838135414830060e-02,8.158001110814582789e+05
5.062470196161510116e-02,8.142428531557045644e+05
5.112102256908190173e-02,8.127480200255746022e+05
5.161734317654870230e-02,8.112335805501480354e+05
5.211366378401550287e-02,8.096341068020586390e+05
5.260998439148230343e-02,8.079485465700790519e+05
5.310630499894920115e-02,8.062214994615350151e+05
5.360262560641600171e-02,8.045573979250612902e+05
5.409894621388279534e-02,8.029527801234562648e+05
5.459526682134959591e-02,8.013647913220457267e+05
5.509158742881640342e-02,7.997691201137191383e+05
5.558790803628320398e-02,7.981664731156545458e+05
5.608422864375000455e-02,7.965759690193705028e+05
