# x(m), q(W/m2)
0.000000000000000000e+00,5.370990087661574595e+06
4.963206074668159631e-04,3.522627597667365335e+06
9.926412149336319261e-04,2.568468084987063892e+06
1.488961822400450058e-03,2.048678968345701229e+06
1.985282429867259949e-03,1.755568821848374093e+06
2.481603037334080032e-03,1.560552039896762464e+06
2.977923644800890141e-03,1.420078767378543271e+06
3.474244252267710224e-03,1.311409575377780944e+06
3.970564859734530307e-03,1.225297613307693740e+06
4.466885467201340415e-03,1.156950127375028562e+06
4.963206074668160064e-03,1.105168905631197849e+06
5.459526682134970173e-03,1.071122147717588814e+06
5.955847289601789822e-03,1.058610271432625363e+06
6.452167897068599930e-03,1.064935557183875004e+06
6.948488504535420447e-03,1.087982526299957186e+06
7.444809112002240097e-03,1.120740520604472607e+06
7.941129719469050205e-03,1.153674075021596393e+06
8.437450326935869854e-03,1.178191655027102446e+06
8.933770934402680830e-03,1.195602233363732928e+06
9.430091541869500479e-03,1.206886356724839658e+06
9.926412149336320129e-03,1.212387254718928598e+06
1.042273275680309988e-02,1.212852314795443555e+06
1.091905336427000106e-02,1.210231860173089663e+06
1.141537397173679989e-02,1.205110596791554708e+06
1.191169457920360046e-02,1.199243407372108428e+06
1.240801518667040103e-02,1.192527130397404078e+06
1.290433579413719986e-02,1.184667812812616350e+06
1.340065640160400043e-02,1.176237207156633260e+06
1.389697700907089987e-02,1.167543651086437749e+06
1.439329761653770044e-02,1.158486327012039721e+06
1.488961822400450101e-02,1.150286999573313631e+06
1.538593883147129984e-02,1.142651880638716975e+06
1.588225943893810041e-02,1.134696215227853740e+06
1.637858004640490098e-02,1.126745825870254310e+06
1.687490065387180216e-02,1.118975938370829215e+06
1.737122126133860273e-02,1.111089239175012801e+06
1.786754186880539982e-02,1.103073516214492964e+06
1.836386247627220039e-02,1.095392333087474108e+06
1.886018308373900096e-02,1.089275876117993379e+06
1.935650369120579806e-02,1.083606119594694814e+06
1.985282429867260209e-02,1.077681194851455744e+06
2.034914490613949981e-02,1.071638989723582286e+06
2.084546551360630037e-02,1.065671420595916221e+06
2.134178612107310094e-02,1.059646523080872139e+06
2.183810672853989804e-02,1.053491038541144691e+06
2.233442733600670208e-02,1.047214756552721374e+06
2.283074794347350264e-02,1.041065596262841369e+06
2.332706855094029974e-02,1.035788960402236320e+06
2.382338915840710031e-02,1.031249094599035569e+06
2.431970976587399802e-02,1.027182580783260986e+06
2.481603037334080206e-02,1.023536610619855928e+06
2.531235098080760262e-02,1.019286236137710279e+06
2.580867158827439972e-02,1.014792789348422550e+06
2.630499219574120029e-02,1.010158622659235378e+06
2.680131280320800086e-02,1.005550079977446701e+06
2.729763341067479795e-02,1.000903725710405619e+06
2.779395401814170261e-02,9.962109905105070211e+05
2.829027462560849970e-02,9.915826842651768820e+05
2.878659523307530027e-02,9.871873771676269826e+05
2.928291584054210084e-02,9.832902163993078284e+05
2.977923644800889794e-02,9.799036520586131373e+05
3.027555705547570197e-02,9.768202708878857084e+05
3.077187766294250254e-02,9.740145097862853436e+05
3.126819827040940025e-02,9.713350234735163394e+05
3.176451887787620082e-02,9.687684733654009178e+05
3.226083948534300139e-02,9.653658845667062560e+05
3.275716009280980195e-02,9.619838802195307799e+05
3.325348070027659558e-02,9.582848187113557942e+05
3.374980130774339615e-02,9.546025903016884113e+05
3.424612191521020366e-02,9.510624463418725645e+05
3.474244252267710137e-02,9.475873778444005875e+05
3.523876313014390194e-02,9.441445083105540834e+05
3.573508373761070250e-02,9.407685904209128348e+05
3.623140434507750307e-02,9.375439824479551753e+05
3.672772495254430364e-02,9.345135842642603675e+05
3.722404556001109727e-02,9.317242158982182154e+05
3.772036616747789783e-02,9.292288468586591771e+05
3.821668677494469840e-02,9.268373602160771843e+05
3.871300738241159611e-02,9.245550161096110241e+05
3.920932798987840362e-02,9.222979820761369774e+05
3.970564859734520419e-02,9.199656878521767212e+05
4.020196920481200475e-02,9.175128253568887012e+05
4.069828981227880532e-02,9.149799782544664340e+05
4.119461041974559895e-02,9.123278174897171557e+05
4.169093102721239952e-02,9.095540986538673751e+05
4.218725163467920009e-02,9.066849133280288661e+05
4.268357224214609780e-02,9.037856730979921995e+05
4.317989284961289836e-02,9.009833007591537898e+05
4.367621345707969893e-02,8.983589576519607799e+05
4.417253406454649950e-02,8.959153079796609236e+05
4.466885467201330701e-02,8.936042126472691307e+05
