# x(m), q(W/m2)
0.000000000000000000e+00,5.519685784254893661e+06
4.963206074668159631e-04,3.533476225257444195e+06
9.926412149336319261e-04,2.565374707500805147e+06
1.488961822400450058e-03,2.045940687719732756e+06
1.985282429867259949e-03,1.753789909920575330e+06
2.481603037334080032e-03,1.559344161725837039e+06
2.977923644800890141e-03,1.419253391692133155e+06
3.474244252267710224e-03,1.310751773886122275e+06
3.970564859734530307e-03,1.224574365477154963e+06
4.466885467201340415e-03,1.155915162061666837e+06
4.963206074668160064e-03,1.103640782716179267e+06
5.459526682134970173e-03,1.067382009689041413e+06
5.955847289601789822e-03,1.052057067877075402e+06
6.452167897068599930e-03,1.054170434513773071e+06
6.948488504535420447e-03,1.074419704043812118e+06
7.444809112002240097e-03,1.105739640275559854e+06
7.941129719469050205e-03,1.138526264412925579e+06
8.437450326935869854e-03,1.164785906791458372e+06
8.933770934402680830e-03,1.184738418059114832e+06
9.430091541869500479e-03,1.197588532939962577e+06
9.926412149336320129e-03,1.204842367769287433e+06
1.042273275680309988e-02,1.206718328393587144e+06
1.091905336427000106e-02,1.205287447505493648e+06
1.141537397173679989e-02,1.201612984004958067e+06
1.191169457920360046e-02,1.196410348322154488e+06
1.240801518667040103e-02,1.190363310888196109e+06
1.290433579413719986e-02,1.183061632917927578e+06
1.340065640160400043e-02,1.175020652678474551e+06
1.389697700907089987e-02,1.166662331808551215e+06
1.439329761653770044e-02,1.157997923495921306e+06
1.488961822400450101e-02,1.149832624493368436e+06
1.538593883147129984e-02,1.142284140341899591e+06
1.588225943893810041e-02,1.134509925883512245e+06
1.637858004640490098e-02,1.126664115357332164e+06
1.687490065387180216e-02,1.118923877643851098e+06
1.737122126133860273e-02,1.111145387897765962e+06
1.786754186880539982e-02,1.103267306747192051e+06
1.836386247627220039e-02,1.095526383818093222e+06
1.886018308373900096e-02,1.089382479285754263e+06
1.935650369120579806e-02,1.083611782225354575e+06
1.985282429867260209e-02,1.077759578266340774e+06
2.034914490613949981e-02,1.071699196021291893e+06
2.084546551360630037e-02,1.065688010193922790e+06
2.134178612107310094e-02,1.059672947407548781e+06
2.183810672853989804e-02,1.053579661469343351e+06
2.233442733600670208e-02,1.047357302514727111e+06
2.283074794347350264e-02,1.041243960073773633e+06
2.332706855094029974e-02,1.035869924799633678e+06
2.382338915840710031e-02,1.031332393561748206e+06
2.431970976587399802e-02,1.027234246512500802e+06
2.481603037334080206e-02,1.023587072359946906e+06
2.531235098080760262e-02,1.019363323897907161e+06
2.580867158827439972e-02,1.014835427304778714e+06
2.630499219574120029e-02,1.010160157139498042e+06
2.680131280320800086e-02,1.005551216584532638e+06
2.729763341067479795e-02,1.000942217318066279e+06
2.779395401814170261e-02,9.962953992136766901e+05
2.829027462560849970e-02,9.916813185724396026e+05
2.878659523307530027e-02,9.872731390117027331e+05
2.928291584054210084e-02,9.833313254885041388e+05
2.977923644800889794e-02,9.799621184489977313e+05
3.027555705547570197e-02,9.768776813425152795e+05
3.077187766294250254e-02,9.740686687788442941e+05
3.126819827040940025e-02,9.713804086687907111e+05
3.176451887787620082e-02,9.687927699003275484e+05
3.226083948534300139e-02,9.654417860181995202e+05
3.275716009280980195e-02,9.620854432007371215e+05
3.325348070027659558e-02,9.583918687168428442e+05
3.374980130774339615e-02,9.546974187996468972e+05
3.424612191521020366e-02,9.511517707387447590e+05
3.474244252267710137e-02,9.476835825154418126e+05
3.523876313014390194e-02,9.442516645524583291e+05
