# x(m), P(Pa)
0.000000000000000000e+00,1.121559458295342483e+04
4.963206074668159631e-04,1.574609133668397772e+04
9.926412149336319261e-04,1.646508855811633111e+04
1.488961822400450058e-03,1.643531362009235818e+04
1.985282429867259949e-03,1.638805285931747494e+04
2.481603037334080032e-03,1.633358881672643292e+04
2.977923644800890141e-03,1.630254046086922426e+04
3.474244252267710224e-03,1.628016975568218731e+04
3.970564859734530307e-03,1.625181628382301642e+04
4.466885467201340415e-03,1.622628807670160677e+04
4.963206074668160064e-03,1.620809005115546825e+04
5.459526682134970173e-03,1.620390445416160037e+04
5.955847289601789822e-03,1.618906367631497960e+04
6.452167897068599930e-03,1.615670276960974115e+04
6.948488504535420447e-03,1.612299781233854264e+04
7.444809112002240097e-03,1.611724966497021887e+04
7.941129719469050205e-03,1.611923778737593238e+04
8.437450326935869854e-03,1.610886159771091843e+04
8.933770934402680830e-03,1.609597335942928112e+04
9.430091541869500479e-03,1.609466422816371050e+04
9.926412149336320129e-03,1.609480598025051222e+04
1.042273275680309988e-02,1.608726053885213332e+04
1.091905336427000106e-02,1.607065410862097633e+04
1.141537397173679989e-02,1.605620609463837536e+04
1.191169457920360046e-02,1.605332751811922390e+04
1.240801518667040103e-02,1.606490012922829010e+04
1.290433579413719986e-02,1.607350019577402236e+04
1.340065640160400043e-02,1.607690931280582117e+04
1.389697700907089987e-02,1.607802376782577267e+04
1.439329761653770044e-02,1.608330624135249309e+04
1.488961822400450101e-02,1.610480206824084780e+04
1.538593883147129984e-02,1.614235336424071465e+04
1.588225943893810041e-02,1.618216721847285044e+04
1.637858004640490098e-02,1.622145463529377776e+04
1.687490065387180216e-02,1.624834131728172724e+04
1.737122126133860273e-02,1.624860240816994519e+04
1.786754186880539982e-02,1.624016949686972657e+04
1.836386247627220039e-02,1.624297397822203129e+04
1.886018308373900096e-02,1.625670594020562385e+04
1.935650369120579806e-02,1.626808575169319010e+04
1.985282429867260209e-02,1.628607015818154650e+04
2.034914490613949981e-02,1.629816988594940449e+04
2.084546551360630037e-02,1.629552813540819989e+04
2.134178612107310094e-02,1.628260289375466709e+04
2.183810672853989804e-02,1.626463548776636344e+04
2.233442733600670208e-02,1.625217709626063879e+04
2.283074794347350264e-02,1.624316675175700584e+04
2.332706855094029974e-02,1.623418783691737190e+04
2.382338915840710031e-02,1.623797586002944990e+04
2.431970976587399802e-02,1.624697580269040736e+04
2.481603037334080206e-02,1.625392003482961263e+04
2.531235098080760262e-02,1.625668919403714426e+04
2.580867158827439972e-02,1.625646958135410205e+04
2.630499219574120029e-02,1.624942759239686347e+04
2.680131280320800086e-02,1.623575004489016828e+04
2.729763341067479795e-02,1.622312542499624033e+04
2.779395401814170261e-02,1.621462473206402683e+04
2.829027462560849970e-02,1.620326136798555672e+04
2.878659523307530027e-02,1.619300794750185923e+04
2.928291584054210084e-02,1.619224048732738993e+04
2.977923644800889794e-02,1.619576749952064893e+04
3.027555705547570197e-02,1.619993782602155625e+04
3.077187766294250254e-02,1.620401234324244797e+04
3.126819827040940025e-02,1.620804250005895301e+04
3.176451887787620082e-02,1.621210123534514423e+04
3.226083948534300139e-02,1.621513986871864654e+04
3.275716009280980195e-02,1.621375625650112488e+04
3.325348070027659558e-02,1.620659687044998464e+04
3.374980130774339615e-02,1.619479462834770493e+04
3.424612191521020366e-02,1.618304170684936616e+04
3.474244252267710137e-02,1.617497048736567740e+04
3.523876313014390194e-02,1.616659481169329774e+04
3.573508373761070250e-02,1.615581030469294274e+04
3.623140434507750307e-02,1.614671641068204553e+04
3.672772495254430364e-02,1.614271176558599291e+04
3.722404556001109727e-02,1.614247513941555371e+04
3.772036616747789783e-02,1.614343796199337157e+04
3.821668677494469840e-02,1.614454553277985542e+04
3.871300738241159611e-02,1.614616777173499031e+04
3.920932798987840362e-02,1.614844549813440426e+04
3.970564859734520419e-02,1.615050157314694479e+04
4.020196920481200475e-02,1.615260178132873079e+04
4.069828981227880532e-02,1.615382303836093888e+04
4.119461041974559895e-02,1.615203637375833750e+04
4.169093102721239952e-02,1.614494855834100781e+04
4.218725163467920009e-02,1.613276805439873351e+04
4.268357224214609780e-02,1.611744771660179686e+04
4.317989284961289836e-02,1.610191168138162357e+04
4.367621345707969893e-02,1.608928047450749000e+04
4.417253406454649950e-02,1.608090468812690233e+04
4.466885467201330701e-02,1.607498639941148031e+04
4.516517527948010063e-02,1.606813677387744974e+04
4.566149588694700528e-02,1.606085453607099043e+04
4.615781649441379891e-02,1.605626059087150315e+04
4.665413710188059948e-02,1.605724588816741561e+04
4.715045770934740005e-02,1.605999746504506584e+04
4.764677831681420062e-02,1.606394289760897664e+04
4.814309892428100118e-02,1.606811431105720112e+04
4.863941953174780175e-02,1.607226822763207565e+04
4.913574013921469946e-02,1.607637305854603983e+04
4.963206074668150697e-02,1.608034479501379610e+04
5.012838135414830060e-02,1.608390729909519177e+04
5.062470196161510116e-02,1.608650653854429220e+04
5.112102256908190173e-02,1.608744465148517520e+04
5.161734317654870230e-02,1.608782794845501303e+04
5.211366378401550287e-02,1.608767833187082215e+04
5.260998439148230343e-02,1.608605678981007804e+04
5.310630499894920115e-02,1.608198663849828154e+04
5.360262560641600171e-02,1.607501197348187634e+04
5.409894621388279534e-02,1.606608482239427576e+04
5.459526682134959591e-02,1.605680288247624594e+04
5.509158742881640342e-02,1.604843487523765907e+04
5.558790803628320398e-02,1.604164753946494420e+04
5.608422864375000455e-02,1.603657374555460046e+04
5.658054925121690226e-02,1.603288772651708678e+04
5.707686985868370283e-02,1.603058902389624382e+04
5.757319046615050340e-02,1.602907212859433093e+04
5.806951107361729703e-02,1.602716775607633281e+04
5.856583168108409759e-02,1.602501959033893581e+04
5.906215228855089816e-02,1.602380742389871193e+04
5.955847289601769873e-02,1.602456543408969992e+04
6.005479350348460338e-02,1.602612391824378938e+04
6.055111411095140395e-02,1.602827443773507548e+04
6.104743471841820451e-02,1.603048431798459751e+04
6.154375532588500508e-02,1.603261649259838487e+04
6.204007593335180565e-02,1.603477045428747988e+04
6.253639654081860622e-02,1.603706607218759018e+04
6.303271714828539984e-02,1.603956547396392307e+04
6.352903775575220735e-02,1.604229119238786734e+04
6.402535836321900098e-02,1.604525119494915816e+04
6.452167897068590563e-02,1.604838016054448599e+04
6.501799957815269926e-02,1.605151225468070152e+04
6.551432018561949289e-02,1.605437609293472087e+04
6.601064079308630039e-02,1.605683099937354200e+04
6.650696140055309402e-02,1.605918237007572316e+04
6.700328200801990153e-02,1.606196268736904858e+04
6.749960261548679230e-02,1.606516917021905283e+04
6.799592322295361368e-02,1.606806666846634107e+04
6.849224383042040731e-02,1.606982878594845897e+04
6.898856443788720094e-02,1.607003654385375557e+04
6.948488504535400845e-02,1.606939614974154210e+04
6.998120565282080208e-02,1.606797604706124184e+04
7.047752626028760958e-02,1.606618243669631374e+04
7.097384686775450036e-02,1.606434931895852242e+04
7.147016747522130786e-02,1.606263333814986254e+04
7.196648808268810149e-02,1.606112486243837338e+04
7.246280869015490900e-02,1.605991946261624798e+04
7.295912929762170263e-02,1.605906087014524746e+04
7.345544990508849625e-02,1.605846550287123500e+04
7.395177051255530376e-02,1.605812179458679202e+04
7.444809112002219453e-02,1.605818853024655800e+04
7.494441172748900204e-02,1.605838899913187197e+04
7.544073233495579567e-02,1.605844573953760664e+04
7.593705294242260317e-02,1.605877425497017794e+04
7.643337354988939680e-02,1.605977680407745902e+04
7.692969415735619043e-02,1.606138611554322233e+04
7.742601476482299794e-02,1.606297644435691655e+04
7.792233537228988871e-02,1.606402524128346704e+04
7.841865597975659907e-02,1.606429519603638619e+04
7.891497658722350372e-02,1.606418911485155513e+04
7.941129719469031123e-02,1.606385176207424411e+04
7.990761780215710486e-02,1.606344628916300098e+04
8.040393840962391236e-02,1.606308803917476871e+04
8.090025901709070599e-02,1.606282349892922866e+04
8.139657962455761064e-02,1.606266931431739249e+04
8.189290023202440427e-02,1.606258687184031260e+04
8.238922083949119790e-02,1.606256469299380478e+04
8.288554144695800541e-02,1.606261316319515754e+04
8.338186205442479904e-02,1.606267033007115970e+04
8.387818266189160654e-02,1.606261722719344107e+04
8.437450326935840017e-02,1.606237161713723799e+04
8.487082387682519380e-02,1.606189934830552011e+04
8.536714448429200131e-02,1.606123481694631118e+04
8.586346509175889208e-02,1.606060133373836288e+04
8.635978569922569958e-02,1.606035697094331044e+04
8.685610630669249321e-02,1.606069603096479295e+04
8.735242691415930072e-02,1.606119298441788123e+04
8.784874752162609435e-02,1.606137711514950024e+04
8.834506812909290185e-02,1.606091776908277643e+04
8.884138873655979263e-02,1.605972938295832500e+04
8.933770934402661401e-02,1.605799162553210590e+04
8.983402995149340764e-02,1.605593266667974240e+04
9.033035055896020127e-02,1.605377649267195557e+04
9.082667116642700877e-02,1.605172610523111143e+04
9.132299177389380240e-02,1.604994912914101224e+04
9.181931238136060991e-02,1.604855967072141902e+04
9.231563298882740354e-02,1.604751422693831773e+04
9.281195359629430819e-02,1.604663651437891531e+04
9.330827420376110182e-02,1.604579744556477817e+04
9.380459481122790932e-02,1.604499675811686939e+04
9.430091541869470295e-02,1.604429896887926043e+04
9.479723602616149658e-02,1.604374533417697239e+04
9.529355663362830409e-02,1.604333427884118646e+04
9.578987724109509772e-02,1.604305244018658050e+04
9.628619784856190522e-02,1.604301995491266644e+04
9.678251845602879599e-02,1.604334389265296522e+04
9.727883906349560350e-02,1.604379887305802367e+04
9.777515967096239713e-02,1.604440817602570678e+04
9.827148027842919076e-02,1.604539559482731238e+04
9.876780088589599826e-02,1.604697950175498590e+04
9.926412149336279189e-02,1.604896321863052617e+04
9.976044210082971042e-02,1.605079627410252033e+04
1.002567627082959906e-01,1.605204225875187512e+04
1.007530833157630062e-01,1.605259934017775595e+04
1.012494039232300080e-01,1.605276197840830901e+04
1.017457245306970098e-01,1.605275896375179400e+04
1.022420451381639978e-01,1.605270903168345467e+04
1.027383657456309995e-01,1.605266318782875715e+04
1.032346863530970021e-01,1.605266022036762479e+04
1.037310069605640039e-01,1.605274271443062207e+04
1.042273275680310057e-01,1.605293746836545688e+04
1.047236481754980075e-01,1.605327631541574556e+04
1.052199687829649954e-01,1.605369871678376694e+04
1.057162893904309980e-01,1.605419830566209384e+04
1.062126099978979998e-01,1.605471770607261897e+04
1.067089306053650016e-01,1.605519427792939132e+04
1.072052512128320034e-01,1.605561001106377444e+04
1.077015718202989913e-01,1.605595743769735600e+04
1.081978924277649939e-01,1.605622745822008619e+04
1.086942130352319957e-01,1.605635080974875746e+04
1.091905336426989975e-01,1.605627012081143948e+04
1.096868542501659993e-01,1.605597134248628936e+04
1.101831748576330011e-01,1.605547848974941553e+04
1.106794954651000029e-01,1.605481090890309497e+04
1.111758160725659916e-01,1.605400367116125744e+04
1.116721366800330073e-01,1.605323695603491433e+04
1.121684572875000091e-01,1.605274091797872825e+04
1.126647778949670109e-01,1.605262282557606886e+04
1.131610985024339988e-01,1.605273552615400695e+04
1.136574191099000014e-01,1.605275869978175979e+04
1.141537397173670032e-01,1.605241893967092801e+04
1.146500603248340050e-01,1.605155014299517461e+04
1.151463809323010068e-01,1.605016494066507585e+04
1.156427015397679947e-01,1.604841529428844115e+04
1.161390221472339973e-01,1.604646402028105331e+04
1.166353427547009991e-01,1.604443816910364330e+04
1.171316633621680009e-01,1.604241915213169887e+04
1.176279839696350027e-01,1.604044508527421385e+04
1.181243045771019906e-01,1.603852261108775565e+04
1.186206251845689924e-01,1.603666153601804217e+04
1.191169457920349950e-01,1.603489429449073214e+04
1.196132663995019968e-01,1.603322179309197600e+04
1.201095870069689986e-01,1.603158120723812317e+04
1.206059076144360143e-01,1.602990915493252942e+04
1.211022282219030022e-01,1.602820559062770553e+04
1.215985488293689909e-01,1.602653161515690590e+04
1.220948694368360066e-01,1.602496572780615134e+04
1.225911900443030084e-01,1.602356486259251324e+04
1.230875106517700102e-01,1.602235642732224733e+04
1.235838312592369981e-01,1.602135197087923734e+04
1.240801518667039999e-01,1.602055841774672626e+04
1.245764724741700025e-01,1.601999898470291919e+04
1.250727930816370181e-01,1.601973882773966216e+04
1.255691136891040061e-01,1.601986961378112210e+04
1.260654342965709940e-01,1.602032856109846398e+04
1.265617549040380097e-01,1.602114477872978932e+04
1.270580755115039984e-01,1.602246733058718928e+04
