# x(m), P(Pa)
0.000000000000000000e+00,1.902383530799650180e+04
4.963206074668159631e-04,2.355445037039495946e+04
9.926412149336319261e-04,2.427345028110485873e+04
1.488961822400450058e-03,2.424366945939082143e+04
1.985282429867259949e-03,2.419641797353206857e+04
2.481603037334080032e-03,2.414197343937867845e+04
2.977923644800890141e-03,2.411098237220199371e+04
3.474244252267710224e-03,2.408880619997502072e+04
3.970564859734530307e-03,2.406054179978846878e+04
4.466885467201340415e-03,2.403537182859041059e+04
4.963206074668160064e-03,2.401797339408882181e+04
5.459526682134970173e-03,2.401457272265054053e+04
5.955847289601789822e-03,2.399970036359823280e+04
6.452167897068599930e-03,2.396864431533312018e+04
6.948488504535420447e-03,2.393550000721593460e+04
7.444809112002240097e-03,2.393705947039446619e+04
7.941129719469050205e-03,2.394750947784606979e+04
8.437450326935869854e-03,2.394112065221287048e+04
8.933770934402680830e-03,2.394693921386110378e+04
9.430091541869500479e-03,2.396488036919147271e+04
9.926412149336320129e-03,2.398784716187353843e+04
1.042273275680309988e-02,2.401531843259622110e+04
1.091905336427000106e-02,2.404962436273540879e+04
1.141537397173679989e-02,2.407548291647730366e+04
1.191169457920360046e-02,2.409481538152406210e+04
1.240801518667040103e-02,2.411621447219141919e+04
1.290433579413719986e-02,2.413226920850233728e+04
1.340065640160400043e-02,2.413847391510465241e+04
1.389697700907089987e-02,2.413671755469348864e+04
1.439329761653770044e-02,2.413186340076214401e+04
1.488961822400450101e-02,2.413338849031489735e+04
1.538593883147129984e-02,2.413946535267821309e+04
1.588225943893810041e-02,2.413917860292789555e+04
1.637858004640490098e-02,2.413761162234394942e+04
1.687490065387180216e-02,2.413260915370753719e+04
1.737122126133860273e-02,2.411917228570470252e+04
1.786754186880539982e-02,2.410291064473680308e+04
1.836386247627220039e-02,2.409402608206294099e+04
1.886018308373900096e-02,2.409602128168940908e+04
1.935650369120579806e-02,2.409905104617051984e+04
1.985282429867260209e-02,2.409768560139343026e+04
2.034914490613949981e-02,2.409765607221726168e+04
2.084546551360630037e-02,2.409584275004927258e+04
2.134178612107310094e-02,2.408830479179364920e+04
2.183810672853989804e-02,2.407492157119911280e+04
2.233442733600670208e-02,2.405926225616381271e+04
2.283074794347350264e-02,2.404755585620860802e+04
2.332706855094029974e-02,2.404508814193413855e+04
2.382338915840710031e-02,2.404811774098152091e+04
2.431970976587399802e-02,2.405399560886960535e+04
2.481603037334080206e-02,2.405878932401175916e+04
2.531235098080760262e-02,2.406194987043528818e+04
2.580867158827439972e-02,2.406501613698439905e+04
2.630499219574120029e-02,2.406408348157050204e+04
2.680131280320800086e-02,2.405802986972353392e+04
2.729763341067479795e-02,2.404719603876283145e+04
2.779395401814170261e-02,2.403433692945126677e+04
2.829027462560849970e-02,2.402109775050342432e+04
2.878659523307530027e-02,2.401051389256788389e+04
2.928291584054210084e-02,2.400618345964769833e+04
2.977923644800889794e-02,2.400866140306575835e+04
3.027555705547570197e-02,2.401435003107243392e+04
3.077187766294250254e-02,2.402227093108317422e+04
3.126819827040940025e-02,2.403141050325446122e+04
3.176451887787620082e-02,2.403804279681744811e+04
3.226083948534300139e-02,2.403916287976329477e+04
3.275716009280980195e-02,2.403803846154834901e+04
3.325348070027659558e-02,2.403517841987070278e+04
3.374980130774339615e-02,2.402911374729584713e+04
3.424612191521020366e-02,2.401885512378140993e+04
3.474244252267710137e-02,2.400555539126093208e+04
3.523876313014390194e-02,2.399172141915499378e+04
3.573508373761070250e-02,2.397980494118021306e+04
3.623140434507750307e-02,2.397106946211514878e+04
3.672772495254430364e-02,2.396561275370378280e+04
3.722404556001109727e-02,2.396362711691536606e+04
3.772036616747789783e-02,2.396463531490319292e+04
3.821668677494469840e-02,2.396753931050792016e+04
3.871300738241159611e-02,2.397150654834362649e+04
3.920932798987840362e-02,2.397512265243486036e+04
3.970564859734520419e-02,2.397796782656901632e+04
4.020196920481200475e-02,2.397947601622716320e+04
4.069828981227880532e-02,2.397756579003043589e+04
4.119461041974559895e-02,2.397161807471726934e+04
4.169093102721239952e-02,2.396261977790125820e+04
4.218725163467920009e-02,2.395316043015264222e+04
4.268357224214609780e-02,2.394418263631156515e+04
4.317989284961289836e-02,2.393503747123666835e+04
4.367621345707969893e-02,2.392530401112316031e+04
4.417253406454649950e-02,2.391542912833804803e+04
4.466885467201330701e-02,2.390639011994641987e+04
4.516517527948010063e-02,2.389900851788703949e+04
4.566149588694700528e-02,2.389384642133867601e+04
4.615781649441379891e-02,2.388994710558744555e+04
4.665413710188059948e-02,2.388998554983348004e+04
4.715045770934740005e-02,2.389225225097098883e+04
4.764677831681420062e-02,2.389729349613590239e+04
4.814309892428100118e-02,2.390355940194863797e+04
4.863941953174780175e-02,2.390908638216630789e+04
4.913574013921469946e-02,2.391296568270703210e+04
4.963206074668150697e-02,2.391603598266523477e+04
5.012838135414830060e-02,2.391818736428325064e+04
5.062470196161510116e-02,2.391902302932109524e+04
5.112102256908190173e-02,2.391884205145065789e+04
5.161734317654870230e-02,2.391823073616863257e+04
5.211366378401550287e-02,2.391712785887038990e+04
5.260998439148230343e-02,2.391534504491439293e+04
5.310630499894920115e-02,2.391227888332689690e+04
5.360262560641600171e-02,2.390742318004471963e+04
5.409894621388279534e-02,2.390145393027465616e+04
5.459526682134959591e-02,2.389560157307644840e+04
5.509158742881640342e-02,2.389055734845674306e+04
5.558790803628320398e-02,2.388614349915017374e+04
5.608422864375000455e-02,2.388196464771035244e+04
5.658054925121690226e-02,2.387783507537051628e+04
5.707686985868370283e-02,2.387381248582553235e+04
5.757319046615050340e-02,2.387009090658586138e+04
5.806951107361729703e-02,2.386690158561543649e+04
5.856583168108409759e-02,2.386433419261508971e+04
5.906215228855089816e-02,2.386247232950715261e+04
5.955847289601769873e-02,2.386123564934398019e+04
6.005479350348460338e-02,2.386116009384586505e+04
6.055111411095140395e-02,2.386199364173098002e+04
6.104743471841820451e-02,2.386417394436077302e+04
6.154375532588500508e-02,2.386749785906384204e+04
6.204007593335180565e-02,2.387121415009217162e+04
6.253639654081860622e-02,2.387466676486259530e+04
6.303271714828539984e-02,2.387773649300917168e+04
6.352903775575220735e-02,2.388060535226967477e+04
6.402535836321900098e-02,2.388340956920992539e+04
6.452167897068590563e-02,2.388648333767678923e+04
6.501799957815269926e-02,2.388985999603575328e+04
6.551432018561949289e-02,2.389313559803685348e+04
6.601064079308630039e-02,2.389615978637311491e+04
6.650696140055309402e-02,2.389918686385414912e+04
6.700328200801990153e-02,2.390233187458029715e+04
6.749960261548679230e-02,2.390539171445609827e+04
6.799592322295361368e-02,2.390805606468219048e+04
6.849224383042040731e-02,2.391019183798826271e+04
6.898856443788720094e-02,2.391189421341753769e+04
6.948488504535400845e-02,2.391299558032193454e+04
6.998120565282080208e-02,2.391295801255398692e+04
7.047752626028760958e-02,2.391244640924545820e+04
7.097384686775450036e-02,2.391198464935285301e+04
7.147016747522130786e-02,2.391198794558587542e+04
7.196648808268810149e-02,2.391198934622913657e+04
7.246280869015490900e-02,2.391161856824316419e+04
7.295912929762170263e-02,2.391062902124471293e+04
7.345544990508849625e-02,2.390909509458162938e+04
7.395177051255530376e-02,2.390731793263001600e+04
7.444809112002219453e-02,2.390550287825106352e+04
7.494441172748900204e-02,2.390379750266333576e+04
7.544073233495579567e-02,2.390230332419692786e+04
7.593705294242260317e-02,2.390105317316056244e+04
7.643337354988939680e-02,2.390003364008520293e+04
7.692969415735619043e-02,2.389918880495263147e+04
7.742601476482299794e-02,2.389843599195047500e+04
7.792233537228988871e-02,2.389777067256742157e+04
7.841865597975659907e-02,2.389737074423502781e+04
7.891497658722350372e-02,2.389749476585306911e+04
7.941129719469031123e-02,2.389791207373618818e+04
7.990761780215710486e-02,2.389836654260221985e+04
8.040393840962391236e-02,2.389859732299773896e+04
8.090025901709070599e-02,2.389856572364212479e+04
8.139657962455761064e-02,2.389845027316304913e+04
8.189290023202440427e-02,2.389831804869395273e+04
8.238922083949119790e-02,2.389823209206554020e+04
8.288554144695800541e-02,2.389822173982967797e+04
8.338186205442479904e-02,2.389832096124448435e+04
8.387818266189160654e-02,2.389858458054355287e+04
8.437450326935840017e-02,2.389887476836348651e+04
8.487082387682519380e-02,2.389904492794387625e+04
8.536714448429200131e-02,2.389918031609441095e+04
8.586346509175889208e-02,2.389944013105877093e+04
8.635978569922569958e-02,2.389986231730733562e+04
8.685610630669249321e-02,2.390032559608029987e+04
8.735242691415930072e-02,2.390066318249463802e+04
8.784874752162609435e-02,2.390075884095044603e+04
8.834506812909290185e-02,2.390064822681688383e+04
8.884138873655979263e-02,2.390039294590813006e+04
8.933770934402661401e-02,2.390007630086234713e+04
8.983402995149340764e-02,2.389975576743675265e+04
9.033035055896020127e-02,2.389931322946872388e+04
9.082667116642700877e-02,2.389861531574205947e+04
9.132299177389380240e-02,2.389776964768429025e+04
9.181931238136060991e-02,2.389709590489135735e+04
9.231563298882740354e-02,2.389678663385699838e+04
9.281195359629430819e-02,2.389673022505931294e+04
9.330827420376110182e-02,2.389662603919659887e+04
9.380459481122790932e-02,2.389630385895147265e+04
9.430091541869470295e-02,2.389570368458298617e+04
9.479723602616149658e-02,2.389487987234047978e+04
9.529355663362830409e-02,2.389390623400776531e+04
9.578987724109509772e-02,2.389284113054110639e+04
9.628619784856190522e-02,2.389173691926518950e+04
9.678251845602879599e-02,2.389064000380074867e+04
9.727883906349560350e-02,2.388959853894180560e+04
9.777515967096239713e-02,2.388864984762998938e+04
9.827148027842919076e-02,2.388781338768771093e+04
9.876780088589599826e-02,2.388709788023282090e+04
9.926412149336279189e-02,2.388649628833425231e+04
9.976044210082971042e-02,2.388599837261962966e+04
1.002567627082959906e-01,2.388559973587584682e+04
1.007530833157630062e-01,2.388527146618338884e+04
1.012494039232300080e-01,2.388502424213770428e+04
1.017457245306970098e-01,2.388504412333224900e+04
1.022420451381639978e-01,2.388537663430081375e+04
1.027383657456309995e-01,2.388611943736214744e+04
1.032346863530970021e-01,2.388713354779788642e+04
1.037310069605640039e-01,2.388817357867414103e+04
1.042273275680310057e-01,2.388904138584589964e+04
1.047236481754980075e-01,2.388968282826580253e+04
1.052199687829649954e-01,2.389015889160192455e+04
1.057162893904309980e-01,2.389054738896981871e+04
1.062126099978979998e-01,2.389089252354874043e+04
1.067089306053650016e-01,2.389121130072885717e+04
1.072052512128320034e-01,2.389150981307422626e+04
1.077015718202989913e-01,2.389176976997264865e+04
1.081978924277649939e-01,2.389198279410242685e+04
1.086942130352319957e-01,2.389217421094964084e+04
1.091905336426989975e-01,2.389233162383584204e+04
1.096868542501659993e-01,2.389237400703766252e+04
1.101831748576330011e-01,2.389229783354352548e+04
1.106794954651000029e-01,2.389217013367678373e+04
1.111758160725659916e-01,2.389207936152405455e+04
1.116721366800330073e-01,2.389208991500943011e+04
1.121684572875000091e-01,2.389213466699677883e+04
1.126647778949670109e-01,2.389212163228169084e+04
1.131610985024339988e-01,2.389198194084040733e+04
1.136574191099000014e-01,2.389165712144124700e+04
1.141537397173670032e-01,2.389116733360128273e+04
1.146500603248340050e-01,2.389056306879836484e+04
1.151463809323010068e-01,2.388989311682941479e+04
1.156427015397679947e-01,2.388919056789283059e+04
1.161390221472339973e-01,2.388849291661941970e+04
