# x(m), P(Pa)
0.000000000000000000e+00,1.124097018190796916e+04
4.963206074668159631e-04,1.537218446191273506e+04
9.926412149336319261e-04,1.587070451812627289e+04
1.488961822400450058e-03,1.580172135057051491e+04
1.985282429867259949e-03,1.575038681242531311e+04
2.481603037334080032e-03,1.569836680569230521e+04
2.977923644800890141e-03,1.566369142263499816e+04
3.474244252267710224e-03,1.565129670925037863e+04
3.970564859734530307e-03,1.563062936799381350e+04
4.466885467201340415e-03,1.561944376485888642e+04
4.963206074668160064e-03,1.562080555725075101e+04
5.459526682134970173e-03,1.558878368555231646e+04
5.955847289601789822e-03,1.555255389146034577e+04
6.452167897068599930e-03,1.555436030630147070e+04
6.948488504535420447e-03,1.554916412851217319e+04
7.444809112002240097e-03,1.553625395175391532e+04
7.941129719469050205e-03,1.553756880530441231e+04
8.437450326935869854e-03,1.553529278751392485e+04
8.933770934402680830e-03,1.552636513701947479e+04
9.430091541869500479e-03,1.552346393152221754e+04
9.926412149336320129e-03,1.552418904651876801e+04
1.042273275680309988e-02,1.552383132472288708e+04
1.091905336427000106e-02,1.551878922444661657e+04
1.141537397173679989e-02,1.550759525626226423e+04
1.191169457920360046e-02,1.550160511465293530e+04
1.240801518667040103e-02,1.550698147900386721e+04
1.290433579413719986e-02,1.551600839172267661e+04
1.340065640160400043e-02,1.551588942452899937e+04
1.389697700907089987e-02,1.550819537832411515e+04
1.439329761653770044e-02,1.549613755389322796e+04
1.488961822400450101e-02,1.548763120318061556e+04
1.538593883147129984e-02,1.548964984630933395e+04
1.588225943893810041e-02,1.549648969589225453e+04
1.637858004640490098e-02,1.550694893574580783e+04
1.687490065387180216e-02,1.551308393465091467e+04
1.737122126133860273e-02,1.551018232989869284e+04
1.786754186880539982e-02,1.549862092005652994e+04
1.836386247627220039e-02,1.548155265145982958e+04
1.886018308373900096e-02,1.546989150465591047e+04
1.935650369120579806e-02,1.547289357433998521e+04
1.985282429867260209e-02,1.548204374071420170e+04
2.034914490613949981e-02,1.549106143645488737e+04
2.084546551360630037e-02,1.549943660239471137e+04
2.134178612107310094e-02,1.550669591151569330e+04
2.183810672853989804e-02,1.550511108496276574e+04
2.233442733600670208e-02,1.549697827362443604e+04
2.283074794347350264e-02,1.548420839116475145e+04
2.332706855094029974e-02,1.547055605572033710e+04
2.382338915840710031e-02,1.545897705080498963e+04
2.431970976587399802e-02,1.545934578516388137e+04
2.481603037334080206e-02,1.546438100945677070e+04
2.531235098080760262e-02,1.547491166277304183e+04
2.580867158827439972e-02,1.548758598101665666e+04
2.630499219574120029e-02,1.549707492463231756e+04
2.680131280320800086e-02,1.549956446922147370e+04
2.729763341067479795e-02,1.549816561305149298e+04
2.779395401814170261e-02,1.549470586476740391e+04
2.829027462560849970e-02,1.548765154673946199e+04
2.878659523307530027e-02,1.547666489232778440e+04
2.928291584054210084e-02,1.546466494153918211e+04
2.977923644800889794e-02,1.545504803497732428e+04
3.027555705547570197e-02,1.544945886642424193e+04
3.077187766294250254e-02,1.545051336755448938e+04
3.126819827040940025e-02,1.545529355714374105e+04
3.176451887787620082e-02,1.546395275780943120e+04
3.226083948534300139e-02,1.547437041992963350e+04
3.275716009280980195e-02,1.548446291282831589e+04
3.325348070027659558e-02,1.549291273594057566e+04
3.374980130774339615e-02,1.549793856776412940e+04
3.424612191521020366e-02,1.549625628118551685e+04
3.474244252267710137e-02,1.548973672017135505e+04
3.523876313014390194e-02,1.548046725164573581e+04
3.573508373761070250e-02,1.547154781749976246e+04
3.623140434507750307e-02,1.546317153937087278e+04
3.672772495254430364e-02,1.545443165195559050e+04
3.722404556001109727e-02,1.544556774130870144e+04
3.772036616747789783e-02,1.543789309039417640e+04
3.821668677494469840e-02,1.543253759261776213e+04
3.871300738241159611e-02,1.542960412899129551e+04
3.920932798987840362e-02,1.542998853967254036e+04
3.970564859734520419e-02,1.543258651435935826e+04
4.020196920481200475e-02,1.543814713682090223e+04
4.069828981227880532e-02,1.544529166561673264e+04
4.119461041974559895e-02,1.545126135534467176e+04
4.169093102721239952e-02,1.545457320711196371e+04
4.218725163467920009e-02,1.545483143309318984e+04
4.268357224214609780e-02,1.545296795202775684e+04
4.317989284961289836e-02,1.544803879846668133e+04
4.367621345707969893e-02,1.544008923429243987e+04
4.417253406454649950e-02,1.543013919572706618e+04
4.466885467201330701e-02,1.541918386917866701e+04
4.516517527948010063e-02,1.540803726225295031e+04
4.566149588694700528e-02,1.539794732551084599e+04
4.615781649441379891e-02,1.538970401241733998e+04
4.665413710188059948e-02,1.538346641793909657e+04
4.715045770934740005e-02,1.537894297340723278e+04
4.764677831681420062e-02,1.537580074412742033e+04
4.814309892428100118e-02,1.537387260326226897e+04
4.863941953174780175e-02,1.537299580043742390e+04
4.913574013921469946e-02,1.537334412504721695e+04
4.963206074668150697e-02,1.537484094505978464e+04
5.012838135414830060e-02,1.537776601291553379e+04
5.062470196161510116e-02,1.538186267925435459e+04
5.112102256908190173e-02,1.538672031074881670e+04
5.161734317654870230e-02,1.539193756880058936e+04
5.211366378401550287e-02,1.539716382966145648e+04
5.260998439148230343e-02,1.540174979696331866e+04
5.310630499894920115e-02,1.540446714364677791e+04
5.360262560641600171e-02,1.540405189775043073e+04
5.409894621388279534e-02,1.540203959503393344e+04
5.459526682134959591e-02,1.539888079618459233e+04
5.509158742881640342e-02,1.539552091938882586e+04
5.558790803628320398e-02,1.539250646262427836e+04
5.608422864375000455e-02,1.538992937427130164e+04
5.658054925121690226e-02,1.538747043138139270e+04
5.707686985868370283e-02,1.538483163160086951e+04
5.757319046615050340e-02,1.538192369242889981e+04
5.806951107361729703e-02,1.537860700067641665e+04
5.856583168108409759e-02,1.537468850393622415e+04
5.906215228855089816e-02,1.537042016425116890e+04
5.955847289601769873e-02,1.536656911928328554e+04
6.005479350348460338e-02,1.536375171914950624e+04
6.055111411095140395e-02,1.536201344552610499e+04
6.104743471841820451e-02,1.536100685137190158e+04
6.154375532588500508e-02,1.536046358620265892e+04
6.204007593335180565e-02,1.536015681801846222e+04
6.253639654081860622e-02,1.536015971249688664e+04
6.303271714828539984e-02,1.536041158085502684e+04
6.352903775575220735e-02,1.536107877880072556e+04
6.402535836321900098e-02,1.536224487818147099e+04
6.452167897068590563e-02,1.536391614432542883e+04
6.501799957815269926e-02,1.536600849202304380e+04
6.551432018561949289e-02,1.536837847687428439e+04
6.601064079308630039e-02,1.537092244513934202e+04
6.650696140055309402e-02,1.537358742217462350e+04
6.700328200801990153e-02,1.537635655123491233e+04
6.749960261548679230e-02,1.537926012373533376e+04
6.799592322295361368e-02,1.538223204970118240e+04
6.849224383042040731e-02,1.538496831656977884e+04
6.898856443788720094e-02,1.538697322606919988e+04
6.948488504535400845e-02,1.538818509772008838e+04
6.998120565282080208e-02,1.538911743733588810e+04
7.047752626028760958e-02,1.539010381448390763e+04
7.097384686775450036e-02,1.539113669929121170e+04
7.147016747522130786e-02,1.539224296169916488e+04
7.196648808268810149e-02,1.539358908838927891e+04
7.246280869015490900e-02,1.539524381531134713e+04
7.295912929762170263e-02,1.539705345669320377e+04
7.345544990508849625e-02,1.539877249750997362e+04
7.395177051255530376e-02,1.540026612106196626e+04
7.444809112002219453e-02,1.540156350570682116e+04
7.494441172748900204e-02,1.540291792415524833e+04
7.544073233495579567e-02,1.540440524757000640e+04
7.593705294242260317e-02,1.540562556498997765e+04
7.643337354988939680e-02,1.540617326633454650e+04
7.692969415735619043e-02,1.540633229093513728e+04
7.742601476482299794e-02,1.540668019999810349e+04
7.792233537228988871e-02,1.540734183497907361e+04
7.841865597975659907e-02,1.540802752471867643e+04
7.891497658722350372e-02,1.540838835754451065e+04
7.941129719469031123e-02,1.540825667026901283e+04
7.990761780215710486e-02,1.540777552914771877e+04
8.040393840962391236e-02,1.540696981332814721e+04
8.090025901709070599e-02,1.540597997289750856e+04
8.139657962455761064e-02,1.540493595399989135e+04
8.189290023202440427e-02,1.540390975509833879e+04
8.238922083949119790e-02,1.540293006026385410e+04
8.288554144695800541e-02,1.540200997015230314e+04
8.338186205442479904e-02,1.540115481937236655e+04
8.387818266189160654e-02,1.540036115307161890e+04
8.437450326935840017e-02,1.539961172251653261e+04
8.487082387682519380e-02,1.539888810512742566e+04
8.536714448429200131e-02,1.539818219324829261e+04
8.586346509175889208e-02,1.539748450077902453e+04
8.635978569922569958e-02,1.539682768184230008e+04
8.685610630669249321e-02,1.539631176501453410e+04
8.735242691415930072e-02,1.539600784896930782e+04
8.784874752162609435e-02,1.539582222856027875e+04
8.834506812909290185e-02,1.539553938338958505e+04
8.884138873655979263e-02,1.539496628374509237e+04
8.933770934402661401e-02,1.539400191953717513e+04
8.983402995149340764e-02,1.539276629097048863e+04
9.033035055896020127e-02,1.539159442957651481e+04
9.082667116642700877e-02,1.539076915498552444e+04
9.132299177389380240e-02,1.539028848180176283e+04
9.181931238136060991e-02,1.539006670680849493e+04
9.231563298882740354e-02,1.539017356808821569e+04
9.281195359629430819e-02,1.539063267258958695e+04
9.330827420376110182e-02,1.539147935707290890e+04
9.380459481122790932e-02,1.539256599148545502e+04
9.430091541869470295e-02,1.539372483080988604e+04
9.479723602616149658e-02,1.539484996734821652e+04
9.529355663362830409e-02,1.539589432582146947e+04
9.578987724109509772e-02,1.539684116607543547e+04
9.628619784856190522e-02,1.539766985591467528e+04
9.678251845602879599e-02,1.539840394612635828e+04
9.727883906349560350e-02,1.539911783812945941e+04
9.777515967096239713e-02,1.539976880139037530e+04
9.827148027842919076e-02,1.540016635459980898e+04
9.876780088589599826e-02,1.540013772286664425e+04
9.926412149336279189e-02,1.539998419745799401e+04
9.976044210082971042e-02,1.539993257313734284e+04
1.002567627082959906e-01,1.540007763108464496e+04
1.007530833157630062e-01,1.540035659504370415e+04
1.012494039232300080e-01,1.540060307580273002e+04
1.017457245306970098e-01,1.540065596555634329e+04
1.022420451381639978e-01,1.540052120184706837e+04
1.027383657456309995e-01,1.540019629357549093e+04
1.032346863530970021e-01,1.539972498729346444e+04
1.037310069605640039e-01,1.539916945063118146e+04
1.042273275680310057e-01,1.539858092615910573e+04
1.047236481754980075e-01,1.539800074086063978e+04
1.052199687829649954e-01,1.539746184351909324e+04
1.057162893904309980e-01,1.539698355861567688e+04
1.062126099978979998e-01,1.539656879506661244e+04
1.067089306053650016e-01,1.539620729338403544e+04
1.072052512128320034e-01,1.539588099312447230e+04
1.077015718202989913e-01,1.539556857479326573e+04
1.081978924277649939e-01,1.539524925491854447e+04
1.086942130352319957e-01,1.539490588267538624e+04
1.091905336426989975e-01,1.539452632758269101e+04
1.096868542501659993e-01,1.539410495634699691e+04
1.101831748576330011e-01,1.539365395917683054e+04
1.106794954651000029e-01,1.539317548891908518e+04
1.111758160725659916e-01,1.539267763331450806e+04
1.116721366800330073e-01,1.539220658536153860e+04
1.121684572875000091e-01,1.539185303513320832e+04
1.126647778949670109e-01,1.539167889471752642e+04
1.131610985024339988e-01,1.539167878538823425e+04
1.136574191099000014e-01,1.539167711951102683e+04
1.141537397173670032e-01,1.539156154025003343e+04
1.146500603248340050e-01,1.539120994312608309e+04
1.151463809323010068e-01,1.539058872466363027e+04
1.156427015397679947e-01,1.538972962123810248e+04
1.161390221472339973e-01,1.538871122077171458e+04
1.166353427547009991e-01,1.538767066770778183e+04
1.171316633621680009e-01,1.538675048993355267e+04
1.176279839696350027e-01,1.538598857499044425e+04
1.181243045771019906e-01,1.538532624710616074e+04
1.186206251845689924e-01,1.538474008823495569e+04
1.191169457920349950e-01,1.538428677914849868e+04
1.196132663995019968e-01,1.538403067855408153e+04
1.201095870069689986e-01,1.538400870021188348e+04
1.206059076144360143e-01,1.538407742561134364e+04
1.211022282219030022e-01,1.538417338114629820e+04
1.215985488293689909e-01,1.538421858658683414e+04
1.220948694368360066e-01,1.538417482294168440e+04
1.225911900443030084e-01,1.538404224413034171e+04
1.230875106517700102e-01,1.538383775392390453e+04
1.235838312592369981e-01,1.538360989919844542e+04
1.240801518667039999e-01,1.538340794796979390e+04
1.245764724741700025e-01,1.538326643500761566e+04
1.250727930816370181e-01,1.538323004252592546e+04
1.255691136891040061e-01,1.538331243053877915e+04
1.260654342965709940e-01,1.538353797067609776e+04
1.265617549040380097e-01,1.538386349481187426e+04
1.270580755115039984e-01,1.538419870576856374e+04
1.275543961189710140e-01,1.538451385448813016e+04
1.280507167264380020e-01,1.538488278638577685e+04
1.285470373339049899e-01,1.538541361446324663e+04
1.290433579413720055e-01,1.538614407114269488e+04
1.295396785488389935e-01,1.538699447043702821e+04
1.300359991563050099e-01,1.538782265995668240e+04
1.305323197637719979e-01,1.538851362205990517e+04
1.310286403712389858e-01,1.538902114715873176e+04
1.315249609787060014e-01,1.538935175680321481e+04
1.320212815861729894e-01,1.538953327564291612e+04
1.325176021936399773e-01,1.538960022585059050e+04
1.330139228011069930e-01,1.538958778136905312e+04
1.335102434085729817e-01,1.538955176987206141e+04
1.340065640160399973e-01,1.538951409671276997e+04
1.345028846235069853e-01,1.538951278455305874e+04
1.349992052309740287e-01,1.538954524489146752e+04
