# x(m), P(Pa)
0.000000000000000000e+00,1.904733859039657546e+04
4.963206074668159631e-04,2.318870613244806373e+04
9.926412149336319261e-04,2.368568877949275338e+04
1.488961822400450058e-03,2.361571343201761920e+04
1.985282429867259949e-03,2.356116082403298060e+04
2.481603037334080032e-03,2.350358038317230967e+04
2.977923644800890141e-03,2.345951510655735910e+04
3.474244252267710224e-03,2.344651887016894034e+04
3.970564859734530307e-03,2.343619862218375056e+04
4.466885467201340415e-03,2.344131955598163040e+04
4.963206074668160064e-03,2.344140214130380627e+04
5.459526682134970173e-03,2.340493472869588004e+04
5.955847289601789822e-03,2.338898894820105852e+04
6.452167897068599930e-03,2.338905643968846562e+04
6.948488504535420447e-03,2.337626759996098190e+04
7.444809112002240097e-03,2.336887969614817848e+04
7.941129719469050205e-03,2.336937307346936723e+04
8.437450326935869854e-03,2.336286655311663344e+04
8.933770934402680830e-03,2.335355968658751590e+04
9.430091541869500479e-03,2.334376454438522342e+04
9.926412149336320129e-03,2.334488234354405358e+04
1.042273275680309988e-02,2.334610441798333341e+04
1.091905336427000106e-02,2.333871747392022007e+04
1.141537397173679989e-02,2.332783522340907803e+04
1.191169457920360046e-02,2.332573642105314866e+04
1.240801518667040103e-02,2.332829070060237791e+04
1.290433579413719986e-02,2.333183928324572480e+04
1.340065640160400043e-02,2.333142820126451261e+04
1.389697700907089987e-02,2.332611010800749136e+04
1.439329761653770044e-02,2.331515564773930237e+04
1.488961822400450101e-02,2.330460436246449535e+04
1.538593883147129984e-02,2.330722038207906735e+04
1.588225943893810041e-02,2.331424815062807829e+04
1.637858004640490098e-02,2.332143257980190538e+04
1.687490065387180216e-02,2.332634400304922019e+04
1.737122126133860273e-02,2.332050482942331291e+04
1.786754186880539982e-02,2.330670379680064798e+04
1.836386247627220039e-02,2.329303100854559307e+04
1.886018308373900096e-02,2.328678841689669571e+04
1.935650369120579806e-02,2.328970954667234764e+04
1.985282429867260209e-02,2.329577293404458032e+04
2.034914490613949981e-02,2.330492596151547332e+04
2.084546551360630037e-02,2.331440364507265622e+04
2.134178612107310094e-02,2.331858455868228339e+04
2.183810672853989804e-02,2.331633536608563372e+04
2.233442733600670208e-02,2.330751069225411266e+04
2.283074794347350264e-02,2.329118130384153119e+04
2.332706855094029974e-02,2.327515337399697455e+04
2.382338915840710031e-02,2.326714477782345057e+04
2.431970976587399802e-02,2.327024390471821243e+04
2.481603037334080206e-02,2.327848399097211950e+04
2.531235098080760262e-02,2.328940554622819764e+04
2.580867158827439972e-02,2.329822324158573974e+04
2.630499219574120029e-02,2.330576489859155845e+04
2.680131280320800086e-02,2.331246450843279308e+04
2.729763341067479795e-02,2.331171211722392763e+04
2.779395401814170261e-02,2.330574369256649516e+04
2.829027462560849970e-02,2.329545968184129742e+04
2.878659523307530027e-02,2.328320371992651053e+04
2.928291584054210084e-02,2.327033683082184143e+04
2.977923644800889794e-02,2.325945228026349650e+04
3.027555705547570197e-02,2.325455338266102626e+04
3.077187766294250254e-02,2.325730037856884883e+04
3.126819827040940025e-02,2.326408174369693734e+04
3.176451887787620082e-02,2.327396985173099165e+04
3.226083948534300139e-02,2.328532780157696470e+04
3.275716009280980195e-02,2.329590886384142505e+04
3.325348070027659558e-02,2.330267469343179982e+04
3.374980130774339615e-02,2.330446238695954162e+04
3.424612191521020366e-02,2.330318662019897965e+04
3.474244252267710137e-02,2.329975884664829937e+04
3.523876313014390194e-02,2.329342617364985199e+04
3.573508373761070250e-02,2.328359057805857447e+04
3.623140434507750307e-02,2.327132622382130648e+04
3.672772495254430364e-02,2.325883240206902701e+04
3.722404556001109727e-02,2.324813213355392509e+04
3.772036616747789783e-02,2.324032291520181025e+04
3.821668677494469840e-02,2.323527226539309049e+04
3.871300738241159611e-02,2.323535565223704543e+04
3.920932798987840362e-02,2.323754680537527747e+04
3.970564859734520419e-02,2.324205164294147835e+04
4.020196920481200475e-02,2.324796835917187855e+04
4.069828981227880532e-02,2.325402472316989588e+04
4.119461041974559895e-02,2.325927210378136078e+04
4.169093102721239952e-02,2.326292999995002901e+04
4.218725163467920009e-02,2.326361207178817131e+04
4.268357224214609780e-02,2.326168757032310168e+04
4.317989284961289836e-02,2.325652697654200892e+04
4.367621345707969893e-02,2.324779523272651568e+04
4.417253406454649950e-02,2.323663666373284650e+04
4.466885467201330701e-02,2.322524758661188753e+04
4.516517527948010063e-02,2.321519053605449517e+04
4.566149588694700528e-02,2.320640755730325327e+04
4.615781649441379891e-02,2.319841023027637129e+04
4.665413710188059948e-02,2.319113323376052358e+04
4.715045770934740005e-02,2.318480357584484591e+04
4.764677831681420062e-02,2.317977308430461926e+04
4.814309892428100118e-02,2.317634470086426154e+04
4.863941953174780175e-02,2.317489174792012636e+04
4.913574013921469946e-02,2.317552960349907517e+04
4.963206074668150697e-02,2.317798422635740280e+04
5.012838135414830060e-02,2.318286661665979773e+04
5.062470196161510116e-02,2.318971825519581762e+04
5.112102256908190173e-02,2.319683232658837005e+04
5.161734317654870230e-02,2.320232341613342942e+04
5.211366378401550287e-02,2.320587643485068838e+04
5.260998439148230343e-02,2.320800333108805353e+04
5.310630499894920115e-02,2.320923626860877630e+04
5.360262560641600171e-02,2.320982676677453856e+04
5.409894621388279534e-02,2.320957283555647155e+04
5.459526682134959591e-02,2.320848599246967933e+04
5.509158742881640342e-02,2.320648407039814265e+04
5.558790803628320398e-02,2.320388700706061354e+04
5.608422864375000455e-02,2.320098451094701886e+04
5.658054925121690226e-02,2.319761986831147442e+04
