# x(m), P(Pa)
0.000000000000000000e+00,1.125113376762982443e+04
4.963206074668159631e-04,1.540673720126113403e+04
9.926412149336319261e-04,1.590542821903325603e+04
1.488961822400450058e-03,1.583521233230392318e+04
1.985282429867259949e-03,1.578047220051108161e+04
2.481603037334080032e-03,1.572269382771008168e+04
2.977923644800890141e-03,1.567847707733822608e+04
3.474244252267710224e-03,1.566543616657345410e+04
3.970564859734530307e-03,1.565508044288370729e+04
4.466885467201340415e-03,1.566021897981813527e+04
4.963206074668160064e-03,1.566030184902617475e+04
5.459526682134970173e-03,1.562370908020998468e+04
5.955847289601789822e-03,1.560770848632321940e+04
6.452167897068599930e-03,1.560777620981164364e+04
6.948488504535420447e-03,1.559494340863086109e+04
7.444809112002240097e-03,1.558753010900456866e+04
7.941129719469050205e-03,1.558802518230323403e+04
8.437450326935869854e-03,1.558149629588002608e+04
8.933770934402680830e-03,1.557215743713057964e+04
9.430091541869500479e-03,1.556232862426733118e+04
9.926412149336320129e-03,1.556345026584475272e+04
1.042273275680309988e-02,1.556467654114740435e+04
1.091905336427000106e-02,1.555726420456992855e+04
1.141537397173679989e-02,1.554634454647860184e+04
1.191169457920360046e-02,1.554423852951964909e+04
1.240801518667040103e-02,1.554680158936822409e+04
1.290433579413719986e-02,1.555036237021355555e+04
1.340065640160400043e-02,1.554994987514392415e+04
1.389697700907089987e-02,1.554461350101754215e+04
1.439329761653770044e-02,1.553362138494915780e+04
1.488961822400450101e-02,1.552303382978241643e+04
1.538593883147129984e-02,1.552565884192693011e+04
1.588225943893810041e-02,1.553271076832961990e+04
1.637858004640490098e-02,1.553991989387577632e+04
1.687490065387180216e-02,1.554484820007012240e+04
1.737122126133860273e-02,1.553898895436855310e+04
1.786754186880539982e-02,1.552514048089401695e+04
1.836386247627220039e-02,1.551142069262526638e+04
1.886018308373900096e-02,1.550515664215703327e+04
1.935650369120579806e-02,1.550808781327442921e+04
1.985282429867260209e-02,1.551417204345386745e+04
2.034914490613949981e-02,1.552335653432552499e+04
2.084546551360630037e-02,1.553286679728412128e+04
2.134178612107310094e-02,1.553706208272436925e+04
2.183810672853989804e-02,1.553480515856039710e+04
2.233442733600670208e-02,1.552595015003904155e+04
2.283074794347350264e-02,1.550956462958779230e+04
2.332706855094029974e-02,1.549348160396407729e+04
2.382338915840710031e-02,1.548544547835596677e+04
2.431970976587399802e-02,1.548855525845501870e+04
2.481603037334080206e-02,1.549682366988734429e+04
2.531235098080760262e-02,1.550778276783310685e+04
2.580867158827439972e-02,1.551663077389208593e+04
2.630499219574120029e-02,1.552419835523578877e+04
2.680131280320800086e-02,1.553092099488984786e+04
2.729763341067479795e-02,1.553016601734698452e+04
2.779395401814170261e-02,1.552417707631531994e+04
2.829027462560849970e-02,1.551385771445062346e+04
2.878659523307530027e-02,1.550155962284238194e+04
2.928291584054210084e-02,1.548864850399080024e+04
2.977923644800889794e-02,1.547772653794588405e+04
3.027555705547570197e-02,1.547281080045310955e+04
3.077187766294250254e-02,1.547556723911999870e+04
3.126819827040940025e-02,1.548237191509353943e+04
3.176451887787620082e-02,1.549229401335726288e+04
3.226083948534300139e-02,1.550369100599307058e+04
3.275716009280980195e-02,1.551430844050744054e+04
3.325348070027659558e-02,1.552109752754007786e+04
3.374980130774339615e-02,1.552289136623870218e+04
3.424612191521020366e-02,1.552161121404818186e+04
3.474244252267710137e-02,1.551817165757504335e+04
3.523876313014390194e-02,1.551181721610391105e+04
3.573508373761070250e-02,1.550194781079373024e+04
3.623140434507750307e-02,1.548964129801451963e+04
3.672772495254430364e-02,1.547710452892900867e+04
3.722404556001109727e-02,1.546636747839421514e+04
3.772036616747789783e-02,1.545853141596592650e+04
3.821668677494469840e-02,1.545346340462086300e+04
3.871300738241159611e-02,1.545354707810589935e+04
3.920932798987840362e-02,1.545574576330164564e+04
3.970564859734520419e-02,1.546026608618242244e+04
4.020196920481200475e-02,1.546620314104008139e+04
4.069828981227880532e-02,1.547228032370255096e+04
4.119461041974559895e-02,1.547754574210967257e+04
4.169093102721239952e-02,1.548121621224400587e+04
4.218725163467920009e-02,1.548190062869431858e+04
4.268357224214609780e-02,1.547996951178303971e+04
4.317989284961289836e-02,1.547479117853477692e+04
4.367621345707969893e-02,1.546602941947504223e+04
4.417253406454649950e-02,1.545483249306035941e+04
4.466885467201330701e-02,1.544340426615000433e+04
4.516517527948010063e-02,1.543331264462543913e+04
4.566149588694700528e-02,1.542449947451060143e+04
4.615781649441379891e-02,1.541647465678666777e+04
4.665413710188059948e-02,1.540917264569957479e+04
4.715045770934740005e-02,1.540282122967551550e+04
4.764677831681420062e-02,1.539777344589270615e+04
4.814309892428100118e-02,1.539433327743340124e+04
4.863941953174780175e-02,1.539287532998434108e+04
4.913574013921469946e-02,1.539351537818270299e+04
4.963206074668150697e-02,1.539597843877193009e+04
5.012838135414830060e-02,1.540087761222102563e+04
5.062470196161510116e-02,1.540775280316632961e+04
5.112102256908190173e-02,1.541489132907734893e+04
5.161734317654870230e-02,1.542040129416403215e+04
5.211366378401550287e-02,1.542396652633221674e+04
5.260998439148230343e-02,1.542610073374491549e+04
5.310630499894920115e-02,1.542733790947070156e+04
5.360262560641600171e-02,1.542793043746544572e+04
5.409894621388279534e-02,1.542767563336245257e+04
5.459526682134959591e-02,1.542658505426812553e+04
