# x(m), P(Pa)
0.000000000000000000e+00,1.905061496334273033e+04
4.963206074668159631e-04,2.318134560430273268e+04
9.926412149336319261e-04,2.368022924094153495e+04
1.488961822400450058e-03,2.361118738847946952e+04
1.985282429867259949e-03,2.355792553564974878e+04
2.481603037334080032e-03,2.350328580023839459e+04
2.977923644800890141e-03,2.346659307667316898e+04
3.474244252267710224e-03,2.344624487357633188e+04
3.970564859734530307e-03,2.341939922246173956e+04
4.466885467201340415e-03,2.339226012324314797e+04
4.963206074668160064e-03,2.337533292021786474e+04
5.459526682134970173e-03,2.336869113099449896e+04
5.955847289601789822e-03,2.335240252635658180e+04
6.452167897068599930e-03,2.333010899427564436e+04
6.948488504535420447e-03,2.330339935600637546e+04
7.444809112002240097e-03,2.331133882980698036e+04
7.941129719469050205e-03,2.333708926803022041e+04
8.437450326935869854e-03,2.336759981068633351e+04
8.933770934402680830e-03,2.339838733381083512e+04
9.430091541869500479e-03,2.342086293813627708e+04
9.926412149336320129e-03,2.346224817456386518e+04
1.042273275680309988e-02,2.350716671911608137e+04
1.091905336427000106e-02,2.351598728453965305e+04
1.141537397173679989e-02,2.350845525842441566e+04
1.191169457920360046e-02,2.351462769392216433e+04
1.240801518667040103e-02,2.351462308984721676e+04
1.290433579413719986e-02,2.351684890590627037e+04
1.340065640160400043e-02,2.351288835419757015e+04
1.389697700907089987e-02,2.350091905029071131e+04
1.439329761653770044e-02,2.348752148086761372e+04
1.488961822400450101e-02,2.347991530141611292e+04
1.538593883147129984e-02,2.346848265751846338e+04
1.588225943893810041e-02,2.346632944455469988e+04
1.637858004640490098e-02,2.346937647738369560e+04
1.687490065387180216e-02,2.346747226380659049e+04
1.737122126133860273e-02,2.345583956209076496e+04
1.786754186880539982e-02,2.344088746083257138e+04
1.836386247627220039e-02,2.342924343151234280e+04
1.886018308373900096e-02,2.342555860010008473e+04
1.935650369120579806e-02,2.342108762681154622e+04
1.985282429867260209e-02,2.341971306526215267e+04
2.034914490613949981e-02,2.342430365073563007e+04
2.084546551360630037e-02,2.343081395551239621e+04
2.134178612107310094e-02,2.343374498392570240e+04
2.183810672853989804e-02,2.342783188242324832e+04
2.233442733600670208e-02,2.341308033030183287e+04
2.283074794347350264e-02,2.339591376824743202e+04
2.332706855094029974e-02,2.338323555686612963e+04
2.382338915840710031e-02,2.337575692953697580e+04
2.431970976587399802e-02,2.337718686092118151e+04
2.481603037334080206e-02,2.338265950979891932e+04
2.531235098080760262e-02,2.338848540557542583e+04
