# x(m), P(Pa)
0.000000000000000000e+00,1.198280810405547527e+04
4.963206074668159631e-04,1.606057034954588016e+04
9.926412149336319261e-04,1.651074374092715516e+04
1.488961822400450058e-03,1.644122768660691872e+04
1.985282429867259949e-03,1.638708185470729950e+04
2.481603037334080032e-03,1.633332716586107563e+04
2.977923644800890141e-03,1.630272488126052485e+04
3.474244252267710224e-03,1.628016275513294022e+04
3.970564859734530307e-03,1.625181853863182005e+04
4.466885467201340415e-03,1.622641415246914039e+04
4.963206074668160064e-03,1.620830670476310297e+04
5.459526682134970173e-03,1.620417710878213256e+04
5.955847289601789822e-03,1.618932852959941010e+04
6.452167897068599930e-03,1.615703586595682464e+04
6.948488504535420447e-03,1.612326292033194659e+04
7.444809112002240097e-03,1.611760354345202359e+04
7.941129719469050205e-03,1.612023958344924176e+04
8.437450326935869854e-03,1.610990058321298784e+04
8.933770934402680830e-03,1.609731933633035260e+04
9.430091541869500479e-03,1.609554756769153391e+04
9.926412149336320129e-03,1.609352888592277304e+04
1.042273275680309988e-02,1.608697731714386646e+04
1.091905336427000106e-02,1.607599124211132039e+04
1.141537397173679989e-02,1.608849643388588083e+04
1.191169457920360046e-02,1.612281470462980178e+04
1.240801518667040103e-02,1.617417727867988651e+04
1.290433579413719986e-02,1.621538359385936019e+04
1.340065640160400043e-02,1.623675864067893781e+04
1.389697700907089987e-02,1.625121288582714806e+04
1.439329761653770044e-02,1.626846867611392190e+04
1.488961822400450101e-02,1.628834374554192618e+04
1.538593883147129984e-02,1.630472211514739683e+04
1.588225943893810041e-02,1.631102243725593689e+04
1.637858004640490098e-02,1.630825447238058405e+04
1.687490065387180216e-02,1.630243838319586393e+04
1.737122126133860273e-02,1.628825151554635704e+04
1.786754186880539982e-02,1.627031120733397802e+04
1.836386247627220039e-02,1.626878047863323627e+04
1.886018308373900096e-02,1.627227859158094543e+04
1.935650369120579806e-02,1.627620435084937344e+04
1.985282429867260209e-02,1.627995331318366334e+04
2.034914490613949981e-02,1.627926077397070731e+04
2.084546551360630037e-02,1.627535774667940132e+04
2.134178612107310094e-02,1.626843831833599688e+04
2.183810672853989804e-02,1.625436155317901284e+04
2.233442733600670208e-02,1.623978500649952366e+04
2.283074794347350264e-02,1.623416270463209912e+04
2.332706855094029974e-02,1.623535642844708491e+04
2.382338915840710031e-02,1.623722142976361465e+04
2.431970976587399802e-02,1.623964334188278917e+04
2.481603037334080206e-02,1.624319776888718661e+04
2.531235098080760262e-02,1.624630475801178000e+04
2.580867158827439972e-02,1.624547664647798229e+04
2.630499219574120029e-02,1.624170959296286492e+04
2.680131280320800086e-02,1.623576560398650690e+04
2.729763341067479795e-02,1.622850754694356328e+04
2.779395401814170261e-02,1.621666547273933429e+04
2.829027462560849970e-02,1.620501272114366475e+04
2.878659523307530027e-02,1.620037354819840220e+04
2.928291584054210084e-02,1.620171755121331080e+04
2.977923644800889794e-02,1.620410920816016551e+04
3.027555705547570197e-02,1.620757320040316699e+04
3.077187766294250254e-02,1.621246525974739234e+04
3.126819827040940025e-02,1.621825248965659193e+04
3.176451887787620082e-02,1.622388355888027945e+04
3.226083948534300139e-02,1.622900132442993527e+04
3.275716009280980195e-02,1.622795790416537238e+04
3.325348070027659558e-02,1.622184801948890890e+04
3.374980130774339615e-02,1.621217029620567519e+04
3.424612191521020366e-02,1.620279727330249807e+04
3.474244252267710137e-02,1.619566471413526051e+04
3.523876313014390194e-02,1.618619453759807584e+04
3.573508373761070250e-02,1.617384692042938332e+04
3.623140434507750307e-02,1.616417489053591089e+04
3.672772495254430364e-02,1.616062017126745013e+04
3.722404556001109727e-02,1.616154971015035699e+04
3.772036616747789783e-02,1.616311925348640762e+04
3.821668677494469840e-02,1.616484955589631863e+04
3.871300738241159611e-02,1.616689627913110598e+04
3.920932798987840362e-02,1.616931697752209948e+04
3.970564859734520419e-02,1.617149978951872617e+04
4.020196920481200475e-02,1.617175605820783494e+04
4.069828981227880532e-02,1.617035957360021894e+04
4.119461041974559895e-02,1.616741670283298299e+04
4.169093102721239952e-02,1.616138654680383115e+04
4.218725163467920009e-02,1.614973021192051419e+04
4.268357224214609780e-02,1.613458018723976966e+04
4.317989284961289836e-02,1.612025379803263058e+04
4.367621345707969893e-02,1.610910146560447902e+04
4.417253406454649950e-02,1.610207456597076634e+04
