# x(m), P(Pa)
0.000000000000000000e+00,1.904908472887090102e+04
4.963206074668159631e-04,2.318133797182367562e+04
9.926412149336319261e-04,2.368022535713082470e+04
1.488961822400450058e-03,2.361117788027956703e+04
1.985282429867259949e-03,2.355790522845678061e+04
2.481603037334080032e-03,2.350325620686700495e+04
2.977923644800890141e-03,2.346655204406172561e+04
3.474244252267710224e-03,2.344618505064053170e+04
3.970564859734530307e-03,2.341925892893400305e+04
4.466885467201340415e-03,2.339207933680150018e+04
4.963206074668160064e-03,2.337472486699409637e+04
5.459526682134970173e-03,2.336774812542119980e+04
5.955847289601789822e-03,2.335183406140296938e+04
6.452167897068599930e-03,2.332898003771029107e+04
6.948488504535420447e-03,2.330090999214016847e+04
7.444809112002240097e-03,2.330232534555772145e+04
7.941129719469050205e-03,2.332801007197120634e+04
8.437450326935869854e-03,2.335435750123954494e+04
8.933770934402680830e-03,2.338590026291240065e+04
9.430091541869500479e-03,2.341218894906567584e+04
9.926412149336320129e-03,2.345743013402539509e+04
1.042273275680309988e-02,2.350406893200766353e+04
1.091905336427000106e-02,2.351866360821144917e+04
1.141537397173679989e-02,2.350748146894752790e+04
1.191169457920360046e-02,2.350565470351427211e+04
1.240801518667040103e-02,2.351036653498496162e+04
1.290433579413719986e-02,2.351056669099201827e+04
1.340065640160400043e-02,2.351017078700312049e+04
1.389697700907089987e-02,2.349762660416583094e+04
1.439329761653770044e-02,2.347509571493548356e+04
1.488961822400450101e-02,2.346034555459061085e+04
1.538593883147129984e-02,2.346246583315700627e+04
1.588225943893810041e-02,2.345740046368020921e+04
1.637858004640490098e-02,2.345510765073983930e+04
1.687490065387180216e-02,2.345723593457408424e+04
1.737122126133860273e-02,2.345233499359653797e+04
1.786754186880539982e-02,2.343501054180808569e+04
1.836386247627220039e-02,2.341400656801314472e+04
1.886018308373900096e-02,2.340050481277716972e+04
1.935650369120579806e-02,2.340055712699700234e+04
1.985282429867260209e-02,2.340882570802552073e+04
2.034914490613949981e-02,2.341202990136687367e+04
2.084546551360630037e-02,2.341364097983182000e+04
2.134178612107310094e-02,2.341769461704024070e+04
2.183810672853989804e-02,2.341968323381017399e+04
2.233442733600670208e-02,2.341303805028652278e+04
2.283074794347350264e-02,2.339511615493538193e+04
2.332706855094029974e-02,2.337402316166095989e+04
2.382338915840710031e-02,2.335952093861841422e+04
2.431970976587399802e-02,2.335569293125830154e+04
2.481603037334080206e-02,2.336111260588161167e+04
2.531235098080760262e-02,2.337222425603080046e+04
2.580867158827439972e-02,2.338474980396262981e+04
2.630499219574120029e-02,2.339119756149616296e+04
2.680131280320800086e-02,2.339153685141844471e+04
2.729763341067479795e-02,2.338923578918188650e+04
2.779395401814170261e-02,2.338553446754324978e+04
2.829027462560849970e-02,2.337947264123308923e+04
2.878659523307530027e-02,2.336807514757981698e+04
2.928291584054210084e-02,2.335164050846958708e+04
2.977923644800889794e-02,2.333611590166929818e+04
3.027555705547570197e-02,2.332727666413371844e+04
3.077187766294250254e-02,2.332740221712234779e+04
3.126819827040940025e-02,2.333100823114005834e+04
3.176451887787620082e-02,2.333698489645845621e+04
3.226083948534300139e-02,2.334640026807164395e+04
3.275716009280980195e-02,2.335854686713033880e+04
3.325348070027659558e-02,2.336846364991093651e+04
3.374980130774339615e-02,2.337237683108067722e+04
3.424612191521020366e-02,2.337116678308058908e+04
3.474244252267710137e-02,2.336563702188495517e+04
3.523876313014390194e-02,2.335303635829651830e+04
3.573508373761070250e-02,2.333717798190439498e+04
3.623140434507750307e-02,2.332521586241302430e+04
3.672772495254430364e-02,2.331871482446779555e+04
3.722404556001109727e-02,2.331263288977094271e+04
3.772036616747789783e-02,2.330434203919102583e+04
3.821668677494469840e-02,2.329583916527866677e+04
3.871300738241159611e-02,2.329174210805375333e+04
3.920932798987840362e-02,2.329234561168948858e+04
3.970564859734520419e-02,2.329607859489642578e+04
4.020196920481200475e-02,2.330153114543620177e+04
4.069828981227880532e-02,2.330647819354856256e+04
4.119461041974559895e-02,2.330931138236753395e+04
4.169093102721239952e-02,2.331098232647083569e+04
4.218725163467920009e-02,2.331148126728771240e+04
4.268357224214609780e-02,2.330898040685543674e+04
4.317989284961289836e-02,2.330215465346078781e+04
4.367621345707969893e-02,2.329168700314381931e+04
4.417253406454649950e-02,2.327967171157949269e+04
4.466885467201330701e-02,2.326816944428838178e+04
4.516517527948010063e-02,2.325936022761131608e+04
4.566149588694700528e-02,2.325191711784852305e+04
4.615781649441379891e-02,2.324290955468174070e+04
4.665413710188059948e-02,2.323260775072203251e+04
4.715045770934740005e-02,2.322428233995860865e+04
4.764677831681420062e-02,2.322198867691859414e+04
4.814309892428100118e-02,2.322291316139639457e+04
4.863941953174780175e-02,2.322556083363771177e+04
4.913574013921469946e-02,2.322791998948364198e+04
4.963206074668150697e-02,2.322987827330540313e+04
5.012838135414830060e-02,2.323243117247979899e+04
5.062470196161510116e-02,2.323601349926534022e+04
