# x(m), P(Pa)
0.000000000000000000e+00,2.024023855877012102e+04
4.963206074668159631e-04,2.389234262868893711e+04
9.926412149336319261e-04,2.429742382317148804e+04
1.488961822400450058e-03,2.424049716197959060e+04
1.985282429867259949e-03,2.419443409152972163e+04
2.481603037334080032e-03,2.414133878007754902e+04
2.977923644800890141e-03,2.411126228250852364e+04
3.474244252267710224e-03,2.408923067655837076e+04
3.970564859734530307e-03,2.405913079619671043e+04
4.466885467201340415e-03,2.403728761907796070e+04
4.963206074668160064e-03,2.408442857102152993e+04
5.459526682134970173e-03,2.411852810091542779e+04
5.955847289601789822e-03,2.413137221277596109e+04
6.452167897068599930e-03,2.416030403035430936e+04
6.948488504535420447e-03,2.418457974102361186e+04
7.444809112002240097e-03,2.418911509368528641e+04
7.941129719469050205e-03,2.418905048339964560e+04
8.437450326935869854e-03,2.418468414790732277e+04
8.933770934402680830e-03,2.417948216062493884e+04
9.430091541869500479e-03,2.417258106592765398e+04
9.926412149336320129e-03,2.416900967216780555e+04
1.042273275680309988e-02,2.415676317982007095e+04
1.091905336427000106e-02,2.413864753953879699e+04
1.141537397173679989e-02,2.413509804427267954e+04
1.191169457920360046e-02,2.413351464254652092e+04
1.240801518667040103e-02,2.413164226356388826e+04
1.290433579413719986e-02,2.412954315289489023e+04
1.340065640160400043e-02,2.412002905640610697e+04
1.389697700907089987e-02,2.410139912495359749e+04
1.439329761653770044e-02,2.409770230310537954e+04
1.488961822400450101e-02,2.410155118205967301e+04
1.538593883147129984e-02,2.410529825382235867e+04
1.588225943893810041e-02,2.410420733593568002e+04
1.637858004640490098e-02,2.409853243039571680e+04
1.687490065387180216e-02,2.408945802778491634e+04
1.737122126133860273e-02,2.407843761935483781e+04
1.786754186880539982e-02,2.406482524847589229e+04
1.836386247627220039e-02,2.405962312905623912e+04
1.886018308373900096e-02,2.406515832773818329e+04
1.935650369120579806e-02,2.407457145724151633e+04
1.985282429867260209e-02,2.408185424961864192e+04
2.034914490613949981e-02,2.408399418282269107e+04
2.084546551360630037e-02,2.407940658446323141e+04
2.134178612107310094e-02,2.406496911904976878e+04
2.183810672853989804e-02,2.404688615614392984e+04
2.233442733600670208e-02,2.403464845272262028e+04
2.283074794347350264e-02,2.403257915979963218e+04
2.332706855094029974e-02,2.403407280450442340e+04
2.382338915840710031e-02,2.403713373705356935e+04
2.431970976587399802e-02,2.404498220506363577e+04
2.481603037334080206e-02,2.405623806913182852e+04
2.531235098080760262e-02,2.406414578673097276e+04
2.580867158827439972e-02,2.406374556670434686e+04
2.630499219574120029e-02,2.405947766822205449e+04
2.680131280320800086e-02,2.405066174986631813e+04
2.729763341067479795e-02,2.403645496574143908e+04
2.779395401814170261e-02,2.401849366488739179e+04
2.829027462560849970e-02,2.400422030463364354e+04
2.878659523307530027e-02,2.400054315288244834e+04
2.928291584054210084e-02,2.400325630023107442e+04
2.977923644800889794e-02,2.401040140920890917e+04
3.027555705547570197e-02,2.402115592327265040e+04
3.077187766294250254e-02,2.402893129181815675e+04
3.126819827040940025e-02,2.403435986691692960e+04
3.176451887787620082e-02,2.404121640079250938e+04
3.226083948534300139e-02,2.404700915081841958e+04
3.275716009280980195e-02,2.404575248216921318e+04
