# x(m), P(Pa)
0.000000000000000000e+00,1.982912300468050671e+04
4.963206074668159631e-04,2.384138696274779068e+04
9.926412149336319261e-04,2.432389608715377108e+04
1.488961822400450058e-03,2.425751455282560346e+04
1.985282429867259949e-03,2.420202487836059663e+04
2.481603037334080032e-03,2.414623157396847091e+04
2.977923644800890141e-03,2.411433212071684102e+04
3.474244252267710224e-03,2.409118697215328575e+04
3.970564859734530307e-03,2.406249928874983016e+04
4.466885467201340415e-03,2.403571705942632252e+04
4.963206074668160064e-03,2.402049632238260892e+04
5.459526682134970173e-03,2.401964000639017468e+04
5.955847289601789822e-03,2.400143817822739220e+04
6.452167897068599930e-03,2.399611161250674922e+04
6.948488504535420447e-03,2.401524145434153615e+04
7.444809112002240097e-03,2.406992290481942473e+04
7.941129719469050205e-03,2.411877803203743679e+04
8.437450326935869854e-03,2.414337570335069904e+04
8.933770934402680830e-03,2.417510118153959775e+04
9.430091541869500479e-03,2.420421839088949491e+04
9.926412149336320129e-03,2.422337321939254616e+04
1.042273275680309988e-02,2.422378950616695147e+04
1.091905336427000106e-02,2.422012300605381461e+04
1.141537397173679989e-02,2.421571403740334790e+04
1.191169457920360046e-02,2.421741807601775508e+04
1.240801518667040103e-02,2.422030217673924562e+04
1.290433579413719986e-02,2.421322127802173054e+04
1.340065640160400043e-02,2.420548221681410359e+04
1.389697700907089987e-02,2.419549286141010089e+04
1.439329761653770044e-02,2.418238995936651190e+04
1.488961822400450101e-02,2.417924623028820497e+04
1.538593883147129984e-02,2.418146836129292205e+04
1.588225943893810041e-02,2.417753391288269631e+04
1.637858004640490098e-02,2.417158467838607612e+04
1.687490065387180216e-02,2.416519809558793349e+04
1.737122126133860273e-02,2.415315901973274958e+04
1.786754186880539982e-02,2.413685501830960129e+04
1.836386247627220039e-02,2.412539531411257849e+04
1.886018308373900096e-02,2.412827591437935189e+04
1.935650369120579806e-02,2.413666315173083422e+04
1.985282429867260209e-02,2.413894836810373818e+04
2.034914490613949981e-02,2.413628026394716289e+04
2.084546551360630037e-02,2.413261929256400254e+04
2.134178612107310094e-02,2.412586557176658243e+04
2.183810672853989804e-02,2.411376742092490895e+04
2.233442733600670208e-02,2.409822056952465937e+04
2.283074794347350264e-02,2.408408885007294521e+04
2.332706855094029974e-02,2.407911744359960358e+04
2.382338915840710031e-02,2.408273760915764069e+04
2.431970976587399802e-02,2.409264271426133928e+04
2.481603037334080206e-02,2.410499507998820627e+04
2.531235098080760262e-02,2.410806842046355450e+04
2.580867158827439972e-02,2.410384750325071946e+04
2.630499219574120029e-02,2.409731812604195875e+04
2.680131280320800086e-02,2.409032911336606776e+04
2.729763341067479795e-02,2.408092042295893043e+04
2.779395401814170261e-02,2.406884173173211457e+04
2.829027462560849970e-02,2.405652060760451423e+04
2.878659523307530027e-02,2.404684842611287604e+04
2.928291584054210084e-02,2.404306603813576658e+04
2.977923644800889794e-02,2.404541474476603616e+04
3.027555705547570197e-02,2.405223868693338954e+04
3.077187766294250254e-02,2.406176956720672752e+04
3.126819827040940025e-02,2.407227328769338783e+04
3.176451887787620082e-02,2.408095652555589186e+04
3.226083948534300139e-02,2.408074496671179804e+04
3.275716009280980195e-02,2.407487977611903261e+04
3.325348070027659558e-02,2.406507584190311172e+04
3.374980130774339615e-02,2.405552089080592123e+04
3.424612191521020366e-02,2.404694202786236565e+04
3.474244252267710137e-02,2.403797312692090054e+04
3.523876313014390194e-02,2.402822392307352857e+04
3.573508373761070250e-02,2.401870639354285231e+04
3.623140434507750307e-02,2.401071215476489306e+04
3.672772495254430364e-02,2.400505311931625693e+04
3.722404556001109727e-02,2.400255349170369300e+04
3.772036616747789783e-02,2.400332079803528904e+04
3.821668677494469840e-02,2.400582814492916805e+04
3.871300738241159611e-02,2.400927187439558111e+04
3.920932798987840362e-02,2.401226933063276010e+04
3.970564859734520419e-02,2.401352095180853212e+04
4.020196920481200475e-02,2.401261323694838939e+04
4.069828981227880532e-02,2.400939474346542556e+04
4.119461041974559895e-02,2.400351329371391330e+04
4.169093102721239952e-02,2.399505043892056710e+04
4.218725163467920009e-02,2.398438084678704035e+04
4.268357224214609780e-02,2.397283693885382672e+04
4.317989284961289836e-02,2.396240868184353167e+04
4.367621345707969893e-02,2.395424273895969236e+04
4.417253406454649950e-02,2.394812756379307757e+04
4.466885467201330701e-02,2.394342682333497578e+04
4.516517527948010063e-02,2.393976391268881707e+04
4.566149588694700528e-02,2.393700757422034076e+04
4.615781649441379891e-02,2.393499636904582439e+04
4.665413710188059948e-02,2.393402768731799006e+04
4.715045770934740005e-02,2.393435060542573046e+04
4.764677831681420062e-02,2.393587364707639063e+04
4.814309892428100118e-02,2.393911638974442394e+04
4.863941953174780175e-02,2.394382222068361443e+04
4.913574013921469946e-02,2.394877400880654750e+04
4.963206074668150697e-02,2.395228842139559492e+04
5.012838135414830060e-02,2.395368386224922870e+04
5.062470196161510116e-02,2.395332768548365857e+04
5.112102256908190173e-02,2.395189088641745184e+04
5.161734317654870230e-02,2.394952348930602602e+04
5.211366378401550287e-02,2.394656950967937155e+04
5.260998439148230343e-02,2.394318914270008827e+04
5.310630499894920115e-02,2.393946264880544186e+04
5.360262560641600171e-02,2.393557911376366610e+04
5.409894621388279534e-02,2.393166316862968961e+04
5.459526682134959591e-02,2.392753538723925158e+04
5.509158742881640342e-02,2.392307683503556473e+04
5.558790803628320398e-02,2.391867232118696120e+04
5.608422864375000455e-02,2.391493052962473666e+04
5.658054925121690226e-02,2.391205435797302198e+04
5.707686985868370283e-02,2.390980895555457755e+04
5.757319046615050340e-02,2.390788884035294177e+04
5.806951107361729703e-02,2.390607848171563091e+04
5.856583168108409759e-02,2.390439222591291036e+04
5.906215228855089816e-02,2.390298952918195209e+04
5.955847289601769873e-02,2.390199722842071060e+04
6.005479350348460338e-02,2.390143503421011701e+04
6.055111411095140395e-02,2.390143135557000642e+04
6.104743471841820451e-02,2.390177578199992786e+04
6.154375532588500508e-02,2.390270178574208694e+04
6.204007593335180565e-02,2.390424463142528111e+04
6.253639654081860622e-02,2.390650874204154388e+04
6.303271714828539984e-02,2.390958631164535836e+04
6.352903775575220735e-02,2.391332043269366841e+04
6.402535836321900098e-02,2.391728264937841595e+04
6.452167897068590563e-02,2.392092864070603173e+04
6.501799957815269926e-02,2.392405427933421743e+04
6.551432018561949289e-02,2.392686704940905111e+04
6.601064079308630039e-02,2.392949056101694805e+04
6.650696140055309402e-02,2.393185958719941846e+04
6.700328200801990153e-02,2.393400250072966446e+04
