# x(m), P(Pa)
0.000000000000000000e+00,1.979262246511775447e+04
4.963206074668159631e-04,2.387010366549943865e+04
9.926412149336319261e-04,2.431879725900021003e+04
1.488961822400450058e-03,2.424927998708163068e+04
1.985282429867259949e-03,2.419519260629822747e+04
2.481603037334080032e-03,2.414149195474637236e+04
2.977923644800890141e-03,2.411096384543020031e+04
3.474244252267710224e-03,2.408889608988418331e+04
3.970564859734530307e-03,2.406121738862716302e+04
4.466885467201340415e-03,2.403591185906915416e+04
4.963206074668160064e-03,2.402412414039933719e+04
5.459526682134970173e-03,2.402740205568888996e+04
5.955847289601789822e-03,2.400889517906524998e+04
6.452167897068599930e-03,2.400300372032670202e+04
6.948488504535420447e-03,2.401784575611560285e+04
7.444809112002240097e-03,2.406559215423458227e+04
7.941129719469050205e-03,2.411179571034826586e+04
8.437450326935869854e-03,2.413192888939565455e+04
8.933770934402680830e-03,2.416184951094795542e+04
9.430091541869500479e-03,2.419422244792289712e+04
9.926412149336320129e-03,2.421447229334685107e+04
1.042273275680309988e-02,2.421698792264349322e+04
1.091905336427000106e-02,2.421264305178717404e+04
1.141537397173679989e-02,2.421118842569342087e+04
1.191169457920360046e-02,2.421310895367649573e+04
1.240801518667040103e-02,2.421672361877913863e+04
1.290433579413719986e-02,2.421117937178487409e+04
1.340065640160400043e-02,2.420288270140376335e+04
1.389697700907089987e-02,2.419421309954185199e+04
1.439329761653770044e-02,2.418277025838422560e+04
1.488961822400450101e-02,2.417825097957808975e+04
1.538593883147129984e-02,2.418035760380268039e+04
1.588225943893810041e-02,2.417737486637811890e+04
1.637858004640490098e-02,2.417147081004275969e+04
1.687490065387180216e-02,2.416513870162102103e+04
1.737122126133860273e-02,2.415427321976958774e+04
1.786754186880539982e-02,2.413892836105506285e+04
1.836386247627220039e-02,2.412660557567525393e+04
1.886018308373900096e-02,2.412914765064908715e+04
1.935650369120579806e-02,2.413677712863846682e+04
1.985282429867260209e-02,2.413975228962842084e+04
2.034914490613949981e-02,2.413711027085813112e+04
2.084546551360630037e-02,2.413320853499722580e+04
2.134178612107310094e-02,2.412680632044142112e+04
2.183810672853989804e-02,2.411539662184543704e+04
2.233442733600670208e-02,2.410029312747401127e+04
2.283074794347350264e-02,2.408622576166872750e+04
2.332706855094029974e-02,2.408033643169175411e+04
2.382338915840710031e-02,2.408396743869827696e+04
2.431970976587399802e-02,2.409361369276409459e+04
2.481603037334080206e-02,2.410609125625306842e+04
2.531235098080760262e-02,2.410958999369835874e+04
2.580867158827439972e-02,2.410528881044617083e+04
2.630499219574120029e-02,2.409858549610756745e+04
2.680131280320800086e-02,2.409169639138585262e+04
2.729763341067479795e-02,2.408263597658980143e+04
2.779395401814170261e-02,2.407084688076951716e+04
2.829027462560849970e-02,2.405850506064979709e+04
2.878659523307530027e-02,2.404860177571827080e+04
2.928291584054210084e-02,2.404429239043676353e+04
2.977923644800889794e-02,2.404667285208852627e+04
3.027555705547570197e-02,2.405339123803857365e+04
3.077187766294250254e-02,2.406285657303778862e+04
3.126819827040940025e-02,2.407328854504930496e+04
3.176451887787620082e-02,2.408196027993031748e+04
3.226083948534300139e-02,2.408223699396115990e+04
3.275716009280980195e-02,2.407662274759387947e+04
3.325348070027659558e-02,2.406685883852707047e+04
3.374980130774339615e-02,2.405717212283741537e+04
3.424612191521020366e-02,2.404849452011060202e+04
3.474244252267710137e-02,2.403951522379673406e+04
3.523876313014390194e-02,2.402977439529532421e+04
3.573508373761070250e-02,2.402020919083262197e+04
3.623140434507750307e-02,2.401211508623008922e+04
3.672772495254430364e-02,2.400630882013684459e+04
3.722404556001109727e-02,2.400359234916955029e+04
3.772036616747789783e-02,2.400432169981049083e+04
3.821668677494469840e-02,2.400678151420023642e+04
3.871300738241159611e-02,2.401026502563465328e+04
3.920932798987840362e-02,2.401335819309172075e+04
3.970564859734520419e-02,2.401475726323814888e+04
4.020196920481200475e-02,2.401388928915163706e+04
4.069828981227880532e-02,2.401078767469773811e+04
4.119461041974559895e-02,2.400501510209968183e+04
4.169093102721239952e-02,2.399663328464892402e+04
4.218725163467920009e-02,2.398598002742237804e+04
4.268357224214609780e-02,2.397436243399070736e+04
4.317989284961289836e-02,2.396379374822060345e+04
4.367621345707969893e-02,2.395548047555007361e+04
4.417253406454649950e-02,2.394924182160464989e+04
4.466885467201330701e-02,2.394443966870935401e+04
4.516517527948010063e-02,2.394068509780297609e+04
4.566149588694700528e-02,2.393784252286945048e+04
4.615781649441379891e-02,2.393574942036283755e+04
4.665413710188059948e-02,2.393467893077373446e+04
4.715045770934740005e-02,2.393494704272393938e+04
4.764677831681420062e-02,2.393637372628880621e+04
4.814309892428100118e-02,2.393953826547539938e+04
4.863941953174780175e-02,2.394420629583615300e+04
4.913574013921469946e-02,2.394917506230866275e+04
4.963206074668150697e-02,2.395274272163629212e+04
5.012838135414830060e-02,2.395427175181978600e+04
5.062470196161510116e-02,2.395388016565324142e+04
5.112102256908190173e-02,2.395245460597132478e+04
5.161734317654870230e-02,2.395008932011411525e+04
5.211366378401550287e-02,2.394712919497601979e+04
5.260998439148230343e-02,2.394373714935614043e+04
5.310630499894920115e-02,2.393998879383913300e+04
5.360262560641600171e-02,2.393607143779607213e+04
5.409894621388279534e-02,2.393211591446716557e+04
5.459526682134959591e-02,2.392794937242336164e+04
5.509158742881640342e-02,2.392345330987170018e+04
5.558790803628320398e-02,2.391900800848268773e+04
5.608422864375000455e-02,2.391521821523594554e+04
5.658054925121690226e-02,2.391229128517604840e+04
5.707686985868370283e-02,2.391000023913543555e+04
5.757319046615050340e-02,2.390803950194434219e+04
5.806951107361729703e-02,2.390619454892455178e+04
5.856583168108409759e-02,2.390447419318017637e+04
5.906215228855089816e-02,2.390303596240265688e+04
5.955847289601769873e-02,2.390201104413457870e+04
6.005479350348460338e-02,2.390141724028794488e+04
6.055111411095140395e-02,2.390137770911204279e+04
6.104743471841820451e-02,2.390172114482992765e+04
6.154375532588500508e-02,2.390262802486439614e+04
6.204007593335180565e-02,2.390415142755004490e+04
6.253639654081860622e-02,2.390639478469370079e+04
6.303271714828539984e-02,2.390945388060140613e+04
6.352903775575220735e-02,2.391317874129972188e+04
6.402535836321900098e-02,2.391714368206753716e+04
6.452167897068590563e-02,2.392080307374140102e+04
6.501799957815269926e-02,2.392394455508124520e+04
6.551432018561949289e-02,2.392676855613029329e+04
6.601064079308630039e-02,2.392940030565940469e+04
6.650696140055309402e-02,2.393177800835596281e+04
6.700328200801990153e-02,2.393392957173381728e+04
6.749960261548679230e-02,2.393603514489542795e+04
6.799592322295361368e-02,2.393819546630068362e+04
6.849224383042040731e-02,2.394030139211676214e+04
6.898856443788720094e-02,2.394212954903962964e+04
6.948488504535400845e-02,2.394352977469647158e+04
6.998120565282080208e-02,2.394447590470992509e+04
7.047752626028760958e-02,2.394511371936695286e+04
7.097384686775450036e-02,2.394553154119054670e+04
7.147016747522130786e-02,2.394545627513673389e+04
7.196648808268810149e-02,2.394497614522342337e+04
7.246280869015490900e-02,2.394421297104049881e+04
7.295912929762170263e-02,2.394357908665727155e+04
7.345544990508849625e-02,2.394329089662636761e+04
7.395177051255530376e-02,2.394320357508029701e+04
7.444809112002219453e-02,2.394301673315204971e+04
7.494441172748900204e-02,2.394253283939050743e+04
7.544073233495579567e-02,2.394166853977302526e+04
7.593705294242260317e-02,2.394047538139614335e+04
7.643337354988939680e-02,2.393906553637945035e+04
7.692969415735619043e-02,2.393755436606494914e+04
7.742601476482299794e-02,2.393603923592167848e+04
7.792233537228988871e-02,2.393459816127302111e+04
7.841865597975659907e-02,2.393329303571789933e+04
7.891497658722350372e-02,2.393216832136472294e+04
7.941129719469031123e-02,2.393124858851436147e+04
7.990761780215710486e-02,2.393054785024111334e+04
8.040393840962391236e-02,2.393007468581220746e+04
8.090025901709070599e-02,2.392978001172765289e+04
8.139657962455761064e-02,2.392977515089092049e+04
8.189290023202440427e-02,2.392998529425499146e+04
8.238922083949119790e-02,2.393041242609626352e+04
8.288554144695800541e-02,2.393083764077883461e+04
8.338186205442479904e-02,2.393094504552245780e+04
8.387818266189160654e-02,2.393063585006861103e+04
8.437450326935840017e-02,2.392985515821777517e+04
8.487082387682519380e-02,2.392876188087646005e+04
8.536714448429200131e-02,2.392766780977687449e+04
8.586346509175889208e-02,2.392677038781902957e+04
8.635978569922569958e-02,2.392606213105774441e+04
8.685610630669249321e-02,2.392549115566664477e+04
8.735242691415930072e-02,2.392509268548946420e+04
8.784874752162609435e-02,2.392494598043315636e+04
8.834506812909290185e-02,2.392502940057090746e+04
8.884138873655979263e-02,2.392526025558948459e+04
8.933770934402661401e-02,2.392557077278001816e+04
8.983402995149340764e-02,2.392588733338497696e+04
9.033035055896020127e-02,2.392617280726584431e+04
9.082667116642700877e-02,2.392641533989949676e+04
9.132299177389380240e-02,2.392662218955317076e+04
9.181931238136060991e-02,2.392684376827710366e+04
9.231563298882740354e-02,2.392713253246869863e+04
9.281195359629430819e-02,2.392744615719583453e+04
9.330827420376110182e-02,2.392766945824238792e+04
9.380459481122790932e-02,2.392775187303397252e+04
9.430091541869470295e-02,2.392777340615502180e+04
9.479723602616149658e-02,2.392783222627074429e+04
9.529355663362830409e-02,2.392795035921594535e+04
9.578987724109509772e-02,2.392806687275196600e+04
9.628619784856190522e-02,2.392804112392976094e+04
9.678251845602879599e-02,2.392783886303614418e+04
9.727883906349560350e-02,2.392738413073505944e+04
9.777515967096239713e-02,2.392669222580351561e+04
9.827148027842919076e-02,2.392581450268073240e+04
9.876780088589599826e-02,2.392481543828178837e+04
9.926412149336279189e-02,2.392376128856243668e+04
9.976044210082971042e-02,2.392271355034593944e+04
1.002567627082959906e-01,2.392172590410452540e+04
1.007530833157630062e-01,2.392084104041820683e+04
1.012494039232300080e-01,2.392008956972094893e+04
1.017457245306970098e-01,2.391948793760455010e+04
1.022420451381639978e-01,2.391903948964115625e+04
1.027383657456309995e-01,2.391873870541194265e+04
1.032346863530970021e-01,2.391857219251980860e+04
1.037310069605640039e-01,2.391854203412966672e+04
1.042273275680310057e-01,2.391860563176501455e+04
1.047236481754980075e-01,2.391876760094850397e+04
1.052199687829649954e-01,2.391899750911008232e+04
1.057162893904309980e-01,2.391927160244503466e+04
1.062126099978979998e-01,2.391965245071098616e+04
1.067089306053650016e-01,2.392025751392094389e+04
1.072052512128320034e-01,2.392111783917388311e+04
1.077015718202989913e-01,2.392208774150606041e+04
1.081978924277649939e-01,2.392291544867083212e+04
1.086942130352319957e-01,2.392338656889322010e+04
1.091905336426989975e-01,2.392331105702297646e+04
1.096868542501659993e-01,2.392282063766821375e+04
1.101831748576330011e-01,2.392185899220394276e+04
1.106794954651000029e-01,2.392053990519230865e+04
