x [m],Heat flux [MW/m^2]
1.213118085000000103e-03,1.443973283999999957e+01
1.213243812999999921e-03,1.426615501000000030e+01
1.213495502999999923e-03,1.411597225000000044e+01
1.213874434999999983e-03,1.395141738999999959e+01
1.214382703999999967e-03,1.378702827000000042e+01
1.215023453999999892e-03,1.362941183999999950e+01
1.215799479000000084e-03,1.347215830000000025e+01
1.216714969000000065e-03,1.330465762000000041e+01
1.217775162999999933e-03,1.312031288999999923e+01
1.218985766000000096e-03,1.291528077999999979e+01
1.220353063999999937e-03,1.268887233999999964e+01
1.221885206000000073e-03,1.243636234999999957e+01
1.223590923000000092e-03,1.215997961999999966e+01
1.225479762000000012e-03,1.185912689000000064e+01
1.227563014000000036e-03,1.153292223999999955e+01
1.229853020000000073e-03,1.118305430000000023e+01
1.232364214999999907e-03,1.080569372000000072e+01
1.235112081999999905e-03,1.040629277999999935e+01
1.238114433000000016e-03,9.980833506999999827e+00
1.241390942999999903e-03,9.531554763000000818e+00
1.244963379999999972e-03,9.064119804000000613e+00
1.248856541000000018e-03,8.568323827000000392e+00
1.253097784000000011e-03,8.060676231000000413e+00
1.257717144000000068e-03,7.532145209000000285e+00
1.262748614000000101e-03,6.989386577000000322e+00
1.268229913000000096e-03,6.441519429000000407e+00
1.274202834000000024e-03,5.878716629000000360e+00
1.280713244000000056e-03,5.345298940000000165e+00
1.287811319000000060e-03,4.789777221999999668e+00
1.295552473000000007e-03,4.225739707999999872e+00
1.303995958999999922e-03,3.658440371999999829e+00
1.313205225999999979e-03,3.297584029999999888e+00
1.323246397000000076e-03,2.699677271000000101e+00
1.334185945000000012e-03,2.312928900999999815e+00
1.345622120000000048e-03,1.943426292999999916e+00
1.357895670999999943e-03,1.740324103999999927e+00
1.371894963000000077e-03,1.592832916999999959e+00
1.387861673999999908e-03,1.471264085999999915e+00
1.406070542999999931e-03,1.366867014999999963e+00
1.426834263999999901e-03,1.274054000000000020e+00
1.450508833000000017e-03,1.190249982000000095e+00
1.477498560999999976e-03,1.112393519000000053e+00
1.508263405000000038e-03,1.039049611999999900e+00
1.543325139000000000e-03,9.701638339000000499e-01
1.583276317000000032e-03,9.057324358999999658e-01
1.628788887000000079e-03,8.456540944999999532e-01
1.680623973000000028e-03,7.897067926999999932e-01
1.739643047999999944e-03,7.376196492000000049e-01
1.806820044000000038e-03,6.889310334999999563e-01
1.883254154000000040e-03,6.442393688999999979e-01
1.970184733999999927e-03,6.025430306000000291e-01
2.069005743000000130e-03,5.648136831000000191e-01
2.181282965000000146e-03,5.300189129000000277e-01
2.308769384000000213e-03,4.996088718999999734e-01
2.453424268999999849e-03,4.644344946999999779e-01
2.617429475999999942e-03,4.705251663000000195e-01
2.803205512000000142e-03,4.278321586000000121e-01
3.013427835000000079e-03,4.020540693999999915e-01
3.251038725000000070e-03,3.798393767000000087e-01
3.519256598999999895e-03,3.615057702000000206e-01
3.821578109999999948e-03,3.444960060999999740e-01
4.161774646000000050e-03,3.295662967999999915e-01
4.543876740999999719e-03,3.138063822000000114e-01
4.972148220999999570e-03,3.057339977999999903e-01
5.451040808000000119e-03,2.913361235999999965e-01
5.985134746999999644e-03,2.798641210999999740e-01
6.579050793999999779e-03,2.703710913999999854e-01
7.237344514999999832e-03,2.609602994999999925e-01
7.964368910000000149e-03,2.515740141999999735e-01
8.764110505999999148e-03,2.424098332999999883e-01
9.640001691999999442e-03,2.333014784999999924e-01
1.059471071000000000e-02,2.241722892999999939e-01
1.162991485999999991e-02,2.155742244999999946e-01
1.274607143999999942e-02,2.063986686000000015e-01
1.394220068999999992e-02,1.985039500999999929e-01
1.521569396999999935e-02,1.897723667000000003e-01
1.656217314000000065e-02,1.825308086000000107e-01
1.797541044999999976e-02,1.742618066000000132e-01
1.944733783999999868e-02,1.677766940000000040e-01
2.096815594000000019e-02,1.610594053999999942e-01
2.252653054999999988e-02,1.553434046000000124e-01
2.410990186000000132e-02,1.494303301999999889e-01
2.570487185999999896e-02,1.458982846999999916e-01
2.729764021999999887e-02,1.425312601000000012e-01
2.887448482000000080e-02,1.402799479000000071e-01
3.042222559000000090e-02,1.395990058999999894e-01
3.192865848999999756e-02,1.407384097000000112e-01
3.338290378000000058e-02,1.436823532000000014e-01
3.477570041999999972e-02,1.473295813000000121e-01
3.609955311000000167e-02,1.513370491999999901e-01
3.734883293999999992e-02,1.547022808000000083e-01
3.851973264999999924e-02,1.575373533999999964e-01
3.961017727999999877e-02,1.595098631999999905e-01
4.061967134000000340e-02,1.607772051999999952e-01
4.154907911999999870e-02,1.614063047000000028e-01
4.240042715999999684e-02,1.617554140999999945e-01
4.317663983000000205e-02,1.619110784999999997e-01
4.388135298999999712e-02,1.618648820999999960e-01
4.455129801999999778e-02,1.618499814000000092e-01
4.522124304999999844e-02,1.616719614000000083e-01
4.589118435999999662e-02,1.614282345999999979e-01
4.656112938999999729e-02,1.611281243000000085e-01
4.723107441999999795e-02,1.607810460000000108e-01
4.790101944999999861e-02,1.603952254000000077e-01
4.857096449000000010e-02,1.599773941000000033e-01
4.924090578999999746e-02,1.595335374999999889e-01
4.991085081999999812e-02,1.590688821000000031e-01
5.058079584999999878e-02,1.585883614999999969e-01
5.125074089000000027e-02,1.580968199999999990e-01
5.192068592000000093e-02,1.575984944000000110e-01
5.259063095000000160e-02,1.570971878000000099e-01
5.326057224999999895e-02,1.565949352999999877e-01
5.393051729000000044e-02,1.560937786999999910e-01
5.460046232000000110e-02,1.555936531999999872e-01
5.527040735000000177e-02,1.550936266000000063e-01
5.594035238000000243e-02,1.545947625999999908e-01
5.661029369000000061e-02,1.540978491999999977e-01
5.728023872000000127e-02,1.536042640999999986e-01
5.795018375000000194e-02,1.531156281999999924e-01
5.862012878000000260e-02,1.526331813000000037e-01
5.929007381000000326e-02,1.521577105999999957e-01
5.996001512000000144e-02,1.516894433000000042e-01
6.062996015000000211e-02,1.512284522000000020e-01
6.129990518000000277e-02,1.507752645999999863e-01
6.196985021000000343e-02,1.503291992000000132e-01
6.263979524000000410e-02,1.498907096000000050e-01
6.330973654999999534e-02,1.494607585999999932e-01
6.397968531000000625e-02,1.490385297000000053e-01
6.464962660999999666e-02,1.486239041000000094e-01
6.531956792000000178e-02,1.482169064999999952e-01
6.598951667999999882e-02,1.478174130000000086e-01
6.665945798000000311e-02,1.474254078999999995e-01
6.732940674000000014e-02,1.470407737999999964e-01
6.799934804000000443e-02,1.466631332999999981e-01
6.866928934999999568e-02,1.462923257000000032e-01
6.933923811000000659e-02,1.459284650000000072e-01
7.000917940999999700e-02,1.455712244000000044e-01
7.067912816999999404e-02,1.452205088000000088e-01
7.134906947999999915e-02,1.448762272000000129e-01
7.201901078000000345e-02,1.445380158000000026e-01
