x [m],Pressure [kPa]
1.213118085000000103e-03,9.896113909000000319e+01
1.213243812999999921e-03,9.885707709999999793e+01
1.213495502999999923e-03,9.837315698000000452e+01
1.213874434999999983e-03,9.772260554999999727e+01
1.214382703999999967e-03,9.685469423000000688e+01
1.215023453999999892e-03,9.581617389999999546e+01
1.215799479000000084e-03,9.458964278999999920e+01
1.216714969000000065e-03,9.316838896000000148e+01
1.217775162999999933e-03,9.155220466000000101e+01
1.218985766000000096e-03,8.973457190000000594e+01
1.220353063999999937e-03,8.771897479999999803e+01
1.221885206000000073e-03,8.549238925999999594e+01
1.223590923000000092e-03,8.307544321999999681e+01
1.225479762000000012e-03,8.045544673000000557e+01
1.227563014000000036e-03,7.763935103000000026e+01
1.229853020000000073e-03,7.463719750999999292e+01
1.232364214999999907e-03,7.143812382999999500e+01
1.235112081999999905e-03,6.808353126000000088e+01
1.238114433000000016e-03,6.454456795000000113e+01
1.241390942999999903e-03,6.086748192000000302e+01
1.244963379999999972e-03,5.706383911999999725e+01
1.248856541000000018e-03,5.311985717000000307e+01
1.253097784000000011e-03,4.912238783000000097e+01
1.257717144000000068e-03,4.503414550000000105e+01
1.262748614000000101e-03,4.093910157999999910e+01
1.268229913000000096e-03,3.687633255000000077e+01
1.274202834000000024e-03,3.290177151999999694e+01
1.280713244000000056e-03,2.905709809000000021e+01
1.287811319000000060e-03,2.520453394999999830e+01
1.295552473000000007e-03,2.153017880999999889e+01
1.303995958999999922e-03,1.789529088999999829e+01
1.313205225999999979e-03,1.549797777999999937e+01
1.323246397000000076e-03,1.224478623999999982e+01
1.334185945000000012e-03,9.711088756000000544e+00
1.345622120000000048e-03,8.290353713000000013e+00
1.357895670999999943e-03,7.707243116999999977e+00
1.371894963000000077e-03,7.198480419000000019e+00
1.387861673999999908e-03,6.763867430000000347e+00
1.406070542999999931e-03,6.370571002000000149e+00
1.426834263999999901e-03,6.006859233000000131e+00
1.450508833000000017e-03,5.663892277999999614e+00
1.477498560999999976e-03,5.324515919999999625e+00
1.508263405000000038e-03,5.006638919000000243e+00
1.543325139000000000e-03,4.623457870000000192e+00
1.583276317000000032e-03,4.460871629999999755e+00
1.628788887000000079e-03,4.119751284000000346e+00
1.680623973000000028e-03,3.861651586999999886e+00
1.739643047999999944e-03,3.600939626000000171e+00
1.806820044000000038e-03,3.349604408999999894e+00
1.883254154000000040e-03,3.124359322000000105e+00
1.970184733999999927e-03,2.923255832000000165e+00
2.069005743000000130e-03,2.747650138000000020e+00
2.181282965000000146e-03,2.583614182999999898e+00
2.308769384000000213e-03,2.447952705000000062e+00
2.453424268999999849e-03,2.299141220000000096e+00
2.617429475999999942e-03,2.227322318000000134e+00
2.803205512000000142e-03,2.124519535000000126e+00
3.013427835000000079e-03,2.038674521999999989e+00
3.251038725000000070e-03,1.970463249000000028e+00
3.519256598999999895e-03,1.922921136000000031e+00
3.821578109999999948e-03,1.881469510000000067e+00
4.161774646000000050e-03,1.861380119999999971e+00
4.543876740999999719e-03,1.838842418000000034e+00
4.972148220999999570e-03,1.840518759999999920e+00
5.451040808000000119e-03,1.844393753999999941e+00
5.985134746999999644e-03,1.857669519000000102e+00
6.579050793999999779e-03,1.877715079999999981e+00
7.237344514999999832e-03,1.903716489000000012e+00
7.964368910000000149e-03,1.934127858000000089e+00
8.764110505999999148e-03,1.968214077999999922e+00
9.640001691999999442e-03,2.005301718000000122e+00
1.059471071000000000e-02,2.043337704999999893e+00
1.162991485999999991e-02,2.080553402000000052e+00
1.274607143999999942e-02,2.113232226000000047e+00
1.394220068999999992e-02,2.140743362999999899e+00
1.521569396999999935e-02,2.161016744999999961e+00
1.656217314000000065e-02,2.175643491999999846e+00
1.797541044999999976e-02,2.183228784999999839e+00
1.944733783999999868e-02,2.187515649999999923e+00
2.096815594000000019e-02,2.187274996000000193e+00
2.252653054999999988e-02,2.185977246999999846e+00
2.410990186000000132e-02,2.181017175000000030e+00
2.570487185999999896e-02,2.176777754999999814e+00
2.729764021999999887e-02,2.171192339000000082e+00
2.887448482000000080e-02,2.165356871999999822e+00
3.042222559000000090e-02,2.159093012000000034e+00
3.192865848999999756e-02,2.153143694000000163e+00
3.338290378000000058e-02,2.147539370000000059e+00
3.477570041999999972e-02,2.142246056999999926e+00
3.609955311000000167e-02,2.137657217000000109e+00
3.734883293999999992e-02,2.133447611999999882e+00
3.851973264999999924e-02,2.129818964000000037e+00
3.961017727999999877e-02,2.126685158999999992e+00
4.061967134000000340e-02,2.124054957999999882e+00
4.154907911999999870e-02,2.121831119999999959e+00
4.240042715999999684e-02,2.119904352999999908e+00
4.317663983000000205e-02,2.118471604999999869e+00
4.388135298999999712e-02,2.117044217000000117e+00
4.455129801999999778e-02,2.115956452999999904e+00
4.522124304999999844e-02,2.114867776000000088e+00
4.589118435999999662e-02,2.113843092000000201e+00
4.656112938999999729e-02,2.112886357999999909e+00
4.723107441999999795e-02,2.111998899000000041e+00
4.790101944999999861e-02,2.111179589999999884e+00
4.857096449000000010e-02,2.110427556999999954e+00
4.924090578999999746e-02,2.109732355999999864e+00
4.991085081999999812e-02,2.109081064999999811e+00
5.058079584999999878e-02,2.108464076999999826e+00
5.125074089000000027e-02,2.107873388999999875e+00
5.192068592000000093e-02,2.107304698000000087e+00
5.259063095000000160e-02,2.106757344000000032e+00
5.326057224999999895e-02,2.106231938000000081e+00
5.393051729000000044e-02,2.105730309000000133e+00
5.460046232000000110e-02,2.105253139000000218e+00
5.527040735000000177e-02,2.104803648999999943e+00
5.594035238000000243e-02,2.104382714000000210e+00
5.661029369000000061e-02,2.103987973999999816e+00
5.728023872000000127e-02,2.103620499999999893e+00
5.795018375000000194e-02,2.103278040999999821e+00
5.862012878000000260e-02,2.102956176999999816e+00
5.929007381000000326e-02,2.102650220000000125e+00
5.996001512000000144e-02,2.102355836000000089e+00
6.062996015000000211e-02,2.102068430000000099e+00
6.129990518000000277e-02,2.101783286999999945e+00
6.196985021000000343e-02,2.101496662999999820e+00
6.263979524000000410e-02,2.101206788999999908e+00
6.330973654999999534e-02,2.100915269999999779e+00
6.397968531000000625e-02,2.100625561000000197e+00
6.464962660999999666e-02,2.100343028999999806e+00
6.531956792000000178e-02,2.100072094000000167e+00
6.598951667999999882e-02,2.099815131000000168e+00
6.665945798000000311e-02,2.099572291999999951e+00
6.732940674000000014e-02,2.099340474999999984e+00
6.799934804000000443e-02,2.099116294999999965e+00
6.866928934999999568e-02,2.098896348999999883e+00
6.933923811000000659e-02,2.098677644999999981e+00
7.000917940999999700e-02,2.098457173999999981e+00
7.067912816999999404e-02,2.098231630999999986e+00
7.134906947999999915e-02,2.097998769999999791e+00
7.201901078000000345e-02,2.097758531000000204e+00
7.268895954000000048e-02,2.097514374999999820e+00
7.335890085000000560e-02,2.097273905999999855e+00
7.402884960000000181e-02,2.097045853000000015e+00
7.469879091000000693e-02,2.096838508999999906e+00
7.536873966000000313e-02,2.096656347000000142e+00
7.603868096999999437e-02,2.096499080000000070e+00
7.670862227999999949e-02,2.096361610000000208e+00
7.737857102999999570e-02,2.096236558000000194e+00
7.804851234000000082e-02,2.096115598999999996e+00
7.871846109999999785e-02,2.095993083999999840e+00
7.938840240000000215e-02,2.095865478999999976e+00
8.005834370999999339e-02,2.095732668000000132e+00
8.072829247000000430e-02,2.095595251999999853e+00
8.139823376999999471e-02,2.095455910000000088e+00
8.206818253000000563e-02,2.095316765000000192e+00
8.273812382999999604e-02,2.095179185000000111e+00
8.340806514000000116e-02,2.095044043000000134e+00
8.407801389999999819e-02,2.094911280999999903e+00
8.474795520000000248e-02,2.094780839999999866e+00
8.541790395999999952e-02,2.094652002000000124e+00
8.608784527000000464e-02,2.094524290999999927e+00
8.675778656999999505e-02,2.094397453000000020e+00
8.742773533000000596e-02,2.094272129999999787e+00
8.809767662999999638e-02,2.094148715000000216e+00
8.876762538999999341e-02,2.094028654999999794e+00
8.943756669999999853e-02,2.093912512000000170e+00
9.010750800000000282e-02,2.093800622999999916e+00
9.077745675999999986e-02,2.093693098999999780e+00
9.144739807000000498e-02,2.093589428000000030e+00
9.211734682000000118e-02,2.093488498999999781e+00
9.278728813000000630e-02,2.093389235000000070e+00
9.345722943999999754e-02,2.093290575999999792e+00
9.412717818999999375e-02,2.093192118000000157e+00
9.479711949999999887e-02,2.093093452000000187e+00
9.546706824999999508e-02,2.092993991000000165e+00
9.613700956000000020e-02,2.092893742999999862e+00
9.680695087000000532e-02,2.092793318000000014e+00
9.747689962000000152e-02,2.092691939999999917e+00
9.814684093000000664e-02,2.092590788999999951e+00
9.881678969000000368e-02,2.092494265000000020e+00
9.948673098999999409e-02,2.092402472999999929e+00
1.001566722999999992e-01,2.092317584999999980e+00
1.008266210999999996e-01,2.092240405000000081e+00
1.014965624000000038e-01,2.092170590999999913e+00
1.021665110999999959e-01,2.092105588999999988e+00
1.028364524000000002e-01,2.092041618000000103e+00
1.035063937000000045e-01,2.091974265999999805e+00
1.041763425000000048e-01,2.091899408000000182e+00
1.048462837999999953e-01,2.091813941999999926e+00
1.055162325999999956e-01,2.091716626999999828e+00
1.061861738999999999e-01,2.091607332999999791e+00
1.068561226000000058e-01,2.091487879999999855e+00
1.075260638999999963e-01,2.091361812000000153e+00
1.081960052000000005e-01,2.091229595999999802e+00
1.088659540000000009e-01,2.091095354000000128e+00
1.095358953000000052e-01,2.090962751000000175e+00
1.102058439999999973e-01,2.090843972000000051e+00
1.108757853999999959e-01,2.090691419000000106e+00
1.115457267000000002e-01,2.090630231000000006e+00
1.122156754000000062e-01,2.090446490000000157e+00
1.128856166999999966e-01,2.090356590999999931e+00
1.135555654999999969e-01,2.090233709000000051e+00
1.142255068000000012e-01,2.090111273000000214e+00
1.148954481000000055e-01,2.089986471000000012e+00
1.155653967999999976e-01,2.089859345999999896e+00
1.162353381999999963e-01,2.089730912999999912e+00
1.169052869000000022e-01,2.089602656999999919e+00
1.175752282000000065e-01,2.089476181000000210e+00
1.182451694999999969e-01,2.089352905000000149e+00
1.189151182999999973e-01,2.089233882999999903e+00
1.195850596000000016e-01,2.089120475000000088e+00
1.202550082999999936e-01,2.089012902999999977e+00
1.209249495999999979e-01,2.088911065000000011e+00
1.215948909999999966e-01,2.088814092999999872e+00
1.222648397000000026e-01,2.088720350000000003e+00
1.229347810000000069e-01,2.088627477000000177e+00
1.236047297999999933e-01,2.088533464000000173e+00
1.242746710999999976e-01,2.088437107999999931e+00
1.249446124000000019e-01,2.088339057000000221e+00
1.256145536999999923e-01,2.088242802999999981e+00
1.262845099000000082e-01,2.088153875000000159e+00
1.269544512000000125e-01,2.088078577000000102e+00
1.276243924999999890e-01,2.088022331999999981e+00
1.282943337999999933e-01,2.087987649000000001e+00
1.289642750999999976e-01,2.087972580000000189e+00
1.296342313000000135e-01,2.087971115000000211e+00
1.303041725999999900e-01,2.087974027000000010e+00
1.309741138999999943e-01,2.087970977999999977e+00
1.316440551999999986e-01,2.087952700000000217e+00
1.323139966000000112e-01,2.087913837999999966e+00
1.329839527999999993e-01,2.087852282000000059e+00
1.336538941000000036e-01,2.087770073000000171e+00
1.343238354000000079e-01,2.087672178000000045e+00
1.349937767000000122e-01,2.087564726000000093e+00
1.356637179999999887e-01,2.087453861999999827e+00
1.363336742000000046e-01,2.087344230999999883e+00
1.370036155000000089e-01,2.087239127000000138e+00
1.376735568000000132e-01,2.087139727999999916e+00
1.383434980999999897e-01,2.087045809999999779e+00
1.390134393999999940e-01,2.086956888000000010e+00
1.396833956000000099e-01,2.086871669000000207e+00
1.403533368999999864e-01,2.086788749000000109e+00
1.410232781999999907e-01,2.086707421999999923e+00
1.416932194999999950e-01,2.086626864999999942e+00
1.423631607999999993e-01,2.086546799999999813e+00
1.430331170999999957e-01,2.086467219999999845e+00
1.437030584000000000e-01,2.086387853999999820e+00
1.443729997000000043e-01,2.086308829000000031e+00
1.450429410000000086e-01,2.086230275000000134e+00
1.457128971999999967e-01,2.086152053000000173e+00
1.463828385000000010e-01,2.086074417999999930e+00
1.470527798000000053e-01,2.085996975000000031e+00
1.477227211000000096e-01,2.085919977000000092e+00
1.483926624000000138e-01,2.085843162999999834e+00
1.490626036999999904e-01,2.085766658999999912e+00
1.497325599000000063e-01,2.085690206000000213e+00
1.504025012000000106e-01,2.085614055999999827e+00
1.510724424999999871e-01,2.085537829000000176e+00
1.517423837999999914e-01,2.085462024999999997e+00
1.524123400000000073e-01,2.085386390000000034e+00
1.530822813999999921e-01,2.085310799999999798e+00
1.537522226999999964e-01,2.085235497000000215e+00
1.544221640000000006e-01,2.085160601000000113e+00
1.550921053000000049e-01,2.085085863999999845e+00
1.557620466000000092e-01,2.085011285999999853e+00
1.564320027999999974e-01,2.084937100999999959e+00
1.571019441000000016e-01,2.084863309999999803e+00
1.577718854000000059e-01,2.084789903999999972e+00
1.584418267000000102e-01,2.084716880999999855e+00
1.591117828999999984e-01,2.084644472999999998e+00
1.597817242000000026e-01,2.084572906000000003e+00
1.604516655000000069e-01,2.084501697999999958e+00
1.611216068000000112e-01,2.084431324000000085e+00
1.617915480999999878e-01,2.084361765000000144e+00
1.624615043000000036e-01,2.084293012999999917e+00
1.631314456000000079e-01,2.084225057999999908e+00
1.638013869999999927e-01,2.084157659000000162e+00
1.644713282999999970e-01,2.084091039000000034e+00
1.651412696000000013e-01,2.084024960999999898e+00
1.658112257999999894e-01,2.083959415999999898e+00
1.664811670999999937e-01,2.083894626000000194e+00
1.671511083999999980e-01,2.083830355999999995e+00
1.678210497000000023e-01,2.083766599000000053e+00
1.684909910000000066e-01,2.083703573999999836e+00
1.691609471999999947e-01,2.083641270999999850e+00
1.698308884999999990e-01,2.083579460000000161e+00
1.705008298000000033e-01,2.083518579000000148e+00
1.711707711000000076e-01,2.083458176000000162e+00
1.718407124000000119e-01,2.083398464000000061e+00
1.725106686000000000e-01,2.083339435000000073e+00
1.731806099000000043e-01,2.083280643999999793e+00
1.738505512000000086e-01,2.083222958999999985e+00
1.745204925999999934e-01,2.083165501999999947e+00
1.751904338999999977e-01,2.083108698999999842e+00
1.758603901000000136e-01,2.083052330000000119e+00
1.765303313999999901e-01,2.082996174999999894e+00
1.772002726999999944e-01,2.082940443000000030e+00
1.778702139999999987e-01,2.082885130999999834e+00
1.785401553000000030e-01,2.082830233000000142e+00
1.792101114999999911e-01,2.082775536000000205e+00
1.798800527999999954e-01,2.082721035000000054e+00
1.805499940999999997e-01,2.082666938000000023e+00
1.812199354000000040e-01,2.082613032999999891e+00
1.818898767000000083e-01,2.082559524000000106e+00
1.825598328999999964e-01,2.082506201000000168e+00
1.832297742000000007e-01,2.082453060999999828e+00
1.838997155000000050e-01,2.082400307999999978e+00
1.845696568000000093e-01,2.082347732000000118e+00
1.852395981999999941e-01,2.082295332000000165e+00
1.859095544000000100e-01,2.082243103999999789e+00
1.865794956999999865e-01,2.082190846000000040e+00
1.872494369999999908e-01,2.082138962999999787e+00
1.879193782999999951e-01,2.082087248000000113e+00
1.885893195999999994e-01,2.082035698999999962e+00
1.892592757999999875e-01,2.081984515999999896e+00
1.899292170999999918e-01,2.081933493000000190e+00
1.905991583999999961e-01,2.081882632000000122e+00
1.912690997000000004e-01,2.081832125000000033e+00
1.919390410000000047e-01,2.081781970000000204e+00
1.926089971999999928e-01,2.081732165000000023e+00
1.932789384999999971e-01,2.081682508000000098e+00
1.939488798000000014e-01,2.081633002999999871e+00
1.946188211000000057e-01,2.081584030000000141e+00
1.952887624999999905e-01,2.081535394999999955e+00
1.959587187000000064e-01,2.081487089999999984e+00
1.966286600000000107e-01,2.081439307000000127e+00
1.972986012999999872e-01,2.081391849000000072e+00
1.979685425999999915e-01,2.081344714000000096e+00
1.986384838999999958e-01,2.081298085999999881e+00
1.993084401000000117e-01,2.081251582000000155e+00
1.999783813999999882e-01,2.081205766000000068e+00
2.006483226999999925e-01,2.081160258999999790e+00
2.013182639999999968e-01,2.081115054000000075e+00
2.019882202000000126e-01,2.081070148999999869e+00
2.026581614999999892e-01,2.081025540999999812e+00
2.033281027999999935e-01,2.080981229999999904e+00
2.039980440999999978e-01,2.080937206999999844e+00
2.046679854000000021e-01,2.080893472000000077e+00
2.053379267000000064e-01,2.080850022999999993e+00
2.060078830000000027e-01,2.080806856000000149e+00
2.066778243000000070e-01,2.080763968999999936e+00
2.073477656000000113e-01,2.080721358999999993e+00
2.080177068999999879e-01,2.080679024000000155e+00
