x [m],Heat flux [MW/m^2]
1.191825139999999963e-03,2.814389655000000090e+01
1.192210590999999995e-03,2.776504965999999897e+01
1.192980329999999934e-03,2.741544418999999877e+01
1.194132840999999985e-03,2.702921927999999951e+01
1.195665216000000057e-03,2.657852816000000118e+01
1.197574077999999983e-03,2.604563011000000117e+01
1.199854653999999970e-03,2.542244330000000119e+01
1.202502055000000038e-03,2.471128965999999849e+01
1.205509761000000003e-03,2.391788585999999839e+01
1.208871020999999950e-03,2.304788767999999877e+01
1.212577801000000108e-03,2.211489192999999887e+01
1.216621603999999950e-03,2.112172285999999843e+01
1.220992882999999895e-03,2.008817070999999999e+01
1.225681510000000080e-03,1.901103768000000116e+01
1.230676541999999995e-03,1.792506235000000103e+01
1.235966337999999968e-03,1.679972199999999916e+01
1.241538674000000056e-03,1.571242845000000088e+01
1.247380393999999917e-03,1.458366724000000048e+01
1.253477995999999943e-03,1.351286791999999970e+01
1.259817042999999926e-03,1.246707095999999915e+01
1.266383100000000083e-03,1.143599069999999962e+01
1.273160568000000076e-03,1.044765323999999929e+01
1.280133845000000015e-03,9.510683303000000421e+00
1.287286518999999994e-03,8.623925075000000717e+00
1.294602057999999934e-03,7.795234505999999897e+00
1.302063231999999945e-03,7.015541780000000394e+00
1.309652812999999912e-03,6.305499820999999727e+00
1.317353104000000075e-03,5.647144424999999579e+00
1.325146062000000105e-03,5.055550939999999827e+00
1.333013525999999930e-03,4.510697932000000243e+00
1.340926624999999985e-03,4.028102276000000259e+00
1.349445199999999966e-03,3.740405695999999836e+00
1.359237473999999959e-03,3.535714828000000143e+00
1.370493206000000016e-03,3.357720371000000092e+00
1.383430092000000012e-03,3.199463097000000200e+00
1.398298190999999963e-03,3.054588306999999947e+00
1.415384350999999898e-03,2.918023611000000184e+00
1.435017445999999973e-03,2.785984125999999783e+00
1.457574544000000104e-03,2.657149350000000076e+00
1.483487664000000079e-03,2.531147488999999862e+00
1.513251686000000040e-03,2.406603417999999994e+00
1.547432620999999965e-03,2.283142368000000033e+00
1.586678321000000022e-03,2.161957570000000217e+00
1.631728838999999941e-03,2.044646268000000155e+00
1.683428883999999988e-03,1.932344132000000103e+00
1.742742023999999936e-03,1.825627641999999939e+00
1.810765592000000007e-03,1.725303011999999914e+00
1.888747560000000013e-03,1.631591900000000095e+00
1.978104933999999798e-03,1.546005105000000102e+00
2.080443082000000068e-03,1.466701454000000071e+00
2.197577618000000170e-03,1.397812287000000042e+00
2.331555122999999854e-03,1.331666530999999987e+00
2.484677127000000166e-03,1.280231305000000042e+00
2.659521764000000177e-03,1.224874368999999907e+00
2.858966123000000054e-03,1.186597947000000097e+00
3.086204640999999985e-03,1.139300430999999891e+00
3.344765631000000058e-03,1.108363428000000095e+00
3.638520138000000004e-03,1.076982236999999953e+00
3.971683793000000025e-03,1.047906033999999931e+00
4.348805174000000030e-03,1.022092116999999911e+00
4.774741828000000042e-03,9.981715544000000495e-01
5.254611838999999861e-03,9.766860268000000511e-01
5.793726536999999933e-03,9.579239738999999476e-01
6.397490389999999777e-03,9.444997773000000096e-01
7.071269209999999847e-03,9.335987713000000188e-01
7.820223458000000183e-03,9.256364263999999897e-01
8.649101480999999564e-03,9.207629928999999658e-01
9.561997838000000152e-03,9.166755307999999713e-01
1.056208089000000051e-02,9.105824686000000279e-01
1.165129802999999992e-02,9.015213314000000144e-01
1.283007952999999993e-02,8.914667855000000252e-01
1.409705076000000029e-02,8.802159249000000019e-01
1.544879191000000061e-02,8.693431309000000384e-01
1.687966659999999910e-02,8.576097262999999860e-01
1.838174462000000120e-02,8.469968342999999456e-01
1.994485408000000112e-02,8.353765722999999532e-01
2.155675367000000134e-02,8.248738161999999985e-01
2.320346422000000089e-02,8.126419668000000041e-01
2.486971951999999986e-02,8.022934752999999475e-01
2.653950453000000070e-02,7.903927097999999818e-01
2.819666825000000099e-02,7.789216641999999746e-01
2.982554956999999840e-02,7.670716121999999748e-01
3.141154348999999901e-02,7.561896460999999459e-01
3.294160217000000057e-02,7.456484285000000156e-01
3.440462797999999794e-02,7.360100899000000529e-01
3.579169138999999805e-02,7.274682421000000510e-01
3.709616140000000090e-02,7.200291443999999874e-01
3.831367195000000281e-02,7.137869206000000410e-01
3.944197669999999906e-02,7.085820408999999875e-01
4.048075898999999728e-02,7.042557850999999758e-01
4.143133387000000334e-02,7.007438451999999929e-01
4.229638353000000212e-02,6.976990602999999513e-01
4.307962582000000179e-02,6.954885286999999972e-01
4.378556087999999763e-02,6.932782297999999788e-01
4.445404187000000229e-02,6.919147627999999717e-01
4.512252286000000001e-02,6.901694083999999618e-01
4.579100384999999773e-02,6.884634204999999785e-01
4.645948485000000322e-02,6.867918543000000042e-01
4.712796956000000342e-02,6.851596003000000046e-01
4.779645056000000197e-02,6.835641013000000044e-01
4.846493154999999969e-02,6.820008531000000263e-01
4.913341253999999741e-02,6.804669840000000525e-01
4.980189725999999845e-02,6.789618914999999699e-01
5.047037825000000311e-02,6.774866831000000422e-01
5.113885924000000083e-02,6.760431354000000503e-01
5.180734022999999855e-02,6.746337306999999894e-01
5.247582122999999710e-02,6.732603525000000477e-01
5.314430593999999730e-02,6.719224575000000144e-01
