x [m],Heat flux [MW/m^2]
1.191825139999999963e-03,2.814385726000000076e+01
1.192210590999999995e-03,2.776502344000000022e+01
1.192980329999999934e-03,2.741543369000000041e+01
1.194132840999999985e-03,2.702922528999999940e+01
1.195665216000000057e-03,2.657854457999999909e+01
1.197574077999999983e-03,2.604565131000000022e+01
1.199854653999999970e-03,2.542246294999999989e+01
1.202502055000000038e-03,2.471130678999999830e+01
1.205509761000000003e-03,2.391789853999999949e+01
1.208871020999999950e-03,2.304789681999999829e+01
1.212577801000000108e-03,2.211490025999999887e+01
1.216621603999999950e-03,2.112173053000000067e+01
1.220992882999999895e-03,2.008817605000000128e+01
1.225681510000000080e-03,1.901104434000000154e+01
1.230676541999999995e-03,1.792507020000000040e+01
1.235966337999999968e-03,1.679972942999999930e+01
1.241538674000000056e-03,1.571243551999999966e+01
1.247380393999999917e-03,1.458367263999999963e+01
1.253477995999999943e-03,1.351287570000000038e+01
1.259817042999999926e-03,1.246707720999999935e+01
1.266383100000000083e-03,1.143599674000000022e+01
1.273160568000000076e-03,1.044766966999999980e+01
1.280133845000000015e-03,9.510663313000000230e+00
1.287286518999999994e-03,8.623979161999999477e+00
1.294602057999999934e-03,7.795140059000000399e+00
1.302063231999999945e-03,7.015714365000000008e+00
1.309652812999999912e-03,6.305276651999999871e+00
1.317353104000000075e-03,5.647211589000000309e+00
1.325146062000000105e-03,5.055879560000000161e+00
1.333013525999999930e-03,4.509306495999999775e+00
1.340926624999999985e-03,4.029255791999999836e+00
1.349445199999999966e-03,3.739162474000000014e+00
1.359237473999999959e-03,3.533428640999999981e+00
1.370493206000000016e-03,3.354893441000000198e+00
1.383430092000000012e-03,3.196562922000000029e+00
1.398298190999999963e-03,3.051730844000000165e+00
1.415384350999999898e-03,2.914907744000000189e+00
1.435017445999999973e-03,2.782935624999999913e+00
1.457574544000000104e-03,2.654582953999999884e+00
1.483487664000000079e-03,2.528331650999999791e+00
1.513251686000000040e-03,2.402855816999999838e+00
1.547432620999999965e-03,2.278888613999999979e+00
1.586678321000000022e-03,2.158125420000000183e+00
1.631728838999999941e-03,2.041837810000000086e+00
1.683428883999999988e-03,1.930414904999999903e+00
