x [m],Heat flux [MW/m^2]
1.191825139999999963e-03,2.814389917000000096e+01
1.192210590999999995e-03,2.776505140000000083e+01
1.192980329999999934e-03,2.741544418999999877e+01
1.194132840999999985e-03,2.702921927999999951e+01
1.195665216000000057e-03,2.657852816000000118e+01
1.197574077999999983e-03,2.604563011000000117e+01
1.199854653999999970e-03,2.542244330000000119e+01
1.202502055000000038e-03,2.471128965999999849e+01
1.205509761000000003e-03,2.391788585999999839e+01
1.208871020999999950e-03,2.304788767999999877e+01
1.212577801000000108e-03,2.211489402000000126e+01
1.216621603999999950e-03,2.112172477000000015e+01
1.220992882999999895e-03,2.008817070999999999e+01
1.225681510000000080e-03,1.901103768000000116e+01
1.230676541999999995e-03,1.792506391999999948e+01
1.235966337999999968e-03,1.679972199999999916e+01
1.241538674000000056e-03,1.571242845000000088e+01
1.247380393999999917e-03,1.458366859000000026e+01
1.253477995999999943e-03,1.351286531999999951e+01
1.259817042999999926e-03,1.246707596000000073e+01
1.266383100000000083e-03,1.143597860000000033e+01
1.273160568000000076e-03,1.044767906000000046e+01
1.280133845000000015e-03,9.510635899000000393e+00
1.287286518999999994e-03,8.624012618000000074e+00
1.294602057999999934e-03,7.795078368000000424e+00
1.302063231999999945e-03,7.015826385000000442e+00
1.309652812999999912e-03,6.304994920999999586e+00
1.317353104000000075e-03,5.647829078000000003e+00
1.325146062000000105e-03,5.054183920999999913e+00
1.333013525999999930e-03,4.513378130000000432e+00
1.340926624999999985e-03,4.026334956000000354e+00
1.349445199999999966e-03,3.741631808999999809e+00
1.359237473999999959e-03,3.532999744000000053e+00
1.370493206000000016e-03,3.352786728999999966e+00
1.383430092000000012e-03,3.192768912000000014e+00
1.398298190999999963e-03,3.046313091000000028e+00
1.415384350999999898e-03,2.908893536999999974e+00
1.435017445999999973e-03,2.776543046000000015e+00
1.457574544000000104e-03,2.647436995000000071e+00
1.483487664000000079e-03,2.521353865000000027e+00
1.513251686000000040e-03,2.397470418000000159e+00
1.547432620999999965e-03,2.275106270000000208e+00
1.586678321000000022e-03,2.154837478999999778e+00
1.631728838999999941e-03,2.037951553000000082e+00
1.683428883999999988e-03,1.925675111999999967e+00
1.742742023999999936e-03,1.818752769999999908e+00
1.810765592000000007e-03,1.718115285000000103e+00
1.888747560000000013e-03,1.623969859000000016e+00
1.978104933999999798e-03,1.537934807000000070e+00
2.080443082000000068e-03,1.458027882999999969e+00
2.197577618000000170e-03,1.388772735000000091e+00
2.331555122999999854e-03,1.321799332999999965e+00
2.484677127000000166e-03,1.269830508000000080e+00
2.659521764000000177e-03,1.213159985000000107e+00
2.858966123000000054e-03,1.173076642999999919e+00
3.086204640999999985e-03,1.123860091999999922e+00
3.344765631000000058e-03,1.090039133000000104e+00
3.638520138000000004e-03,1.054937059000000010e+00
3.971683793000000025e-03,1.021184662000000021e+00
4.348805174000000030e-03,9.890773932999999962e-01
4.774741828000000042e-03,9.572817583999999602e-01
5.254611838999999861e-03,9.255406053000000410e-01
5.793726536999999933e-03,8.926570275999999859e-01
6.397490389999999777e-03,8.594838786999999813e-01
7.071269209999999847e-03,8.251584604999999684e-01
7.820223458000000183e-03,7.914109508000000126e-01
8.649101480999999564e-03,7.567257916999999834e-01
9.561997838000000152e-03,7.239094966000000353e-01
1.056208089000000051e-02,6.903738030999999609e-01
1.165129802999999992e-02,6.613559270000000101e-01
1.283007952999999993e-02,6.289604185999999597e-01
1.409705076000000029e-02,6.365299061000000425e-01
1.544879191000000061e-02,7.061762093000000240e-01
1.687966659999999910e-02,8.087906073999999723e-01
1.838174462000000120e-02,8.658496640999999716e-01
1.994485408000000112e-02,8.809596090000000324e-01
2.155675367000000134e-02,8.823330347000000184e-01
2.320346422000000089e-02,8.721527673000000203e-01
2.486971951999999986e-02,8.609181594000000493e-01
2.653950453000000070e-02,8.486702010000000129e-01
2.819666825000000099e-02,8.379170451999999880e-01
