x [m],Pressure [kPa]
1.191825139999999963e-03,3.580136087999999859e+02
1.192210590999999995e-03,3.556894816000000219e+02
1.192980329999999934e-03,3.518311782000000107e+02
1.194132840999999985e-03,3.461250059000000192e+02
1.195665216000000057e-03,3.387847780000000171e+02
1.197574077999999983e-03,3.298186792000000196e+02
1.199854653999999970e-03,3.193503827999999771e+02
1.202502055000000038e-03,3.075272469000000228e+02
1.205509761000000003e-03,2.945056293999999752e+02
1.208871020999999950e-03,2.804530618000000004e+02
1.212577801000000108e-03,2.655957212999999797e+02
1.216621603999999950e-03,2.500633042999999986e+02
1.220992882999999895e-03,2.341608043999999893e+02
1.225681510000000080e-03,2.179425467000000083e+02
1.230676541999999995e-03,2.018324983999999915e+02
1.235966337999999968e-03,1.856296848000000068e+02
1.241538674000000056e-03,1.701672929000000067e+02
1.247380393999999917e-03,1.546570739000000003e+02
1.253477995999999943e-03,1.404534988000000055e+02
1.259817042999999926e-03,1.266806777000000039e+02
1.266383100000000083e-03,1.135667018999999982e+02
1.273160568000000076e-03,1.011950590000000005e+02
1.280133845000000015e-03,8.982542913999999712e+01
1.287286518999999994e-03,7.941362474999999677e+01
1.294602057999999934e-03,6.993652899999999306e+01
1.302063231999999945e-03,6.133220426999999830e+01
1.309652812999999912e-03,5.362239952000000187e+01
1.317353104000000075e-03,4.663209915000000194e+01
1.325146062000000105e-03,4.069545946000000214e+01
1.333013525999999930e-03,3.539825162999999719e+01
1.340926624999999985e-03,3.231376123999999805e+01
1.349445199999999966e-03,3.101717559000000080e+01
1.359237473999999959e-03,2.987289868999999953e+01
1.370493206000000016e-03,2.886898216000000161e+01
1.383430092000000012e-03,2.796682618999999903e+01
1.398298190999999963e-03,2.711243941000000035e+01
1.415384350999999898e-03,2.627052893999999839e+01
1.435017445999999973e-03,2.542011306999999931e+01
1.457574544000000104e-03,2.455688616000000124e+01
1.483487664000000079e-03,2.367416983000000030e+01
1.513251686000000040e-03,2.275763827999999833e+01
1.547432620999999965e-03,2.181338328000000004e+01
1.586678321000000022e-03,2.086221958999999870e+01
1.631728838999999941e-03,1.992393033000000102e+01
1.683428883999999988e-03,1.901102251000000010e+01
1.742742023999999936e-03,1.813375372000000141e+01
1.810765592000000007e-03,1.730415693000000132e+01
1.888747560000000013e-03,1.653576988000000014e+01
1.978104933999999798e-03,1.583914062000000023e+01
2.080443082000000068e-03,1.522362397999999928e+01
2.197577618000000170e-03,1.469489775000000087e+01
2.331555122999999854e-03,1.425788808999999979e+01
2.484677127000000166e-03,1.391352688999999998e+01
2.659521764000000177e-03,1.365408646999999931e+01
2.858966123000000054e-03,1.348759706000000058e+01
3.086204640999999985e-03,1.339304416000000053e+01
3.344765631000000058e-03,1.340204869000000087e+01
3.638520138000000004e-03,1.345609980000000050e+01
3.971683793000000025e-03,1.356146127000000057e+01
4.348805174000000030e-03,1.371468203999999957e+01
4.774741828000000042e-03,1.389730806999999935e+01
5.254611838999999861e-03,1.409655805000000051e+01
5.793726536999999933e-03,1.429180601000000017e+01
6.397490389999999777e-03,1.448449654000000031e+01
7.071269209999999847e-03,1.466031940999999961e+01
7.820223458000000183e-03,1.481979132999999926e+01
8.649101480999999564e-03,1.496448316000000034e+01
9.561997838000000152e-03,1.509027503000000081e+01
1.056208089000000051e-02,1.519652866999999929e+01
1.165129802999999992e-02,1.527828006999999921e+01
1.283007952999999993e-02,1.534608157999999989e+01
1.409705076000000029e-02,1.538526361999999992e+01
1.544879191000000061e-02,1.542563415999999954e+01
1.687966659999999910e-02,1.544497368999999942e+01
1.838174462000000120e-02,1.546639818999999960e+01
1.994485408000000112e-02,1.547735868000000004e+01
2.155675367000000134e-02,1.549089662999999994e+01
2.320346422000000089e-02,1.549137413999999957e+01
2.486971951999999986e-02,1.549297666999999912e+01
2.653950453000000070e-02,1.549236222999999946e+01
2.819666825000000099e-02,1.549078757999999922e+01
2.982554956999999840e-02,1.548712689999999981e+01
3.141154348999999901e-02,1.548301209999999983e+01
3.294160217000000057e-02,1.547868689999999958e+01
3.440462797999999794e-02,1.547381698000000050e+01
3.579169138999999805e-02,1.546919317999999954e+01
3.709616140000000090e-02,1.546475483999999945e+01
3.831367195000000281e-02,1.546076101999999963e+01
3.944197669999999906e-02,1.545735280000000067e+01
4.048075898999999728e-02,1.545435980999999970e+01
4.143133387000000334e-02,1.545204690999999997e+01
4.229638353000000212e-02,1.544977787000000014e+01
4.307962582000000179e-02,1.544865807999999952e+01
4.378556087999999763e-02,1.544670656000000086e+01
4.445404187000000229e-02,1.544653403000000047e+01
4.512252286000000001e-02,1.544607839000000027e+01
4.579100384999999773e-02,1.544566441999999995e+01
4.645948485000000322e-02,1.544531139000000053e+01
4.712796956000000342e-02,1.544497525999999965e+01
4.779645056000000197e-02,1.544459138999999936e+01
4.846493154999999969e-02,1.544410000999999966e+01
4.913341253999999741e-02,1.544348703000000000e+01
4.980189725999999845e-02,1.544278470999999975e+01
5.047037825000000311e-02,1.544205333000000024e+01
5.113885924000000083e-02,1.544136776999999938e+01
5.180734022999999855e-02,1.544081414000000052e+01
5.247582122999999710e-02,1.544045679000000071e+01
5.314430593999999730e-02,1.544030051999999920e+01
5.381278694000000279e-02,1.544027505999999939e+01
5.448126793000000051e-02,1.544027048999999963e+01
5.514974891999999823e-02,1.544018823999999945e+01
5.581823363999999926e-02,1.543997743000000078e+01
5.648671462999999698e-02,1.543962312000000026e+01
5.715519562000000164e-02,1.543914056000000024e+01
5.782367662000000019e-02,1.543855892999999924e+01
5.849215760999999791e-02,1.543792056000000024e+01
5.916064232999999895e-02,1.543728231999999956e+01
5.982912331999999667e-02,1.543669964999999955e+01
6.049760431000000133e-02,1.543619649999999943e+01
6.116608529999999905e-02,1.543578727999999956e+01
6.183456629999999760e-02,1.543547840999999998e+01
6.250304729000000226e-02,1.543525625000000012e+01
6.317152827999999998e-02,1.543508409999999920e+01
6.384001672000000349e-02,1.543491352000000028e+01
6.450849771000000121e-02,1.543469404000000011e+01
6.517697870999999976e-02,1.543439723999999913e+01
6.584545969999999748e-02,1.543403044000000079e+01
6.651394068999999520e-02,1.543362890000000043e+01
6.718242168000000680e-02,1.543322380000000038e+01
6.785090268000000535e-02,1.543283912999999963e+01
6.851938367000000307e-02,1.543247810999999992e+01
6.918786466000000079e-02,1.543213534000000031e+01
6.985635310000000431e-02,1.543180845000000012e+01
7.052483410000000286e-02,1.543150342000000030e+01
7.119331509000000058e-02,1.543122149000000043e+01
7.186179607999999830e-02,1.543095744999999930e+01
7.253027706999999602e-02,1.543070007999999937e+01
7.319875806999999457e-02,1.543043497000000031e+01
7.386723906000000617e-02,1.543015532000000078e+01
