x [m],Pressure [kPa]
1.191825139999999963e-03,3.580136087999999859e+02
1.192210590999999995e-03,3.556894816000000219e+02
1.192980329999999934e-03,3.518311782000000107e+02
1.194132840999999985e-03,3.461250059000000192e+02
1.195665216000000057e-03,3.387847780000000171e+02
1.197574077999999983e-03,3.298186792000000196e+02
1.199854653999999970e-03,3.193503827999999771e+02
1.202502055000000038e-03,3.075272469000000228e+02
1.205509761000000003e-03,2.945056293999999752e+02
1.208871020999999950e-03,2.804530618000000004e+02
1.212577801000000108e-03,2.655957212999999797e+02
1.216621603999999950e-03,2.500633170000000121e+02
1.220992882999999895e-03,2.341608043999999893e+02
1.225681510000000080e-03,2.179425467000000083e+02
1.230676541999999995e-03,2.018324983999999915e+02
1.235966337999999968e-03,1.856296684000000141e+02
1.241538674000000056e-03,1.701672929000000067e+02
1.247380393999999917e-03,1.546570739000000003e+02
1.253477995999999943e-03,1.404534845999999959e+02
1.259817042999999926e-03,1.266807021000000049e+02
1.266383100000000083e-03,1.135666468999999950e+02
1.273160568000000076e-03,1.011951762000000059e+02
1.280133845000000015e-03,8.982522756000000186e+01
1.287286518999999994e-03,7.941398528999999940e+01
1.294602057999999934e-03,6.993587478000000601e+01
1.302063231999999945e-03,6.133343856999999844e+01
1.309652812999999912e-03,5.362051062999999829e+01
1.317353104000000075e-03,4.663632298999999648e+01
1.325146062000000105e-03,4.068733076000000182e+01
1.333013525999999930e-03,3.540502831999999955e+01
1.340926624999999985e-03,3.230219326999999652e+01
1.349445199999999966e-03,3.103230611000000039e+01
1.359237473999999959e-03,2.987282117999999898e+01
1.370493206000000016e-03,2.887763086000000001e+01
1.383430092000000012e-03,2.797084072999999904e+01
1.398298190999999963e-03,2.711351823000000039e+01
1.415384350999999898e-03,2.627243645000000072e+01
1.435017445999999973e-03,2.542187175000000110e+01
1.457574544000000104e-03,2.455715423999999913e+01
1.483487664000000079e-03,2.367702475000000106e+01
1.513251686000000040e-03,2.277088213000000039e+01
1.547432620999999965e-03,2.183756982999999963e+01
1.586678321000000022e-03,2.089168109999999956e+01
1.631728838999999941e-03,1.995247137000000137e+01
1.683428883999999988e-03,1.903526713999999842e+01
1.742742023999999936e-03,1.815231452000000090e+01
1.810765592000000007e-03,1.731646303000000131e+01
1.888747560000000013e-03,1.654164305000000112e+01
1.978104933999999798e-03,1.583907405999999973e+01
2.080443082000000068e-03,1.521950593999999946e+01
2.197577618000000170e-03,1.468878452000000046e+01
2.331555122999999854e-03,1.425145370999999983e+01
2.484677127000000166e-03,1.390750777000000049e+01
2.659521764000000177e-03,1.364820648000000070e+01
2.858966123000000054e-03,1.348351949999999988e+01
3.086204640999999985e-03,1.338890102000000049e+01
3.344765631000000058e-03,1.339812947000000065e+01
3.638520138000000004e-03,1.345329319000000012e+01
3.971683793000000025e-03,1.356045336000000034e+01
4.348805174000000030e-03,1.371549367999999980e+01
4.774741828000000042e-03,1.390109336000000084e+01
5.254611838999999861e-03,1.410226869000000072e+01
5.793726536999999933e-03,1.430109505999999975e+01
6.397490389999999777e-03,1.448891386000000026e+01
7.071269209999999847e-03,1.465402433000000038e+01
7.820223458000000183e-03,1.479720724000000054e+01
8.649101480999999564e-03,1.491570884000000063e+01
9.561997838000000152e-03,1.500898774000000024e+01
1.056208089000000051e-02,1.508844539000000040e+01
1.165129802999999992e-02,1.513807998999999960e+01
1.283007952999999993e-02,1.517544052999999948e+01
1.409705076000000029e-02,1.515640347000000077e+01
1.544879191000000061e-02,1.517602899000000072e+01
1.687966659999999910e-02,1.533093129000000054e+01
1.838174462000000120e-02,1.550921854999999994e+01
1.994485408000000112e-02,1.554720492999999948e+01
2.155675367000000134e-02,1.559605993999999995e+01
2.320346422000000089e-02,1.559685894000000062e+01
2.486971951999999986e-02,1.559126565000000042e+01
2.653950453000000070e-02,1.558555072000000052e+01
2.819666825000000099e-02,1.557808703999999977e+01
2.982554956999999840e-02,1.556875825999999918e+01
3.141154348999999901e-02,1.556039074000000078e+01
3.294160217000000057e-02,1.555359563999999928e+01
3.440462797999999794e-02,1.554754031999999953e+01
3.579169138999999805e-02,1.554227835000000013e+01
3.709616140000000090e-02,1.553767417999999978e+01
3.831367195000000281e-02,1.553368867999999914e+01
3.944197669999999906e-02,1.553031282000000068e+01
4.048075898999999728e-02,1.552740630000000088e+01
4.143133387000000334e-02,1.552496192000000086e+01
4.229638353000000212e-02,1.552266494000000030e+01
4.307962582000000179e-02,1.552081452000000006e+01
4.378556087999999763e-02,1.551894856999999917e+01
4.445404187000000229e-02,1.551730348999999975e+01
4.512252286000000001e-02,1.551582967000000046e+01
4.579100384999999773e-02,1.551423128999999967e+01
4.645948485000000322e-02,1.551265511999999980e+01
4.712796956000000342e-02,1.551112503000000054e+01
4.779645056000000197e-02,1.550963231999999969e+01
4.846493154999999969e-02,1.550826129999999914e+01
4.913341253999999741e-02,1.550708904000000032e+01
4.980189725999999845e-02,1.550610754999999941e+01
5.047037825000000311e-02,1.550533249000000069e+01
5.113885924000000083e-02,1.550470609999999994e+01
5.180734022999999855e-02,1.550406826000000038e+01
5.247582122999999710e-02,1.550330789999999936e+01
5.314430593999999730e-02,1.550237085000000015e+01
5.381278694000000279e-02,1.550122144000000013e+01
5.448126793000000051e-02,1.549987583000000058e+01
5.514974891999999823e-02,1.549844137999999916e+01
5.581823363999999926e-02,1.549705175999999973e+01
5.648671462999999698e-02,1.549576182999999929e+01
5.715519562000000164e-02,1.549456578000000029e+01
5.782367662000000019e-02,1.549349072999999954e+01
5.849215760999999791e-02,1.549252809999999947e+01
5.916064232999999895e-02,1.549159487999999918e+01
5.982912331999999667e-02,1.549063364000000043e+01
6.049760431000000133e-02,1.548967642999999939e+01
6.116608529999999905e-02,1.548874014000000088e+01
6.183456629999999760e-02,1.548778098000000014e+01
6.250304729000000226e-02,1.548679343000000053e+01
6.317152827999999998e-02,1.548582266000000018e+01
6.384001672000000349e-02,1.548489668000000030e+01
6.450849771000000121e-02,1.548396467000000065e+01
6.517697870999999976e-02,1.548296698000000049e+01
6.584545969999999748e-02,1.548191944000000042e+01
6.651394068999999520e-02,1.548091241999999923e+01
6.718242168000000680e-02,1.548002714999999974e+01
6.785090268000000535e-02,1.547930692999999991e+01
6.851938367000000307e-02,1.547875546000000035e+01
6.918786466000000079e-02,1.547835094000000034e+01
6.985635310000000431e-02,1.547804074999999990e+01
7.052483410000000286e-02,1.547772168000000015e+01
7.119331509000000058e-02,1.547725969000000035e+01
7.186179607999999830e-02,1.547657464999999988e+01
7.253027706999999602e-02,1.547569243999999955e+01
7.319875806999999457e-02,1.547471793999999967e+01
7.386723906000000617e-02,1.547376631999999930e+01
