X-Location (inches),HeatFlux 9but/ft^2-s)
6.848,0.378229
9.892,0.322202
15.892,0.244123
16.892,0.228046
17.892,0.225876
18.892,0.284384
19.892,0.360895
20.892,0.363447
21.892,0.483992
22.761,0.596069
24.672,0.869726
25.257,0.958189
25.842,1.1835
27.827,1.06469
28.842,1.09509
31.842,1.18708
33.342,1.16033
34.842,1.08573
36.342,1.10137
37.842,1.17681
40.842,1.05994
42.217,0.981673
43.592,1.0513
45.816,0.927891
48.516,0.950327
51.216,0.949849
53.916,1.00598
56.616,0.960664
59.316,0.906067
66.405,0.851763
70.365,0.879118
74.326,0.887386
78.287,0.904283
82.248,0.905013
86.209,0.948085
89.607,0.854422
89.761,0.882177
89.915,0.987387
90.069,0.859456
90.223,0.857199
90.377,0.931511
90.531,0.923021
90.684,1.26297
90.838,1.8312
90.992,1.97859
91.146,1.91929
91.3,1.87545
91.454,1.82857
91.607,1.82171
91.761,1.75165
91.915,1.88941
92.069,2.0533
92.223,2.18718
92.377,2.25151
92.531,2.67317
92.757,4.53042
92.875,4.87978
92.994,5.63688
93.113,6.45931
93.232,6.7626
93.35,7.14573
93.469,7.45449
93.588,8.05761
93.707,8.0821
93.825,8.59971
93.944,9.0414
94.063,9.18024
94.181,9.63702
94.3,10.0839
94.419,10.39
94.538,10.5166
94.656,10.7116
94.824,10.7356
95.018,10.0575
95.208,9.86757
95.399,9.47669
95.591,9.52776
95.782,9.55495
95.974,9.28783
96.165,9.42783
96.357,9.64851
96.548,9.46562
97.133,9.46945
97.44,9.23624
97.746,9.16171
