X-Location (inches),Pressure (Psi)
89.607,2.31967
89.761,2.21958
89.915,2.23796
90.069,2.45787
90.223,2.27999
90.377,2.29941
90.531,2.06313
90.684,2.22143
90.838,2.03941
90.992,2.16732
91.146,2.12424
91.3,2.24792
91.454,2.16523
91.607,2.21919
91.761,2.1808
91.915,2.14943
92.069,2.09738
92.223,1.94844
92.377,2.45947
92.757,13.786
92.875,16.9393
92.994,22.6517
93.113,35.8534
93.232,48.5217
93.35,46.98217
93.469,45.8217
93.588,43.95274
93.707,42.563217
93.825,42.143
93.944,39.7464
94.063,39.7594
94.181,38.9819
94.3,39.1065
94.419,38.0463
94.538,38.0816
94.824,37.6221
95.018,36.8114
95.208,36.4705
95.399,36.2016
95.591,35.8477
95.782,35.8076
95.974,35.9382
96.165,35.3846
96.357,35.3833
96.548,34.9076
96.827,34.8971
97.21,34.8327
97.593,34.7691
