x (mm),Q (W/m2)
2478.21629184565,100709.783657436
2559.36679220297,81928.3402414834
2566.66717962811,87265.9133491734
2574.54856674452,116518.08528702
2582.15208444337,154392.141274565
2589.55351529308,200874.453465576
2597.15703299193,218034.183179873
2604.73528983463,229106.808243698
2612.38932924577,201601.271931304
2619.96758608847,240179.433307523
2627.54584293118,267673.61308139
2644.21800798513,2228947.81669429
2657.02526204931,2291976.60551914
2682.26085733552,4900459.93978577
2694.8912854067,4367384.02132839
2707.54697433401,4911816.47831277
2720.17740240519,5175855.99906552
2732.63100448337,3527908.69341255
2745.36247597912,4081085.68506272
2758.06868661872,3708136.95983604
2770.67385383376,2779172.10832744
2795.93470997611,2490034.63743002
2821.19556611847,1841803.41830886
2846.45642226082,1989438.41915986
