x (mm),P (Pa)
2498.56391146832,1963.21310818
2529.10428654443,2014.51010026
2574.54856674452,3423.66053592
2589.55351529308,6892.61962533
2604.73528983463,9625.7702477
2619.96758608847,10822.0105872
2627.54584293118,11767.2817719
2644.21800798513,10545.5308315
2657.02526204931,34772.3279781
2682.26085733552,125098.471008
2694.8912854067,149436.963218
2720.17740240519,119520.612595
2745.36247597912,128401.059611
2770.67385383376,143714.314908
2795.93470997611,102118.245927
2821.19556611847,111798.484755
2846.45642226082,115052.810059
